"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",65.3259677419355,"Up",1467641000,-1001956000,465685000,-245897000,-225016000,-22031000,1150000,219788000,-23131000,-23135000,4000,196657000,-19422000,177235000,-60391000,116844000,116844000,116844000,116844000,370428000,370428000,364724000,364724000,990815000,80026000,80026000,1805993000,1064299000,1821940000,-757641000,6365582000,3033531000,3233960000,98091000,7429881000,9235874000,286506000,232415000,54091000,207829000,207829000,494335000,2071202000,1286197000,1029921000,256276000,3357399000,3851734000,4400862000,1018576000,-35298000,5384140000,5384140000,9235874000,116844000,58613000,7024000,226824000,409305000,-59303000,1229000,-437583000,-54564000,0,-44729000,-45930000,2186000,-97107000,-125385000,-125385000,-475000,-125860000,278401000,2071202000,506313000,0.3173,0.14976,0.07961,0.0217,0.01265,4.33324,3.65338,0.71539,0.22426,1.03001,1.02957,12.93769,47.4628,4.4633,0.481,0.01961,0.05792,0.46698,6.10908,7.73825
"12","2013_Q1",70.7045,"Up",1355371000,-905609000,449762000,-238263000,-214530000,-25275000,1542000,211499000,-21679000,-22421000,742000,189820000,-25882000,163938000,-59852000,104086000,104086000,104086000,104086000,229700000,229700000,347500000,347500000,961600000,104700000,104700000,1643500000,1096100000,1853100000,-7.57e+08,6375600000,3054600000,3.187e+09,1.34e+08,7471700000,9115200000,4.73e+08,274700000,145400000,93900000,93900000,616900000,2020500000,1314400000,992700000,105300000,3334900000,3951800000,4288800000,961200000,-86600000,5163400000,5163400000,9115200000,104086000,68670000,-10464000,117087000,279379000,-76093000,-72965000,-144003000,-54311000,40000,-224197000,-225278000,614999.999999881,-277853000,-142477000,-142477000,1794000,-140683000,280169000,2070500000,381015000,0.33184,0.15605,0.0768,0.02016,0.01142,3.66058,2.66413,0.76535,0.22715,0.93396,0.93362,12.16168,46.33093,3.41883,0.48733,0.01853,0.04457,0.52179,6.57032,8.70359
"13","2013_Q2",78.25625,"Up",1369700000,-899900000,469800000,-255400000,-232200000,-24200000,1e+06,214400000,-23200000,-23600000,4e+05,191200000,-23900000,167300000,-56400000,110900000,110900000,110900000,110900000,311474000,311474000,390924000,390924000,1019339000,78591000,78591000,1800328000,1101036000,1891017000,-789981000,6360746000,3053246000,3162025000,145475000,7461782000,9262110000,398241000,283201000,115040000,262228000,262228000,710469000,2019875000,1308313000,995391000,312922000,3328188000,4038657000,4295789000,1013831000,-86167000,5223453000,5223453000,9262110000,110900000,63900000,4300000,-2400000,176700000,-4.6e+07,17700000,-28300000,-52800000,46174235.6538815,-4e+06,-4200000,-7800000,-64600000,83800000,83800000,-2e+06,81800000,278300000,2069875000,286300000,0.34299,0.15653,0.08097,0.02123,0.01197,2.58161,2.534,0.77318,0.22348,1.00482,1.00455,12.41027,47.32749,2.59404,0.4784,0.01903,0.03328,0.4761,6.31837,8.2015
"14","2013_Q3",83.6484375,"Up",1628700000,-1086800000,541900000,-282800000,-257200000,-24200000,-1400000,259100000,-23400000,-23900000,5e+05,235700000,-11500000,224200000,-75400000,148800000,148800000,148800000,148800000,203555000,203555000,469367000,469367000,975427000,87713000,87713000,1736062000,1113446000,1925275000,-811829000,6339245000,3053549000,3138056000,147640000,7452691000,9188753000,421287000,290054000,131233000,234779000,234779000,706066000,2019196000,1310744000,996874000,313870000,3329940000,4036006000,4221500000,1013241000,-81994000,5152747000,5152747000,9188753000,148800000,62300000,1300000,-29500000,182900000,-51900000,-11800000,-63700000,-57400000,-52509589.7511537,-170500000,-171100000,200000.000000002,-227700000,-108500000,-108500000,6e+05,-107900000,321400000,2069196000,315400000,0.33272,0.15908,0.09136,0.02888,0.01619,2.11962,2.45878,0.78327,0.22519,1.36233,1.362,14.91144,47.17559,2.88762,0.52552,0.02417,0.03696,0.38575,5.80473,7.20047
"15","2013_Q4",82.351875,"Down",1559600000,-1023400000,536200000,-271100000,-2.51e+08,-24200000,4100000,265100000,-24300000,-23800000,-5e+05,240800000,-6800000,2.34e+08,-79800000,154200000,154200000,154200000,154200000,438814000,438814000,360205000,360205000,878156000,68770000,68770000,1745945000,1121615000,1935629000,-814014000,6316894000,3053746000,3114024000,149124000,7438509000,9184454000,341413000,251584000,89829000,202050000,202050000,593463000,2018508000,1312247000,999324000,312923000,3330755000,3924218000,4225834000,1111042000,-76640000,5260236000,5260236000,9184454000,154200000,61400000,-16900000,125300000,3.24e+08,-45500000,11300000,-34200000,-56300000,-137428620.280612,9e+05,-2e+05,5e+05,-54900000,234900000,234900000,3e+05,235200000,326500000,2068508000,486100000,0.34381,0.16998,0.09887,0.02931,0.01679,3.1524,2.94196,0.74602,0.22522,1.42156,1.4213,14.37787,48.49383,4.48133,0.51903,0.02436,0.05626,0.36511,4.99141,6.14747
"16","2014_Q1",75.932131147541,"Down",1339700000,-8.6e+08,479700000,-258400000,-233500000,-24200000,-7e+05,221300000,-22200000,-22100000,-99999.9999999999,199100000,-7300000,191800000,-61500000,130300000,130300000,130300000,130300000,256400000,256400000,313700000,313700000,945500000,79600000,79600000,1595200000,1142500000,1985300000,-842800000,6294100000,3052900000,3089400000,151800000,7436600000,9031800000,468100000,285800000,126900000,78700000,78700000,596800000,1967800000,1318400000,987200000,101100000,3286200000,3.883e+09,4151700000,1075500000,-78400000,5148800000,5148800000,9031800000,130300000,63300000,-18800000,-2600000,172200000,-59800000,400000.000000004,-59400000,-56300000,-49999999.9999998,-188400000,-188700000,9e+05,-293800000,-1.81e+08,-1.81e+08,-1400000,-182400000,284600000,2017800000,283700000,0.35807,0.16519,0.09726,0.02531,0.01443,2.17728,2.67292,0.75416,0.22341,1.21496,1.21477,12.49182,48.00916,2.64532,0.52496,0.02199,0.03344,0.43208,6.18904,7.95933
"17","2014_Q2",78.894126984127,"Up",1350900000,-8.58e+08,492900000,-273800000,-250200000,-24500000,9e+05,219100000,-23800000,-23800000,0,195300000,-5800000,189500000,-62900000,126600000,126600000,126600000,126600000,157500000,157500000,357300000,357300000,1059300000,55800000,55800000,1629900000,1139200000,2011800000,-872600000,6264800000,3051300000,3.064e+09,149500000,7.404e+09,9033900000,347900000,264800000,83100000,305200000,305200000,803100000,1867100000,1288600000,979800000,308800000,3155700000,3958800000,4114600000,1040800000,-80300000,5075100000,5075100000,9033900000,126600000,62100000,4700000,-111300000,82100000,-35200000,-7100000,-42300000,-55400000,234705174.934,-165300000,-165400000,85100000,-135600000,-95800000,-95800000,-3100000,-98900000,281200000,2017100000,197600000,0.36487,0.16219,0.09372,0.02495,0.01401,1.56082,2.02951,0.78004,0.22328,1.20482,1.20463,12.85622,48.29863,1.88052,0.52723,0.02172,0.02358,0.4376,6.61309,8.48745
"18","2014_Q3",81.12328125,"Up",1559900000,-1007300000,552600000,-294900000,-270300000,-24700000,99999.9999999995,257700000,-20800000,-20500000,-3e+05,236900000,-6900000,2.3e+08,-76600000,153400000,153400000,153400000,153400000,150500000,150500000,464200000,464200000,1023700000,123900000,123900000,1762300000,1163200000,2056700000,-893500000,6320500000,3100700000,3076200000,143600000,7483700000,9.246e+09,3.33e+08,261600000,71400000,4.13e+08,4.13e+08,8.96e+08,1883600000,1298500000,999800000,298700000,3182100000,4078100000,4118700000,1133200000,-8.4e+07,5167900000,5167900000,9.246e+09,153400000,64200000,5600000,-137300000,85900000,-46800000,-1800000,-150600000,-6.1e+07,2.07e+08,1e+05,-1e+05,-86400000,59700000,-5000000.00000001,-5000000.00000001,-2e+06,-7000000.00000001,321900000,2033600000,214400000,0.35425,0.1652,0.09834,0.02968,0.01659,1.39765,1.96685,0.78912,0.21994,1.4706,1.47039,14.9543,49.54312,2.05539,0.58479,0.02522,0.02522,0.39765,5.84995,7.30733
"19","2014_Q4",80.6075,"Down",1465500000,-920300000,545200000,-274600000,-250300000,-24900000,6e+05,270600000,-1.7e+07,-18400000,1400000,253600000,-7100000,246500000,-79800000,166700000,166700000,166700000,166700000,168600000,168600000,365200000,365200000,864800000,109500000,109500000,1508100000,1185300000,2074500000,-889200000,6295600000,3096600000,3048500000,150500000,7480900000,8.989e+09,275500000,220200000,55300000,182800000,182800000,608300000,1879400000,1296500000,1004400000,292100000,3175900000,3784200000,4099100000,1.201e+09,-95300000,5204800000,5204800000,8.989e+09,166700000,6.5e+07,3100000,186300000,421100000,-65100000,6e+05,-64300000,-6.1e+07,-2.07e+08,-61400000,-61500000,1e+05,-329300000,27500000,27500000,-9400000,18100000,335600000,2029400000,536600000,0.37202,0.18465,0.11375,0.03203,0.01854,3.21896,2.4792,0.72706,0.22576,1.60318,1.60297,14.09395,50.05539,5.16057,0.58665,0.02669,0.0629,0.36593,5.5447,6.87657
"20","2015_Q1",87.7518032786885,"Up",1234300000,-7.94e+08,440300000,-243100000,-2.18e+08,-24800000,-3e+05,197200000,-7700000,-16700000,9e+06,189500000,-5800000,183700000,-65200000,118500000,118500000,118500000,118500000,153500000,153500000,309400000,309400000,9.31e+08,145200000,145200000,1539100000,1265600000,2163600000,-8.98e+08,6255500000,3098200000,3024300000,1.33e+08,7521100000,9060200000,4.64e+08,289200000,115800000,78600000,78600000,885800000,1873100000,1271700000,1020700000,56800000,3144800000,4030600000,3991200000,1.091e+09,-52600000,5029600000,5029600000,9060200000,118500000,65100000,-8800000,92100000,266900000,-121700000,-1400000,-113100000,-60600000,198400000,-281900000,-281500000,-26200000,-170300000,-16500000,-16500000,1400000,-15100000,262300000,2216300000,297900000,0.35672,0.15977,0.09601,0.02356,0.01308,2.51392,1.73753,0.80138,0.24462,1.17738,1.17724,12.26365,49.97268,2.95985,0.6021,0.02103,0.03497,0.51139,7.86428,10.46045
"21","2015_Q2",93.1480952380952,"Up",1323800000,-845100000,478700000,-278500000,-253400000,-24900000,-2e+05,200200000,-16100000,-17400000,1300000,184100000,-8600000,175500000,-59500000,1.16e+08,1.16e+08,1.16e+08,1.16e+08,149400000,149400000,392500000,392500000,1084500000,101800000,101800000,1728200000,1274700000,2.207e+09,-932300000,6247300000,3098600000,2999700000,1.49e+08,7.522e+09,9250200000,339300000,279400000,59900000,6.8e+08,6.8e+08,1019300000,1881100000,1265400000,1019900000,245500000,3146500000,4165800000,4003700000,1137700000,-5.7e+07,5084400000,5084400000,9250200000,1.16e+08,63200000,6e+06,-193300000,-8100000,-47800000,-4300000,-52100000,-58900000,121600000,-10600000,-10600000,7800000,59900000,-3e+05,-3e+05,-3800000,-4100000,263400000,1881100000,81800000,0.36161,0.15123,0.08763,0.02281,0.01254,0.70517,1.69548,0.81933,0.20336,1.14819,1.14809,13.10322,50.32633,0.80967,0.583,0.02125,0.00994,0.50776,6.57441,8.64985
"22","2015_Q3",90.288125,"Down",1481800000,-945300000,536500000,-278900000,-252400000,-25200000,-1300000,257600000,-15900000,-16200000,299999.999999998,241700000,-2800000,238900000,-80600000,158300000,158300000,158300000,158300000,105300000,105300000,453200000,453200000,1065200000,102100000,102100000,1725800000,1.305e+09,2268300000,-963300000,6.304e+09,3142600000,3003700000,157700000,7.609e+09,9334800000,288500000,251300000,37200000,169700000,169700000,1004100000,1890800000,1274900000,1028200000,246700000,3165700000,4169800000,4008300000,1.231e+09,-74300000,5.165e+09,5.165e+09,9334800000,158300000,63100000,4800000,-134200000,9.2e+07,-64700000,3e+06,-1.42e+08,-6.5e+07,75900000.0000001,-7e+05,-7e+05,1600000,11800000,-38200000,-38200000,-5900000,-44100000,320700000,2436700000,202400000,0.36206,0.17384,0.10683,0.03065,0.01696,1.27858,1.71875,0.80732,0.26103,1.56542,1.56537,14.65342,51.07634,2.00152,0.64278,0.02516,0.0228,0.41061,7.26972,9.05047
"23","2015_Q4",97.09984375,"Up",1.44e+09,-917100000,522900000,-261900000,-237300000,-25200000,6e+05,2.61e+08,-16700000,-16800000,1e+05,244300000,-5900000,238400000,-77500000,160900000,160900000,160900000,160900000,111700000,111700000,373900000,373900000,944200000,85800000,85800000,1515600000,1323300000,2309200000,-985900000,6256700000,3134900000,2973900000,147900000,7.58e+09,9095600000,249700000,232300000,17400000,172400000,172400000,710100000,1891800000,1269500000,1025600000,243900000,3161300000,3871400000,4007800000,1.326e+09,-109600000,5224200000,5224200000,9095600000,160900000,63100000,4500000,145700000,374200000,-4.8e+07,42800000,-5400000,-65100000,-281900000,-4e+06,-4e+06,9e+05,-350100000,18700000,18700000,-12300000,6400000,324100000,2179800000,499300000,0.36312,0.18125,0.11174,0.0308,0.01769,3.10317,2.13435,0.74105,0.23965,1.59006,1.59005,14.23053,51.62717,4.93424,0.64334,0.02606,0.05757,0.4046,6.38106,7.92375
"24","2016_Q1",103.24868852459,"Up",1447100000,-1016500000,430600000,-319600000,-288200000,-34400000,3e+06,1.11e+08,-200300000,-29500000,-170800000,-89300000,-40500000,-129800000,39500000,-90300000,-90300000,-90300000,-90300000,125600000,125600000,430100000,430100000,1163600000,264600000,264600000,1983900000,1678300000,2699100000,-1020800000,13144100000,6011600000,6950300000,182200000,14822400000,16806300000,684600000,402800000,205300000,1.12e+08,1.12e+08,1022600000,5944900000,2751900000,2.397e+09,91400000,8696800000,9719400000,6037600000,1159200000,-109900000,7086900000,7086900000,16806300000,-90299999.9999999,77800000,158700000,81300000,227500000,-84600000,-18100000,-1342700000,-6.5e+07,1250600000,-9e+06,-9e+06,-40900000,1135700000,20500000,20500000,-6600000,13900000,188800000,6170900000,1.46e+08,0.29756,0.07671,-0.0624,-0.01274,-0.00537,-1.61683,1.94005,1.37146,0.36718,-0.82988,-0.82982,13.29928,65.13071,1.34178,0.59737,-0.00158,0.00912,-0.71982,32.0196,54.46216
