"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.7101612903226,"Up",707700000,-572600000,135100000,-91600000,-91600000,43500000,-12900000,-12400000,-5e+05,30600000,30600000,-11200000,19400000,2.4e+07,2.4e+07,2.4e+07,248700000,248700000,374700000,374700000,256200000,51400000,51400000,9.31e+08,380700000,844400000,3.98e+08,114100000,1225100000,2156100000,465300000,324300000,1.41e+08,3e+06,468300000,702200000,353900000,205100000,148800000,1056100000,1524400000,629300000,631700000,2156100000,2.4e+07,2.4e+07,17200000,-9500000,22900000,54600000,-16300000,-16300000,-4500000,-8e+05,5300000,0,0,38300000,38300000,1100000,39400000,60700000,705200000,78500000,0.1909,0.06147,0.03391,0.03799,0.01113,3.27083,1.98804,2.41317,0.32707,0.27027,0.26997,7.96959,7.08671,0.88401,0.05068,5,0.01686,0.04643,0.1875,7.52059,10.49425
"12","2013_Q1",19.3278333333333,"Up",6.51e+08,-531300000,119700000,-129400000,-129400000,-9700000,-14400000,-13700000,-7e+05,-24100000,-1100000,1200000,1e+05,3e+06,3100000,3100000,2.1e+08,2.1e+08,313900000,313900000,244400000,120400000,81100000,888700000,385800000,853500000,405500000,1.08e+08,1239300000,2.128e+09,4.38e+08,296100000,141900000,3800000,459800000,703100000,333700000,199800000,102100000,1036800000,1496600000,629100000,631400000,2.128e+09,3e+06,3e+06,1.7e+07,-18900000,18900000,2e+07,-24400000,-58200000,-4400000,1e+05,3400000,1.86264514923096e-09,-899999.999999985,-39100000,-39100000,4e+05,-38700000,7300000,706900000,6e+05,0.18387,-0.0149,0.00476,0.00490999999999999,0.00146,0.19355,1.9328,2.37029,0.33219,0.03468,0.03487,7.28188,7.03691,0.00670999999999999,0.04922,8,0.00449,0.000359999999999999,1.41935,68.06849,-51.2268
"13","2013_Q2",20.369375,"Up",801100000,-638800000,162300000,-121900000,-121900000,40400000,-14200000,-15600000,1400000,26200000,15700000,-4700000,1.1e+07,15100000,15300000,15300000,168900000,168900000,526100000,526100000,353500000,122300000,80300000,1170800000,671600000,1061100000,5.44e+08,136100000,1732700000,2903500000,5.78e+08,443700000,134300000,7900000,604500000,1047600000,377500000,144900000,232600000,1425100000,2029600000,871800000,873900000,2903500000,15100000,15100000,19900000,-47700000,-78800000,-91500000,-12900000,-248700000,-4500000,334700000,-17900000,-20800000,299300000,-40900000,-40900000,-2e+05,-41100000,60300000,1055500000,-26700000,0.2026,0.05043,0.0191,0.01751,0.00527,-1.7451,1.93681,2.32246,0.36353,0.16685,0.16487,8.7361,9.50709,-0.29117,0.04907,3,0.00858,-0.01157,0.29412,14.70315,21.94554
"14","2013_Q3",23.7415625,"Up",1037600000,-833900000,203700000,-1.23e+08,-1.23e+08,80700000,-17800000,-16600000,-1200000,62900000,62900000,-24600000,38300000,180600000,180900000,180900000,392400000,392400000,521500000,521500000,367900000,73600000,73600000,1355400000,654700000,1063300000,549500000,137700000,1.718e+09,3073400000,672900000,415400000,257500000,8700000,681600000,1022500000,373600000,134100000,102200000,1396100000,2077700000,993900000,995700000,3073400000,180600000,180600000,25900000,-231500000,91300000,66300000,-13800000,236700000,-5400000,-24200000.0000001,-5e+07,-50400000,-79599999.9999999,223400000,223400000,1e+05,223500000,106600000,1031200000,208700000,0.19632,0.07778,0.17434,0.18168,0.05886,1.15368,1.98856,2.08667,0.33552,1.85159,1.83097,10.62027,10.17298,2.13613,0.05527,6,0.07761,0.08694,0.02985,5.9925,7.91574
"15","2013_Q4",26.7753125,"Up",1008900000,-827600000,181300000,-119700000,-119700000,61600000,-17600000,-1.6e+07,-1600000,4.4e+07,38800000,-15800000,2.3e+07,22800000,2.3e+07,2.3e+07,322800000,322800000,5.05e+08,5.05e+08,341500000,63400000,63400000,1232700000,644400000,1.066e+09,555600000,139600000,1710400000,2943100000,585300000,399900000,185400000,9900000,595200000,977800000,373500000,123500000,109300000,1351300000,1946500000,994600000,996600000,2943100000,22800000,22800000,30300000,-7700000,-2.5e+07,20400000,-15100000,-14500000,-5800000,-48100000,-22600000,-24500000,-76500000,-70600000,-70600000,1e+06,-69600000,91900000,987700000,67600000,0.1797,0.06106,0.0228,0.02308,0.00781,2.93913,2.07107,1.95314,0.3356,0.2376,0.23566,10.42252,10.27479,0.69835,0.05992,4,0.01221,0.02867,0.25217,7.23504,10.79383
"16","2014_Q1",30.2762295081967,"Up",923600000,-808700000,114900000,-9.3e+07,-9.3e+07,21900000,-15100000,-15300000,2e+05,6800000,33600000,-1.3e+07,20600000,24200000,24600000,24600000,365200000,365200000,4.28e+08,4.28e+08,342500000,117900000,117900000,1253600000,646200000,1044300000,5.59e+08,119500000,1690500000,2944100000,596200000,386900000,209300000,12700000,608900000,976200000,380500000,77300000,169400000,1356700000,1965600000,976800000,978500000,2944100000,24200000,24200000,2.1e+07,-45200000,113800000,113800000,-34600000,-33600000,-5800000,1200000,-33800000,-35900000,-38400000,41799999.9999999,41799999.9999999,6e+05,42400000,42900000,988900000,135100000,0.1244,0.02371,0.02663,0.02514,0.00836,5.49187,2.05879,2.00879,0.33589,0.25678,0.25413,9.64092,10.19624,1.41023,0.06054,6,0.01295,0.05754,0.23577,14.53846,28.47945
"17","2014_Q2",33.0733333333333,"Up",1002300000,-814100000,188200000,-131800000,-131800000,56400000,-16500000,-15500000,-1e+06,39900000,39900000,-10700000,29200000,29200000,29400000,29400000,238300000,238300000,507500000,507500000,3.33e+08,91300000,91300000,1170100000,631200000,1056900000,568700000,127200000,1688100000,2858200000,561200000,430100000,131100000,12800000,5.74e+08,968100000,3.67e+08,63800000,181100000,1335100000,1909100000,947600000,949100000,2858200000,29200000,29200000,32800000,-14400000,-122500000,-74900000,-17500000,9300000,-7600000,-8e+06,-45600000,-5.1e+07,-61200000,-126800000,-126800000,-1e+05,-126900000,89200000,980900000,-40100000,0.18777,0.05627,0.02933,0.03098,0.01029,-1.36395,2.0385,2.01148,0.34319,0.31111,0.30721,10.60635,10.02751,-0.42434,0.08042,5,0.01611,-0.01746,0.2585,8.32511,13.16667
"18","2014_Q3",33.26671875,"Up",1005500000,-8.21e+08,184500000,-135100000,-135100000,49400000,-16100000,-15700000,-4e+05,33300000,33300000,-2600000,30700000,31500000,31700000,31700000,261500000,261500000,501300000,501300000,315700000,100500000,100500000,1.179e+09,612300000,1055400000,568900000,1.32e+08,1667700000,2846700000,593300000,422500000,170800000,12700000,6.06e+08,967900000,359800000,63700000,182400000,1327700000,1933700000,911700000,9.13e+08,2846700000,31500000,31500000,39400000,2900000,44900000,118700000,-20500000,-2e+07,-7500000,0,-6.8e+07,-68900000,-75500000,23200000,23200000,0,23200000,88800000,980600000,115800000,0.18349,0.04913,0.03153,0.03472,0.01114,3.653,1.94554,2.11796,0.34447,0.34123,0.33688,10.82347,9.81378,1.2465,0.08073,4,0.0174,0.05139,0.23659,8.09797,14.55668
"19","2014_Q4",30.9871875,"Down",958400000,-775800000,182600000,-1.19e+08,-1.19e+08,63600000,-17200000,-15400000,-1800000,46400000,46400000,-14100000,32300000,32700000,32700000,32700000,263600000,263600000,4.59e+08,4.59e+08,305600000,88700000,88700000,1116900000,595600000,1043300000,568400000,125100000,1638900000,2755800000,561800000,4.08e+08,153800000,13100000,574900000,965800000,347100000,62100000,180800000,1312900000,1887800000,866700000,8.68e+08,2755800000,32700000,32700000,3800000,23500000,2.8e+07,8.8e+07,-22700000,-21800000,-7400000,8e+05,-54600000,-55100000,-61200000,5e+06,5e+06,-2900000,2100000,67400000,978900000,86800000,0.19053,0.06636,0.03412,0.03767,0.01187,2.65443,1.94277,2.17488,0.35521,0.35582,0.35124,10.42873,9.4309,0.9445,0.08052,6,0.01828,0.03956,0.2263,10.61276,11.24686
"20","2015_Q1",32.3024590163934,"Up",869300000,-716700000,152600000,-166900000,-166900000,-14300000,-16900000,-15600000,-1300000,-31200000,-31200000,16200000,-1.5e+07,-1.5e+07,-14600000,-14600000,238600000,238600000,396800000,396800000,3.09e+08,5.4e+07,5.4e+07,998400000,596700000,1071200000,590600000,117900000,1667900000,2666300000,538800000,365900000,172900000,61700000,600500000,948900000,339700000,103700000,178300000,1288600000,1889100000,776300000,777200000,2666300000,-1.5e+07,-1.5e+07,24800000,18800000,4.8e+07,76600000,-3900000,-79300000,-7400000,4.5e+07,-58100000,-58200000,-20500000,-23200000,-23200000,-1800000,-2.5e+07,10500000,1010600000,38400000,0.17554,-0.01645,-0.0168,-0.01879,-0.00548,-2.63014,1.66261,2.43065,0.37903,-0.1624,-0.16026,9.66963,8.63515,0.42714,0.08231,4,-0.00338,0.01805,-0.50685,73.52381,-53.98601
"21","2015_Q2",33.3226984126984,"Up",873100000,-703300000,169800000,-99700000,-99700000,70100000,-16800000,-16100000,-7e+05,53300000,53300000,-23100000,30200000,30200000,30200000,30200000,226400000,226400000,4.45e+08,4.45e+08,297900000,83800000,83800000,1053100000,578100000,1057700000,591700000,110200000,1635800000,2688900000,492900000,382100000,110800000,61900000,554800000,1049200000,325800000,77900000,155100000,1.375e+09,1929800000,758200000,759100000,2688900000,30200000,30200000,2.5e+07,-16700000,-96300000,-57800000,-15100000,-1.4e+07,-9e+06,87300000,-15800000,-19600000,62500000,-9300000,-9300000,-2900000,-12200000,95100000,1111100000,6800000,0.19448,0.08029,0.03459,0.03978,0.01123,0.22517,1.89816,2.54222,0.41322,0.33857,0.33518,9.78812,8.5,0.07623,0.1009,4,0.01785,0.0031,0.29801,9.30284,12.62054
"22","2015_Q3",28.90484375,"Down",887100000,-701400000,185700000,-105400000,-105400000,80300000,-16900000,-16200000,-7e+05,63400000,63400000,3599999.99999999,6.7e+07,6.7e+07,66800000,66800000,236800000,236800000,431700000,431700000,300900000,83500000,83500000,1052900000,581800000,1.058e+09,591800000,115300000,1639800000,2692700000,533400000,396900000,136500000,61800000,595200000,996400000,301200000,74700000,155600000,1297600000,1892800000,798800000,799900000,2692700000,6.7e+07,6.7e+07,24800000,-5e+05,26400000,117700000,-22100000,-23200000,-8900000,-52900000,-22800000,-23200000,-84600000,9900000,9900000,5e+05,10400000,105100000,1058200000,105800000,0.20933,0.09052,0.0753,0.08351,0.02481,1.58383,1.76899,2.3663,0.39299,0.75056,0.7447,9.96742,8.97528,1.18876,0.1,6,0.03506,0.049,0.13323,7.81541,10.22914
"23","2015_Q4",28.68734375,"Down",841600000,-672500000,169100000,-99900000,-99900000,69200000,-17800000,-16200000,-1600000,51400000,51400000,-6900000,44500000,44500000,44500000,44500000,235700000,235700000,407300000,407300000,285900000,82800000,82800000,1011700000,574500000,1051200000,5.91e+08,114300000,1625700000,2637400000,499800000,374600000,125200000,61800000,561600000,1.038e+09,288800000,69600000,150800000,1326800000,1888400000,747900000,7.49e+08,2637400000,44500000,44500000,2.4e+07,7300000,-7100000,68700000,-22500000,-22500000,-8900000,41600000,-74900000,-7.5e+07,-42200000,4e+06,4e+06,-5100000,-1100000,93200000,1099800000,70500000,0.20093,0.08222,0.05288,0.05941,0.01687,1.58427,1.80146,2.52123,0.417,0.50974,0.50339,9.64032,8.56701,0.80756,0.10195,6,0.02498,0.03298,0.2,9.27146,12.48699
"24","2016_Q1",23.6840983606557,"Down",3.27e+08,-200100000,126900000,-88900000,-88900000,3.8e+07,-15700000,-15500000,-2e+05,22300000,5900000,9e+05,6800000,3e+06,3100000,3100000,279800000,279800000,3.47e+08,3.47e+08,2.87e+08,4.7e+07,4.7e+07,960800000,583500000,1050800000,597700000,108500000,1634300000,2595100000,479500000,351600000,127900000,18600000,498100000,1.128e+09,263800000,77500000,152500000,1391800000,1889900000,704200000,705200000,2595100000,3e+06,3e+06,24300000,-15400000,99800000,111700000,-31500000,-46800000,-8900000,47100000,-42600000,-38300000,-19200000,45700000,45700000,-1600000,44100000,62300000,1146600000,129700000,0.38807,0.11621,0.00948000000000001,0.00440000000000001,0.00119,41.83871,1.92893,2.67995,0.44183,0.03617,0.0357999999999999,3.81564,8.21704,1.51342,0.10385,7,0.00567,0.06131,2.87097,13.91332,22.81053
"25","2016_Q2",30.48859375,"Up",8.47e+08,-661500000,185500000,-114200000,-114200000,71300000,-14300000,-14600000,3e+05,5.7e+07,5.7e+07,-1.8e+07,3.9e+07,3.9e+07,39100000,39100000,155400000,155400000,429200000,429200000,323500000,40800000,40800000,948900000,579900000,1095600000,634800000,107700000,1675500000,2624400000,499800000,383400000,116400000,18600000,518400000,1174300000,238200000,55600000,148500000,1412500000,1930900000,692600000,693500000,2624400000,3.9e+07,3.9e+07,24300000,-18700000,-68100000,-23500000,-19600000,-92400000,-10400000,45900000,-39600000,-39600000,-9200000,-125100000,-125100000,7e+05,-124400000,95600000,1192900000,25900000,0.21901,0.08418,0.04616,0.05638,0.0149,0.6624,1.83044,2.78428,0.45454,0.46163,0.45731,10,8.1771,0.30579,0.12279,5,0.0233,0.01219,0.26598,10.85251,14.55119
"26","2016_Q3",30.0340625,"Down",650100000,-477100000,1.73e+08,-92100000,-92100000,80900000,-14800000,-14600000,-2e+05,66100000,65700000,-16400000,49300000,5e+07,5e+07,5e+07,161400000,161400000,431300000,431300000,312100000,46400000,46400000,951200000,581700000,1086900000,6.36e+08,103300000,1668600000,2619800000,513300000,373100000,140200000,18400000,531700000,1126200000,230100000,5.2e+07,150600000,1356300000,1.888e+09,730900000,731800000,2619800000,5e+07,5e+07,24900000,0,3200000,78100000,-1.1e+07,-1.1e+07,-10300000,-48900000,0,0,-59100000,8000000.00000003,8000000.00000003,-2e+06,5999999.99999997,105800000,1144600000,114400000,0.26611,0.12444,0.07691,0.06832,0.01909,2.28800000000001,1.78898,2.57994,0.4369,0.59453,0.59312,7.73008,8.69084,1.36029,0.12247,6,0.02863,0.05431,0.206,9.29301,12.15328
"27","2016_Q4",27.9822222222222,"Down",746700000,-580600000,166100000,-94100000,-94100000,7.2e+07,-15200000,-15100000,-1e+05,56800000,56800000,-1.4e+07,42800000,42300000,42300000,42300000,212200000,212200000,418300000,418300000,325600000,45500000,45500000,1001600000,6.05e+08,1143200000,672900000,100100000,1748200000,2749800000,508200000,383400000,124800000,19300000,527500000,1240200000,225800000,48300000,146700000,1.466e+09,1993500000,755400000,756300000,2749800000,42300000,42300000,25500000,-1500000,11600000,77900000,-27400000,-103100000,-9400000,98100000,-11100000,-11100000,7.6e+07,50800000,50800000,0,50800000,97500000,1259500000,95700000,0.22245,0.09642,0.05665,0.05593,0.01538,2.26241,1.89877,2.63586,0.45803,0.50477,0.5,8.9105,9.01432,1.142,0.11217,6,0.02306,0.04269,0.22222,10.74154,14.54583
"28","2017_Q1",29.3333870967742,"Up",694800000,-542300000,152500000,-90400000,-90400000,62100000,-1.5e+07,-15400000,4e+05,47100000,47100000,-1.2e+07,35100000,33700000,33800000,33800000,225500000,225500000,325600000,325600000,266400000,1.32e+08,45500000,949500000,426300000,1.36e+09,532700000,484600000,1786300000,2735800000,446100000,320900000,125200000,18500000,509900000,1239400000,2.61e+08,63100000,1.91e+08,1500400000,2010300000,724700000,725500000,2735800000,33700000,33700000,25800000,1300000,34300000,95100000,-26200000,-28900000,-10100000,-1900000.00000003,-35500000,-35500000,-4.8e+07,18200000,18200000,-3700000,14500000,87900000,1257900000,1.08e+08,0.21949,0.08938,0.04865,0.04659,0.01235,3.19527,1.86213,2.77092,0.45979,0.40723,0.40238,8.37108,8.73133,1.3012,0.12169,6,0.01956,0.04812,0.29882,11.74516,16.6248
