"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.7211290322581,"Up",802577000,-388202000,414375000,-238814000,-238814000,175561000,117000,117000,175678000,175836000,-66516000,109320000,109320000,109320000,109320000,222831000,195603000,411033000,411033000,675828000,113198000,100134000,1422890000,483935000,12886000,12886000,496821000,1919711000,216016000,84882000,123179000,216016000,39317000,39317000,39317000,255333000,56001000,1589381000,18996000,1664378000,1664378000,1919711000,109320000,13589000,3450000,-27694000,98665000,-37566000,-97000,-37663000,-56281000,3584000,-51843000,9159000,9159000,528000,9687000,189150000,0,190406000,0.51631,0.21875,0.13621,0.06568,0.05695,1.74173,6.58697,0.15341,0,0.18451,0.18391,1.35462,2.80919,0.32137,0.09499,3,0.0972,0.11176,0.51483,-1.17807,-1.26925
"12","2013_Q1",19.5111666666667,"Up",757235000,-366414000,390821000,-232914000,-232914000,157907000,107000,107000,158014000,158151000,-59435000,98716000,98716000,98716000,98716000,79965000,79611000,372159000,372159000,715383000,119149000,97361000,1286656000,516427000,12749000,12749000,529176000,1815832000,204174000,78019000,126155000,204174000,51298000,51298000,51298000,255472000,64402000,1477601000,18357000,1560360000,1560360000,1815832000,98716000,14454000,13132000,-19106000,107196000,-46661000,26863000,-19798000,-210496000,5859000,-203445000,-116047000,-116047000,55000,-115992000,172361000,-1.81898940354586e-12,166029000,0.51612,0.20853,0.13036,0.06326,0.05436,1.68189,6.30176,0.16373,-8.470329472543e-22,0.16649,0.16599,1.27708,2.63156,0.28001,0.355,5,0.19186,0.10302,2.13234,-0.46394,-0.50641
"13","2013_Q2",19.1934375,"Down",806326000,-384446000,421880000,-247334000,-247334000,174546000,413000,413000,174959000,175172000,-66124000,109048000,109048000,109048000,109048000,159657000,159240000,418733000,418733000,700484000,97962000,83883000,1376836000,555734000,12726000,12726000,568460000,1945296000,253097000,75327000,126091000,253097000,51336000,51336000,51336000,304433000,69527000,1556987000,14349000,1640863000,1640863000,1945296000,109048000,15178000,2607000,33411000,160244000,-54246000,-66000,-54312000,-29662000,2821000,-25887000,80045000,80045000,-416000,79629000,189724000,0,235013000,0.52321,0.21647,0.13524,0.06646,0.05606,2.15513,5.43995,0.18553,0,0.1838,0.18318,1.35908,2.76572,0.39612,0.05,5,0.08197,0.13888,0.27201,-0.84152,-0.9147
"14","2013_Q3",18.64796875,"Down",847596000,-404875000,442721000,-250750000,-250750000,191971000,165000,165000,192136000,192379000,-71370000,121009000,121009000,121009000,121009000,123290000,122853000,436452000,436452000,725107000,120469000,105876000,1405318000,575571000,12554000,12554000,588125000,1993443000,236140000,89753000,139290000,236140000,51251000,51251000,51251000,287391000,76313000,1618658000,11081000,1706052000,1706052000,1993443000,121009000,15949000,1660000,-84997000,53621000,-35411000,20000.0000000037,-35391000,-59338000,4297000,-53902000,-35672000,-35672000,-715000,-36387000,207920000,-5.82076609134674e-11,158882000,0.52233,0.22649,0.14277,0.07093,0.0607,1.31298,5.95121,0.16845,0,0.20387,0.20322,1.42799,2.87427,0.26768,0.09997,4,0.10263,0.09041,0.49036,-0.59297,-0.64223
"15","2013_Q4",19.00140625,"Up",858424000,-415029000,443395000,-254958000,-254958000,188437000,94000,94000,188531000,188643000,-69293000,119350000,119350000,119350000,119350000,92631000,92190000,453652000,453652000,755985000,134562000,120747000,1436830000,611051000,12538000,12538000,623589000,2060419000,259572000,105131000,152447000,259572000,51212000,51212000,51212000,310784000,71093000,1663789000,14753000,1749635000,1749635000,2060419000,119350000,16375000,4139000,-38456000,101408000,-51611000,-120000,-51731000,-74219000,-7159000,-80789000,-31112000,-31112000,449000,-30663000,204812000,0,184038000,0.51652,0.21952,0.13903,0.06821,0.05793,1.542,5.53538,0.17763,0,0.20103,0.20044,1.44591,2.94705,0.30999,0.12501,4,0.10749,0.1022,0.62186,-0.45227,-0.49158
"16","2014_Q1",18.6040983606557,"Down",813760000,-402311000,411449000,-254389000,-254389000,157060000,139000,139000,157199000,157274000,-58045000,99229000,99229000,99229000,99229000,58957000,58506000,414331000,414331000,784068000,151105000,107988000,1408461000,654850000,12473000,12473000,667323000,2075784000,239832000,91253000,148579000,239832000,63255000,63255000,63255000,303087000,72815000,1688781000,11101000,1772697000,1772697000,2075784000,99229000,16689000,11114000,-26185000,100847000,-60282000,-76000.0000000002,-60358000,-74237000,267000,-73865000,-33376000,-33376000,-308000,-33684000,173749000,9.31322574615479e-10,145327000,0.50561,0.19301,0.12194,0.05598,0.0478,1.46456,5.8727,0.17098,-2.16840434497101e-19,0.16719,0.1667,1.37112,2.98686,0.24487,0.12508,3,0.09448,0.07916,0.74814,-0.33932,-0.37538
"17","2014_Q2",19.7784126984127,"Up",876501000,-428023000,448478000,-269843000,-269843000,178635000,-6000,-6000,178629000,178845000,-66914000,111931000,111931000,111931000,111931000,89474000,89021000,473181000,473181000,793987000,118850000,100957000,1475492000,677295000,12319000,12319000,689614000,2165106000,301526000,105697000,148569000,301526000,63256000,63256000,63256000,364782000,67539000,1726519000,6266000,1800324000,1800324000,2165106000,111931000,17413000,3766000,10188000,143298000,-31510000,20000,-31490000,-74193000,-7206000,-80849000,30959000,30959000,-444000,30515000,196048000,0,241640000,0.51167,0.2038,0.1277,0.06217,0.0517,2.15883,4.89342,0.20262,0,0.18866,0.18812,1.47737,3.03451,0.40729,0.12505,4,0.09987,0.12966,0.66285,-0.45639,-0.50088
"18","2014_Q3",18.38046875,"Down",949938000,-467271000,482667000,-276016000,-276016000,206651000,-65000,-65000,206586000,206782000,-76268000,130514000,130514000,130514000,130514000,106393000,105940000,502330000,502330000,818771000,128288000,111009000,1555782000,714912000,12279000,12279000,727191000,2282973000,281463000,109488000,166625000,351463000,63386000,63386000,63386000,414849000,73599000,1782873000,11652000,1868124000,1868124000,2282973000,130514000,18040000,3855000,-72778000,79631000,-63330000,-91000,-63421000,-74160000,3502000,280000,16490000,16490000,429000,16919000,224691000,7e+07,164851000,0.5081,0.21754,0.13739,0.06986,0.05717,1.26309,4.42659,0.22207,0.03066,0.21995,0.21929,1.60089,3.14826,0.27782,0.12498,4,0.10226,0.08236,0.56821,-0.16197,-0.17611
"19","2014_Q4",18.1103125,"Down",980814000,-482121000,498693000,-286132000,-286132000,212561000,117000,117000,212678000,212988000,-79674000,133314000,133314000,133314000,133314000,116329000,116329000,522265000,522265000,836379000,144432000,127334000,1619405000,741489000,12101000,12101000,753590000,2372995000,302903000,112579000,182143000,407903000,63519000,63519000,63519000,471422000,59699000,1841994000,-120000,1901573000,1901573000,2372995000,133314000,18418000,4195000,-45914000,110013000,-44553000,499000,-44054000,-74193000,-15957000,-54713000,11246000,11246000,-857000,10389000,230979000,1.05e+08,220186000,0.50845,0.21672,0.13592,0.07011,0.05618,1.65163,3.97007,0.24791,0.04425,0.22474,0.22415,1.65346,3.20567,0.37119,0.12507,4,0.10024,0.10637,0.55653,-0.04905,-0.0533
"20","2015_Q1",17.5724590163934,"Down",926254000,-458690000,467564000,-278785000,-278785000,188779000,-202000,-202000,188577000,188819000,-70428000,118391000,118391000,118391000,118391000,114496000,114496000,462077000,462077000,869224000,137468000,115703000,1583265000,763889000,11948000,11948000,775837000,2359102000,285353000,103909000,174002000,375353000,68532000,68532000,68532000,443885000,36703000,1886350000,-7836000,1915217000,1915217000,2359102000,118391000,18801000,5405000,23853000,166450000,-44262000,20999.9999999999,-49816000,-74035000,-25584000,-114450000,2184000,2184000,-4017000,-1833000,207580000,9e+07,257599000,0.50479,0.20381,0.12782,0.06182,0.05018,2.17583,4.21807,0.23177,0.03815,0.19996,0.19944,1.56444,3.2348,0.43508,0.12505,5,0.09279,0.12422,0.62534,-0.11801,-0.12976
"21","2015_Q2",17.2333333333333,"Down",953317000,-469267000,484050000,-280387000,-280387000,203663000,-259000,-259000,203404000,203512000,-75906000,127606000,127606000,127606000,127606000,120790000,120790000,521094000,521094000,867922000,119141000,97563000,1628947000,783151000,11839000,11839000,794990000,2423937000,367363000,132234000,168943000,492363000,68761000,68761000,68761000,561124000,2940000,1887159000,-27286000,1862813000,1862813000,2423937000,127606000,19544000,4360000,28595000,180105000,-42259000,-23000,-42282000,-82846000,-79785000,-127180000,10643000,10643000,-4349000,6294000,223207000,1.25e+08,285449000,0.50775,0.21364,0.13385,0.0685,0.05264,2.23696,3.30843,0.30122,0.05157,0.21611,0.2156,1.61449,3.15477,0.48342,0.1403,5,0.10233,0.1388,0.64923,0.01886,0.02067
"22","2015_Q3",16.34796875,"Down",997827000,-495740000,502087000,-276644000,-276644000,225443000,-734000,-734000,224709000,225099000,-84742000,140357000,140357000,140357000,140357000,121166000,121166000,537650000,537650000,876697000,127860000,107207000,1663373000,805854000,11705000,11705000,817559000,2480932000,317001000,133472000,182397000,396576000,69947000,69947000,320372000,716948000,5836000,1781645000,-23497000,1763984000,1763984000,2480932000,140357000,20014000,4642000,-83964000,81049000,-41649000,3000.00000000012,-41646000,-81890000,-163729000,-39796000,-392999.999999998,-392999.999999998,769000,376000,245457000,3.3e+08,204586000,0.50318,0.22593,0.14066,0.07957,0.05657,1.45761,4.19434,0.40644,0.13301,0.24102,0.24048,1.71344,3.02906,0.35131,0.14062,3,0.10271,0.09454,0.58344,0.8508,0.92633
"23","2015_Q4",16.36078125,"Up",995250000,-493025000,502225000,-282378000,-282378000,219847000,-804000,-804000,219043000,219204000,-82710000,136494000,136494000,136494000,136494000,111775000,111775000,537055000,537055000,883207000,140953000,117687000,1672990000,810652000,11635000,11635000,822287000,2495277000,326770000,131979000,194791000,368280000,70016000,70016000,343506000,711786000,3928000,1819794000,-40231000,1783491000,1783491000,2495277000,136494000,21337000,2814000,-19814000,140831000,-28858000,-62000,-28920000,-81247000,-20687000,-116452000,-4541000,-4541000,-4850000,-9391000,241184000,3.15e+08,275222000,0.50462,0.2209,0.13715,0.07653,0.0547,2.01637,4.54271,0.3991,0.12624,0.2354,0.23495,1.71643,3.07586,0.47466,0.14012,5,0.10041,0.12692,0.59524,0.84261,0.92439
"24","2016_Q1",18.1993442622951,"Up",922806000,-462268000,460538000,-282091000,-282091000,178447000,-903000,-903000,177544000,178285000,-66342000,111943000,111943000,111943000,111943000,129019000,129019000,468375000,468375000,913263000,154119000,131561000,1664776000,818889000,48797000,48797000,867686000,2532462000,311116000,125973000,185143000,373166000,55057000,55057000,358007000,731173000,4920000,1842772000,-46403000,1801289000,1801289000,2532462000,111943000,25705000,9684000,983000.000000007,148315000,-32534000,-11718000,-67752000,-81117000,-9599000,-57472000,23091000,23091000,-5770000,17321000,204152000,3.65e+08,238943000,0.49906,0.19337,0.12131,0.06215,0.0442,2.13451,4.46122,0.40592,0.14413,0.19335,0.19304,1.5939,3.11125,0.41271,0.14011,5,0.08691,0.10757,0.72463,1.15591,1.32242
"25","2016_Q2",19.25578125,"Up",986700000,-495200000,491500000,-290200000,-290200000,201300000,-1300000,-1300000,2e+08,199900000,-73700000,126200000,126200000,126200000,126200000,150552000,150552000,533485000,533485000,965054000,118089000,118089000,1767180000,826736000,48865000,48865000,875601000,2642781000,394063000,158496000,179351000,401673000,56842000,56842000,419232000,820905000,27605000,1826958000,-32687000,1821876000,1821876000,2642781000,126200000,23400000,5e+06,11900000,166500000,-28800000,-1e+05,-28900000,-86500000,-3.9e+07,-120500000,17100000,17100000,4500000,21600000,224700000,3.7e+08,281500000,0.49813,0.20401,0.1279,0.06927,0.04775,2.23059,4.39955,0.45058,0.14,0.21848,0.21825,1.70823,3.15413,0.48735,0.14975,5,0.09459,0.12518,0.68542,0.97663,1.09015
"26","2016_Q3",18.0640625,"Down",1014300000,-512700000,501600000,-292600000,-292600000,2.09e+08,-1400000,-1400000,207600000,207800000,-76300000,131500000,131500000,131500000,131500000,155458000,155458000,537341000,537341000,985085000,113022000,113022000,1790906000,859490000,48740000,48740000,908230000,2699136000,343572000,158698000,176556000,411182000,57402000,57402000,419792000,830974000,30591000,1871813000,-34242000,1868162000,1868162000,2699136000,131500000,24800000,2800000,-72100000,8.7e+07,-56900000,-100000.000000002,-5.7e+07,-86700000,1900000,-24800000,5200000,5200000,-4e+05,4800000,233800000,4.3e+08,181100000,0.49453,0.20605,0.12965,0.07039,0.04872,1.37719,4.35551,0.44481,0.15931,0.22757,0.22741,1.75534,3.23302,0.31341,0.15004,4,0.09263,0.07688,0.65932,1.17426,1.3136
"27","2016_Q4",18.7720634920635,"Up",1013100000,-513300000,499800000,-297100000,-297100000,202700000,-1700000,-1700000,2.01e+08,201200000,-74300000,126900000,126900000,126900000,126900000,146983000,146983000,543744000,543744000,966931000,120004000,120004000,1777662000,904201000,48605000,48605000,952806000,2730468000,318455000,117765000,189012000,331065000,57715000,57715000,490105000,821170000,34393000,1912048000,-37143000,1909298000,1909298000,2730468000,126900000,26700000,4100000,-24300000,133400000,-71700000,0,-71700000,-86700000,2600000,-69100000,-7400000,-7400000,-1e+06,-8400000,229400000,4.45e+08,207700000,0.49334,0.20008,0.12526,0.06646,0.04648,1.63672,5.36953,0.43009,0.16298,0.21955,0.21944,1.7528,3.30334,0.35935,0.15,5,0.08856,0.08611,0.68322,1.29912,1.47024
"28","2017_Q1",21.5758064516129,"Up",947900000,-4.76e+08,471900000,-289600000,-289600000,182300000,-1700000,-1700000,180600000,180800000,-6.6e+07,114800000,114800000,114800000,114800000,112700000,112700000,499700000,499700000,9.93e+08,115400000,102500000,1720800000,899700000,48400000,48400000,948100000,2668900000,265200000,108800000,156400000,275700000,80600000,80600000,460100000,735800000,40300000,1940100000,-47300000,1933100000,1933100000,2668900000,114800000,29100000,25900000,-36800000,1.33e+08,-25600000,-4900000,-30500000,-86700000,4300000,-132400000,-29900000,-29900000,-4400000,-34300000,211400000,3.9e+08,2.15e+08,0.49784,0.19232,0.12111,0.05939,0.04301,1.87282,6.24157,0.38063,0.14613,0.19856,0.19845,1.63954,3.34359,0.37187,0.14996,5,0.08383,0.08945,0.75523,1.31173,1.52112
"29","2017_Q2",19.4614285714286,"Down",1047700000,-529700000,5.18e+08,-305900000,-305900000,212100000,-1600000,-1600000,210500000,210900000,-76700000,134200000,134200000,134200000,134200000,134300000,134300000,574700000,574700000,1007400000,94300000,94300000,1810700000,890700000,8.5e+07,8.5e+07,975700000,2786400000,358700000,129700000,163500000,369600000,8.1e+07,8.1e+07,435100000,804700000,44400000,1981700000,-44400000,1981700000,1981700000,2786400000,134200000,30700000,3400000,42100000,210400000,-19100000,1900000,-75100000,-92600000,2900000,-114700000,20600000,20600000,1e+06,21600000,242800000,3.65e+08,342500000,0.49442,0.20244,0.12809,0.06772,0.04816,2.55216,4.89908,0.40607,0.13099,0.23199,0.23181,1.81111,3.42567,0.59206,0.16007,6,0.09342,0.14108,0.69001,0.95016,1.08769
"30","2017_Q3",18.8228571428571,"Down",1121500000,-5.63e+08,558500000,-321600000,-321600000,236900000,-2100000,-2100000,234800000,235400000,-86500000,148900000,148900000,148900000,148900000,115100000,115100000,613500000,613500000,1044300000,1e+08,1e+08,1872900000,895200000,83300000,83300000,978500000,2851400000,333500000,141200000,180400000,342300000,81400000,81400000,517600000,859900000,4100000,2023700000,-36300000,1991500000,1991500000,2851400000,148900000,31900000,3200000,-101100000,82900000,-33700000,-1e+05,-34600000,-92500000,-56300000,-68800000,-20500000,-20500000,1300000,-19200000,268800000,4.45e+08,220500000,0.49799,0.21123,0.13277,0.07477,0.05222,1.48086,5.47152,0.43179,0.15606,0.25792,0.2578,1.94263,3.44962,0.38194,0.16023,7,0.09587,0.08757,0.62122,1.22731,1.39257
"31","2017_Q4",21.7901587301587,"Up",1132800000,-576900000,555900000,-327500000,-327500000,228400000,-2500000,-2500000,225900000,2.26e+08,-82900000,143100000,143100000,143100000,143100000,133400000,133400000,632100000,632100000,1.047e+09,117700000,117700000,1930200000,889300000,82100000,82100000,971400000,2901600000,352400000,147100000,198700000,360400000,82900000,82900000,514900000,875300000,4200000,2050200000,-28100000,2026300000,2026300000,2901600000,143100000,32500000,4800000,-17800000,162600000,-23700000,-4800000,-28500000,-9.2e+07,-25700000,-117700000,16400000,16400000,1900000,18300000,260900000,4.4e+08,302300000,0.49073,0.20162,0.12632,0.07062,0.04932,2.11251,5.35572,0.43197,0.15164,0.24891,0.2488,1.97038,3.52453,0.52582,0.16002,7,0.09223,0.11859,0.64291,1.17516,1.34238
"32","2018_Q1",24.3693442622951,"Up",1088500000,-557300000,531200000,-327800000,-327800000,203400000,-2500000,-2500000,200900000,200800000,-48400000,152400000,152400000,152400000,152400000,116900000,116900000,607800000,607800000,1092900000,118100000,118100000,1935700000,893600000,81200000,81200000,974800000,2910500000,3.48e+08,147500000,1.94e+08,3.51e+08,50600000,50600000,462600000,813600000,11400000,2110600000,-25100000,2096900000,2096900000,2910500000,152400000,32300000,-2.9e+07,-26400000,129300000,-3.6e+07,-5100000,-41100000,-9.2e+07,6e+06,-1.06e+08,-17800000,-17800000,1300000,-16500000,235700000,4.15e+08,221700000,0.48801,0.18686,0.14001,0.07268,0.05236,1.45472,5.51481,0.388,0.14259,0.26506,0.265,1.89318,3.64704,0.38559,0.16001,6,0.09538,0.08652,0.60367,1.26474,1.46559
