"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",46.4704838709677,"Up",769700000,-410800000,-48500000,-341700000,358900000,41400000,41400000,400300000,400300000,-1.53e+08,247300000,247300000,247300000,247300000,2417200000,1.235e+09,332200000,332200000,2749400000,5.61e+08,290400000,804800000,665700000,139100000,1656200000,4405600000,3.86e+08,90700000,20900000,274400000,3.86e+08,546700000,594900000,50900000,5.44e+08,3143600000,120400000,3858900000,3858900000,4405600000,247300000,20700000,-3900000,102400000,366500000,-19100000,-7100000,-1300000,-27500000,-86600000,7200000,3100000,-76300000,262700000,262700000,262700000,379600000,0,615900000,0.46629,0.32129,0.06409,0.05613,2.4905,7.1228,0.14167,0,0.97747,0.95006,3.04229,15.25257,2.43439,0.34229,0.08307,0.15322,0.35018,-6.36776,-6.73502
"12","2013_Q1",52.8613333333333,"Up",787300000,-426100000,-57600000,-347200000,361200000,16900000,16900000,378100000,378100000,-146100000,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2155200000,879100000,353900000,353900000,2509100000,5.61e+08,304700000,8.28e+08,665700000,162300000,1693700000,4202800000,2.02e+08,89700000,21500000,90800000,2.02e+08,356700000,682400000,51400000,6.31e+08,3031800000,131900000,3846100000,3846100000,4202800000,2.32e+08,2.1e+07,1.4e+07,-225200000,41800000,-21200000,-82500000,-4200000,-107900000,-343700000,34300000,19600000,-289800000,-355900000,-355900000,-355900000,382200000,1.61558713389263e-27,281900000,0.45878,0.29468,0.06032,0.0552,1.21509,12.42129,0.09274,-9.4039548065783e-38,0.91303,0.88516,3.09839,15.13617,1.10941,1.35262,0.1439,0.07046,1.48147,-5.63893,-5.96678
"13","2013_Q2",54.9559375,"Up",815700000,-443100000,-58100000,-363500000,372900000,18300000,18300000,391200000,391200000,-1.49e+08,242200000,242200000,242200000,242200000,2604900000,1285900000,364600000,364600000,2969500000,5.63e+08,302200000,775900000,665700000,110200000,1641100000,4610600000,354100000,97900000,120400000,135800000,354100000,503600000,7.9e+08,51900000,738100000,3.175e+09,1.42e+08,4.107e+09,4.107e+09,4610600000,241900000,21500000,7800000,188200000,459400000,-22800000,-8700000,-1e+05,-31600000,-98700000,70200000,7500000,-2.1e+07,406800000,406800000,406800000,394400000,0,708800000,0.45715,0.29692,0.05897,0.05253,2.92651,8.38605,0.12262,0,0.94278,0.91431,3.17517,15.98677,2.75905,0.3842,0.08009,0.16652,0.40751,-6.60472,-6.98552
"14","2013_Q3",54.77140625,"Down",854300000,-455500000,-54200000,-379400000,398500000,1400000,1400000,399900000,399900000,-152400000,247500000,247500000,247500000,247500000,2778700000,1455900000,366500000,366500000,3145200000,558700000,3.19e+08,7.76e+08,665700000,110300000,1653700000,4798900000,343800000,114400000,17600000,211800000,343800000,488400000,848300000,5.2e+07,796300000,3323800000,138400000,4310500000,4310500000,4798900000,247800000,21900000,5800000,-7e+06,268500000,-18700000,-9700000.00000001,2800000,-25600000,-9.9e+07,20700000,5400000,-72900000,1.7e+08,1.7e+08,1.7e+08,420400000,0,547100000,0.46646,0.28971,0.05742,0.05157,2.21051,9.14834,0.1133,1.50463276905253e-36,0.95856,0.9294,3.30868,16.69442,2.1189,0.38342,0.07778,0.1228,0.4,-6.60966,-6.9729
"15","2013_Q4",58.20875,"Up",884400000,-458500000,-47600000,-388800000,425900000,11600000,11600000,437500000,437500000,-167200000,270300000,270300000,270300000,270300000,3126100000,1693300000,365600000,365600000,3491700000,567500000,314100000,753500000,665700000,87800000,1635100000,5126800000,453300000,97300000,43300000,312700000,453300000,586200000,8.77e+08,52200000,824800000,3494700000,168900000,4540600000,4540600000,5126800000,270300000,22100000,23200000,114800000,430400000,-33100000,-47900000,-4e+05,-81400000,-99400000,-3800000,-8400000,-111600000,237400000,237400000,237400000,4.48e+08,0,696900000,0.48157,0.30563,0.05953,0.05272,2.57825,7.70285,0.1291,0,1.04484,1.01426,3.41863,17.5516,2.69385,0.38423,0.07911,0.14912,0.36774,-6.9779,-7.33999
"16","2014_Q1",60.5793442622951,"Up",929800000,-489700000,-62900000,-401700000,440100000,31700000,31700000,471800000,471800000,-184100000,287700000,287700000,287700000,287700000,3009900000,1.398e+09,398800000,398800000,3408700000,572900000,313600000,737900000,665700000,72200000,1624400000,5033100000,2.15e+08,103900000,38700000,72400000.0000001,2.15e+08,2.15e+08,9.47e+08,52400000,894600000,3682800000,188300000,4818100000,4818100000,5033100000,287700000,25100000,25700000,-263600000,74899999.9999999,-31200000,-253900000,-13800000,-298900000,-99600000,1.7e+07,11300000,-71300000,-295300000,-295300000,-295300000,465200000,-2.06795153138257e-25,354500000,0.47333,0.30942,0.05971,0.05716,1.23219,15.85442,0.04462,2.40741243048404e-35,1.1091,1.07551,3.58443,18.57402,1.36662,0.38396,0.08038,0.07358,0.34619,-6.47012,-6.83913
"17","2014_Q2",61.308253968254,"Up",954600000,-505500000,-5.8e+07,-420400000,449100000,42100000,42100000,491200000,491200000,-186900000,304300000,304300000,304300000,304300000,3374500000,1739300000,419700000,419700000,3794200000,571800000,3.49e+08,747900000,665700000,82200000,1668700000,5462900000,425700000,119400000,173200000,133100000,425700000,425700000,982100000,52600000,929500000,3871100000,1.84e+08,5037200000,5037200000,5462900000,304300000,27100000,-34200000,189900000,487100000,-25400000,-1e+06,-3400000,-29800000,-115800000,-9100000,8900000,-1.16e+08,341300000,341300000,341300000,476200000,0,827600000,0.47046,0.31877,0.06041,0.0557,2.71968,8.91285,0.08451,0,1.16859,1.13291,3.6659,19.34409,3.17819,0.4447,0.0834,0.1643,0.38055,-7.08631,-7.51392
"18","2014_Q3",60.61890625,"Down",984300000,-511200000,-50600000,-432600000,473100000,26100000,26100000,499200000,499200000,-193400000,305800000,305800000,305800000,305800000,3.496e+09,1704300000,4.26e+08,4.26e+08,3.922e+09,576200000,411300000,759500000,665700000,93800000,1.747e+09,5.669e+09,395400000,121200000,30100000,244100000,395400000,395400000,1009700000,52600000,957100000,4.061e+09,202900000,5273600000,5273600000,5.669e+09,305800000,2.8e+07,-36300000,-59000000.0000001,238500000,-34300000,-119200000,-4500000,-1.58e+08,-115900000,-8300000,8700000,-115500000,-3.5e+07,-3.5e+07,-3.5e+07,501100000,0,601200000,0.48065,0.31068,0.05799,0.05394,1.96599,9.91907,0.07498,-1.92592994438724e-34,1.173,1.13807,3.7756,20.22862,2.3061,0.44457,0.07996,0.114,0.37901,-6.97665,-7.38956
"19","2014_Q4",61.91390625,"Up",1020800000,-532100000,-48600000,-455200000,488700000,5200000,5200000,493900000,493900000,-190300000,303600000,303600000,303600000,303600000,3581200000,1644500000,423600000,423600000,4004800000,572300000,4.18e+08,772900000,665700000,107200000,1763200000,5.768e+09,540500000,150600000,22600000,367300000,540500000,540500000,812400000,52100000,760300000,4249100000,1.66e+08,5227500000,5227500000,5.768e+09,303600000,28300000,22700000,135900000,490500000,-22900000,-201800000,-3200000,-227900000,-115500000,-213700000,6800000,-322400000,-59800000,-59800000,-59800000,5.17e+08,0,820300000,0.47874,0.29741,0.05808,0.05264,2.70191,7.40944,0.1034,0,1.16904,1.13538,3.93069,20.12899,3.15864,0.44474,0.08017,0.15692,0.38043,-6.92689,-7.32801
"20","2015_Q1",62.907868852459,"Up",1022400000,-542400000,-62700000,-451400000,4.8e+08,38800000,41300000,518800000,518800000,-202900000,315900000,315900000,315900000,315900000,3390100000,1506100000,442800000,442800000,3832900000,586400000,408300000,816800000,665700000,151100000,1811500000,5644400000,249200000,143400000,23600000,82200000,249200000,249200000,808700000,52200000,756500000,4450100000,136400000,5395200000,5395200000,5644400000,315900000,28300000,120800000,-337200000,127800000,-43600000,16700000,-8e+05,-27700000,-114900000,-99200000,-24400000,-238500000,-138400000,-138400000,-138400000,508300000,0,330400000,0.46948,0.30898,0.05855,0.05597,1.0459,15.38082,0.04619,0,1.22632,1.19253,3.96894,20.9441,1.28261,0.44604,0.07985,0.06124,0.36372,-6.66949,-7.06271
"21","2015_Q2",63.535873015873,"Up",1.027e+09,-549200000,-63600000,-456500000,477800000,26800000,27900000,504600000,504600000,-195100000,309500000,309500000,309500000,309500000,3699800000,1810400000,447300000,447300000,4147100000,5.99e+08,419500000,796400000,665700000,130700000,1814900000,5.962e+09,9.6e+08,137900000,156300000,141300000,9.6e+08,9.6e+08,764100000,52100000,7.12e+08,4099700000,138200000,5.002e+09,5.002e+09,5.962e+09,309500000,29100000,9300000,195900000,543800000,-41300000,7200000,0,-34100000,-135400000,-81100000,11100000,-205400000,304300000,304300000,304300000,506900000,0,856600000,0.46524,0.30136,0.06188,0.05191,2.76769,4.3199,0.19192,0,1.19637,1.16485,3.96985,19.33514,3.31117,0.52339,0.08894,0.17125,0.43748,-7.29888,-7.74341
"22","2015_Q3",58.7784375,"Down",1072400000,-564600000,-54100000,-478300000,507800000,3.3e+07,32800000,540800000,540800000,-207600000,333200000,333200000,333200000,333200000,3125900000,1269200000,449400000,449400000,3575300000,607300000,414400000,818500000,665700000,152800000,1840200000,5415500000,448400000,168500000,1.2e+07,267900000,448400000,448400000,699400000,51500000,647900000,4141900000,125800000,4967100000,4967100000,5415500000,333200000,32200000,12200000,-34700000.0000001,342900000,-38600000,4.2e+07,-3200000,199999.999999993,-659100000,-230700000,5500000,-884300000,-541200000,-541200000,-541200000,5.4e+08,4.2351647362715e-22,674300000,0.47352,0.3107,0.06708,0.06153,2.02371,7.97346,0.09027,-4.93038065763132e-32,1.29298,1.25926,4.16143,19.27474,2.61661,2.55763,0.19977,0.13575,1.97809,-5.7887,-6.15577
"23","2015_Q4",58.64640625,"Down",1.049e+09,-590700000,-53500000,-504100000,458300000,3e+05,2e+06,458600000,458600000,-181500000,277100000,277100000,277100000,277100000,2969500000,1164400000,431400000,431400000,3400900000,6.03e+08,395500000,867200000,665700000,201500000,1865700000,5266600000,5.93e+08,172800000,14700000,405500000,5.93e+08,5.93e+08,703500000,50300000,653200000,3881200000,88900000,4673600000,4673600000,5266600000,277100000,33100000,33800000,162900000,506900000,-34700000,23200000,-3200000,-14700000,-132700000,-447700000,-16600000,-5.97e+08,-104800000,-104800000,-104800000,491400000,0,801100000,0.43689,0.26416,0.05929,0.05261,2.89101,5.73508,0.12688,0,1.09656,1.07154,4.15117,18.49466,3.17016,0.52513,0.08768,0.17141,0.47889,-6.04294,-6.47938
"24","2016_Q1",55.9095081967213,"Down",1052200000,-597200000,-67700000,-497600000,4.55e+08,43400000,44100000,498400000,498400000,-195200000,303200000,303200000,303200000,303200000,1172300000,1172300000,4.46e+08,4.46e+08,1.676e+09,607100000,1961200000,862600000,665700000,196900000,3430900000,5106900000,2.76e+08,170600000,21200000,84199999.9999999,2.76e+08,344900000,704700000,50100000,654600000,3970700000,86600000,4.762e+09,4.762e+09,5106900000,303200000,31900000,31300000,-229500000,136900000,-36700000,197300000,-3e+06,157600000,-131800000,-154800000,0,-286600000,7899999.99999994,7899999.99999994,7900000,486900000,6.7762635780344e-21,415900000,0.43243,0.28816,0.06367,0.05937,1.3717,6.07246,0.07243,7.88860905221012e-31,1.21621,1.19042,4.22062,19.10148,1.66827,0.52868,0.09005,0.08609,0.4347,-2.40768,-2.57648
"25","2016_Q2",60.40890625,"Up",994100000,-583200000,-64500000,-486500000,410900000,85100000,85100000,4.96e+08,4.96e+08,-182700000,313300000,313300000,304100000,304100000,1322900000,1322900000,428100000,428100000,3577600000,612700000,1.108e+09,905600000,665700000,239900000,2626300000,6203900000,356505209.47347,186742384.381203,44227759.3543032,146723311.704718,356505517.758491,6.15e+08,712900000,49600000,663300000,4021800000,29100000,4763800000,5588900000,6203900000,313300000,32200000,-22400000,-250600000,72500000,-35200000,173900000,69100000,207800000,-135900000,-185700000,270800000,-50800000,229500000,229500000,228100000,443100000,0,3.4e+08,0.41334,0.3059,0.05441,0.04902,1.11805,4.78007077748647,0.11004,0,1.23267,1.20915,4.02959,19.31009,1.37819,0.55087,0.07092,0.0548,0.44689,-2.98556,-3.21952
"26","2016_Q3",56.96328125,"Down",1044700000,-5.95e+08,-55700000,-505500000,449700000,41500000,41700000,491200000,3.25e+08,-113800000,211200000,211200000,203300000,203300000,1275200000,1275200000,427400000,427400000,3845800000,620800000,1122200000,992900000,665700000,327200000,2735900000,6581700000,710394838.889293,206217420.808424,67675107.7108348,449161255.318694,710395354.88955,610400000,753400000,49700000,703700000,4081200000,26300000,4860900000,5971300000,6581700000,211200000,33800000,28800000,-360500000,-86700000,-4.4e+07,-84700000,82900000,-45800000,-135700000,1099999.99999997,269200000,134600000,2100000.00000003,2100000.00000003,-17800000,483500000,0,192800000,0.43046,0.1946,0.03405,0.03089,0.94835,3.07976921481402,0.10222,1.26217744835362e-29,0.82341,0.80643,4.23127,19.68773,0.78088,0.54962,0.05151,0.02929,0.66749,-2.63744,-2.83567
"27","2016_Q4",58.3725396825397,"Up",1092900000,-617200000,-6e+07,-523200000,475700000,88300000,88300000,5.64e+08,5.64e+08,-201300000,362700000,362700000,327800000,327800000,1.401e+09,1.401e+09,446900000,446900000,3981900000,615600000,1214900000,911100000,665700000,245400000,2741600000,6723500000,723400000,2.05e+08,40400000,4.78e+08,723400000,775900000,703500000,4.9e+07,654500000,4096900000,33300000,4833700000,5947600000,6723500000,362700000,3.4e+07,31100000,-145400000,282400000,-33300000,-1e+05,-18300000,-51700000,-1.35e+08,-252300000,258200000,-129100000,101600000,101600000,104700000,509700000,0,532300000,0.43526,0.29994,0.05511,0.04875,1.62386,5.50442,0.13046,0,1.33469,1.31068,4.44992,19.68119,2.16735,0.54967,0.07713,0.08872,0.41184,-2.74868,-2.94513
"28","2017_Q1",58.8440322580645,"Up",1153100000,-689800000,-118100000,-671700000,463300000,12200000,1.4e+07,475500000,575500000,-208700000,366800000,366800000,379800000,379800000,1204900000,1204900000,455100000,455100000,3340500000,615100000,1257500000,1011900000,665700000,346200000,2884500000,6.225e+09,312700000,180800000,39300000,92600000,312700000,529200000,703500000,4.9e+07,654500000,4293600000,11500000,5008600000,5695800000,6.225e+09,366800000,33400000,40100000,-5.38e+08,-97699999.9999999,-35800000,129700000,-9.8e+07,-4100000,-134200000,-113700000,116800000,-131100000,-232900000,-232900000,-216800000,496700000,1.73472347597681e-18,131600000,0.40179,0.32937,0.06668,0.06101,0.3465,10.68276,0.09291,2.01948391736579e-28,1.56425,1.53455,4.74918,20.6285,0.54201,0.55272,0.08694,0.02226,0.35334,-2.42581,-2.60069
"29","2017_Q2",59.8249206349206,"Up",1132600000,-660900000,-82300000,-578600000,471700000,1.15e+08,113700000,586700000,636700000,-236300000,400400000,400400000,385900000,385900000,1580800000,1580800000,482500000,482500000,3410900000,625200000,1299500000,9.4e+08,665700000,274300000,2864700000,6275600000,612200000,185800000,261400000,1.65e+08,612200000,816300000,702900000,48300000,654600000,4302700000,-5400000,5000200000,5459300000,6275600000,400400000,35600000,-25200000,-222300000,188500000,-46900000,123100000,-46800000,29400000,-140900000,-264200000,551100000,1.46e+08,363900000,363900000,360500000,507300000,0,474400000,0.41648,0.34072,0.07069,0.06149,1.22933,5.57155,0.14952,0,1.59397,1.57189,4.67823,20.65345,1.95952,0.58199,0.09302,0.08377,0.36512,-3.1161,-3.35128
"30","2017_Q3",69.704126984127,"Up",1.186e+09,-678400000,-89800000,-588600000,507600000,1.12e+08,110800000,619600000,619600000,-229600000,3.9e+08,3.9e+08,373900000,373900000,1542200000,1542200000,488700000,488700000,3634900000,624300000,1333700000,939700000,665700000,2.74e+08,2897700000,6532600000,508100000,185800000,1.6e+07,306300000,508100000,736400000,702600000,48100000,654500000,4477600000,-11600000,5168600000,5796200000,6532600000,3.9e+08,36300000,-1.55e+08,-320600000,-49300000.0000001,-35700000,148200000,-4300000.00000001,108200000,-139500000,-108300000,166600000,-81200000,-22299999.9999999,-22299999.9999999,-15100000.0000001,543900000,0,417200000,0.42799,0.31526,0.06451,0.05724,1.11581,7.15391,0.12705,0,1.55922,1.53868,4.94579,21.55379,1.73978,0.58173,0.08522,0.06925,0.37309,-2.83545,-3.03822
"31","2017_Q4",82.7207936507937,"Up",1238700000,-690200000,-81200000,-6.09e+08,548500000,67300000,66400000,615800000,615800000,-211600000,404200000,404200000,390900000,390900000,1869400000,1869400000,507900000,507900000,4459400000,6.35e+08,1359300000,925900000,665700000,260200000,2920200000,7379600000,664100000,193500000,16800000,453800000,664100000,897800000,800300000,48400000,751900000,4728200000,-5e+05,5.528e+09,6481800000,7379600000,404200000,3.5e+07,19800000,-245400000,213600000,-46500000,-14500000,-1200000,-62200000,-140400000,58600000,287600000,205800000,357200000,357200000,360300000,583500000,0,503200000,0.4428,0.31557,0.06031,0.05297,1.28729,6.71495,0.13851,0,1.62672,1.59943,5.15481,23.00458,2.09405,0.58427,0.07912,0.07493,0.35917,-3.20377,-3.4082
