"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",28.0567741935484,"Up",650400000,-27700000,622700000,-5.32e+08,-495500000,-36500000,90700000,-10700000,-10700000,8e+07,-3700000,76300000,-14600000,61700000,61700000,61700000,61700000,305200000,305200000,2019700000,2019700000,2324900000,1.01e+08,2583400000,722700000,1373900000,240900000,245900000,2684400000,5009300000,2056400000,2056400000,88070421.7611462,33900000,33900000,2090300000,7.25e+08,557800000,557800000,1282800000,3373100000,1142300000,124400000,1017900000,519700000,-25800000,1636200000,1636200000,5009300000,61700000,61700000,36500000,76400000,2200000,74200000,-58200000,373700000,-405900000,-2.6e+07,116400000,-9500000,-60800000,-60800000,-1800000,-72100000,-41100000,2e+06,12300000,12300000,1500000,-25300000,1.9e+07,1.9e+07,4100000,23100000,127200000,7.25e+08,74100000,0.95741,0.13945,0.09486,0.03771,0.01232,1.20097,1.11223,2.06155,0.14473,0.50122,0.50122,5.28351,13.29163,0.60195,0.33387,0.03522,0.02539,0.66613,3.30031,4.62845
"12","2013_Q1",29.8176666666667,"Up",673200000,-37200000,6.36e+08,-577300000,-540600000,-36700000,58700000,-10900000,-10900000,47800000,-2400000,45400000,-11900000,33500000,33500000,33500000,33500000,302100000,302100000,2127400000,2127400000,2429500000,105400000,2817400000,809600000,1472700000,251800000,283300000,2922800000,5352300000,2.197e+09,2.197e+09,1.29e+08,36900000,36900000,2362900000,7.25e+08,605800000,605800000,1330800000,3693700000,1.181e+09,125600000,1055400000,510400000,-32800000,1658600000,1658600000,5352300000,33500000,33500000,36700000,54300000,2e+06,52300000,39100000,-63599999.9999999,88800000,13900000,163600000,-14900000,-206200000,-206200000,-6700000,-227800000,-84700000,1.29e+08,19900000,21400000,-3200000,6.1e+07,-3200000,-3200000,100000.000000001,-3100000,95400000,8.54e+08,131500000,0.94474,0.0872,0.04976,0.0202,0.00626,3.92537,1.02819,2.227,0.15956,0.26821,0.26821,5.38991,13.27942,1.05284,0.67814,0.0379,0.04217,2.52836,5.78512,9.40204
"13","2013_Q2",34.44796875,"Up",674100000,-58100000,6.16e+08,-558100000,-517700000,-40400000,57900000,-11200000,-11200000,46700000,-4400000,42300000,-1800000,40500000,40500000,40500000,40500000,2.24e+08,2.24e+08,2077400000,2077400000,2301400000,108500000,2815200000,768800000,1468300000,258500000,319600000,2923700000,5225100000,2138100000,2138100000,5e+07,2.7e+07,2.7e+07,2215100000,7.25e+08,620300000,620300000,1345300000,3560400000,1213300000,126800000,1086500000,506400000,-5.5e+07,1664700000,1664700000,5225100000,40500000,40500000,40400000,65100000,9e+05,64200000,-94800000,22600000,-35600000,-81800000,51200000,-9300000,-18600000,-18600000,-4900000,-32800000,-44200000,-7.9e+07,2.7e+07,2.7e+07,4e+06,-92200000,-73800000,-73800000,-4300000,-78100000,98300000,7.75e+08,-4e+06,0.91381,0.08589,0.06008,0.02433,0.00775,-0.09877,1.03896,2.13876,0.14832,0.32117,0.32117,5.34576,13.20143,-0.03172,0.35052,0.02768,-0.00130999999999999,1.09136,5.60529,9.51641
"14","2013_Q3",35.22875,"Up",779500000,-76600000,702900000,-596100000,-553300000,-42800000,106800000,-11900000,-11900000,94900000,2500000,97400000,-3900000,93500000,93500000,93500000,93500000,2.4e+08,2.4e+08,2362600000,2362600000,2602600000,1.23e+08,2836500000,784700000,1506100000,275100000,270600000,2959500000,5562100000,2305300000,2305300000,17001858.6349205,38400000,38400000,2343700000,9.25e+08,591400000,591400000,1516400000,3860100000,1219700000,127700000,1.092e+09,554900000,-72600000,1.702e+09,1.702e+09,5562100000,93500000,93500000,42800000,-153700000,2300000,-1.56e+08,4e+07,-1.81e+08,206800000,14200000,22600000,-26600000,-94800000,-94800000,-11100000,-132500000,-45900000,1.5e+08,24400000,24400000,900000.000000002,129400000,19500000,19500000,-3500000,1.6e+07,149600000,9.25e+08,166900000,0.90173,0.13701,0.11995,0.05494,0.01681,1.78503,1.11047,2.26798,0.1663,0.73449,0.73449,6.12333,13.36999,1.31108,0.36057,0.04331,0.05186,0.49091,4.57888,6.41386
"15","2013_Q4",37.56828125,"Up",835800000,-146900000,688900000,-590700000,-545600000,-45100000,98200000,-13100000,-13100000,85100000,4e+05,85500000,-10900000,74600000,74600000,74600000,74600000,286900000,286900000,2259800000,2259800000,2546700000,148100000,3275400000,9.18e+08,1771500000,283600000,302300000,3423500000,5970200000,2306900000,2306900000,235500000,35500000,35500000,2577900000,8.25e+08,635100000,635100000,1460100000,4.038e+09,1390800000,131500000,1259300000,583200000,-41800000,1932200000,1932200000,5970200000,74600000,74600000,45100000,9.8e+07,2200000,95800000,-12900000,220700000,-178400000,-55200000,204800000,-33900000,-219600000,-219600000,-11700000,-265200000,-45900000,135500000,13100000,13100000,1400000,104100000,43700000,43700000,3200000,46900000,143300000,1060500000,107400000,0.82424,0.11749,0.08926,0.03861,0.0125,1.43968,0.9879,2.08985,0.17763,0.57517,0.57517,6.4441,14.89746,0.82806,0.35389,0.03322,0.0296,0.61528,5.39846,7.8778
"16","2014_Q1",38.0562295081967,"Up",890200000,-155700000,734500000,-654600000,-604300000,-50300000,79900000,-13900000,-13900000,6.6e+07,-2e+05,65800000,10200000,7.6e+07,7.6e+07,6e+07,6e+07,298100000,298100000,2577500000,2577500000,2875600000,160400000,3824500000,1078800000,2145200000,279800000,320700000,3984900000,6860500000,2609800000,2609800000,630500000,44500000,44500000,3284800000,8.25e+08,665200000,665200000,1490200000,4.775e+09,1491700000,133600000,1358100000,596400000,-2600000,2085500000,2085500000,6860500000,7.6e+07,6e+07,50300000,-10600000,2300000,-12900000,-21800000,-147700000,121500000,4400000.00000003,93900000,-23800000,-394700000,-394700000,-2700000,-421200000,-46600000,3.95e+08,11700000,11700000,-21400000,338700000,11400000,11400000,-199999.999999999,11200000,130200000,1455500000,74400000,0.8251,0.08976,0.0674,0.02877,0.00875,1.24,0.87543,2.28962,0.21216,0.45283,0.45283,6.71849,15.73962,0.56151,0.3517,0.02534,0.01769,0.77667,8.8894,14.48561
"17","2014_Q2",37.44,"Down",9.15e+08,-1.71e+08,7.44e+08,-6.68e+08,-615100000,-52900000,7.6e+07,-16200000,-16200000,59800000,-5100000,54700000,3100000,57800000,57800000,49300000,49300000,739200000,739200000,2458800000,2458800000,3.198e+09,165900000,3911700000,1093800000,2.142e+09,292900000,3.83e+08,4077600000,7275600000,2533200000,2533200000,467400000,3.3e+07,3.3e+07,3033600000,1.425e+09,672800000,672800000,2097800000,5131400000,1540400000,135100000,1405300000,596900000,6900000,2144200000,2144200000,7275600000,49300000,49300000,52900000,219700000,2400000,217300000,-237800000,47800000,-195100000,-90500000,84100000,-19800000,-23600000,-23600000,-1100000,-44500000,-49300000,436900000,18100000,18100000,-4200000,401500000,441100000,441100000,0,441100000,128900000,1892400000,-131800000,0.81311,0.08306,0.05388,0.02299,0.00678,-2.67343,1.05419,2.39315,0.2601,0.36736,0.36736,6.81818,15.97765,-0.98212,0.36736,0.02094,-0.02799,1,8.94647,15.17368
"18","2014_Q3",38.05046875,"Up",1179300000,-270500000,908800000,-768700000,-709200000,-59500000,140100000,-21200000,-21200000,118900000,-7e+06,111900000,1800000,113700000,113700000,1.09e+08,1.09e+08,973500000,973500000,3466800000,3466800000,4440300000,193700000,5385300000,1631500000,3027600000,328900000,397300000,5.579e+09,10019300000,3405200000,3405200000,2.53e+08,216800000,216800000,3.875e+09,2.125e+09,769700000,769700000,2894700000,6769700000,2.547e+09,1.59e+08,2.388e+09,648400000,54200000,3249600000,3249600000,10019300000,1.09e+08,1.09e+08,59500000,94799999.9999999,2700000,92100000.0000001,-124600000,-197800000,239800000,-166600000,138700000,-22300000,-1378400000,-1378400000,-16200000,-1416900000,-56800000,624600000,929900000,929900000,-4100000,1493600000,215400000,215400000,18900000,234300000,199600000,2.378e+09,50900000,0.77063,0.1188,0.09243,0.03354,0.01088,0.46697,1.14588,2.08324,0.23734,0.70687,0.70687,7.64786,21.07393,0.33009,0.36835,0.02592,0.00796,0.5211,7.03657,10.02498
"19","2014_Q4",39.12203125,"Up",1286800000,-326200000,960600000,-834800000,-761900000,-72900000,125800000,-25900000,-25900000,99900000,-4500000,95400000,5900000,101300000,101300000,93600000,93600000,290500000,290500000,3681900000,3681900000,3972400000,196600000,5.819e+09,1771100000,3296200000,352700000,3.99e+08,6015600000,9.988e+09,3.415e+09,3.415e+09,1.47e+08,207800000,207800000,3769800000,2.125e+09,837200000,837200000,2962200000,6.732e+09,2.656e+09,161400000,2494600000,683700000,-83700000,3.256e+09,3.256e+09,9.988e+09,114500000,93600000,72900000,-234600000,2700000,-237300000,82600000,99900000,-5700000,-11600000,35400000,-17600000,-432600000,-432600000,9e+05,-449300000,-58200000,-208700000,12600000,12600000,-1e+07,-264300000,-678200000,-678200000,-4800000,-6.83e+08,198700000,2.272e+09,257800000,0.7465,0.09776,0.07274,0.02875,0.00937,2.75427,1.05374,2.06757,0.22747,0.58354,0.58354,8.02244,20.29925,1.60723,0.36284,0.02385,0.0405,0.62179,9.97232,15.75119
"20","2015_Q1",39.2647540983607,"Up",1245400000,-291200000,954200000,-898100000,-824500000,-73600000,56100000,-25700000,-25700000,30400000,-9e+05,29500000,25200000,54700000,54700000,51500000,51500000,314400000,314400000,3496800000,3496800000,3811200000,195400000,6003400000,1.776e+09,3449600000,392600000,385200000,6198800000,1.001e+10,3313100000,3313100000,1.4e+08,189600000,189600000,3642700000,2.125e+09,937200000,937200000,3062200000,6704900000,2.814e+09,164600000,2649400000,6.76e+08,-260600000,3229400000,3305100000,1.001e+10,54700000,75600000,73600000,-90400000.0000001,2800000,-93200000,140500000,145400000,2.1e+07,-25900000,178400000,-21800000,-83700000,-83700000.0000001,4500000,-1.01e+08,-58800000,-35800000.0000001,36399999.9999999,36400000,-9100000,-67300000,10099999.9999999,10099999.9999999,13800000,23900000,129700000,2.265e+09,223200000,0.76618,0.04505,0.04135,0.01558,0.00514,4.33398,1.04626,2.02865,0.22627,0.31634,0.31634,7.64988,19.83661,1.37101,0.36118,0.01695,0.0343,1.14175,15.03932,34.77005
"21","2015_Q2",40.7860317460317,"Up",1231300000,-309300000,9.22e+08,-854900000,-778700000,-76200000,67100000,-25600000,-25600000,41500000,-10600000,30900000,1500000,32400000,32400000,21900000,21900000,276800000,276800000,3.318e+09,3.318e+09,3594800000,190600000,5945500000,1723600000,3.418e+09,395400000,408500000,6136100000,9730900000,3177400000,3177400000,1.15e+08,146300000,146300000,3438700000,2.125e+09,947600000,947600000,3072600000,6511300000,2889400000,166700000,2722700000,6.36e+08,-380200000,3145200000,3219600000,9730900000,32400000,32400000,76200000,135400000,2200000,133200000,-130700000,-79300000,-81400000,3e+07,113300000,-17800000,-2.2e+07,-2.2e+07,-5e+05,-40300000,-62700000,-53300000,18100000,18100000,-6500000,-104400000,-31400000,-31400000,-6200000,-37600000,143300000,2.24e+09,-6700000,0.7488,0.0545,0.01779,0.0068,0.00225,-0.30594,1.0454,2.02239,0.23019,0.13225,0.13225,7.43539,18.99275,-0.04046,0.37862,0.0132,-0.00105,2.86301,13.69993,29.25782
"22","2015_Q3",38.69984375,"Down",1371400000,-306800000,1064600000,-904500000,-822200000,-82300000,160100000,-2.6e+07,-2.6e+07,134100000,-5600000,128500000,19100000,147600000,147600000,139300000,139300000,321700000,321700000,3939700000,3939700000,4261400000,198200000,6256500000,1761500000,3569400000,4.38e+08,487600000,6454700000,10716100000,3.598e+09,3.598e+09,1.55e+08,152400000,152400000,3905400000,2.125e+09,974200000,974200000,3099200000,7004600000,3266400000,174500000,3091900000,710800000,-338700000,3638500000,3711500000,10716100000,147600000,147600000,82300000,-264500000,2900000,-267400000,9800000.00000006,-179300000,405900000,-216800000,-24800000,-27700000,-44700000,-44700000,-2800000,-75200000,-6.4e+07,38700000,170100000,170100000,-3600000,141200000,41200000,41200000,3700000,44900000.0000001,242400000,2.28e+09,205400000,0.77629,0.11674,0.10158,0.03753,0.013,1.47452,1.09116,1.88727,0.21276,0.81653,0.81653,8.03869,21.32767,1.20399,0.37515,0.02919,0.02949,0.45944,8.0788,12.23173
"23","2015_Q4",36.99828125,"Down",1454800000,-418900000,1035900000,-894900000,-8.13e+08,-81900000,1.41e+08,-25600000,-25600000,115400000,-9700000,105700000,35200000,140900000,140900000,133300000,133300000,369700000,369700000,3650400000,3650400000,4020100000,200700000,6289600000,1741800000,3579600000,487800000,480400000,6490300000,10510400000,3407100000,3407100000,1.53e+08,169100000,169100000,3729200000,2.125e+09,948300000,948300000,3073300000,6802500000,3370300000,176700000,3193600000,778400000,-496300000,3652400000,3707900000,10510400000,140900000,140900000,81900000,20100000,3100000,1.7e+07,-4900000,172300000,-105800000,-71400000,2.38e+08,-26300000,-109800000,-109800000,-8600000,-144700000,-65800000,3.2e+07,10800000,10800000,-12600000,-35600000,57700000,57700000,-9700000,4.8e+07,222900000,2.278e+09,156500000,0.71206,0.09692,0.09163,0.03595,0.01268,1.17404,1.07801,1.8346,0.21674,0.75782,0.75782,8.27061,20.76407,0.88971,0.37408,0.02871,0.02257,0.49362,8.56124,13.53404
