"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.5290322580645,"Up",368200000,-172300000,195900000,-127600000,-72200000,-55400000,68300000,-55300000,-55200000,-1e+05,1.3e+07,-2300000.00000001,10700000,-6800000,3900000,3900000,3900000,-2600000,1300000,7700000,7700000,193800000,193800000,2.6e+07,57900000,13800000,11900000,285400000,1510400000,956500000,290600000,392600000,71800000,2466900000,2752300000,237800000,132200000,58500000,47100000,13300000,102500000,48700000,19700000,34100000,353600000,2561900000,521400000,355700000,165700000,3083300000,3436900000,129400000,2589500000,-3.199e+09,-202500000,-684600000,-684600000,2752300000,3900000,55400000,3400000,4e+05,63100000,-74900000,-75500000,-75500000,-10400000,-85300000,-2600000,21700000,-1400000,25800000,3600000,3600000,3600000,123700000,2575200000,5.6e+07,0.53205,0.1855,0.00353,-0.0019,0.00047,43.07692,0.80713,-5.0203,0.93565,0.0331,0.03161,9.37373,-20.72301,1.42566,0.06619,0.00162,0.02322,2,20.75586,37.59151
"12","2013_Q1",21.34,"Down",374700000,-187100000,187600000,-127100000,-69900000,-57200000,60500000,-55700000,-55600000,-1e+05,4800000,-16200000,-11400000,1600000,-9800000,-9800000,-9800000,-2600000,-12400000,23600000,23600000,1.99e+08,1.99e+08,30700000,50200000,11800000,11600000,303500000,1587400000,981500000,290600000,407800000,86300000,2568900000,2872400000,2.29e+08,135600000,41300000,52100000,13400000,1.13e+08,51200000,21600000,40200000,355400000,2.676e+09,539200000,362700000,176500000,3215200000,3570600000,129400000,2592900000,-3208800000,-209700000,-698200000,-698200000,2872400000,-9800000,57200000,8500000,1800000,57700000,-123300000,-124300000,-124300000,4200000,-119100000,-2600000,101900000,-2.6e+07,77300000,15900000,15900000,15900000,117700000,2689400000,-5400000,0.50067,0.16146,-0.03309,0.01776,-0.00432,0.435479999999998,0.85397,-5.11401,0.93629,-0.30907,-0.29538,9.33948,-20.62812,-0.1346,0.06481,-0.00387,-0.00213,-0.20968,22.64911,44.06281
"13","2013_Q2",16.8484375,"Down",325700000,-162400000,163300000,-103700000,-53100000,-50600000,59600000,-47600000,-47900000,3e+05,1.2e+07,-42300000,-30300000,-6400000,-36700000,-36700000,-36700000,-2600000,-39300000,5100000,5100000,148100000,148100000,23900000,52400000,13100000,11700000,229500000,873100000,548100000,14400000,399900000,4e+07,1.922e+09,2151500000,2.15e+08,111700000,51200000,52100000,6600000,101300000,3.2e+07,13800000,55500000,322900000,2127400000,4.29e+08,355300000,73700000,2556400000,2879300000,129400000,2597500000,-3245500000,-207100000,-727800000,-727800000,2151500000,-36700000,50600000,13700000,14700000,42300000,-50100000,-50900000,-50900000,4e+05,-61900000,-2600000,-1100000,-1800000,1100000,-18500000,-18500000,-18500000,110200000,2.134e+09,81200000,0.50138,0.18299,-0.12066,0.054,-0.01827,-2.06616,0.71075,-3.95617,0.99187,-0.96893,-0.96893,8.03008,-21.13412,2.00197,0.0641,-0.02,0.04425,-0.06616,19.31851,35.7198
"14","2013_Q3",15.821875,"Down",3.12e+08,-158200000,153800000,-91900000,-54700000,-37200000,61900000,-45500000,-45400000,-99999.9999999999,16400000,-19800000,-3400000,4200000,8e+05,8e+05,8e+05,-2600000,-1800000,5500000,5500000,148300000,148300000,2.6e+07,51700000,12500000,9300000,231500000,8.79e+08,545600000,14400000,396900000,41100000,1913900000,2145400000,185400000,103100000,37400000,44900000,7200000,82100000,32500000,14100000,35500000,274700000,2.183e+09,407400000,333600000,73800000,2590400000,2865100000,129400000,2595800000,-3244700000,-198100000,-719700000,-719700000,2145400000,8e+05,37200000,-1300000,-49600000,-12900000,-44200000,-4.5e+07,-4.5e+07,7e+06,-37200000,-2600000,53100000,0,50500000,399999.99999997,399999.99999997,400000.00000003,99100000,2190200000,1100000.00000001,0.49295,0.1984,-0.00577000000000001,0.0025,-0.00084,-0.611110000000001,0.84274,-3.98096,1.02088,-0.0435,-0.0435,7.53987,-20.51957,0.0265800000000005,0.06283,0.00043,0.00059,-1.44444,22.04541,35.29402
"15","2013_Q4",15.61875,"Down",310800000,-159900000,150900000,-93400000,-53600000,-39800000,57500000,-45500000,-46700000,1200000,1.2e+07,-1300000,10700000,-1400000,9300000,9300000,9300000,-2600000,6700000,413700000,413700000,153400000,153400000,26400000,56800000,11100000,11600000,650300000,892500000,528200000,14400000,376900000,44100000,1901400000,2551700000,201400000,107300000,52400000,41700000,508900000,87200000,34300000,19700000,33200000,797500000,2108200000,333200000,262300000,70900000,2441400000,3238900000,129400000,2594200000,-3235400000,-173300000,-687200000,-687200000,2551700000,9300000,39800000,-26700000,8e+06,30400000,-45900000,-46100000,-46100000,7200000,-38700000,-2600000,425300000,-6400000,416500000,408200000,408200000,408200000,97300000,2617100000,60800000,0.48552,0.18501,0.02156,-0.00975,0.00263,9.07463,0.81542,-4.71318,1.02563,0.16176,0.16067,7.50362,-19.71511,1.46789,0.06277,0.00411,0.02687,0.38806,22.64543,38.32
"16","2014_Q1",17.6377049180328,"Up",124900000,-80800000,44100000,-27300000,-26500000,-8e+05,16800000,-34100000,-3.6e+07,1900000,-17300000,-32900000,-50200000,11900000,-38300000,-28100000,-28100000,-2600000,-30700000,4600000,4600000,145600000,145600000,23800000,77100000,1.1e+07,10800000,251100000,902800000,482400000,14400000,339700000,36600000,1856200000,2107300000,1.59e+08,89400000,31600000,3.8e+07,12600000,82700000,32500000,12900000,37300000,254300000,2252600000,277100000,202700000,74400000,2529700000,2.784e+09,129400000,2592700000,-3263500000,-133300000,-676700000,-676700000,2107300000,-28100000,4.2e+07,21100000,-1.6e+07,1.9e+07,-54700000,-54900000,-54900000,7100000,-47600000,-2600000,-377900000,-3e+05,-380500000,-409100000,-409100000,-409100000,58800000,2265200000,-23800000,0.35308,0.13451,-0.2458,0.04537,-0.01457,0.775240000000004,0.98742,-4.11408,1.07493,-0.74226,-0.74732,3.01983,-19.48985,-0.57544,0.06286,-0.01506,-0.01276,-0.0846899999999998,38.44558,134.55952
"17","2014_Q2",18.2904761904762,"Up",282200000,-150700000,131500000,-80400000,-49300000,-31100000,51100000,-38500000,-38800000,3e+05,12600000,-2e+05,12400000,-6500000,5900000,7e+06,7e+06,-2600000,4400000,4200000,4200000,165600000,165600000,23100000,80500000,14800000,1.4e+07,273400000,892200000,473700000,14400000,333300000,34800000,1828100000,2101500000,177200000,111300000,3.5e+07,30900000,12100000,76400000,32800000,11100000,32500000,265700000,2244100000,262400000,193600000,68800000,2506500000,2772200000,129400000,2589600000,-3256500000,-131500000,-670700000,-670700000,2101500000,7e+06,46900000,3100000,-19200000,37800000,-32400000,-34300000,-34300000,7100000,-25300000,-2600000,-9300000,-1600000,-12900000,-4e+05,-4e+05,-4e+05,9.8e+07,2256200000,52900000,0.46598,0.18108,0.01559,-0.00656,0.00209,12.02273,1.02898,-4.13329,1.07361,0.10577,0.10526,6.78365,-19.23317,1.27163,0.0625,0.00379,0.02863,0.59091,22.97959,44.07045
"18","2014_Q3",18.825,"Up",2.83e+08,-154100000,128900000,-80500000,-49500000,-3.1e+07,48400000,-38600000,-39500000,9e+05,9800000,189300000,199100000,-75400000,123700000,114200000,114200000,-2600000,111600000,347200000,347200000,1.62e+08,1.62e+08,16800000,82300000,12600000,8700000,608300000,874700000,403200000,14400000,259500000,38800000,1568600000,2176900000,1.74e+08,105100000,31500000,37400000,12100000,84500000,31400000,16600000,36500000,270600000,2214200000,248100000,185400000,62700000,2462300000,2732900000,129400000,2589600000,-3142300000,-130900000,-5.56e+08,-5.56e+08,2176900000,114200000,60300000,-1.36e+08,17500000,5.6e+07,-41100000,-41200000,-41200000,3600000,318400000,-2600000,-30399999.9999999,1e+06,-31400000,3.43e+08,3.43e+08,3.43e+08,108700000,2226300000,160500000,0.45548,0.17102,0.39435,-0.20072,0.05127,1.43817,2.24797,-4.91529,1.02269,2.67626,2.66476,6.78657,-16.43645,3.84892,0.06235,0.05953,0.08366,0.0233,17.28703,38.82438
"19","2014_Q4",16.90625,"Down",301400000,-169500000,131900000,-85200000,-52900000,-32300000,46700000,-34700000,-34700000,0,1.2e+07,-18300000,-6300000,-1200000,-7500000,-27300000,-27300000,-2600000,-29900000,181500000,181500000,174100000,174100000,22100000,96500000,17900000,12800000,474200000,875200000,318500000,14400000,268700000,33800000,1478400000,1952600000,198900000,132700000,33800000,32400000,11900000,213300000,33800000,1.8e+07,161500000,424100000,1.887e+09,225900000,174300000,51600000,2112900000,2.537e+09,129400000,2586800000,-3169600000,-129700000,-584400000,-584400000,1952600000,-27300000,61400000,2e+06,-9100000,2.7e+07,148800000,-45600000,-45600000,6e+06,154800000,-2600000,-344700000,-2e+05,-347500000,-165700000,-165700000,-165700000,108100000,1898900000,2.49e+08,0.43762,0.15494,-0.0992,0.05116,-0.01531,-8.32776,1.11813,-4.3412,0.9725,-0.71634,-0.71634,7.22089,-17.1011,5.9655,0.06229,-0.01772,0.16165,-0.08696,15.88714,36.77516
"20","2015_Q1",16.5180327868852,"Down",294900000,-173400000,121500000,-85700000,-52500000,-33200000,35800000,-39200000,-32900000,-6300000,-3400000,-2700000,-6100000,1700000,-4400000,-18300000,-18300000,-2600000,-20900000,57900000,57900000,160800000,160800000,2.5e+07,2.5e+07,10800000,9500000,268700000,815400000,4.63e+08,14400000,369600000,78500000,1.552e+09,1820700000,190700000,131600000,22100000,3.7e+07,11600000,208500000,30400000,9900000,168200000,410800000,1689400000,3.69e+08,240100000,26200000,2058400000,2469200000,129400000,2.585e+09,-3187900000,-173900000,-648500000,-648500000,1820700000,-18300000,62400000,-1e+06,11300000,54400000,-63200000,-61200000,-61200000,7900000,-55300000,-2600000,-119100000,2e+05,-122700000,-123600000,-123600000,-123600000,98200000,1.701e+09,44600000.0000001,0.412,0.1214,-0.07087,0.03223,-0.01148,-2.13397,0.65409,-3.80756,0.93426,-0.50048,-0.495499999999999,7.06178,-18.62787,1.06801,0.06226,-0.01287,0.03138,-0.1244,16.73218,45.89665
"21","2015_Q2",18.2571428571429,"Up",292900000,-166200000,126700000,-84800000,-52200000,-32600000,41900000,-36200000,-32700000,-3500000,5700000,-4800000.00000001,9e+05,-6e+05,3e+05,49200000,49200000,-2600000,46600000,13400000,13400000,160700000,160700000,19700000,131900000,14100000,13100000,325700000,845700000,300100000,14400000,236900000,48400000,1407300000,1.733e+09,172100000,111800000,32100000,28200000,12600000,94700000,30800000,10200000,53700000,279400000,1748800000,304400000,233900000,39300000,2053200000,2332600000,129400000,2583300000,-3138700000,-172500000,-599600000,-599600000,1.733e+09,49200000,61200000,-83400000,-20700000,6300000,-57900000,-57900000,-57900000,5900000,-5.2e+07,-2600000,4200000,-4e+05,1200000,-44500000,-44500000,-44500000,103100000,1761400000,25100000,0.43257,0.14305,0.1591,-0.07772,0.02689,0.53863,1.16571,-3.89026,1.01639,1.11377,1.11377,7.00048,-17.42352,0.5999,0.06214,0.03356,0.01712,0.05579,16.95441,41.71838
"22","2015_Q3",18.14921875,"Down",285800000,-162200000,123600000,-9.1e+07,-5.7e+07,-3.4e+07,32600000,-29300000,-2.8e+07,-1300000,3300000,278800000,282100000,-101400000,180700000,191600000,191600000,-2600000,1.89e+08,14800000,14800000,1.5e+08,1.5e+08,24100000,83600000,13800000,6500000,272500000,894500000,217700000,14400000,174400000,28600000,1237100000,1509600000,174600000,123700000,13600000,37300000,12500000,85600000,27700000,12600000,45300000,272700000,1.379e+09,261400000,220200000,39100000,1640400000,1913100000,129400000,2581200000,-2947100000,-166500000,-403500000,-403500000,1509600000,191600000,3.4e+07,-198100000,-1100000,26400000,-74600000,-74600000,-74600000,9e+06,360400000,-2600000,-382200000,-6e+05,-385400000,1400000,1400000,1400000,66600000,1391500000,92300000,0.43247,0.11407,0.6613,-0.4684,0.1252,0.48836,0.99927,-4.74126,0.92177,4.50644,4.40354,6.8145,-12.70625,2.20076,0.06199,0.15335,0.07388,0.01376,20.67117,42.23006
"23","2015_Q4",18.09921875,"Down",299800000,-175600000,124200000,-88300000,-52500000,-35800000,35900000,-22700000,-21500000,-1200000,13200000,110200000,123400000,-44100000,79300000,80300000,80300000,-2600000,77700000,25400000,25400000,160200000,160200000,22300000,43400000,13800000,6700000,251300000,930400000,209700000,14400000,168200000,26800000,1208900000,1460200000,201600000,144600000,24100000,32900000,12400000,75900000,26700000,13500000,35700000,289900000,1236300000,257300000,215900000,41400000,1493600000,1783500000,129400000,2579700000,-2866800000,-165100000,-323300000,-323300000,1460200000,80300000,35800000,-65500000,11400000,6.2e+07,-72600000,-73200000,-73200000,4400000,102100000,-2600000,-1.51e+08,1e+05,-153500000,10600000,10600000,10600000,71700000,1248700000,54600000,0.41428,0.11975,0.25917,-0.24033,0.05321,0.7027,0.86685,-5.51655,0.85516,1.85442,1.85,7.15513,-10.8043,1.3031,0.06205,0.0679,0.04617,0.03346,17.06137,34.07521
"24","2016_Q1",16.7672131147541,"Down",289300000,-166600000,122700000,-96600000,-57400000,-39200000,26100000,-17500000,-20900000,3400000,8600000,35600000,44200000,-13700000,30500000,32600000,32600000,-2600000,3e+07,7400000,7400000,157100000,157100000,20600000,15300000,13100000,2200000,200400000,975500000,2.15e+08,14300000,182900000,17800000,1.246e+09,1446400000,171300000,128900000,11200000,31200000,13800000,74100000,29200000,14500000,30400000,259200000,1223800000,261600000,2.25e+08,36600000,1485400000,1744600000,129400000,2578100000,-2834200000,-1.71e+08,-298200000,-298200000,1446400000,32600000,39200000,-22900000,-32600000,16300000,-78500000,-77900000,-77900000,3600000,-27300000.0000001,-2600000,-4299999.99999994,-99999.9999999999,-7000000.00000003,-1.8e+07,-1.8e+07,-1.8e+07,65300000,1237600000,-32100000,0.42413,0.09022,0.1037,-0.1006,0.02074,-1.07,0.77315,-5.85044,0.85564,0.71565,0.72745,6.90124,-10.20038,-0.76574,0.06202,0.02714,-0.02673,0.08667,18.8392,47.1341
