"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.65453125,"Up",82200000,73700000,-32100000,50100000,-28500000,-23100000,-5400000,21600000,-13200000,-13200000,8400000,-5900000,2500000,1900000,1900000,-2900000,-1e+06,-1e+06,98800000,73800000,2.5e+07,63800000,63800000,21600000,3600000,184200000,2.6e+07,8e+05,6.2e+08,346500000,17900000,646800000,8.31e+08,36700000,10800000,25900000,25300000,25100000,6.2e+07,8.79e+08,198800000,139700000,1077800000,1139800000,-338500000,-83900000,-428400000,119600000,-308800000,8.31e+08,1900000,5400000,1.4e+07,7300000,28600000,-3200000,9300000,6100000,-12100000,0,-22600000,-33300000,1400000,1400000,1400000,2.7e+07,8.79e+08,0.60949,0.26277,-0.01217,0.00324,-0.0012,2.97097,-3.69106,1.05776,-0.01831,-0.01831,1.50517,-7.84449,0.22156,0.01443,-12.1,28.8963,36.12037
"12","2013_Q3",8.6053125,"Up",122800000,116900000,-35500000,87300000,-29300000,-23100000,-6200000,5.8e+07,-13900000,-12700000,44100000,-6100000,3.8e+07,3.2e+07,3.2e+07,-22500000,9500000,9500000,95100000,55200000,39900000,110200000,110200000,1.9e+07,3500000,224300000,26800000,8e+05,700600000,436500000,19400000,728200000,952500000,41100000,11400000,29700000,54400000,54200000,95500000,8.84e+08,197600000,139300000,1081600000,1177100000,-304800000,-86900000,-396200000,171600000,-224600000,952500000,3.2e+07,6200000,1.3e+07,-35900000,15300000,-6700000,-14900000,-21600000,-12100000,5e+06,-11200000,-12300000,-18600000,-18600000,-18600000,64200000,8.84e+08,0.71091,0.47231,0.07736,-0.0423,0.00997,2.34869,-5.24087,0.92808,0.17253,0.16972,2.23018,-7.19543,0.21975,0.0252,1.27368,12.28816,13.60172
"13","2013_Q4",8.90875,"Up",135100000,127600000,-37100000,9.8e+07,-30600000,-23400000,-7200000,67400000,-12700000,-12700000,54700000,-6e+06,48700000,42300000,42300000,-28600000,13700000,13700000,127200000,69800000,57400000,108300000,108300000,16100000,3900000,251600000,2.6e+07,8e+05,704100000,436100000,18700000,730900000,982500000,43500000,10800000,32700000,6.9e+07,68800000,112500000,8.84e+08,203500000,143200000,1087500000,1.2e+09,-287700000,-85800000,-377700000,160200000,-217500000,982500000,42300000,7200000,11900000,8600000,7e+07,-6900000,-17500000,-24400000,-12200000,0,-27900000,-3.1e+07,14600000,14600000,14600000,74600000,8.84e+08,0.72539,0.49889,0.10141,-0.06299,0.01394,2.23644,-5.51724,0.89975,0.24452,0.24033,2.41133,-6.74136,0.21775,0.02977,0.89051,10.14477,11.22849
"14","2014_Q1",8.41491803278688,"Down",122700000,108100000,-38600000,84100000,-29100000,-21300000,-7800000,5.5e+07,-12600000,-12600000,42400000,18400000,60800000,53600000,53600000,-34600000,1.9e+07,1.9e+07,1.26e+08,54700000,71300000,120400000,120400000,19100000,3100000,265500000,25600000,1100000,775100000,4.92e+08,38900000,801800000,1067300000,54100000,20500000,33600000,63400000,63400000,131500000,8.76e+08,205900000,1.44e+08,1081900000,1213400000,-271100000,-8e+07,-354300000,208200000,-146100000,1067300000,53600000,7800000,-15400000,-6800000,39200000,-2200000,-13800000,-1.6e+07,-12800000,6e+06,-35300000,-38300000,-15100000,-15100000,-15100000,62800000,8.9e+08,0.68541,0.44825,0.15485,-0.13005,0.0178,2.01901,-8.30527,0.83388,0.32559,0.32247,2.10261,-6.07136,0.21934,0.03348,0.673679999999999,12.16561,13.89091
"15","2014_Q2",8.07190476190476,"Down",70200000,70200000,-2.7e+07,43200000,-30400000,-22600000,-7800000,12800000,-12800000,-12700000,0,-6300000,-6300000,-4600000,-4600000,1500000,-3100000,-3100000,6.8e+07,16600000,51400000,85400000,85400000,21500000,4900000,174900000,24900000,11900000,786700000,503700000,38100000,823500000,998400000,36100000,9800000,26300000,24900000,24700000,7.5e+07,8.93e+08,209600000,148500000,1102600000,1177600000,-265100000,-124500000,-392100000,212900000,-179200000,998400000,-4600000,7800000,15400000,-6700000,11900000,-2600000,9200000,6600000,-42300000,1.7e+07,-31800000,-56600000,-38100000,-38100000,-38100000,20600000,9.07e+08,0.61538,0.18234,-0.04416,0.0173,-0.0031,2.332,-6.57143,0.90845,-0.05288,-0.05288,1.19757,-6.68898,0.72161,0.04182,-13.64516,40.72816,65.54688
"16","2014_Q3",7.87796875,"Down",99900000,99900000,-28900000,7.1e+07,-2.9e+07,-21200000,-7800000,4.2e+07,-12600000,-12500000,29400000,-7700000,21700000,17900000,17900000,-14300000,3600000,3600000,52100000,13400000,38700000,109500000,109500000,21200000,4300000,182800000,25200000,22700000,774500000,4.98e+08,37600000,822400000,1005200000,40500000,11300000,29200000,47100000,46600000,101600000,8.85e+08,206900000,147700000,1091900000,1193500000,-263400000,-1.34e+08,-399200000,210900000,-188300000,1005200000,17900000,7800000,11600000,-12600000,24700000,-3100000,1900000,-1200000,-12900000,-8e+06,-6100000,-26700000,-3200000,-3200000,-3200000,49800000,8.99e+08,0.71071,0.42042,0.03604,-0.01912,0.00358,1.79921,-6.33829,0.89435,0.06131,0.06102,1.70124,-6.79813,0.21968,0.01798,3.58333,17.00602,20.16429
"17","2014_Q4",7.4878125,"Down",100800000,100800000,-27900000,72900000,-30200000,-21600000,-8600000,42700000,-13100000,-12400000,29600000,-8100000,21500000,19400000,19400000,-14600000,4800000,4800000,44900000,24600000,20300000,97200000,97200000,22500000,3200000,164600000,23500000,40500000,7.65e+08,494500000,37600000,8.29e+08,993600000,43500000,1.1e+07,32500000,5.2e+07,51700000,109500000,8.81e+08,203300000,1.46e+08,1084300000,1193800000,-262400000,-142200000,-405700000,205500000,-200200000,993600000,19400000,8600000,1.1e+07,11300000,50300000,-4200000,5e+05,-3700000,-12900000,-4e+06,-18500000,-35400000,11200000,11200000,11200000,51300000,8.95e+08,0.72321,0.42361,0.04762,-0.02398,0.00483,1.5032,-5.96304,0.90076,0.08171,0.0813,1.71591,-6.90619,0.2196,0.01971,2.6875,16.57115,19.90867
"18","2015_Q1",7.87934426229508,"Up",123100000,123100000,-31500000,91600000,-29900000,-21700000,-8200000,61700000,-13100000,-13200000,48600000,-1e+07,38600000,32900000,32900000,-24800000,8100000,8100000,35100000,13400000,21700000,116500000,116500000,20800000,3600000,172400000,22400000,4.8e+07,748600000,488600000,32700000,8.19e+08,991400000,43200000,13300000,29900000,6.4e+07,6.3e+07,107200000,8.92e+08,200900000,146700000,1092900000,1200100000,-260400000,-147400000,-408200000,199500000,-208700000,991400000,32900000,8200000,9600000,-19700000,3.1e+07,-1800000,-7600000,-5200000,-12900000,-3e+06,-21100000,-3.7e+07,-11200000,-11200000,-11200000,69900000,8.92e+08,0.74411,0.50122,0.0658,-0.03881,0.00817,1.60821,-5.75036,0.89974,0.13787,0.13646,2.09522,-6.94774,0.21956,0.02375,1.59259,12.25894,13.88817
"19","2015_Q2",8.53063492063492,"Up",76900000,76900000,-27500000,49400000,-32700000,-24700000,-8e+06,16700000,-12600000,-12500000,4100000,-38600000,-34500000,-30200000,-30200000,21200000,-9e+06,-9e+06,31500000,12900000,18600000,79600000,79600000,17500000,4300000,128600000,21600000,50200000,785200000,515200000,32100000,8.57e+08,985600000,4.3e+07,15100000,27900000,22100000,21400000,65100000,9.38e+08,202300000,148400000,1140300000,1205400000,-250100000,-169800000,-419900000,200100000,-219800000,985600000,-30200000,8e+06,4200000,18300000,3e+05,-2900000,2200000,-7e+05,-13300000,4.6e+07,-33200000,-1e+05,-5e+05,-5e+05,-5e+05,24700000,9.38e+08,0.64239,0.21717,-0.11704,0.04095,-0.00913,1.97542,-5.48408,0.9517,-0.15283,-0.15283,1.30585,-7.1304,0.22585,0.00467,-1.47778,36.7004,54.28144
"20","2015_Q3",7.84921875,"Down",121500000,121500000,-31700000,89800000,-33500000,-25300000,-8200000,56300000,-12800000,-12800000,43500000,-4399999.99999999,39100000,33300000,33300000,-23200000,10100000,10100000,27900000,11800000,16100000,126900000,126900000,17900000,4200000,172700000,21900000,45800000,770100000,508800000,31300000,837800000,1010500000,42100000,13200000,28900000,57600000,56900000,99700000,9.35e+08,197400000,145400000,1132400000,1232100000,-247600000,-173500000,-421100000,199500000,-221600000,1010500000,33300000,8200000,13200000,-44800000,9900000,-2800000,6900000,4100000,-13100000,-3000000.00000001,3e+05,-15100000,-1100000,-1100000,-1100000,64500000,9.35e+08,0.73909,0.46337,0.08313,-0.04558,0.01,1.7322,-5.56002,0.92528,0.17126,0.16948,2.06021,-7.14036,0.22213,0.02547,1.29703,14.06357,16.1119
"21","2015_Q4",8.21609375,"Up",111700000,111700000,-29700000,8.2e+07,-34200000,-26200000,-8e+06,47800000,-12600000,-12500000,35200000,-3500000,31700000,26900000,26900000,-19200000,7700000,7700000,36200000,22700000,13500000,1.24e+08,1.24e+08,1.8e+07,3100000,178200000,22900000,48600000,756500000,503400000,30700000,8.28e+08,1006200000,48200000,13100000,35100000,64600000,6.4e+07,112800000,9.36e+08,185700000,135700000,1121700000,1234500000,-244300000,-179100000,-423400000,195100000,-228300000,1006200000,26900000,8e+06,12700000,4100000,51700000,-4300000,-2e+05,-4500000,-1.3e+07,1e+06,-24400000,-36300000,10900000,10900000,10900000,55800000,9.36e+08,0.73411,0.42793,0.06893,-0.03373,0.00765,1.57979,-5.40736,0.93023,0.13048,0.12914,1.89274,-7.17446,0.22028,0.02317,1.68831,16.12545,18.82427
"22","2016_Q1",8.38327868852459,"Up",136400000,136400000,-32200000,104200000,-42700000,-34700000,-8e+06,61500000,-12800000,-12800000,48700000,-5900000,42800000,29600000,29600000,-27100000,2500000,2500000,44900000,31700000,13200000,148900000,148900000,9800000,2800000,203600000,25100000,45900000,799100000,566700000,15300000,870100000,1073700000,52800000,14900000,37900000,71900000,71900000,124700000,925400000,195300000,145200000,1120700000,1245400000,-220900000,-186100000,-4.07e+08,235300000,-171700000,1073700000,29600000,8e+06,20400000,-14600000,43400000,-5300000,3600000,2500000,-12900000,-1.86264514923096e-09,-24100000,-36900000,9e+06,9e+06,9e+06,69500000,925400000,0.76393,0.45088,0.01833,-0.01456,0.00233,1.63272,-7.25335,0.86188,0.04234,0.04149,2.3103,-6.89364,0.2185,0.01623,5.16,12.66906,14.31707
"23","2016_Q2",8.2215625,"Down",76200000,76200000,-28200000,4.8e+07,-42200000,-33500000,-8700000,5800000,-12800000,-12800000,-7e+06,-3600000,-10600000,-8500000,-8500000,4200000,-4300000,-4300000,40100000,14200000,25900000,97600000,97600000,2.4e+07,4400000,161700000,26900000,40700000,808300000,581100000,15200000,875900000,1037600000,42400000,14100000,28300000,26800000,26800000,69200000,944800000,196900000,146900000,1141700000,1210900000,-213600000,-204300000,-417900000,244600000,-173300000,1037600000,-8500000,8700000,2.1e+07,2500000,23700000,-3900000,-5500000,-9400000,-1.5e+07,1.9e+07,-36100000,-31800000,-17500000,-17500000,-17500000,14500000,944800000,0.62992,0.07612,-0.05643,0.02481,-0.00414,2.33671,-6.98731,0.91056,-0.07213,-0.07213,1.27829,-7.01047,0.25163,0.01105,-3.48837,62.3931,155.98276
"24","2016_Q3",8.82875,"Up",115400000,115400000,-31500000,83900000,-37400000,-28500000,-8900000,46500000,-13100000,-13100000,33400000,-3400000,3e+07,25500000,25500000,-18700000,6800000,6800000,35900000,17400000,18500000,126300000,126300000,11500000,4e+06,173700000,27600000,35300000,809100000,574800000,15200000,8.72e+08,1045700000,41800000,11700000,30100000,40400000,40400000,82200000,932400000,197500000,148600000,1129900000,1212100000,-212500000,-210300000,-422800000,256400000,-166400000,1045700000,25500000,8900000,300000.000000004,-12500000,22200000,-3800000,12400000,8600000,-13200000,-1.3e+07,-1400000,-27600000,3199999.99999999,3199999.99999999,3199999.99999999,55400000,932400000,0.72704,0.40295,0.05893,-0.04087,0.0065,2.11314,-7.28425,0.89165,0.11365,0.11229,1.92874,-7.06649,0.22062,0.02076,1.94118,16.18231,19.27957
"25","2016_Q4",8.66555555555555,"Down",113500000,113500000,-30800000,82700000,-34300000,-25400000,-8900000,48400000,-1.4e+07,-1.4e+07,34400000,-13800000,20600000,21700000,21700000,-13500000,8200000,8200000,38400000,5600000,32800000,130900000,130900000,10700000,3300000,1.8e+08,28100000,22400000,799300000,567700000,1.5e+07,849800000,1029800000,44700000,14100000,30600000,59900000,59900000,104600000,911900000,194600000,146300000,1106500000,1211100000,-210900000,-216400000,-427300000,2.46e+08,-181300000,1029800000,21700000,8900000,16700000,-2300000,4.5e+07,-2900000,-1400000,-4300000,-13200000,-26900000,-12500000,-52500000,-11800000,-11800000,-11800000,57300000,911900000,0.72863,0.42643,0.07225,-0.04523,0.00796,1.72084,-6.68009,0.88551,0.13702,0.13469,1.89652,-7.13993,0.22056,0.02313,1.60976,15.24433,18.04752
"26","2017_Q1",8.02112903225806,"Down",142500000,142500000,-31700000,110800000,-38500000,-29200000,-9300000,72300000,-12600000,-12600000,59700000,9200000,68900000,55800000,55800000,-33600000,22200000,22200000,49100000,2.3e+07,26100000,160500000,160500000,11500000,3100000,221100000,29600000,26200000,865600000,560500000,10900000,921400000,1142500000,49200000,17400000,31800000,71400000,71400000,120600000,924300000,214300000,214300000,1138600000,1259200000,-109900000,-248300000,-358200000,241500000,-116700000,1142500000,55800000,9300000,9200000,-31700000,42600000,-4600000,2600000,800000.000000004,-13200000,1.2e+07,-24900000,-2.6e+07,17400000,17400000,17400000,81600000,924300000,0.77754,0.50737,0.15579,-0.19023,0.01943,1.83333,-10.79006,0.80902,0.37085,0.3617,2.38043,-5.98366,0.2205,0.03464,0.59459,10.72549,12.10512
"27","2017_Q2",5.70047619047619,"Down",71900000,71900000,-29800000,42100000,-3.7e+07,-27400000,-9600000,5100000,-12700000,-12800000,-7600000,27444233.7976189,-7600000,-5800000,-5800000,4500000,-1300000,-1300000,58600000,30200000,28400000,92600000,92600000,12100000,5200000,163300000,29800000,27600000,931200000,755100000,10600000,988600000,1151900000,34900000,11600000,23300000,35500000,35500000,70400000,939800000,195800000,137500000,1135600000,1.206e+09,-194400000,-2.34e+08,-428400000,374300000,-54100000,1151900000,-5800000,9600000,2700000,50500000,5.7e+07,-3100000,-5e+06,-6700000,-15300000,1.5e+07,-43400000,-43100000,7200000,7200000,7200000,14700000,939800000,0.58554,0.07093,-0.01808,0.02403,-0.00113,2.3196,-22.29205,0.81587,-0.02156,-0.02156,1.19219,-7.10341,0.25369,0.01294,-11.76923,59.94558,172.78431
"28","2017_Q3",4.08984126984127,"Down",97100000,97100000,-30200000,66900000,-38600000,-29400000,-9200000,28300000,-12700000,-12700000,15600000,6e+05,16200000,14600000,14600000,-9400000,5200000,5200000,33400000,14600000,18800000,99200000,99200000,12800000,5800000,145400000,3e+07,21800000,924500000,744500000,12200000,976300000,1121700000,42900000,12800000,30100000,31900000,31900000,74800000,920300000,194900000,136400000,1115200000,1.19e+09,-185600000,-246200000,-431800000,363500000,-68300000,1121700000,14600000,9200000,5900000,-18100000,11600000,-3e+06,13800000,10800000,-13400000,-2e+07,-4600000.00000001,-3.8e+07,-15600000,-15600000,-15600000,37500000,920300000,0.68898,0.29145,0.05355,-0.07613,0.00464,1.94385,-17.42313,0.82045,0.08579,0.0853899999999999,1.60205,-7.12424,0.22109,0.01777,2.57692,23.65067,31.33922
