"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",29.3865625,"Up",569400000,559400000,1e+07,-163600000,405800000,-175800000,-175800000,2.3e+08,1900000,231900000,231900000,-8.4e+07,147900000,147900000,147900000,147900000,301200000,122600000,178600000,169300000,169300000,3798300000,39900000,3746500000,4268800000,351800000,504300000,599300000,4.7e+07,517400000,34900000,1455400000,5724200000,160400000,43600000,116800000,3728200000,3697200000,3888600000,137400000,46500000,90900000,137400000,4.026e+09,597700000,3600000,594100000,1060800000,39700000,1698200000,1698200000,5724200000,147900000,24200000,26600000,-90400000,108300000,-32900000,390300000,-34300000,-1.2e+08,19600000,-100400000,-26400000,-26400000,-26400000,254200000,0,214900000,0.71268,0.40393,0.25975,0.08709,0.02584,1.45301,1.09777,2.37075,-1.61558713389263e-27,0.40677,0.40587,1.56601,4.67052,0.59103,0.33003,0.14595,0.11707,0.81136,-1.18489,-1.30957
"15","2013_Q4",32.0125,"Up",593300000,582400000,10900000,-171200000,422100000,-197100000,-197100000,2.25e+08,1400000,226400000,226400000,-81900000,144500000,144500000,144500000,144500000,570600000,100400000,470200000,125100000,125100000,5623900000,35600000,5581500000,6319600000,341700000,2.27e+08,619200000,49900000,533900000,35400000,1187900000,7507500000,196800000,47600000,139300000,5559700000,5544700000,5756500000,145100000,4.7e+07,98100000,145100000,5901600000,608300000,3600000,604700000,964900000,32700000,1605900000,1605900000,7507500000,144500000,2.5e+07,-3100000,1.14e+08,280400000,-24300000,-1890300000,-1913200000,-240300000,1850900000,1610600000,-22200000,-22200000,-22200000,2.5e+08,0,421600000,0.71144,0.37923,0.24355,0.08998,0.01925,2.91765,1.09782,3.67495,0,0.3972,0.39632,1.63084,4.41424,1.15888,0.66053,0.21976,0.24078,1.66298,-2.2824,-2.536
"16","2014_Q1",32.0875409836066,"Up",585300000,575300000,1e+07,-1.73e+08,412300000,-200500000,-200500000,211800000,1400000,213200000,213200000,-89700000,123500000,123500000,123500000,123500000,505500000,107300000,398200000,133400000,133400000,4193700000,36600000,4104900000,4832600000,3.46e+08,369100000,6.16e+08,45200000,533900000,36900000,1331100000,6163700000,180900000,42700000,138200000,4087300000,4.074e+09,4268200000,121800000,53300000,68500000,121800000,4.39e+09,663200000,3700000,659500000,1088500000,2.2e+07,1773700000,1773700000,6163700000,123500000,24900000,31700000,-111200000,68900000,-24500000,1150200000,1357300000,-2.98023223876953e-08,-1419300000,-1419300000,6900000,6900000,6900000,236700000,1.11022302462516e-16,190700000,0.70443,0.36187,0.211,0.06963,0.02004,1.54413,1.13223,2.47505,-2.58493941422821e-26,0.33854,0.33743,1.60444,4.86212,0.52275,1.11022302462516e-16,0.06515,0.10061,2.22044604925031e-16,-2.13561,-2.38669
"17","2014_Q2",31.3206349206349,"Down",613100000,603100000,1e+07,-169900000,443200000,-188100000,-188100000,255100000,1200000,256300000,256300000,-93500000,162800000,162800000,162800000,162800000,559200000,111600000,447600000,154700000,154700000,3984400000,4.2e+07,3940400000,4698300000,350500000,365600000,616800000,42100000,533900000,40800000,1332900000,6031200000,195300000,40400000,129300000,3955100000,3948300000,4150400000,132400000,58300000,74100000,132400000,4282800000,719100000,3700000,715400000,1034200000,-4900000,1748400000,1748400000,6031200000,162800000,24400000,35100000,44400000,266700000,-25800000,323600000,30800000,-127900000,-81400000,-293200000,4300000,4300000,4300000,279500000,0,391600000,0.72288,0.41608,0.26554,0.09311,0.02699,2.40541,1.13201,2.44955,0,0.44566,0.44396,1.67835,4.7862,1.072,0.35012,0.15456,0.20821,0.78563,-2.00072,-2.19208
"18","2014_Q3",32.3540625,"Up",616400000,606400000,1e+07,-173600000,442800000,-194200000,-194200000,248600000,1300000,249900000,249900000,-91200000,158700000,158700000,158700000,158700000,463400000,2.13e+08,250400000,178800000,178800000,4021600000,43100000,3946800000,4663800000,351400000,375900000,628300000,43600000,5.4e+08,44700000,1355600000,6019400000,172200000,36400000,135800000,3946900000,3930900000,4119100000,139900000,61600000,78300000,139900000,4.259e+09,753500000,3600000,749900000,993200000,13700000,1760400000,1760400000,6019400000,158700000,2.6e+07,3.1e+07,-82200000,133500000,-26800000,4.9e+08,163500000,-127800000,7399999.99999976,-195600000,101400000,101400000,101400000,274600000,-1.77635683940025e-15,256800000,0.71836,0.40331,0.25746,0.09015,0.02636,1.61815,1.13224,2.41934,4.13590306276514e-25,0.43491,0.43313,1.68923,4.82434,0.70375,0.35023,0.15077,0.13514,0.80529,-1.68755,-1.86404
"19","2014_Q4",35.84015625,"Up",650400000,639900000,10500000,-1.91e+08,459400000,-208700000,-208700000,250700000,1500000,252200000,252200000,-92100000,160100000,160100000,160100000,160100000,585700000,271300000,314400000,129600000,129600000,5.004e+09,49800000,4946200000,5719300000,345100000,377800000,627200000,40500000,5.4e+08,46700000,1350100000,7069400000,206900000,34700000,164100000,4.932e+09,4924200000,5138900000,142300000,61700000,80600000,142300000,5281200000,779900000,3600000,776300000,983700000,24600000,1788200000,1788200000,7069400000,160100000,26300000,2e+06,117200000,305600000,-17300000,-2.59e+08,-1088500000,-127700000,1012800000,841200000,58300000,58300000,58300000,2.77e+08,0,4.69e+08,0.70633,0.38546,0.24616,0.08953,0.02265,2.92942,1.11294,2.95336,0,0.43959,0.43767,1.78583,4.90994,1.28775,0.35063,0.14908,0.24294,0.79763,-2.11444,-2.33626
"20","2015_Q1",38.0172131147541,"Up",6.39e+08,628800000,10200000,-1.98e+08,4.41e+08,-212700000,-212700000,228300000,1400000,229700000,229700000,-83800000,145900000,145900000,145900000,145900000,551200000,152500000,398700000,149400000,149400000,4301900000,37800000,4234900000,5002500000,342200000,385600000,639800000,40600000,540300000,58900000,1367600000,6370100000,220500000,48800000,171700000,4218400000,4211800000,4438900000,154200000,55700000,98500000,154200000,4593100000,7.98e+08,3600000,794400000,957500000,21500000,1.777e+09,1.777e+09,6370100000,145900000,28300000,25500000,-24600000,175100000,-25500000,-324500000,578100000,-127200000,-698100000,-8.72e+08,-118800000,-118800000,-118800000,256600000,-2.8421709430404e-14,290300000,0.69014,0.35728,0.22833,0.0821,0.0229,1.98972,1.12697,2.58475,0,0.40127,0.39918,1.75743,4.88724,0.7984,0.34983,0.14141,0.15032,0.87183,-2.14809,-2.41437
"21","2015_Q2",38.5357142857143,"Up",666800000,656600000,10200000,-194300000,472500000,-2.05e+08,-2.05e+08,267500000,1400000,268900000,268900000,-97600000,171300000,171300000,171300000,171300000,559300000,462600000,96700000,168900000,168900000,4143800000,47400000,4096400000,4.872e+09,346600000,396500000,671500000,42600000,563400000,65500000,1414600000,6286600000,256400000,40100000,156100000,4087600000,4078100000,4.344e+09,1.57e+08,6e+07,9.7e+07,1.57e+08,4.501e+09,815900000,3600000,812300000,943700000,2.6e+07,1785600000,1785600000,6286600000,171300000,26500000,36500000,28800000,263100000,-26400000,612700000,358900000,-138300000,-136100000,-311900000,310100000,310100000,310100000,2.94e+08,0,3.94e+08,0.70861,0.40117,0.2569,0.09593,0.02725,2.30006,1.12155,2.52072,0,0.47177,0.4697,1.83641,4.91765,1.0851,0.38089,0.15937,0.20282,0.80736,-1.90238,-2.09084
"22","2015_Q3",37.0953125,"Down",676300000,665900000,10400000,-199100000,477200000,-2.07e+08,-2.07e+08,270200000,1400000,271600000,271600000,-98600000,1.73e+08,1.73e+08,1.73e+08,1.73e+08,5.29e+08,140400000,388600000,205600000,205600000,4125300000,48800000,4069100000,4859900000,344400000,398500000,671700000,38800000,563800000,69100000,1414600000,6274500000,214200000,39800000,174400000,4065100000,4050600000,4279300000,160900000,58900000,1.02e+08,160900000,4440200000,847600000,3600000,8.44e+08,964300000,22400000,1834300000,1834300000,6274500000,1.73e+08,2.6e+07,31300000,-88700000,141600000,-20800000,-539500000,-304200000,-137900000,-6700000,-159600000,-322200000,-322200000,-322200000,296200000,4.54747350886464e-13,285300000,0.7056,0.39953,0.2558,0.09431,0.02757,1.64913,1.13568,2.42065,1.05879118406788e-22,0.47658,0.47449,1.86309,5.05317,0.78595,0.37989,0.15582,0.14299,0.79711,-1.78596,-1.95781
"23","2015_Q4",41.93703125,"Up",704300000,693600000,10700000,-2.11e+08,493300000,-2.29e+08,-2.29e+08,264300000,1600000,265900000,265900000,-96500000,169400000,169400000,169400000,169400000,620800000,265300000,355500000,148400000,148400000,5188200000,5.4e+07,5.123e+09,5957400000,347700000,408600000,630500000,35600000,563800000,31100000,1386800000,7344200000,236900000,40100000,1.86e+08,5111100000,5111100000,5.348e+09,124200000,17600000,106600000,124200000,5472200000,871900000,3600000,868300000,978300000,21800000,1.872e+09,1.872e+09,7344200000,169400000,26600000,1100000,9.1e+07,288100000,-2.7e+07,79500000,-1081900000,-138200000,1074800000,918700000,124900000,124900000,124900000,290900000,0,451400000,0.70041,0.37527,0.24052,0.09049,0.02307,2.6647,1.11395,2.92318,0,0.46641,0.46411,1.93915,5.15419,1.24284,0.38051,0.15409,0.22613,0.81582,-2.13407,-2.34885
"24","2016_Q1",40.7754098360656,"Down",692200000,681400000,10800000,-203600000,488600000,-2.37e+08,-2.37e+08,251600000,2e+06,253600000,253600000,-92400000,161200000,161200000,161200000,161200000,536600000,1.7e+08,366600000,176600000,176600000,4.375e+09,50800000,4311300000,5088200000,353900000,399800000,625600000,32400000,561500000,31700000,1379300000,6467500000,262100000,51700000,210400000,4310900000,4299700000,4.573e+09,1.09e+08,1800000,107200000,1.09e+08,4.682e+09,883700000,3600000,880100000,894300000,7500000,1785500000,1785500000,6467500000,161200000,27500000,35900000,-22200000,202400000,-31900000,-453600000,742200000,-137400000,-790500000,-1039900000,-95299999.9999999,-95299999.9999999,-95299999.9999999,279100000,0,317400000,0.70587,0.36348,0.23288,0.09028,0.02492,1.96898,1.11266,2.62223,-8.470329472543e-22,0.44494,0.44274,1.91057,4.92824,0.87607,0.37924,0.15761,0.16754,0.85236,-1.92261,-2.13275
"25","2016_Q2",43.6996875,"Up",7.23e+08,712200000,10800000,-205700000,517300000,-221200000,-221200000,296100000,1400000,297500000,297500000,-88400000,209100000,209100000,209100000,209100000,537700000,455900000,81800000,206600000,206600000,3843900000,63400000,3780500000,4588200000,350100000,416200000,628500000,3.3e+07,561500000,3.4e+07,1394800000,5.983e+09,263700000,4.3e+07,191300000,3782700000,3781600000,4046400000,145800000,18200000,127600000,145800000,4192200000,900600000,3600000,8.97e+08,876400000,13800000,1790800000,1790800000,5.983e+09,209100000,2.7e+07,42700000,-5e+05,278300000,-24700000,683900000,759900000,-151900000,-537500000,-752300000,285900000,285900000,285900000,323100000,0,386300000,0.71549,0.40954,0.28921,0.11676,0.03495,1.84744,1.1339,2.34096,0,0.57906,0.57635,2.00222,4.95929,1.06979,0.42066,0.18641,0.19947,0.72645,-1.66419,-1.81594
"26","2016_Q3",49.33015625,"Up",722400000,711300000,11100000,-205200000,517200000,-2.23e+08,-2.23e+08,294200000,1600000,295800000,295800000,-106600000,189200000,189200000,189200000,189200000,476400000,412300000,64100000,241100000,241100000,3.885e+09,62700000,3756800000,4602500000,352700000,436500000,625100000,31300000,561500000,32300000,1414300000,6016800000,241400000,47400000,1.94e+08,3768500000,3752700000,4009900000,148600000,14400000,134200000,148600000,4158500000,924100000,3600000,920500000,913900000,20300000,1858300000,1858300000,6016800000,189200000,27700000,35700000,-1.11e+08,141600000,-28700000,-23700000.0000002,-11200000,-151700000,-22300000,-1.74e+08,-43600000.0000001,-43600000.0000001,-43600000.0000001,321900000,5.82076609134674e-11,288800000,0.71595,0.40725,0.2619,0.10181,0.03145,1.52643,1.14778,2.2378,0,0.52454,0.52222,2.00277,5.15193,0.80067,0.42057,0.16986,0.1439,0.8018,-1.47996,-1.61931
"27","2016_Q4",47.7903174603175,"Down",752600000,740700000,11900000,-225900000,526700000,-246700000,-246700000,2.8e+08,1700000,281700000,281700000,-101300000,180400000,180400000,180400000,180400000,327200000,253100000,74100000,353400000,353400000,4.823e+09,64400000,4748800000,5503600000,3.5e+08,428600000,785300000,73500000,656200000,55600000,1563900000,7067500000,275300000,55800000,219500000,4763900000,4763900000,5039200000,154200000,18300000,135900000,154200000,5193400000,9.37e+08,3600000,933400000,899600000,37500000,1874100000,1874100000,7067500000,180400000,30400000,4300000,156200000,371300000,-23900000,-57500000,-1312300000,-151400000,978200000,781800000,-159200000,-159200000,-159200000,310400000,0,5.44e+08,0.69984,0.37204,0.2397,0.09626,0.02553,3.01552,1.09216,2.77114,0,0.50042,0.49807,2.08766,5.19861,1.50902,0.41997,0.16359,0.2682,0.83925,-1.05412,-1.16857
