"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2020_Q2",27.5665079365079,"Down",8.985e+09,1.98e+08,9.16e+08,7.871e+09,8.86e+08,-1.9e+07,7.004e+09,-1.446e+09,-1.287e+09,6.252e+09,6.252e+09,6.252e+09,-1.293e+09,4.959e+09,4.959e+09,-2e+06,4.957e+09,4.95e+09,1.04732e+11,8.93e+09,1.4994e+10,4.862e+09,9.0435e+10,2.23953e+11,9.111e+10,1.347e+10,4.365e+09,9.4569e+10,2.03514e+11,1.2912e+10,5.521e+09,2.647e+09,2.0374e+10,6.5e+07,2.0439e+10,2.23953e+11,9.6e+07,-3.72e+08,-1.112e+09,-1.484e+09,-334902091.239515,8.068e+09,7.441e+09,6.053e+09,6.053e+09,6.053e+09,4.365e+09,0.69583,0.55092,0.24218,0.0221,9.95714,0.01949,47.25116,47.10091,85.76801,194.48385,0.02355,-0.73017
"12","2020_Q3",29.04203125,"Up",-922000000.000002,1.93e+08,6.52e+08,-1.767e+09,8.27e+08,-3.4e+07,-2.56e+09,-1.115e+09,-4.85e+08,-2.522e+09,-2.522e+09,-2.522e+09,5.31e+08,-1.991e+09,-1.991e+09,-6.98491930961609e-10,-1.991e+09,-1.998e+09,1.07172e+11,7.325e+09,1.5218e+10,4.856e+09,1.00796e+11,2.35367e+11,9.5331e+10,1.0443e+10,3.979e+09,1.0464e+11,2.14393e+11,1.3308e+10,3.523e+09,4.965e+09,2.0909e+10,6.5e+07,2.0974e+10,2.35367e+11,3.71e+08,-9.39e+08,2.98e+08,-6.41e+08,-3.87e+08,-475999999.999999,-1.335e+09,-1.605e+09,-1.605e+09,-1.605e+09,3.979e+09,2.73536,2.16703,-0.09526,-0.00848999999999999,10.22185,0.01691,-21.09861,-21.11061,-9.7362,220.79624,-0.00885,1.32672
"13","2020_Q4",33.57921875,"Up",3.09e+08,1.84e+08,9.96e+08,-8.71e+08,8.82e+08,5e+06,-1.758e+09,-3.328e+09,-8.24e+08,-3.843e+09,-3.843e+09,-3.843e+09,8.5e+08,-2.993e+09,-2.993e+09,-2e+06,-2.995e+09,-3.012e+09,1.08329e+11,6.189e+09,1.6087e+10,4.664e+09,1.04412e+11,2.39681e+11,1.00423e+11,8.877e+09,3.979e+09,1.08071e+11,2.2135e+11,1.3315e+10,5.11e+08,5.381e+09,1.8266e+10,6.5e+07,1.8331e+10,2.39681e+11,4.8e+07,-2.267e+09,2.08e+08,-2.059e+09,0,1.345e+09,8.75e+08,-1.136e+09,-1.136e+09,-1.136e+09,3.979e+09,-12.43689,-9.74757,-0.16431,-0.01257,12.07517,0.0166,-32.51231,-32.611,3.33543,197.16795,-0.01298,0.57507
"14","2021_Q1",41.0806557377049,"Up",1.31e+08,1.91e+08,1.037e+09,-1.097e+09,8.68e+08,3.26e+08,-2.291e+09,-9.14e+08,-5.23e+08,-1.306e+09,-1.306e+09,-1.306e+09,2.75e+08,-1.031e+09,-1.031e+09,-1e+06,-1.032e+09,-1.045e+09,1.09531e+11,4.108e+09,1.6158e+10,4.911e+09,1.13161e+11,2.47869e+11,1.02367e+11,6.998e+09,3.436e+09,1.1698e+11,2.29781e+11,1.3879e+10,-5.34e+08,5.716e+09,1.8023e+10,6.5e+07,1.8088e+10,2.47869e+11,3.73e+08,-2.319e+09,6.6e+08,-1.659e+09,-5.5e+08,1.025e+09,-7.95e+08,-2.081e+09,-2.081e+09,-2.081e+09,3.436e+09,-9.96947,-7.9771,-0.05777,-0.00422,12.70351,0.01386,-11.70161,-11.70161,1.4669,201.81639,-0.00428,0.51455
"15","2021_Q2",46.9842857142857,"Up",9.38e+08,1.84e+08,1.187e+09,-4.33e+08,9.3e+08,1.4e+07,-1.377e+09,-1.053e+09,-6.53e+08,-7.68e+08,-7.68e+08,-7.68e+08,1.85e+08,-5.83e+08,-5.83e+08,-2e+06,-5.85e+08,-6.1e+08,1.03171e+11,4.025e+09,1.6129e+10,5.148e+09,1.13464e+11,2.41937e+11,1.00933e+11,5.245e+09,3.435e+09,1.17242e+11,2.26855e+11,1.3859e+10,-1.119e+09,3.389e+09,1.5017e+10,6.5e+07,1.5082e+10,2.41937e+11,-1.04e+08,-1.249e+09,3.107e+09,1.858e+09,-458410713.084479,-1.046e+09,-1.837e+09,-8.3e+07,-8.3e+07,-8.3e+07,3.435e+09,-0.81876,-0.65032,-0.04045,-0.00252,15.04144,0.0142,-6.96558,-6.96558,10.71101,171.47892,-0.00247,0.76823
"16","2021_Q3",45.0765625,"Down",1.676e+09,1.62e+08,1.212e+09,3.02e+08,9.19e+08,-3.4e+07,-5.83e+08,-1.039e+09,-6.16e+08,2.1e+07,2.1e+07,2.1e+07,1e+07,3.1e+07,3.1e+07,0,3.1e+07,1e+07,1.10565e+11,4.882e+09,1.6127e+10,5.122e+09,1.1716e+11,2.53856e+11,1.07083e+11,6.402e+09,3.436e+09,1.20755e+11,2.37676e+11,1.3843e+10,-1.088e+09,4.596e+09,1.6115e+10,6.5e+07,1.618e+10,2.53856e+11,1.73e+08,-3.251e+09,3.867e+09,6.16e+08,-1e+06,8.11e+08,67999999.9999995,8.57e+08,8.57e+08,8.57e+08,3.436e+09,0.01253,0.00596999999999981,0.000619999999999996,4.00000000000005e-05,14.68949,0.01354,0.11419,0.11419,19.13822,184.01697,0.00013,-68.85714
"17","2021_Q4",51.164375,"Up",2.512e+09,1.93e+08,1.281e+09,1.038e+09,8.81e+08,-1.6e+07,1.73e+08,-1.525e+09,-4.97e+08,4.9e+08,4.9e+08,4.9e+08,-1.05e+08,3.85e+08,3.85e+08,-2e+06,3.83e+08,3.61e+08,1.1532e+11,4.108e+09,1.6298e+10,5.356e+09,1.13609e+11,2.54691e+11,1.10949e+11,6.907e+09,3.436e+09,1.17303e+11,2.38595e+11,1.3831e+10,-7.05e+08,4.29e+09,1.6031e+10,6.5e+07,1.6096e+10,2.54691e+11,5.75e+08,-3.02e+09,-9.119e+09,-1.2139e+10,0,9.666e+09,1.079e+10,-7.74e+08,-7.74e+08,-7.74e+08,3.436e+09,0.19506,0.14371,0.02243,0.00142,14.82325,0.01349,4.23427,4.23427,29.46394,188.03201,0.00155,-1.37143
"18","2022_Q1",53.3588709677419,"Up",2.016e+09,1.68e+08,1.201e+09,6.47e+08,9.06e+08,-2.3e+07,-2.36e+08,-1.138e+09,-8.29e+08,49000000.0000001,49000000.0000001,49000000.0000001,1.5e+07,64000000.0000001,64000000.0000001,-1e+06,63000000.0000001,41999999.9999999,1.18225e+11,4.474e+09,1.6094e+10,5.377e+09,1.1567e+11,2.5984e+11,1.14115e+11,7.393e+09,3.157e+09,1.18968e+11,2.43633e+11,1.4155e+10,-6.42e+08,4.172e+09,1.6142e+10,6.5e+07,1.6207e+10,2.5984e+11,1.02e+08,-9.11e+08,-1.662e+09,-2.573e+09,-2.79e+08,7.191e+09,2.837e+09,3.66e+08,3.66e+08,3.66e+08,3.157e+09,0.02431,0.02083,0.00259,0.00016,15.03258,0.01215,0.55975,0.54397,26.86788,215.12959,0.00025,-26.87755
"19","2022_Q2",48.2609677419355,"Down",2.74e+09,1.66e+08,1.151e+09,1.423e+09,8.41e+08,-6.8e+07,6.5e+08,-1.196e+09,-7.37e+08,8.07e+08,8.07e+08,8.07e+08,-1.65e+08,6.42e+08,6.42e+08,-2e+06,6.4e+08,6.13e+08,1.1342e+11,4.101e+09,1.629e+10,5.581e+09,1.0566e+11,2.45052e+11,1.13323e+11,6.485e+09,3.157e+09,1.09208e+11,2.32173e+11,1.4134e+10,-2e+06,3.63e+08,1.2814e+10,6.5e+07,1.2879e+10,2.45052e+11,-1.63e+08,-1.797e+09,5.618e+09,3.821e+09,-1e+06,-1.49e+08,-4.031e+09,-3.73e+08,-3.73e+08,-3.73e+08,3.157e+09,0.29453,0.22372,0.0476,0.0025,18.02725,0.01288,7.87209,7.63915,35.18682,164.55616,0.00268,-1.16976
"20","2022_Q3",45.52484375,"Down",3.797e+09,1.67e+08,1.061e+09,2.569e+09,7.84e+08,-6.6e+07,1.851e+09,-1.427e+09,-1.157e+09,1.213e+09,1.213e+09,1.213e+09,-2.3e+08,9.83e+08,9.83e+08,0,9.83e+08,9.57e+08,1.10435e+11,5.071e+09,1.6642e+10,5.434e+09,9.0629e+10,2.28211e+11,1.12708e+11,6.675e+09,3.157e+09,9.5415e+10,2.17955e+11,1.4114e+10,9.81e+08,-3.091e+09,1.0191e+10,6.5e+07,1.0256e+10,2.28211e+11,1.81e+08,-2.585e+09,7.852e+09,5.267e+09,0,4.3e+08,-4.478e+09,9.7e+08,9.7e+08,9.7e+08,3.157e+09,0.31946,0.25204,0.09331,0.00419,21.25146,0.01383,12.2897,11.92604,48.76071,130.87185,0.00444,-1.57791
