"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",52.8508064516129,"Down",538112000,-424903000,113209000,-71864000,-60475000,-7848000,-3541000,41345000,-12383000,-12760000,-237000,614000,28962000,28962000,-7408000,21554000,21554000,21554000,21554000,83797000,83797000,128495000,128495000,391306000,22051000,13746000,625649000,424241000,1518844000,424046000,1072516000,22282000,1943085000,2568734000,200993000,200993000,2016000,203009000,953474000,254552000,210876000,43676000,1208026000,1411035000,723073000,443725000,-9099000,1157699000,1157699000,2568734000,21554000,21554000,23872000,8556000,-44030000,9952000,-17034000,-17034000,13242000,166000,13408000,6326000,6326000,3227000,9553000,65217000,955490000,11561000,0.21038,0.07683,0.04005,0.01862,0.00839,0.53637,3.08188,1.21883,0.37197,0.59423,0.58063,14.83547,31.91715,0.31873,0.0091,0.00488,13.36604,21.0834
"12","2013_Q1",56.3213333333333,"Up",592781000,-473603000,119178000,-70461000,-61817000,-8811000,167000,48717000,-12670000,-12556000,285000,-399000,36047000,36047000,-10823000,25224000,25224000,25224000,25224000,94407000,94407000,124648000,124648000,347353000,22003000,14005000,588411000,425307000,1512155000,417561000,1073191000,21403000,1937462000,2525873000,185086000,185086000,1944000,187030000,898100000,261488000,212461000,49027000,1159588000,1346618000,726944000,468951000,-16640000,1179255000,1179255000,2525873000,25224000,25224000,31392000,2590000,40783000,99989000,-28098000,-33053000,-55452000,50000.0000000002,-55402000,11534000,11534000,-924000,10610000,80109000,900044000,103617000,0.20105,0.08218,0.04255,0.02139,0.00999,4.10787,3.14608,1.14192,0.35633,0.69541,0.67945,16.34266,32.51144,2.85667,0.01078,0.04427,10.05676,16.53708
"13","2013_Q2",64.66953125,"Up",540110000,-425938000,114172000,-69792000,-59875000,-8499000,-1418000,44380000,-11026000,-12100000,361000,713000,33354000,33354000,-10380000,22974000,22974000,22974000,22974000,99464000,91801000,127563000,127563000,364635000,22926000,8416000,614588000,419025000,1500539000,409260000,1070713000,20566000,1919564000,2534152000,209449000,209449000,1803000,211252000,862282000,261690000,212265000,49425000,1123972000,1335224000,731052000,491924000,-24048000,1198928000,1198928000,2534152000,22974000,22974000,26884000,-417000,7545000,56986000,-14688000,-22165000,-35957000,561000,-35396000,-575000,-575000,-2031000,-2606000,71264000,864085000,74501000,0.21139,0.08217,0.04254,0.01916,0.00907,3.24284,2.90926,1.11368,0.34098,0.63288,0.61702,14.87865,33.02741,2.05231,0.00988,0.03205,10.72941,17.22895
"14","2013_Q3",68.915625,"Up",526346000,-416778000,109568000,-68591000,-60500000,-8227000,136000,40977000,-13094000,-11908000,-841000,-345000,27883000,27883000,-9318000,18565000,18565000,18565000,18565000,35896000,28345000,115604000,115604000,389447000,28289000,20044000,569236000,419872000,1487375000,400550000,1067068000,19757000,1907247000,2476483000,195410000,195410000,1667000,197077000,813224000,258539000,214048000,44491000,1071763000,1268840000,732421000,510489000,-35267000,1207643000,1207643000,2476483000,18565000,18565000,28254000,8004000,-41767000,13056000,-23136000,-23244000,-49192000,-656000,-49848000,-60036000,-60036000,-3420000,-63456000,69231000,814891000,13646000,0.20817,0.07785,0.03527,0.01537,0.0075,0.73504,2.88839,1.05067,0.32905,0.5108,0.49652,14.48194,33.22721,0.37546,0.00814,0.00598,11.25211,19.01054
"15","2013_Q4",70.32640625,"Up",567150000,-451887000,115263000,-74103000,-64659000,-8583000,-861000,41160000,-11788000,-12089000,-127000,428000,29372000,29372000,-6707000,22665000,22665000,22665000,22665000,116325000,108052000,133945000,133945000,423340000,25593000,17164000,699203000,424572000,1502694000,412407000,1071108000,19179000,1927266000,2626469000,214177000,214177000,1527000,215704000,908514000,256400000,216226000,40174000,1164914000,1380618000,740511000,533154000,-27814000,1245851000,1245851000,2626469000,22665000,22665000,25060000,942000,-16823000,31844000,-16464000,-51382000,95152000,1723000,96875000,77337000,77337000,2370000,79707000,66220000,910041000,39640000,0.20323,0.07257,0.03996,0.01819,0.00863,1.74895,3.24149,1.10817,0.34649,0.62116,0.60545,15.54347,34.14413,1.08638,0.0094,0.01643,11.98605,19.28367
"16","2014_Q1",68.975737704918,"Down",660321000,-523775000,136546000,-84899000,-71029000,-10066000,-3804000,51647000,-17346000,-11022000,-2283000,-4041000,34301000,34301000,-11517000,22784000,22784000,22784000,22784000,55155000,46475000,152763000,152763000,405698000,36073000,14164000,649689000,462275000,1609090000,475756000,1119204000,14130000,2071365000,2721054000,238813000,238813000,1551000,240364000,938945000,268627000,228569000,40058000,1207572000,1447936000,748942000,555939000,-31763000,1273118000,1273118000,2721054000,22784000,22784000,28444000,838000,62738000,114804000,-25935000,-210059000,30052000,4035000,34087000,-61168000,-61168000,-408999.999999998,-61577000,80091000,940496000,128411000,0.20679,0.07821,0.0345,0.0179,0.00837,5.63602,2.70294,1.13731,0.34564,0.62357,0.60717,18.07217,34.84367,3.51445,0.00918,0.05173,11.05419,17.14216
"17","2014_Q2",74.5095238095238,"Up",618903000,-485912000,132991000,-82692000,-71785000,-10034000,-873000,50299000,-13571000,-10705000,-2951000,85000,36728000,20043000,-5721000,14322000,14322000,14322000,14322000,24401000,15786000,151072000,151072000,413296000,38693000,16863000,627462000,455767000,1593193000,464334000,1112699000,16160000,2048960000,2676422000,217028000,217028000,1549000,218577000,900463000,265405000,227875000,37530000,1165868000,1384445000,765284000,570260000,-43567000,1291977000,1291977000,2676422000,14322000,14322000,27006000,17082000,-22540000,35870000,-21130000,-19978000,-38532000,-7486000,-46018000,-30126000,-30126000,-563000,-30689000,77305000,902012000,39356000,0.21488,0.08127,0.02314,0.01109,0.00535,2.74794,2.87067,1.07157,0.33702,0.39044,0.38025,16.87212,35.22101,1.0729,0.00582,0.016,11.35258,17.44788
"18","2014_Q3",78.99390625,"Up",627960000,-492283000,135677000,-91101000,-80204000,-10532000,-365000,44576000,-5577000,-8588000,4099000,-1088000,38999000,33740000,-11981000,21759000,21759000,21759000,21759000,26399000,17013000,154888000,154888000,498933000,38720000,25487000,718940000,496671000,1696745000,512376000,1163964000,20405000,2193416000,2912356000,288918000,288918000,3939000,292857000,1016576000,266474000,240644000,25830000,1283050000,1575907000,776986000,592021000,-32558000,1336449000,1336449000,2912356000,21759000,21759000,25651000,6353000,-6240000.00000001,47523000,-14232000,-156509000,111340000,-3984000,107356000,-1630000,-1630000,2857000,1227000,70227000,1020515000,61736000,0.21606,0.07099,0.03465,0.01628,0.00747,2.83726,2.45492,1.17917,0.35041,0.58869,0.57175,16.98934,36.15738,1.67026,0.00829,0.02353,14.15575,22.3016
"19","2014_Q4",82.9215625,"Up",795726000,-637138000,158588000,-110623000,-95495000,-14958000,-170000,47965000,-17095000,-9989000,-8004000,898000,30870000,30795000,-10913000,19882000,19882000,19882000,19882000,31298000,22171000,225185000,225185000,677362000,40415000,31913000,974260000,540067000,2432272000,737606000,1673979000,20687000,2972339000,3946599000,322567000,322567000,3967000,326534000,1558843000,342525000,306620000,35905000,1901368000,2227902000,1153520000,611901000,-46724000,1718697000,1718697000,3946599000,19882000,19882000,30268000,14394000,-70976000,-6432000,-37330000,-897036000,542312000,10173000,910849000,7381000,7381000,-2223000,5158000,78233000,1562810000,-19160000,0.1993,0.06028,0.02499,0.01157,0.00504,-0.96369,2.98364,1.29627,0.39599,0.4829,0.47276,19.32687,41.74432,-0.46536,0.00549,-0.00529,19.57629,31.92978
"20","2015_Q1",86.2793442622951,"Up",903513000,-724165000,179348000,-104034000,-85911000,-17110000,-1013000,75314000,-23322000,-11764000,-6533000,-5025000,51992000,51992000,-18075000,33917000,33917000,33917000,33917000,61129000,51981000,233656000,233656000,594098000,24989000,24989000,913872000,543778000,2400672000,716298000,1667985000,16389000,2944450000,3858322000,296860000,296860000,12994000,309854000,1437749000,351462000,283890000,67572000,1789211000,2099065000,1177769000,645819000,-64331000,1759257000,1759257000,3858322000,33917000,33917000,32990000,42943000,42739000,152589000,-23684000,-16382999.9999998,-103315000,-1276000,-104591000,31615000,31615000,-1805000,29810000,108304000,1450743000,145434000,0.1985,0.08336,0.03754,0.01928,0.00879,4.28794,2.94936,1.19315,0.376,0.79662,0.78557,21.22118,41.32039,3.41587,0.00952,0.04084,12.83068,18.45094
"21","2015_Q2",77.2919047619048,"Down",783145000,-630708000,152437000,-105741000,-90198000,-15328000,-215000,46696000,-20895000,-9923000,-11386000,414000,25801000,25801000,-7949000,17852000,17852000,17852000,17852000,63363000,54651000,217805000,217805000,559177000,58558000,23465000,898903000,542592000,2373889000,692825000,1656847000,24217000,2916481000,3815384000,263506000,263506000,15615000,279121000,1383448000,387593000,318203000,69390000,1771041000,2050162000,1192163000,663671000,-90612000,1765222000,1765222000,3815384000,17852000,17852000,30733000,11428000,21589000,81602000,-24955000,-25058000,-60730000,8405000,-52325000,4219000,4219000,-1549000,2670000,77429000,1399063000,82012000,0.19465,0.05963,0.0228,0.01011,0.00468,4.594,3.22048,1.16142,0.36669,0.41639,0.40908,18.26662,41.17328,1.91291,0.00503,0.02309,17.25064,28.60416
"22","2015_Q3",80.07203125,"Up",759208000,-607837000,151371000,-96850000,-81164000,-15551000,-135000,54521000,-6734000,-11178000,2386000,2058000,47787000,47787000,-16425000,31362000,31362000,31362000,31362000,53568000,44564000,172799000,172799000,613276000,59932000,24038000,899575000,549348000,2368165000,683408000,1660654000,24103000,2917513000,3817088000,279306000,279306000,16895000,296201000,1328876000,387248000,318652000,68596000,1716124000,2012325000,1193867000,695033000,-84137000,1804763000,1804763000,3817088000,31362000,31362000,31034000,-1843000,6644000.00000001,67197000,-20673000,-20881000,-53287000,-2710000,-55997000,-9681000,-9681000,-406000,-10087000,85555000,1345771000,87951000,0.19938,0.07181,0.04131,0.01738,0.00822,2.80438,3.03704,1.11501,0.35256,0.72984,0.71818,17.66792,41.99956,2.04675,0.00886,0.02486,15.10377,23.70101
"23","2015_Q4",83.4525,"Up",798638000,-639941000,158697000,-96469000,-81422000,-14893000,-154000,62228000,-21953000,-10649000,-9226000,-2078000,40275000,40275000,-11834000,28441000,28441000,28441000,28441000,30915000,22883000,213631000,213631000,647085000,65490000,36846000,957121000,543559000,2343042000,661511000,1654138000,27393000,2886601000,3843722000,313890000,313890000,16560000,330450000,1307262000,387136000,319655000,67481000,1694398000,2024848000,1199497000,723474000,-104097000,1818874000,1818874000,3843722000,28441000,28441000,30165000,18660000,-56875000,20391000,-20945000,-21206000,-21905000,530000,-21375000,-22190000,-22190000,509000,-21681000,92393000,1323822000,26407000,0.19871,0.07792,0.03561,0.01564,0.0074,0.92848,2.89642,1.11324,0.34441,0.65884,0.6507,18.50069,42.13478,0.61173,0.00806,0.00748,13.99356,20.77693
"24","2016_Q1",79.8911475409836,"Down",865409000,-683614000,181795000,-105540000,-89416000,-14828000,-1296000,76255000,-18918000,-10750000,-7874000,-294000,57337000,57337000,-20092000,37245000,37245000,37245000,37245000,43307000,34919000,203198000,203198000,584115000,16583000,16583000,847203000,541528000,2314065000,646655000,1649794000,17616000,2855593000,3702796000,260580000,260580000,14893000,275473000,1221741000,350723000,279108000,71615000,1572464000,1847937000,1207598000,760729000,-113468000,1854859000,1854859000,3702796000,37245000,37245000,30168000,16255000,37742000,121410000,-18927000,-19155000,-79378000,-4825000,-84203000,18052000,18052000,-6054000,11998000,106423000,1236634000,145330000,0.21007,0.08811,0.04304,0.02008,0.01006,3.902,3.07545,0.99627,0.33397,0.86223,0.84995,20.03447,42.94053,3.36443,0.01082,0.04222,11.21306,15.64916
"25","2016_Q2",92.2359375,"Up",1270200000,-1045600000,224600000,-205600000,-180100000,-23800000,-1700000,1.9e+07,-23800000,-22900000,4100000,-5e+06,-4800000,-4800000,1600000,-3200000,-3200000,-3200000,-3200000,70318000,61089000,359744000,359744000,978508000,53059000,50385000,1461629000,1345786000,4056832000,1218853000,2782338000,55641000,5402618000,6864247000,521011000,521011000,41582000,562593000,2942336000,639981000,411071000,228910000,3582317000,4144910000,2050898000,757383000,-88944000,2719337000,2719337000,6864247000,-3200000,-3200000,59400000,7900000,46800000,110900000,-26800000,-2667300000,1776800000,-32500000,2579400000,2.3e+07,2.3e+07,3200000,26200000,78400000,2983918000,96800000,0.17682,0.01496,-0.00252,-0.00118,-0.000470000000000002,-30.25,2.59802,1.52424,0.4347,-0.06072,-0.06072,24.10247,51.60032,1.83681,-5e-04,0.01526,37.16327,153.34737
"26","2016_Q3",96.1403125,"Up",1541400000,-1275600000,265800000,-214200000,-182400000,-28500000,-3300000,51600000,-29400000,-30900000,8e+05,7e+05,22200000,22200000,-3200000,1.9e+07,1.9e+07,1.9e+07,1.9e+07,61232000,51591000,362461000,362461000,989406000,88672000,85998000,1501771000,1361270000,4035562000,1195498000,2788023000,52041000,5396832000,6898603000,606423000,606423000,49929000,656352000,2859502000,633973000,413358000,220615000,3493475000,4149827000,2059814000,773031000,-84069000,2748776000,2748776000,6898603000,1.9e+07,1.9e+07,73400000,2e+06,35200000,129600000,-6.3e+07,-63800000,-75999999.9999995,-2600000,-78599999.9999995,-12800000,-12800000,3300000,-9500000,1.25e+08,2909431000,100400000,0.17244,0.03348,0.01233,0.00691,0.00275,5.28421,2.28806,1.5097,0.42174,0.33569,0.33043,27.23322,48.56495,1.77385,0.00302,0.01596,22.78559,55.19766
"27","2016_Q4",76.4169841269841,"Down",1586900000,-1301300000,285600000,-2.08e+08,-174100000,-28600000,-5300000,77600000,-2.5e+07,-30700000,1100000,4600000,52600000,52600000,-15200000,37400000,37400000,37400000,37400000,57344000,47227000,384901000,384901000,1040978000,78640000,75966000,1561863000,1364672000,3996697000,1171554000,2774764000,50379000,5361369000,6923232000,606793000,606793000,58099000,664892000,2849759000,621336000,416079000,205257000,3471095000,4135987000,2068136000,810205000,-91096000,2787245000,2787245000,6923232000,37400000,37400000,75300000,2100000,-56900000,57900000,-51500000,-5.6e+07,-3300000,-3e+05,-3600000,-1700000,-1700000,-2700000,-4400000,152900000,2907858000,59700000,0.17997,0.0489,0.02357,0.01342,0.0054,1.59626,2.34905,1.4839,0.42001,0.65845,0.64931,27.93838,49.07121,1.05106,0.00592,0.00945,18.643,36.73343
"28","2017_Q1",80.1620967741935,"Up",1776600000,-1426500000,350100000,-241600000,-208200000,-2.9e+07,-4400000,108500000,-21700000,-34700000,-4e+05,13400000,86800000,-265400000,-16400000,-281800000,-281800000,-281800000,-281800000,72500000,62100000,4.29e+08,4.29e+08,9.78e+08,81200000,77600000,1560700000,1359300000,3625800000,1137600000,2447200000,4.1e+07,4985100000,6545800000,626800000,626800000,66400000,693200000,2724800000,624500000,422200000,202300000,3349300000,4042500000,2072500000,532100000,-101300000,2503300000,2503300000,6545800000,-281800000,-281800000,80200000,337800000,4.4e+07,180200000,-4.4e+07,-44200000,-120500000,1e+06,-119500000,16500000,16500000,-1600000,14900000,188700000,2791200000,205100000,0.19706,0.06107,-0.15862,-0.11257,-0.04305,-0.72782,2.25144,1.61487,0.42641,-4.96406,-5.11731,31.2958,44.09703,3.61295,-0.04761,0.03465,14.40753,25.05714
"29","2017_Q2",81.7992063492063,"Up",1536200000,-1249800000,286400000,-219100000,-183700000,-28600000,-6800000,67300000,-27600000,-26900000,-1e+05,-6e+05,39700000,39700000,-11500000,28200000,28200000,28200000,28200000,78500000,67200000,384300000,384300000,989500000,71600000,6.8e+07,1523900000,1338300000,3612800000,1118500000,2451100000,43200000,4951100000,6.475e+09,549200000,549200000,79600000,628800000,2677100000,620500000,4.03e+08,217500000,3297600000,3926400000,2085700000,560300000,-97400000,2548600000,2548600000,6.475e+09,28200000,28200000,72400000,-7500000,-14600000,78500000,-43200000,-43500000,-36100000,5800000,-30300000,4700000,4700000,4e+05,5100000,139700000,2756700000,93400000,0.18643,0.04381,0.01836,0.01106,0.00436,3.31206,2.42351,1.54061,0.42575,0.49561,0.48958,26.99824,44.79086,1.64148,0.00476000000000001,0.01576,19.17108,39.79495
