"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.38484375,"Up",199800000,-1.53e+08,46800000,-34700000,-34700000,12100000,-4300000,-4500000,2e+05,7800000,-8700000,-9e+05,-2e+05,-1100000,-6e+05,-6e+05,-6e+05,12800000,12800000,104400000,104400000,125800000,25900000,268900000,58600000,58600000,274300000,270100000,2500000,332900000,601800000,53900000,53900000,6100000,81700000,68200000,141700000,154500000,161700000,117500000,316200000,457900000,243400000,-16400000,-83100000,143900000,143900000,601800000,-1100000,3400000,-15500000,-14900000,-3200000,-2200000,-27132.0335420499,9e+05,1e+05,1e+06,-16100000,-16100000,-8e+05,-16900000,15500000,160600000,0.23423,0.06056,-0.003,-0.00417,-0.001,1.89767,3.18207,0.26687,-0.00962,-0.00962,3.20192,2.30609,0.000435103048946738,-0.00129,-0.00188264470764623,9.53548,12.21488
"12","2013_Q3",9.80546875,"Up",222600000,-170800000,51800000,-34200000,-34200000,17600000,-1800000,-1700000,-1e+05,15800000,6e+05,16400000,101400000,117800000,117500000,117500000,117500000,13100000,13100000,105100000,105100000,112200000,2.8e+07,258400000,60300000,60300000,331300000,270500000,2900000,391600000,6.5e+08,47200000,47200000,6600000,72300000,66500000,126100000,137600000,118600000,114600000,256200000,382300000,3.63e+08,-16600000,-78700000,267700000,267700000,6.5e+08,117800000,3500000,-97200000,20800000,-4800000,-4800000,0,-16600000,8e+05,-15800000,2e+05,2e+05,99999.9999999999,3e+05,21100000,144200000,0.2327,0.07907,0.52785,0.43892,0.18077,2.04917,1.42809,0.22185,1.88301,1.85918,3.56731,4.29006,0,0.22149,0,6.21327,7.44886
"13","2013_Q4",12.739375,"Up",209300000,-158800000,50500000,-31700000,-31700000,18800000,-1500000,-1500000,0,17300000,0,17300000,-5e+05,16800000,1.6e+07,1.6e+07,1.6e+07,20900000,20900000,108200000,108200000,111300000,25600000,2.66e+08,61100000,61100000,329700000,273100000,2400000,390800000,656800000,48800000,48800000,6500000,72600000,72600000,127900000,1.21e+08,117700000,111900000,238700000,366600000,380700000,-16700000,-73800000,290200000,290200000,656800000,16800000,3500000,6100000,26300000,-3700000,-3700000,0,-16500000,9e+05,-15600000,7e+06,7e+06,8e+05,7800000,22300000,127500000,0.24128,0.08982,0.07645,0.05513,0.02436,2.07975,1.26327,0.19412,0.25518,0.25237,3.33812,4.62839,0,0.02988,0,4.78027,5.67021
"14","2014_Q1",12.1370491803279,"Down",81200000,-54300000,26900000,-13100000,-13100000,13800000,-1400000,-1200000,-2e+05,12400000,-1300000,11100000,7899999.99999999,1.9e+07,27100000,27100000,27100000,23800000,23800000,95600000,95600000,109800000,36300000,265500000,63800000,63800000,315500000,273800000,5100000,379300000,644800000,50500000,50500000,7400000,74700000,74700000,132600000,84700000,76500000,70400000,161200000,293800000,409700000,-16800000,-41900000,3.51e+08,3.51e+08,644800000,1.9e+07,6e+05,1800000,42600000,2e+05,-5200000,1.45519152283669e-11,-3.5e+07,-2e+05,-35200000,2200000,2200000,7e+05,2900000,14400000,92100000,0.33128,0.16995,0.33374,0.07721,0.04203,2.00226,0.83704,0.14283,0.43084,0.42476,1.29094,5.58029,0,0.05216,8.67361737988404e-19,4.74306,4.94928
"15","2014_Q2",13.0974603174603,"Up",200200000,-153400000,46800000,-34200000,-34200000,12600000,-1e+06,-1e+06,0,11600000,2e+05,11800000,-4200000,7600000,7400000,7400000,7400000,1.6e+07,1.6e+07,107900000,107900000,121400000,25800000,271100000,65900000,65900000,314600000,273500000,8e+06,380500000,651600000,54500000,54500000,13500000,73900000,73900000,141900000,74600000,74500000,68600000,149100000,2.91e+08,418500000,-16800000,-41100000,360600000,360600000,651600000,7600000,3600000,-18200000,-7200000,2800000,2800000,0,-3900000,4e+05,-3500000,-7900000,-7900000,1e+05,-7800000,16200000,88100000,0.23377,0.06294,0.03696,0.02052,0.01136,1.9105,0.80699,0.13521,0.11783,0.11617,3.1879,5.74204,0,0.01414,0,4.45062,5.72222
"16","2014_Q3",13.03390625,"Down",234600000,-175700000,58900000,-34900000,-34900000,2.4e+07,-1200000,-9e+05,-3e+05,22800000,-99999.9999999998,22700000,-5700000,1.7e+07,17100000,17100000,17100000,24200000,24200000,1.05e+08,1.05e+08,124300000,28200000,281700000,68500000,68500000,308300000,273600000,8200000,376800000,658500000,58700000,58700000,12900000,77900000,77900000,149500000,62600000,70900000,65100000,133500000,2.83e+08,435900000,-20100000,-40300000,375500000,375500000,658500000,1.7e+07,3700000,1e+07,30600000,-5100000,-5100000,-1900000,-12500000,3e+05,-17400000,8100000,8100000,1e+05,8200000,27700000,75500000,0.25107,0.1023,0.07289,0.04554,0.02597,1.88428,0.75366,0.11465,0.27229,0.26761,3.73567,5.9793,0.03025,0.03641,0.11111,1.85199,2.1375
"17","2014_Q4",12.996875,"Down",219300000,-160900000,58400000,-33400000,-33400000,2.5e+07,-1200000,-9e+05,-3e+05,23800000,-1e+05,23700000,-8500000,15200000,15400000,15400000,15400000,29100000,29100000,9.8e+07,9.8e+07,131400000,24800000,283300000,68100000,68100000,299900000,269200000,8700000,3.68e+08,651300000,53700000,53700000,7900000,83400000,83400000,1.45e+08,60700000,66300000,60500000,1.27e+08,2.72e+08,451200000,-23500000,-48400000,379300000,379300000,651300000,15200000,3800000,1900000,20900000,-3700000,-3700000,-1900000,-6900000,5e+05,-11700000,5500000,5500000,-6e+05,4900000,28800000,68600000,0.2663,0.114,0.07022,0.0406,0.02365,1.95379,0.71711,0.10533,0.24522,0.24138,3.49204,6.03981,0.03025,0.03364,0.12338,1.37153,1.58
"18","2015_Q1",14.0045901639344,"Up",1.25e+08,-80400000,44600000,-17500000,-17500000,27100000,-1900000,-8e+05,-1100000,25200000,0,25200000,-5300000,19900000,23800000,23800000,23800000,24100000,24100000,73600000,73600000,87600000,85400000,270700000,52700000,52700000,335300000,235200000,4e+06,3.88e+08,658700000,41700000,41700000,6200000,91200000,91200000,139100000,4.4e+07,1.04e+08,93200000,1.48e+08,287100000,478200000,-27100000,-79500000,371600000,371600000,658700000,19900000,4e+05,21800000,28200000,2e+05,-5600000,-1800000,-18300000,2600000,-21100000,1500000,1500000,0,1500000,27500000,50200000,0.3568,0.2168,0.1904,0.06405,0.03613,1.94608,0.7726,0.07621,0.38141,0.37778,2.00321,5.95513,0.02885,0.04869,0.07563,0.94909,0.9631
"19","2015_Q2",14.0553968253968,"Up",196500000,-141600000,54900000,-30400000,-30400000,24500000,-1800000,-6e+05,-1200000,22700000,0,22700000,-8300000,14400000,14900000,14900000,14900000,2.3e+07,2.3e+07,112200000,112200000,126500000,29900000,291600000,68600000,68600000,288800000,260800000,3800000,357400000,6.49e+08,55100000,55100000,9e+06,72300000,72300000,136400000,43900000,1.01e+08,96100000,144900000,281300000,490500000,-33300000,-89500000,367700000,367700000,6.49e+08,14400000,3e+06,-16600000,3300000,-2700000,-2800000,-3800000,0,-2600000,-7e+06,-6500000,-6500000,-9e+05,-7400000,27500000,52900000,0.27939,0.12468,0.07583,0.04052,0.02296,2.13783,0.76503,0.08151,0.23764,0.23391,3.13397,5.86443,0.06061,0.03585,0.25503,1.08727,1.22041
"20","2015_Q3",12.900625,"Down",205400000,-144700000,60700000,-31100000,-31100000,29600000,-6e+05,-6e+05,0,2.9e+07,-4e+05,28600000,-10400000,18200000,18300000,18300000,18300000,35900000,35900000,119800000,119800000,120100000,30900000,306700000,68200000,68200000,285800000,262400000,3700000,3.54e+08,660700000,49400000,49400000,6200000,76200000,68400000,131800000,42400000,98500000,93600000,140900000,272700000,507600000,-3.5e+07,-84600000,3.88e+08,3.88e+08,660700000,18200000,3200000,8600000,24100000,-2400000,-2700000,-3700000,-1400000,1e+05,-9400000,1.2e+07,1.2e+07,9e+05,12900000,32800000,48600000,0.29552,0.14411,0.08909,0.04716,0.0277,2.32701,0.70284,0.07356,0.29374,0.2891,3.29695,6.22793,0.05939,0.04111,0.20219,0.3872,0.42905
"21","2015_Q4",14.394375,"Up",179700000,-1.25e+08,54700000,-29500000,-29500000,25200000,-9e+05,-6e+05,-3e+05,24300000,0,24300000,-8500000,15800000,18800000,18800000,18800000,66200000,66200000,1e+08,1e+08,124700000,21900000,312800000,68100000,68100000,281900000,261600000,3600000,3.5e+08,662800000,49100000,49100000,6500000,73800000,73800000,129400000,40500000,93700000,90200000,134200000,263600000,524900000,-40900000,-84800000,399200000,399200000,662800000,15800000,2900000,10900000,40500000,1400000,9e+05,-3800000,-1500000,3e+05,-10600000,30800000,30800000,-5e+05,30300000,28100000,4.7e+07,0.3044,0.14023,0.10462,0.04709,0.02836,2.41731,0.66032,0.07091,0.30225,0.29747,2.88907,6.41801,0.06109,0.04186,0.20213,-0.68327,-0.7619
"22","2016_Q1",12.5922950819672,"Down",186400000,-131100000,55300000,-3.1e+07,-3.1e+07,24300000,2.3283064365387e-10,-5e+05,5e+05,24300000,0,24300000,-6900000,17400000,11500000,11500000,11500000,7.6e+07,7.6e+07,7.3e+07,7.3e+07,87200000,78900000,315100000,52900000,52900000,298500000,231600000,3300000,351400000,666500000,3.8e+07,3.8e+07,4e+05,78800000,78800000,117200000,43700000,1e+08,84700000,143700000,260900000,535300000,-40900000,-88800000,405600000,405600000,666500000,17400000,3200000,22900000,29300000,-1900000,-8200000,-4300000,-2900000,1200000,-6e+06,15100000,15100000,-3e+05,14800000,27500000,44100000,0.29667,0.13036,0.0617,0.02835,0.01725,2.68857,0.64324,0.06617,0.18669,0.18139,3.02597,6.58442,0.06981,0.02874,0.37391,-1.16,-1.31276
"23","2016_Q2",12.093125,"Down",172800000,-125400000,47400000,-29600000,-29600000,17800000,3e+05,-4e+05,7e+05,18100000,-2e+06,16100000,-5700000,10400000,13600000,13600000,13600000,77300000,77300000,87100000,87100000,93600000,18700000,276700000,5.5e+07,5.5e+07,251500000,236200000,4800000,306500000,583200000,3.7e+07,3.7e+07,4e+05,52500000,52500000,89900000,2e+05,85700000,82400000,85900000,175800000,5.45e+08,-59600000,-7.8e+07,407400000,407400000,583200000,10400000,3e+06,-20100000,-5400000,-2e+06,73600000,-4300000,-44500000,-2600000,-6.7e+07,1200000,1200000,1e+05,1300000,20800000,6e+05,0.27431,0.10301,0.0787,0.03338,0.02332,3.07786,0.43152,0.00103,0.219,0.21587,2.78261,6.56039,0.06924,0.03626,0.31618,-3.6875,-4.30899
"24","2016_Q3",12.16609375,"Up",172300000,-127300000,4.5e+07,-30300000,-30300000,14700000,-99999.9999999999,-4e+05,3e+05,14600000,-4e+05,14200000,-4800000,9400000,9100000,9100000,9100000,38700000,38700000,82500000,82500000,119500000,1.3e+07,253700000,136300000,136300000,261300000,236200000,4100000,397600000,651300000,40900000,40900000,6e+05,53600000,53600000,95100000,66300000,93900000,90400000,160200000,255300000,551700000,-76600000,-79100000,3.96e+08,3.96e+08,651300000,9400000,4200000,-3e+06,10600000,-1600000,-92300000,-4300000,64800000,-2e+05,43500000,-38200000,-38200000,-4e+05,-38600000,18900000,66900000,0.26117,0.08532,0.05281,0.02298,0.01397,2.66772,0.6447,0.10272,0.15141,0.14967,2.86689,6.58902,0.07155,0.02407,0.47253,1.49206,1.91837
"25","2016_Q4",13.4311111111111,"Up",186700000,-141400000,45300000,-31100000,-31100000,14200000,-3e+05,-6e+05,3e+05,13900000,-7e+05,13200000,-5700000,7500000,8500000,8500000,8500000,50800000,50800000,87600000,87600000,115800000,6600000,260800000,129300000,129300000,258500000,238300000,4e+06,387800000,648600000,37700000,37700000,5e+05,53700000,53700000,91900000,65100000,90100000,86800000,155200000,247100000,557500000,-77300000,-78700000,401500000,401500000,648600000,7500000,5800000,-1e+05,12700000,-1200000,4800000,-4200000,0,2e+05,-4700000,12800000,12800000,-7e+05,12100000,2e+07,65600000,0.24264,0.07606,0.04553,0.02117,0.01311,2.83787,0.61544,0.10114,0.1419,0.14003,3.11686,6.70284,0.07012,0.02279,0.49412,0.74,1.04225
"26","2017_Q1",14.0788709677419,"Up",176100000,-130400000,45700000,-28500000,-28500000,17200000,-3600000,-5e+05,-3100000,13600000,-3e+05,13300000,-1200000,12100000,12600000,12600000,12600000,50700000,50700000,81300000,81300000,120100000,7500000,259600000,123700000,123700000,259900000,236500000,3900000,383600000,643200000,35300000,35300000,5e+05,49100000,49100000,84900000,63500000,100700000,98700000,164200000,249100000,567500000,-81400000,-9.2e+07,394100000,394100000,643200000,12100000,6100000,31400000,6800000,-1300000,-2900000,-4100000,1.49011611938477e-08,-1e+05,-8199999.99999999,-4300000.00000001,-4300000.00000001,-8e+05,-5100000.00000001,23300000,6.4e+07,0.25951,0.09767,0.07155,0.03197,0.01959,3.05771,0.63207,0.0995,0.21176,0.20896,2.95966,6.62353,0.06891,0.02989,0.3254,0.57082,0.77326
"27","2017_Q2",14.7407936507937,"Up",177800000,-134200000,43600000,-31400000,-31400000,12200000,-4e+05,-6e+05,2e+05,11800000,-8e+05,1.1e+07,-3800000,7200000,7300000,7300000,7300000,56800000,56800000,81800000,81800000,127500000,7300000,273400000,122600000,122600000,2.56e+08,2.37e+08,3800000,378600000,6.52e+08,41200000,41200000,4e+05,49300000,49300000,90900000,64100000,99300000,97300000,163400000,254300000,571600000,-83300000,-90600000,397700000,397700000,6.52e+08,7200000,5700000,8e+05,13700000,-1100000,-2200000,-4200000,0,-1400000,-5600000,5900000,5900000,2e+05,6100000,17900000,64500000,0.24522,0.06862,0.04106,0.01836,0.0112,3.0077,0.63943,0.09893,0.12248,0.12106,2.98322,6.67282,0.07047,0.02048,0.57534,0.43017,0.63115
"28","2017_Q3",17.6453968253968,"Up",224400000,-169700000,54700000,-34800000,-34800000,19900000,-1200000,-1300000,1e+05,18700000,-1100000,17600000,-6100000,11500000,11400000,11400000,11400000,3.7e+07,3.7e+07,117500000,117500000,139700000,8700000,302900000,147700000,147700000,5.47e+08,372200000,4200000,694700000,997600000,66700000,66700000,3e+05,65700000,65700000,132700000,288900000,163600000,94200000,452500000,585200000,582400000,-84500000,-85500000,412400000,412400000,997600000,11500000,6600000,1.4e+07,31800000,-1600000,-270700000,-4200000,222800000,-4.65661287307739e-10,218600000,-20300000,-20300000,5e+05,-19800000,26500000,289200000,0.24376,0.08868,0.0508,0.02764,0.01143,2.28259,1.41901,0.2899,0.19064,0.18905,3.75251,6.89632,0.07023,0.01803,0.36842,9.51698,12.67337
"29","2017_Q4",19.8509523809524,"Up",248700000,-187400000,61300000,-38200000,-38200000,23100000,-2300000,-2700000,4e+05,20800000,-8e+05,2e+07,-7500000,12500000,12500000,12500000,12500000,28200000,28200000,118900000,118900000,143900000,9600000,300600000,1.52e+08,1.52e+08,544600000,371400000,4300000,696600000,997200000,6.3e+07,6.3e+07,2e+05,63800000,63800000,1.27e+08,282900000,162100000,92600000,4.45e+08,5.72e+08,592100000,-84800000,-82100000,425200000,425200000,997200000,12500000,9e+06,-15200000,6100000,-2600000,-2500000,-4200000,-8900000,1e+05,-1.3e+07,-9400000,-9400000,6e+05,-8800000,32100000,283100000,0.24648,0.09288,0.05026,0.0294,0.01254,2.36693,1.34525,0.28389,0.20938,0.20627,4.16583,7.12228,0.07035,0.01919,0.336,7.94081,11.03463
"30","2018_Q1",19.6288524590164,"Down",247600000,-1.86e+08,61600000,-39900000,-39900000,21700000,-2600000,-2700000,1e+05,19100000,-6700000,12400000,16900000,29300000,30400000,30400000,30400000,37500000,37500000,118200000,118200000,137200000,10900000,303800000,147300000,147300000,541200000,377300000,5400000,688500000,992300000,51500000,51500000,3e+05,65300000,65300000,117100000,277400000,140400000,93500000,417800000,534900000,620400000,-86100000,-76900000,457400000,457400000,992300000,29300000,8700000,-9700000,21200000,-2700000,-2800000,-4200000,-5000000.00000003,-1e+05,-9299999.99999997,9100000,9100000,2e+05,9300000,30400000,277700000,0.24879,0.08764,0.12278,0.06646,0.03064,2.59436,1.16944,0.27985,0.50921,0.50331,4.1474,7.66164,0.07035,0.03952,0.13816,7.90132,11.06912
