"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",4.7884375,"Up",29600000,-13100000,16500000,-27400000,-18100000,-9300000,-10900000,-2e+05,-2e+05,-11100000,-11100000,-11100000,-11100000,-11100000,-11100000,45300000,18900000,26400000,16300000,16300000,7500000,2200000,2200000,71300000,18300000,9200000,2e+06,27500000,98800000,14700000,7500000,7200000,8e+05,8e+05,16200000,2700000,2700000,9e+06,25200000,530400000,-456700000,-1e+05,73600000,73600000,98800000,-11100000,1800000,5400000,-6e+05,-4500000,-1400000,1.4e+07,12600000,2700000,2700000,2700000,10800000,10800000,10800000,-9100000,7e+06,0.55743,-0.36824,-0.375,-0.15082,-0.11235,4.40123,0.34239,0.07085,-0.03976,-0.03976,0.10602,0.26361,-0.13325,4.20879,3.51376
"12","2013_Q3",6.335,"Up",35800000,-13900000,21900000,-31800000,-20700000,-11100000,-9900000,-2e+05,-2e+05,-10100000,-10100000,-10100000,-10100000,-10100000,-10100000,46400000,28200000,18200000,17700000,17700000,7300000,2800000,2800000,74200000,19100000,9e+06,1900000,28100000,102300000,19200000,9100000,10100000,7e+05,7e+05,21100000,3100000,3100000,8900000,3e+07,539200000,-466800000,-1e+05,72300000,72300000,102300000,-10100000,1600000,7400000,2e+06,9e+05,-2e+06,8100000,6100000,2300000,2300000,2300000,9300000,9300000,9300000,-8300000,7e+06,0.61173,-0.27654,-0.28212,-0.1397,-0.09873,3.51659,0.41494,0.06843,-0.03561,-0.03566,0.12623,0.25494,-0.12257,4.74699,3.9798
"13","2013_Q4",7.91296875,"Up",42900000,-15300000,27600000,-33400000,-21600000,-11800000,-5800000,-2e+05,-2e+05,-6e+06,-6e+06,-6e+06,-6e+06,-6e+06,-6e+06,47600000,33400000,14200000,21600000,21600000,1e+07,2500000,2500000,81700000,19700000,8700000,1800000,28400000,110100000,2.5e+07,12600000,12400000,6e+05,6e+05,27400000,2800000,2800000,8e+06,35400000,547600000,-472800000,-1e+05,74700000,74700000,110100000,-6e+06,1700000,7800000,-1900000,1600000,-2200000,3900000,1700000,1900000,1900000,1900000,5200000,5200000,5200000,-4100000,7e+06,0.64336,-0.1352,-0.13986,-0.08032,-0.0545,2.98175,0.4739,0.06358,-0.02101,-0.02101,0.15021,0.26155,-0.07101,9.90244,7
"14","2014_Q1",10.3355737704918,"Up",51700000,-17600000,34100000,-36400000,-23800000,-12600000,-2300000,-3e+05,-3e+05,-2600000,-2600000,-2600000,-2600000,-2600000,-2600000,54600000,43200000,11400000,26100000,26100000,9e+06,3400000,3400000,93100000,20700000,8700000,1900000,29400000,122500000,29200000,14100000,15100000,7e+05,7e+05,32100000,1700000,1700000,6300000,38400000,559600000,-475400000,-1e+05,84100000,84100000,122500000,-2600000,1900000,7400000,-2300000,4400000,-2300000,2800000,5e+05,5100000,5100000,4900000,9800000,9800000,9800000,-4e+05,6800000,0.65957,-0.04449,-0.05029,-0.03092,-0.02122,2.90031,0.4566,0.05551,-0.00899,-0.00898,0.17877,0.2908,-0.02808,119.5,20.78261
"15","2014_Q2",8.85952380952381,"Down",47100000,-17300000,29800000,-42100000,-27600000,-14500000,-12300000,-2e+05,-2e+05,-12500000,-12500000,-12500000,-12500000,-12500000,-12500000,57400000,45700000,11700000,23800000,23800000,8900000,3500000,3500000,93600000,22900000,8400000,1800000,31300000,124900000,26900000,15900000,1.1e+07,6e+05,6e+05,29700000,1100000,1100000,5200000,34900000,5.78e+08,-487900000,-1e+05,9e+07,9e+07,124900000,-12500000,1900000,10100000,-1900000,-2400000,-3900000,-4e+05,-4300000,9700000,9700000,9200000,2500000,2500000,2500000,-10400000,6300000,0.6327,-0.26115,-0.26539,-0.13889,-0.10008,3.15152,0.38778,0.05044,-0.04263,-0.04263,0.16064,0.30696,-0.12834,4.91346,4.15447
"16","2014_Q3",10.2209375,"Up",58800000,-18900000,39900000,-45700000,-30900000,-14800000,-5800000,-2e+05,-2e+05,-6e+06,-6e+06,-6e+06,-6e+06,-6e+06,-6e+06,61300000,49500000,11800000,28600000,28600000,11600000,4e+06,4e+06,105500000,2.6e+07,8200000,1700000,34200000,139700000,3.3e+07,2e+07,1.3e+07,3e+05,3e+05,35600000,1e+06,1e+06,4500000,40100000,593700000,-493900000,-2e+05,99600000,99600000,139700000,-6e+06,1900000,12300000,-2e+06,6200000,-4e+06,6.98491930961609e-10,-4e+06,2200000,2200000,1600000,3800000,3800000,3800000,-3900000,5800000,0.67857,-0.0986400000000001,-0.10204,-0.06024,-0.04295,2.96348,0.40261,0.04152,-0.02,-0.01992,0.196,0.332,-0.05639,14.23077,9.56897
"17","2014_Q4",12.2409375,"Up",6.9e+07,-21800000,47200000,-52200000,-33700000,-18500000,-5e+06,-2e+05,-2e+05,-5200000,-5200000,-5200000,-5200000,-5200000,-5200000,74900000,63200000,11700000,31400000,31400000,14300000,2800000,2800000,123400000,2.8e+07,8e+06,1700000,3.6e+07,159400000,37700000,20900000,16800000,6e+05,6e+05,40600000,9e+05,9e+05,3800000,44400000,614200000,-499100000,-1e+05,1.15e+08,1.15e+08,159400000,-5200000,2200000,1.3e+07,1400000,11400000,-3700000,-1e+05,-3800000,6600000,6600000,6100000,13700000,13700000,13700000,-2800000,5200000,0.68406,-0.07246,-0.07536,-0.04522,-0.03262,3.03941,0.38609,0.03262,-0.01715,-0.01708,0.22757,0.37929,-0.04294,24.89286,13.94
"18","2015_Q1",15.1075409836066,"Up",84300000,-24900000,59400000,-57800000,-36200000,-21600000,1600000,-2e+05,-2e+05,1400000,1400000,1300000,1300000,1300000,1300000,83600000,71800000,11800000,42400000,42400000,1.6e+07,3900000,3900000,145900000,31200000,7500000,1600000,38700000,184600000,37600000,20400000,17200000,7e+05,7e+05,40600000,1500000,1500000,3800000,44400000,638100000,-497800000,-1e+05,140200000,140200000,184600000,1300000,2400000,1.5e+07,-10300000,8400000,-4600000,-99999.9999999991,-4700000,5500000,5500000,4900000,8600000,8600000,8600000,4e+06,4600000,0.70463,0.01898,0.01542,0.00927,0.00704,3.5936,0.31669,0.02492,0.00424,0.00427,0.27477,0.45698,0.00889,-19.75,-49.375
"19","2015_Q2",17.5625396825397,"Up",72800000,-26300000,46500000,-59200000,-39400000,-19800000,-12700000,-2e+05,-2e+05,-12900000,-12900000,-12900000,-12900000,-12900000,-12900000,83800000,54200000,29600000,40200000,40200000,18400000,3800000,3800000,146200000,35700000,7400000,1600000,43100000,189300000,33300000,21200000,12100000,1300000,1300000,3.7e+07,2e+06,2e+06,3700000,40700000,659600000,-510700000,-3e+05,148600000,148600000,189300000,-12900000,2400000,16300000,-2400000,3400000,-8e+06,-17900000,-25900000,5500000,5500000,4900000,-17600000,-17600000,-17600000,-10300000,4100000,0.63874,-0.17445,-0.1772,-0.08681,-0.06815,3.95135,0.27389,0.02166,-0.04145,-0.04145,0.23393,0.47751,-0.08339,7.73786,6.27559
"20","2015_Q3",22.310625,"Up",93200000,-27200000,6.6e+07,-69600000,-45200000,-24400000,-3600000,-1e+05,-1e+05,-3700000,-3700000,-3700000,-3700000,-3700000,-3700000,97500000,67700000,29800000,45500000,45500000,22400000,5e+06,5e+06,170400000,40600000,7400000,1200000,4.8e+07,218400000,4.1e+07,2.4e+07,1.7e+07,8e+05,8e+05,44200000,2400000,2400000,3500000,47700000,685400000,-514400000,-3e+05,170700000,170700000,218400000,-3700000,2600000,20700000,-3200000,16400000,-6300000,-399999.999999996,-7200000,4900000,4900000,4300000,13500000,13500000,13500000,-999999.999999996,3500000,0.70815,-0.03863,-0.0397,-0.02168,-0.01694,3.8552,0.27944,0.01603,-0.01162,-0.01162,0.29271,0.53612,-0.02095,94,26.11111
"21","2015_Q4",20.80609375,"Down",105200000,-30500000,74700000,-117100000,-52300000,-64800000,-42400000,-1e+05,-1e+05,-42500000,-42500000,-42500000,-42500000,-42500000,-42500000,113300000,85300000,2.8e+07,55800000,55800000,30600000,4e+06,4e+06,203700000,46600000,6400000,3e+05,5.3e+07,256700000,54700000,34300000,20400000,1600000,1600000,58800000,4200000,4200000,4600000,63400000,750500000,-556900000,-3e+05,193300000,193300000,256700000,-42500000,2700000,60500000,-2800000,17900000,-7400000,1700000,-5700000,5900000,5900000,5400000,17600000,17600000,17600000,-39700000,2900000,0.71008,-0.40304,-0.40399,-0.21987,-0.16556,3.46429,0.32799,0.0113,-0.13199,-0.13199,0.32671,0.60031,-0.21208,2.78086,2.60377
"22","2016_Q1",16.7039344262295,"Down",130800000,-39600000,91200000,-89600000,-61100000,-28500000,1600000,0,0,1600000,1600000,1500000,1500000,1500000,1500000,115200000,86100000,29100000,74100000,74100000,35200000,6800000,6800000,231300000,54700000,6e+06,99999.9999999999,60700000,2.92e+08,63800000,38900000,24900000,8e+05,8e+05,66900000,3900000,3900000,3900000,70800000,776900000,-555400000,-3e+05,221200000,221200000,2.92e+08,1500000,3100000,23700000,-1.7e+07,11300000,-11600000,-1100000,-12700000,2800000,2800000,2200000,8e+05,8e+05,8e+05,4699999.99999999,2300000,0.69725,0.01223,0.0114699999999999,0.00678000000000009,0.00514000000000006,3.4574,0.32007,0.00788,0.00460999999999995,0.00461,0.40221,0.6802,0.0066,-24.02128,-70.5625
"23","2016_Q2",17.0259375,"Up",116200000,-41100000,75100000,-94300000,-62100000,-32200000,-19200000,0,0,-19200000,-19200000,-19200000,-19200000,-19200000,-19200000,106500000,77900000,28600000,67300000,67300000,46100000,7500000,7500000,227400000,65900000,6100000,4e+05,7.2e+07,299400000,61800000,45100000,16700000,6e+05,6e+05,64100000,4100000,4100000,4100000,68200000,806100000,-574600000,-3e+05,231200000,231200000,299400000,-19200000,3400000,25200000,-9600000,-2e+05,-11500000,3e+05,-11200000,3800000,3800000,3200000,-8200000,-8200000,-8200000,-15800000,1700000,0.6463,-0.16523,-0.16523,-0.08304,-0.06413,3.54758,0.29498,0.00568,-0.05847,-0.05847,0.35384,0.70402,-0.08101,6.63291,5.45833
"24","2016_Q3",22.23859375,"Up",137300000,-51800000,85500000,-105600000,-69300000,-36300000,-20100000,-7.27595761418343e-12,3.63797880709171e-12,-20100000,-20100000,-20200000,-20200000,-20200000,-20200000,115600000,87500000,28100000,73800000,73800000,42900000,8700000,8700000,2.41e+08,7.7e+07,14800000,1200000,91800000,332800000,73200000,49900000,23300000,7e+05,7e+05,73900000,12500000,12500000,12500000,86400000,841900000,-594800000,-7e+05,246400000,246400000,332800000,-20200000,3900000,27600000,8800000,20100000,-10500000,5e+05,-9600000,1e+06,1e+06,-7e+05,9800000,9800000,9600000,-16200000,0,0.62272,-0.14639,-0.14712,-0.08198,-0.0607,3.26116,0.35065,0,-0.06041,-0.06041,0.41059,0.73684,-0.07802,7.1358,5.75124
"25","2016_Q4",17.7144444444444,"Down",148600000,-47500000,101100000,-119600000,-75700000,-43900000,-18500000,-1e+05,-1e+05,-18600000,-18600000,-18800000,-18800000,-18800000,-18800000,123700000,94500000,29200000,101700000,101700000,45400000,9200000,9200000,2.8e+08,109400000,13400000,2100000,122800000,402800000,101500000,68100000,33400000,9e+05,9e+05,102400000,16600000,16600000,16600000,1.19e+08,905800000,-6.21e+08,-1e+06,283800000,283800000,402800000,-18800000,4100000,29600000,8100000,2.3e+07,-16100000,-1700000,-17800000,5100000,5100000,5100000,10300000,10300000,10200000,-14400000,0,0.68035,-0.1245,-0.12651,-0.06624,-0.04667,2.73438,0.41931,0,-0.05589,-0.05589,0.44174,0.84364,-0.06258,8.59028,6.68649
"26","2017_Q1",19.5170967741935,"Up",171200000,-54500000,116700000,-122800000,-79100000,-43700000,-6100000,-9e+05,-2e+05,-7e+06,-7e+06,-7400000,-7400000,-7400000,-7400000,123700000,94500000,29200000,101700000,101700000,45400000,9200000,9200000,2.8e+08,109400000,13400000,2100000,122800000,402800000,101500000,68100000,33400000,9e+05,9e+05,102400000,16600000,16600000,16600000,1.19e+08,905800000,-6.21e+08,-1e+06,283800000,283800000,402800000,-7400000,3600000,30700000,-13600000,13300000,-17600000,4e+05,-17300000,5e+05,5e+05,5e+05,-3500000,-3500000,-3200000,-2500000,0,0.68166,-0.03563,-0.04322,-0.02607,-0.01837,2.73438,0.41931,6.93889390390723e-18,-0.02187,-0.02187,0.50591,0.83865,-0.02463,49.48,20.27869
"27","2017_Q2",18.4669841269841,"Down",142300000,-48200000,94100000,-134500000,-86400000,-48100000,-40400000,1e+05,-3e+05,-40300000,-40300000,-41700000,-41700000,-41700000,-41700000,304904903.418447,245970115.922402,58934787.4960458,99808114.7982979,99808114.7982979,43685620.760778,13196506.7872467,13196506.7872466,461595145.76477,112998001.720463,13767665.8271808,1907347.25103351,126765667.547644,588360813.312413,99596346.3261932,67484841.7816939,32111504.5798993,1078818.9171974,1078481.4906296,100646271.384646,16320313.0576618,16320313.0572645,176121046.437413,276767317.822059,951634815.577498,-638898289.195263,-1109055.8036947,311593495.490353,311593495.490353,588360813.312411,-41700000,3700000,3.1e+07,7300000,3e+05,-22900000,1500000,-21400000,5300000,5300000,80300000,59200000,59200000,5.9e+07,-36700000,0,0.66128,-0.28391,-0.29304,0.00389974285202723,0.000784167968883514,4.57196404507201,0.842431666456758,0.204224775576575,-0.12236,-0.12236,0.41755,0.909802458768175,0.000580994511043185,62.4609865870736,-104.546420371161
"28","2017_Q3",17.675873015873,"Down",170600000,-53100000,117500000,-131100000,-85800000,-45300000,-13600000,-8e+05,-2600000,-14400000,-14400000,2900000,2900000,2900000,2900000,496600000,395900000,100700000,101700000,101700000,42800000,15700000,15700000,656800000,1.25e+08,13800000,1900000,138800000,795600000,103600000,72200000,31400000,1500000,1500000,105100000,16300000,16300000,336800000,441900000,1015700000,-660400000,-1600000,353700000,353700000,795600000,2900000.00000001,3900000,1.6e+07,-8500000,14300000,-1.2e+07,-73300000,-85300000,400000.000000001,4e+05,314400000,243400000,243400000,242400000,-9700000,320500000,0.68875,-0.0797200000000001,0.0170000000000001,0.0082,0.00365,6.24929,1.24936,0.40284,0.00839000000000004,0.00829999999999997,0.49363,1.02344,0.0042,18.15464,12.9485300000001
"29","2017_Q4",12.9973015873016,"Down",184600000,-57600000,1.27e+08,-127500000,-84200000,-43300000,-5e+05,-2e+06,-3300000,-2500000,-2500000,-2e+06,-2e+06,-2e+06,-2e+06,525800000,402100000,123700000,110500000,110500000,43300000,13300000,13300000,692900000,136100000,13900000,1900000,1.5e+08,842900000,115900000,80600000,35300000,2300000,2300000,118200000,16700000,16700000,340700000,458900000,1048600000,-662400000,-2200000,3.84e+08,3.84e+08,842900000,-2e+06,4300000,2.5e+07,8900000,36200000,-13500000,-23100000,-36600000,4300000,4300000,4300000,3900000,3900000,6200000,3800000,3.24e+08,0.68797,-0.00271,-0.01083,-0.00521,-0.00237,5.8621,1.19505,0.38439,-0.00577,-0.00577,0.5323,1.10727,-0.00276,-53.10526,403.6
"30","2018_Q1",14.7868852459016,"Up",2.21e+08,-67500000,153500000,-141500000,-92800000,-48700000,1.2e+07,-3400000,-3300000,8600000,8600000,-9400000,-9400000,-9400000,-9400000,548600000,441500000,107100000,134300000,134300000,45200000,16600000,16600000,744700000,145600000,13800000,1700000,159400000,904100000,135700000,87200000,48500000,3200000,3200000,138900000,18200000,18200000,345800000,484700000,1093800000,-671800000,-2600000,419400000,419400000,904100000,-9400000,4200000,51500000,-5100000,41200000,-17600000,16500000,-1100000,99999.9999999991,1e+05,1e+05,40200000,40200000,39400000,16200000,327600000,0.69457,0.0543,-0.04253,-0.02241,-0.0104,5.36141,1.1557,0.36235,-0.02704,-0.02736,0.63579,1.20656,-0.01228,-13.64198,-18.4166700000001
"31","2018_Q2",21.2,"Up",184400000,-65500000,118900000,-149600000,-104800000,-44800000,-30700000,-7e+05,-3300000,-31400000,-2.4e+07,-24200000,-24200000,-24200000,-24200000,533900000,420400000,113500000,123900000,123900000,51600000,19900000,19900000,729300000,152400000,15100000,2800000,167500000,896800000,122200000,8.8e+07,34200000,2900000,2900000,125100000,18700000,18700000,3.5e+08,475100000,1122600000,-6.96e+08,-4900000,421700000,421700000,896800000,-24200000,6e+06,2e+07,-10500000,-8700000,-15300000,-1e+05,-15400000,4200000,4200000,4200000,-19900000,-19900000,-20800000,-24700000,331300000,0.64479,-0.16649,-0.13124,-0.05739,-0.02698,5.82974,1.12663,0.36942,-0.0693,-0.0693,0.52806,1.20762,-0.03136,8.20243,6.59935
