"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",92.5127419354839,"Up",480484000,-253526000,226958000,-112411000,-92966000,114547000,-13419000,-12931000,-488000,101128000,101128000,-35382000,65746000,65746000,-269000,65477000,65477000,16671000,16205000,314577000,314577000,86137000,26092000,40333000,417385000,328222000,2665989000,623418000,2005698000,36873000,2994211000,3411596000,202223000,80213000,122010000,286636000,32464000,17216000,521323000,1010514000,386901000,356196000,30705000,1397415000,1918738000,84905000,1434373000,-41602000,1477676000,15182000,1492858000,3411596000,65746000,19445000,10430000,-7272000,88349000,-17839000,-35593000,-47000,-53479000,-93401000,16429000,3766000,-73206000,-38336000,-38336000,328000,-38008000,133992000,1297150000,144263000,0.47235,0.2384,0.13627,0.04386,0.01919,2.20326,0.80063,1.28528,0.38022,0.76354,0.74994,5.60302,17.23147,1.68228,0.02061,0.04541,9.55638,11.17863
"12","2013_Q1",97.1741666666667,"Up",503638000,-264673000,238965000,-118665000,-97571000,120300000,-12819000,-13006000,187000,107481000,107481000,-36973000,70508000,70508000,-439000,70069000,70069000,31827000,31324000,322246000,322246000,87213000,27042000,37176000,441286000,335870000,2769582000,667471000,2065103000,37008000,3105452000,3546738000,196878000,80886000,115992000,87781000,46401000,28306000,331060000,1268303000,390052000,359780000,30272000,1658355000,1989415000,117580000,1463277000,-39064000,1541793000,15530000,1557323000,3546738000,70508000,21094000,-6120000,28155000,113637000,-13578000,-76294000,-40000,-89912000,11809000,-25501000,8177000,-5515000,18210000,18210000,245000,18455000,141394000,1356084000,192944000,0.47448,0.23886,0.13913,0.04499,0.01976,2.75363,1.33295,1.27746,0.38235,0.81616,0.80225,5.86632,17.95864,2.24739,0.02121,0.05841,9.36572,11.00796
"13","2013_Q2",108.62765625,"Up",513804000,-269673000,244131000,-112534000,-91046000,131597000,-14392000,-13379000,-1013000,117205000,117205000,-41983000,75222000,75222000,-605000,74617000,74617000,13201000,12722000,342434000,342434000,82320000,27033000,37486000,437955000,336687000,2767569000,664682000,2065845000,37042000,3104256000,3542211000,213405000,75894000,137511000,79589000,27304000,10550000,320298000,1193111000,403334000,365228000,38106000,1596445000,1916743000,140538000,1530735000,-62069000,1609204000,16264000,1625468000,3542211000,75222000,21488000,10251000,-8791000,98170000,-16480000,-18899000,20000,-35359000,-91760000,6755000,4203000,-80802000,-17991000,-17991000,-611000,-18602000,153085000,1272700000,169797000,0.47514,0.25612,0.14522,0.0459,0.02107,2.27558,1.36734,1.17919,0.3593,0.8667,0.85316,5.96799,18.6914,1.97224,0.0226,0.05143,8.22745,9.57088
"14","2013_Q3",115.32859375,"Up",526525000,-276385000,250140000,-116620000,-94845000,133520000,-13458000,-12913000,-545000,120062000,120062000,-41619000,78443000,78443000,-399000,78044000,78044000,18461000,18001000,361894000,361894000,87410000,27691000,39721000,467765000,345743000,2804917000,673222000,2094459000,37236000,3150660000,3618425000,210850000,88420000,122430000,72430000,30680000,12497000,313960000,1246203000,408819000,371467000,37352000,1655022000,1968982000,160820000,1549769000,-78564000,1632025000,17418000,1649443000,3618425000,78443000,21775000,2298000,-24105000,78411000,-20961000,-44502000,13000,-65450000,37426000,-49263000,4170000,-7666999.99999999,5294000,5294000,82999.9999999998,5377000,155295000,1318633000,151848000,0.47508,0.25359,0.14822,0.04732,0.02157,1.94567,1.48989,1.19373,0.36442,0.90617,0.89059,6.1135,18.94949,1.76311,0.02311,0.04497,8.37227,9.73766
"15","2013_Q4",116.570625,"Up",534579000,-280645000,253934000,-118539000,-96689000,135395000,-14657000,-13316000,-1341000,120738000,120738000,-39906000,80832000,80832000,-285000,80547000,80547000,64027000,63580000,370077000,370077000,93868000,30909000,40778000,527972000,352368000,2964789000,720811000,2207845000,36133000,3317157000,3845129000,218024000,82552000,135472000,107577000,86003000,66512000,411604000,1295592000,415200000,384110000,31090000,1710792000,2122396000,178563000,1581964000,-54998000,1705529000,17204000,1722733000,3845129000,80832000,21850000,2501000,54325000,159508000,-16888000,-68501000,12000,-85377000,8656000,-38196000,2963000,-26577000,47554000,47554000,-1267000,46287000,157245000,1403169000,234588000,0.47502,0.25327,0.15067,0.04676,0.02095,2.91244,1.28272,1.23199,0.36492,0.93823,0.92158,6.22692,19.86646,2.73254,0.02275,0.06625,8.51628,9.89063
"16","2014_Q1",115.608360655738,"Down",567899000,-301467000,266432000,-131325000,-108030000,135107000,-15366000,-15341000,-25000.0000000002,119741000,119741000,-41154000,78587000,78587000,-423000,78164000,78164000,67580000,67167000,388996000,388996000,83689000,28379000,37279000,540265000,358967000,2988741000,720035000,2231582000,37124000,3347708000,3887973000,196591000,89146000,107445000,150380000,69213000,50387000,416184000,1280663000,423588000,396119000,27469000,1704251000,2120435000,195965000,1610964000,-56468000,1750461000,17077000,1767538000,3887973000,78587000,23295000,17287000,-49951000,69218000,-18780000,-30034000,28000.0000000001,-48786000,14887000,-40651000,4791000,-20973000,-541000,-541000,-14000,-555000,158402000,1431043000,130825000,0.46915,0.23791,0.13764,0.04422,0.0201,1.67372,1.29814,1.19965,0.36807,0.91375,0.89765,6.63881,20.46312,1.52936,0.02158,0.03612,8.60761,10.09173
"17","2014_Q2",114.444126984127,"Down",569955000,-301760000,268195000,-135536000,-112180000,132659000,-15598000,-14898000,-7e+05,117061000,117061000,-37291000,79770000,79770000,-621000,79149000,79149000,43411000,43058000,383304000,383304000,76171000,25807000,35963000,502886000,359329000,3003364000,724978000,2240597000,37789000,3362693000,3865579000,212724000,94118000,118606000,124307000,66150000,44152000,403181000,1246071000,430780000,398909000,31871000,1676851000,2080032000,213697000,1611780000,-57128000,1768349000,17198000,1785547000,3865579000,79770000,23356000,11902000,30821000,145849000,-16420000,-12262000,-1947000,-30629000,-68200000,-68259000,3637000,-132822000,-17602000,-17602000,43000,-17559000,156015000,1370378000,207707000,0.47055,0.23275,0.13887,0.04433,0.02048,2.62425,1.2473,1.16493,0.35451,0.92822,0.91381,6.68412,20.73822,2.43587,0.02207,0.05791,8.50538,10.00284
"18","2014_Q3",118.09796875,"Up",640822000,-350416000,290406000,-145028000,-117547000,145378000,-16760000,-16368000,-392000,128618000,128618000,-45941000,82677000,82677000,-741000,81936000,81936000,25814000,25326000,451995000,451995000,89066000,33288000,40051000,566875000,480419000,3389987000,926538000,2421348000,42101000,3870406000,4437281000,246867000,125392000,121475000,151289000,90683000,68289000,488839000,1563913000,532186000,462180000,70006000,2096099000,2584938000,237901000,1634875000,-45554000,1827222000,25121000,1852343000,4437281000,82677000,27481000,3024000,-20683000,92499000,-27248000,-292570000,-105000,-319923000,250880000,-47732000,431000,203579000,-23845000,-23845000,-437000,-24282000,172859000,1715202000,170869000,0.45318,0.22686,0.12786,0.04423,0.01847,2.0854,1.15964,1.3955,0.38654,0.96738,0.95294,7.56587,21.57311,2.01737,0.01999,0.04168,9.77321,11.62066
"19","2014_Q4",125.889375,"Up",667877000,-373973000,293904000,-154368000,-125603000,139536000,-17094000,-16617000,-477000,122442000,122442000,-39401000,83041000,83041000,-196000,82845000,82845000,42464000,41985000,456461000,456461000,93752000,37929000,37638000,592677000,498577000,3354380000,910928000,2415210000,28242000,3852957000,4445634000,270642000,131617000,139025000,165074000,79589000,57183000,515305000,1512333000,537809000,470383000,67426000,2050142000,2565447000,257489000,1694549000,-95351000,1856687000,23500000,1880187000,4445634000,83041000,28765000,1857000,-7039000,106624000,-22594000,-23979000,1000,-46572000,-41104000,-7109000,3667000,-44546000,15506000,15506000,1153000,16659000,168301000,1677407000,178069000,0.44006,0.20892,0.12404,0.04406,0.01864,2.14942,1.15015,1.36446,0.37732,0.97627,0.96201,7.87049,21.87984,2.09843,0.02023,0.04348,9.7144,11.717
"20","2015_Q1",135.009344262295,"Up",676947000,-378563000,298384000,-159621000,-134607000,138763000,-19316000,-18139000,-1177000,119447000,119447000,-36789000,82658000,82658000,-132000,82526000,82526000,22616000,22236000,465473000,465473000,63805000,30632000,33173000,551894000,460408000,3.361e+09,909645000,2418832000,32523000,3821408000,4373302000,246339000,114596000,131743000,131969000,82599000,60975000,460907000,1527246000,467964000,403847000,64117000,1995210000,2456117000,290060000,1743371000,-138419000,1895012000,22173000,1917185000,4373302000,82658000,25014000,8566000,-12710000,103528000,-20234000,-45510000,94000.0000000019,-65650000,-39836000,-19114000,2690000,-56260000,-18382000,-18382000,-1367000,-19749000,163777000,1659215000,167622000,0.44078,0.20498,0.12191,0.04305,0.01887,2.03114,1.19741,1.28111,0.3794,0.972,0.95714,7.97311,22.31954,1.97426,0.02041,0.04145,9.99285,11.7942
"21","2015_Q2",137.07,"Up",663319000,-367340000,295979000,-242426000,-214863000,53553000,-19196000,-18598000,-598000,34357000,34357000,-5065000,29292000,29292000,-352000,28940000,28940000,38399000,38283000,467094000,467094000,90570000,29847000,33392000,596063000,446831000,3340620000,889360000,2419284000,31976000,3787451000,4383514000,277245000,120198000,157047000,113212000,91943000,71630000,482400000,1462177000,488930000,422971000,65959000,1951107000,2433507000,332280000,1805059000,-206434000,1930905000,19102000,1950007000,4383514000,29292000,27563000,-27361000,103060000,132554000,-21356000,-34210000,257000,-55309000,-70326000,15936000,-3214000,-57604000,19641000,19641000,-3594000,16047000,81116000,1575389000,167885000,0.44621,0.08073,0.04363,0.01484,0.0066,5.80114,1.23562,1.24795,0.35939,0.34032,0.33512,7.80028,22.70643,1.97424,0.00721,0.04182,18.94805,28.70035
"22","2015_Q3",139.22,"Up",715689000,-396793000,318896000,-164132000,-136752000,154764000,-17994000,-16390000,-1604000,136770000,136770000,-48493000,88277000,88277000,-447000,87830000,87830000,33059000,32956000,524134000,524134000,1.03e+08,33202000,41471000,660193000,468960000,3397791000,908176000,2454092000,35523000,3866751000,4526944000,295143000,143833000,151310000,129270000,85322000,66762000,509735000,1538736000,496452000,428392000,68060000,2035188000,2544923000,355487000,1788123000,-180907000,1962703000,19318000,1982021000,4526944000,88277000,27380000,24662000,-94213000,46106000,-25438000,-27556000,13999.9999999702,-52980000,59935000,-61877000,2677000,735000,-6138999.99999999,-6138999.99999999,812000,-5327000,182144000,1668006000,110986000,0.44558,0.21624,0.12272,0.04431,0.0194,1.26365,1.29517,1.284,0.36846,1.03376,1.01866,8.42365,23.10098,1.3063,0.02118,0.02677,8.97612,10.56413
"23","2015_Q4",127.41828125,"Down",718596000,-404918000,313678000,-184922000,-157432000,128756000,-19132000,-17378000,-1754000,109624000,109624000,-39718000,69906000,69906000,-457000,69449000,69449000,669171000,32883000,524503000,524503000,125791000,34197000,40500000,1319465000,464898000,3392094000,909503000,2447454000,35137000,3856992000,5176457000,342719000,150213000,192506000,106405000,84810000,66587000,533934000,1409687000,498394000,430203000,68191000,1908081000,2442015000,1126516000,1826835000,-237246000,2716113000,18329000,2734442000,5176457000,69906000,27490000,-6158000,23393000,114631000,-25772000,-35332000,-636190000,-697294000,-164907000,743341000,1951000,580385000,-2278000,-2278000,2205000,-73000,156246000,1516092000,193585000,0.43652,0.17918,0.09665,0.0254,0.01342,2.78744,2.47121,0.89306,0.29288,0.81816,0.80642,8.46556,31.99762,2.28057,0.01462,0.04076,5.42043,6.57772
"24","2016_Q1",116.470491803279,"Down",888296000,-562049000,326247000,-175720000,-258153000,150527000,-20378000,-24934000,4556000,130149000,130149000,-49624000,80525000,80525000,256000,80781000,70681000,55703000,55634000,614494000,614494000,91631000,46740000,44891000,761828000,665602000,5637733000,1842561000,3758177000,36995000,6303335000,7065163000,346531000,149202000,197329000,161409000,79409000,62420000,587349000,3040352000,689624000,608272000,81352000,3729976000,4317325000,1143869000,1868645000,-282631000,2729891000,17947000,2747838000,7065163000,80525000,44967000,13557000,-46240000,92809000,-42234000,-2322302000,636219000,-1728317000,1701898000,-2.1e+07,-8914000,1661884000,26376000,26376000,-3623000,22753000,195494000,3201761000,156644000,0.36727,0.16946,0.07957,0.02572,0.01,2.21621,1.29706,1.57117,0.45318,0.83257,0.82233,10.46346,32.15598,1.84515,0.01217,0.02359,16.09286,20.90029
"25","2016_Q2",106.98640625,"Down",874181000,-483751000,390430000,-249507000,-201093000,140923000,-25292000,-24041000,-1251000,115631000,115631000,-38036000,77595000,77595000,-809000,76786000,66680000,45719000.0000001,45655000,622709000,622709000,88930000,46198000,42732000,757358000,677525000,5677661000,1840844000,3790016000,46801000,6355186000,7112544000,352712000,133779000,218933000,114066000,85735000,68192000,552513000,3038083000,703459000,617011000,86448000,3741542000,4294055000,1173810000,1897636000,-265018000,2806436000,12053000,2818489000,7112544000,77595000,48414000,10393000,20547000,156949000,-33419000,-24884000,7000,-58296000,-77935000,-15383000,-4997000,-108421000,-9768000,-9768000,-211000,-9979000,189337000,3152149000,214501000,0.44662,0.16121,0.07628,0.02366,0.00937,3.21687,1.37075,1.52353,0.44318,0.7872,0.77674,10.3203,33.13179,2.53233,0.01151,0.03214,16.40688,22.04346
"26","2016_Q3",90.41171875,"Down",891621000,-488950000,402671000,-302963000,-220343000,99708000,-26476000,-24358000,-2118000,73232000,73232000,-27002000,46230000,46230000,-196000,46034000,37293000,44384000,44320000,627135000,627135000,98843000,58566000,40277000,770362000,707060000,5668946000,2078234000,3558283000,32429000,6376006000,7146368000,327883000,145069000,182814000,109868000,79353000,62221000,517104000,3008588000,791597000,705873000,85724000,3800185000,4317289000,1183990000,1931807000,-297558000,2818247000,10832000,2829079000,7146368000,46230000,82620000,5045000,-45404000,88491000,-32359000,-17213000,0,-49572000.0000002,-28629000,4877000,-6989000,-40762000,-1843000,-1843000,508000,-1335000,182328000,3118456000,131567000,0.45162,0.11183,0.04183,0.01318,0.00522,3.52793,1.48976,1.52604,0.43637,0.43929,0.43485,10.50285,33.19744,1.54979,0.00702,0.01952,16.86012,30.83075
"27","2016_Q4",75.5068253968254,"Down",890144000,-489923000,400221000,-275704000,-210348000,124517000,-21758000,-24690000,2932000,102759000,102759000,-37586000,65173000,65173000,-378000,64795000,61536000,40354000,40291000,637921000,637921000,95663000,52134000,43529000,773938000,727774000,5555552000,1927109000,3596899000,31544000,6283326000,7057264000,358162000,146400000,211762000,91008000,88557000,73021000,537727000,2921770000,738978000,654495000,84483000,3660748000,4198475000,1168607000,1993343000,-314500000,2847457000,11332000,2858789000,7057264000,65173000,65356000,22793000,19006000,172328000,-33887000,-9100000,2358000,-40629000,-113603000,5419000,-19843000,-137753000,-6054000,-6054000,2025000,-4029000,189873000,3012778000,212578000,0.44961,0.13988,0.06913,0.02153,0.00872,3.45453,1.43928,1.46862,0.4269,0.72358,0.71913,10.46683,33.48196,2.49961,0.01078,0.03216,15.6548,23.87163
"28","2017_Q1",80.3409677419355,"Up",906354000,-612776000,293578000,-224926000,-421316000,68652000,-32174000,-24711000,-7463000,36478000,36478000,-17576000,18902000,18902000,-217000,18685000,12691000,44200000,44200000,634900000,634900000,94500000,46200000,39200000,773600000,723900000,5482600000,1.862e+09,3.591e+09,29600000,6206500000,6980100000,405200000,172300000,232900000,72800000,64900000,4.7e+07,542900000,2877300000,743500000,645400000,98100000,3620800000,4163700000,1167300000,2006100000,-367600000,2805800000,10600000,2816400000,6980100000,18902000,56110000,18869000,49151000,143032000,-36535000,-10603000,35000.0000000075,-47103000,-74233000,1787000,-7871000,-89864000,6065000,6065000,-2122000,3943000,124762000,2950100000,154954000,0.32391,0.07575,0.014,0.00451,0.00182,12.20975,1.42494,1.47838,0.42264,0.14915,0.14884,10.65208,32.97564,1.82112,0.00342,0.0238,23.29155,42.32797
