"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",19.2525806451613,"Up",547500000,-381300000,166200000,-116700000,-101600000,-6e+07,-15100000,49500000,5e+06,5e+06,54500000,-12800000,41700000,1.9e+07,60700000,12300000,12300000,7.3e+07,7.3e+07,7.3e+07,7.62e+08,7.62e+08,458200000,458200000,268700000,225600000,225600000,1714500000,323900000,1276200000,513300000,78400000,684500000,1600100000,3314600000,741100000,331900000,409200000,741100000,1803900000,282100000,282100000,1521800000,1803900000,2.545e+09,92500000,913300000,-236200000,769600000,769600000,3314600000,60700000,17200000,3e+06,-7600000,73300000,-14100000,-14100000,-14100000,2e+05,-13900000,0,-40100000,4400000,-99999.9999999925,1300000,-34400000,2.5e+07,-3600000,21400000,1500000,22900000,66700000,0,2.6e+07,0.30356,0.09041,0.13333,0.09485,0.02202,0.35616,2.31345,3.30691,0,0.78664,0.78075,5.89978,8.2931,0.28017,0,8,0.02837,0.0101,0,-11.42429,-15.39394
"12","2013_Q1",23.5398333333333,"Up",554300000,-380900000,173400000,-136500000,-121600000,-75700000,-14900000,36900000,-2400000,-5100000,34500000,-15800000,18700000,3400000,22100000,10300000,10300000,32400000,32400000,32400000,544500000,544500000,440300000,440300000,304200000,251400000,251400000,1540400000,373100000,1472600000,651400000,123300000,676500000,1845700000,3386100000,805300000,3.47e+08,458300000,805300000,1877600000,330300000,330300000,1547300000,1877600000,2682900000,91900000,898800000,-287500000,703200000,703200000,3386100000,22100000,21100000,42800000,-14200000,71800000,-600000.000000002,-40100000,-40100000,-2e+05,-232200000,-1.7e+07,-2.2e+07,-22100000,-39900000,1900000,-59200000,-219600000,-2600000,-222200000,4800000,-217400000,5.8e+07,0,39800000,0.31283,0.06657,0.05845,0.04608,0.00957,1.2284,1.91283,3.81527,0,0.35065,0.34652,5.99892,7.61039,0.43074,0.18398,6,0.01914,0.01542,0.52469,-9.38793,-14.7561
"13","2013_Q2",25.7878125,"Up",608200000,-417700000,190500000,-137300000,-120900000,-69100000,-16400000,53200000,-2700000,-2700000,50500000,-1.6e+07,34500000,-1.5e+07,19500000,1700000,1700000,21200000,20800000,20800000,483100000,483100000,506200000,506200000,314900000,265600000,265600000,1569800000,365100000,1438700000,6.44e+08,114200000,680500000,1803800000,3373600000,842900000,350700000,492200000,842900000,1863700000,330100000,330100000,1533600000,1863700000,2706600000,91200000,882200000,-310700000,662700000,6.67e+08,3373600000,19100000,24500000,20700000,-76600000,-12300000,-16700000,-16700000,-16700000,5e+05,-34700000,-18469720.2661392,25700000,-34200000,-48200000,6e+05,-7900000,-54900000,-4e+05,-55300000,-6100000,-61400000,77700000,0,-6e+05,0.31322,0.08747,0.0342,0.03118,0.00617,-0.02885,1.86238,4.05787,0,0.22609,0.22318,6.61087,7.20326,-0.00652,0.201184195834101,5,0.00822,-0.00024,0.73680366561501,-6.2175,-9.08083
"14","2013_Q3",29.95203125,"Up",609200000,-411400000,197800000,-140500000,-124100000,-66600000,-16400000,57300000,-2200000,-2200000,55100000,-15900000,39200000,-14400000,24800000,1100000,1100000,25900000,25800000,25800000,517700000,517700000,499300000,499300000,308500000,245100000,245100000,1570600000,367400000,1427800000,646300000,110900000,670600000,1795200000,3365800000,841500000,364100000,477400000,841500000,1863800000,329900000,329900000,1533900000,1863800000,2705300000,90300000,872600000,-306800000,656100000,660500000,3365800000,24700000,20100000,14400000,21900000,81100000,-20100000,-20100000,-20100000,6e+05,1100000,-9300000.00000001,-3900000,-31800000,-39700000,1800000,-43200000,3.9e+07,-3300000,35700000,-1100000,34600000,77400000,0,93599999.9999999,0.32469,0.09406,0.04235,0.03906,0.00767,3.62791,1.86643,4.09584,0,0.2854,0.28166,6.73894,7.25774,1.0354,0.10288,7,0.0139,0.03708,0.36047,-6.68863,-9.0349
"15","2013_Q4",35.84203125,"Up",6.34e+08,-431100000,202900000,-141300000,-125200000,-72500000,-16100000,61600000,2300000,2300000,63900000,15400000,79300000,354400000,433700000,-2300000,-2300000,431400000,430700000,430700000,480600000,480600000,543300000,543300000,297400000,370200000,370200000,1691500000,385200000,1718600000,655500000,1.09e+08,608900000,2103800000,3795300000,862100000,345200000,516900000,862100000,1807200000,327800000,327800000,1479400000,1807200000,2669300000,90700000,1.305e+09,-274600000,1121100000,1.126e+09,3795300000,4.33e+08,21900000,-41500000,-383600000,29800000,-21400000,-21400000,-21400000,7e+05,-85200000,-9e+06,25700000,6100000,0,4100000,26900000,-28500000,-14700000,-43200000,6100000,-37100000,83500000,0,-675900000,0.32003,0.09716,0.67934,0.3825,0.11348,-1.56931,1.96207,2.3706,0,4.75386,4.67644,6.99779,12.37417,-7.46026,0.09934,6,0.1499,-0.23043,0.0209,-5.75569,-7.80195
"16","2014_Q1",38.3509836065574,"Up",645500000,-436900000,208600000,-164300000,-145900000,-91700000,-18400000,44300000,-5e+05,-5e+05,43800000,-16300000,27500000,-15400000.0000001,12100000,3e+05,3e+05,12400000.0000001,11200000,11200000,507300000,507300000,496700000,496700000,315900000,345600000,345600000,1665500000,426200000,1648500000,659800000,106900000,578200000,2074700000,3740200000,832600000,332700000,499900000,832600000,1700700000,243300000,243300000,1457400000,1700700000,2533300000,9.1e+07,1320300000,-210300000,1.201e+09,1206900000,3740200000,10900000,20400000,-338900000,435600000,1.28e+08,-62400000,-64700000,-64700000,1300000,-7e+07,-18100000,-28500000,6800000,0,5700000,-34100000,23900000,2100000,2.6e+07,7e+05,26700000,64700000,-2.91038304567337e-11,453300000,0.32316,0.06863,0.01735,0.00928000000000001,0.00299000000000003,40.47321,2.00036,2.09901,-6.7762635780344e-21,0.12308,0.121340000000002,7.09341,13.1978,4.98132,0.1989,7,0.01008,0.1559,1.61607,-7.8408,-11.45147
"17","2014_Q2",40.2814285714286,"Up",674500000,-459700000,214800000,-150700000,-1.33e+08,-77700000,-17700000,64100000,-1100000,-1100000,6.3e+07,-15800000,47200000,-1.3e+07,34200000,-1e+06,-1e+06,33200000,32200000,32200000,515100000,515100000,597500000,597500000,289800000,3.12e+08,3.12e+08,1714400000,434600000,1634700000,660700000,104800000,569900000,2069300000,3783700000,834100000,344200000,489900000,834100000,1.71e+09,242800000,242800000,1467200000,1.71e+09,2544100000,91700000,1356100000,-212200000,1235600000,1239600000,3783700000,33200000,21100000,16300000,-83800000,-13200000,-1.9e+07,-1.9e+07,-1.9e+07,-2700000,26500000,-17441957.6557305,-11300000,4200000,-4800000,3700000,-3400000,9900000,-4e+05,9500000,-1700000,7800000,85200000,0,-4600000,0.31846,0.09503,0.04774,0.02598,0.00851,-0.14286,2.05539,2.05236,0,0.3523,0.34698,7.37965,13.5186,-0.05033,0.191161543693056,6,0.01092,-0.00156,1.42781215237534,-6.04577,-8.03588
"18","2014_Q3",43.1821875,"Up",6.63e+08,-448200000,214800000,-144400000,-125800000,-69500000,-18600000,70400000,-5e+05,-5e+05,69900000,-15900000,5.4e+07,-12400000,41600000,-2900000,-2900000,38700000,38300000,38300000,527700000,527700000,575300000,575300000,3.09e+08,345600000,345600000,1757600000,4.43e+08,1611900000,659600000,1.01e+08,551600000,2054900000,3812500000,839900000,343900000,4.96e+08,839900000,1705500000,240800000,240800000,1464700000,1705500000,2545400000,91600000,1.381e+09,-209900000,1262700000,1267100000,3812500000,41200000,21100000,28600000,6600000.00000006,97500000,-25400000,-26700000,-26700000,2100000,-59100000,-10300000,-4900000,-7700000,-10100000,1100000,-21800000,16600000,-4100000,12500000,1e+05,12600000,91500000,0,85100000.0000001,0.32398,0.10618,0.05777,0.03023,0.01005,2.22193000000001,2.09263,2.00884,-1.0842021724855e-19,0.41812,0.41272,7.23799,13.78493,0.929040000000001,0.11245,6,0.01635,0.02863,0.268929999999999,-5.76721,-7.49574
"19","2014_Q4",38.01390625,"Down",657100000,-437200000,219900000,-142700000,-122600000,-69100000,-20100000,77200000,-7e+05,-7e+05,76500000,42500000,1.19e+08,-3.8e+07,8.1e+07,-3e+05,-3e+05,80700000,80300000,80300000,522600000,522600000,569200000,569200000,312800000,3.05e+08,3.05e+08,1709600000,433200000,1563900000,6.43e+08,95500000,543200000,1997100000,3706700000,815300000,330700000,484600000,815300000,1589700000,205500000,205500000,1384200000,1589700000,2.405e+09,91600000,1449500000,-244200000,1296900000,1301700000,3706700000,80600000,2.2e+07,-42700000,-12300000,47600000,-26600000,-28700000,-28700000,0,1e+05,-10100000,-2.3e+07,-7700000,-10600000,2100000,-38700000,9e+06,-6e+05,8400000,-13500000,-5100000,99200000,0,98300000,0.33465,0.11749,0.1222,0.06169,0.02166,1.22416,2.0969,1.84758,0,0.8776,0.86251,7.18142,14.17377,1.07432,0.11038,4,0.03127,0.034,0.12578,-5.26815,-6.76943
"20","2015_Q1",35.6468852459016,"Down",6.6e+08,-443100000,216900000,-158300000,-138100000,-83800000,-20200000,58600000,-2100000,-2100000,56500000,-14700000,41800000,-7900000,33900000,3e+05,3e+05,34200000,33700000,33700000,5.84e+08,5.84e+08,500100000,500100000,302300000,249800000,249800000,1636200000,443900000,1551400000,632100000,91400000,523800000,1995300000,3631500000,773900000,309600000,464300000,775400000,1635800000,249700000,249700000,1386100000,1635800000,2411200000,9.1e+07,1445100000,-321200000,1214900000,1220300000,3631500000,33400000,24100000,35400000,19900000,112800000,-44100000,-44400000,-44400000,4e+05,1.8e+07,-20300000,-5e+05,-33900000,-34700000,2e+06,-52700000,78100000,-6e+05,77500000,-16100000,61400000,82700000,1500000,66400000,0.32864,0.08879,0.05106,0.02762,0.00928,1.97033,2.11014,1.97591,0.00041,0.36831,0.36432,7.21311,13.2776,0.72568,0.22186,6,0.0189,0.02324,0.60237,-7.04353,-9.94027
"21","2015_Q2",38.1533333333333,"Up",588700000,-389700000,1.99e+08,-125700000,-107400000,-60100000,-18300000,73300000,-1200000,-1200000,72100000,-15400000,56700000,-18100000,38600000,3400000,3400000,4.2e+07,42100000,42100000,570100000,570100000,537200000,537200000,287600000,243800000,243800000,1638700000,419300000,1514600000,610700000,85400000,517100000,1933900000,3572600000,7.21e+08,287700000,433300000,834500000,1623500000,2.42e+08,2.42e+08,1381500000,1623500000,2.458e+09,89200000,1401700000,-381600000,1109300000,1114600000,3572600000,38700000,20700000,6500000,-57700000,8200000,-30200000,-30200000,-30200000,2e+05,-4e+07,-3e+05,113500000,-80800000,-82800000,1600000,3.4e+07,2200000,-3e+05,1900000,-15800000,-13900000,9.4e+07,113500000,24200000,0.33803,0.12451,0.07151,0.03777,0.01178,0.57482,1.96369,2.20528,0.03177,0.46468,0.45961,6.49779,12.24393,0.26711,0.00331,5,0.01487,0.00849,0.00713,-4.85745,-6.2292
"22","2015_Q3",34.03703125,"Down",628200000,-414300000,213900000,-134200000,-115300000,-66500000,-18900000,79700000,-3e+05,-3e+05,79400000,84800000,164200000,-23500000,140700000,1700000,1700000,142400000,142300000,142300000,497400000,497400000,5.58e+08,5.58e+08,294900000,283100000,283100000,1633400000,421400000,1520900000,625600000,110100000,485100000,1942300000,3575700000,747300000,299200000,448100000,8.16e+08,1491900000,240900000,240900000,1.251e+09,1491900000,2307900000,89400000,1540900000,-367900000,1262400000,1267800000,3575700000,140600000,21200000,-83700000,3200000,81300000,-6900000,-15800000,-15800000,2600000,-100200000,-10700000,-46700000,2400000,-9e+05,1400000,-53600000,-72500000,-2e+06,-74500000,1800000,-72700000,100900000,68700000,120700000,0.3405,0.12687,0.22652,0.11224,0.0398,0.84821,2.00172,1.8204,0.01921,1.59172,1.57412,7.02685,14.12081,1.35011,0.11969,5,0.05409,0.04267,0.07519,-4.24876,-5.37892
