"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",4.44296875,"Up",2142932,-560243,1582689,-3906243,-3499300,-406943,-2323554,-1069738,-1067621,-2117,-3393292,-3437508,-3437508,-3437508,-3437508,-3437508,11200447,11200447,1179138,1179138,3420253,142033,142033,15941871,111401,1798685,590458,1910086,17851957,1418938,1418938,1418938,22438404,0,22438404,23857342,55281016,-61286401,-6005385,-6005385,17851957,-3437508,37827,1162279,-413784,-2651186,-57422,-57422,1654,1654,1654,-2706954,-2706954,-2706954,-2285727,22438404,0.73856,-1.08429,-1.60411,0.5724,-0.19256,11.23507,-3.97266,1.25692,-0.309,-0.309,0.19263,-0.53983,-0.20918,-4.91658,-4.83654
"12","2013_Q3",3.829375,"Down",2862289,-633293,2228996,-4423325,-3925007,-498318,-2194329,-1222256,-1223645,1389,-3416585,-3457801,-3457801,-3457801,-3457801,-3457801,8692683,8692683,1415524,1415524,3575779,127326,127326,13811312,111036,1750397,583386,1861433,15672745,1587938,1587938,1587938,23383692,0,23383692,24971630,55445315,-64744200,-9298885,-9298885,15672745,-3457801,34391,1119065,-208205,-2512550,-26953,-26953,31739,31739,31739,-2507764,-2507764,-2507764,-2159938,23383692,0.77875,-0.76663,-1.20805,0.371850000000001,-0.22063,8.69764,-2.68544,1.492,-0.31046,-0.31046,0.25699,-0.83489,-0.2455,-6.80159,-6.69499
"13","2013_Q4",4.06453125,"Up",2957462,-650212,2307250,-4584244,-3990601,-593643,-2276994,-1214571,-1214603,32,-3491565,-3552781,-3552781,-3552781,-3552781,-3552781,22586450,22586450,1740216,1740216,3460064,177435,177435,27964165,114229,1685612,579817,1799841,29764006,1317121,1317121,1317121,24332525,-3.63797880709171e-12,24332525,25649646,72411338,-68296978,4114360,4114360,29764006,-3552781,32827,1152250,-529903,-2897607,-32451,-32451,16823825,16823825,16823825,13893767,13893767,13893767,-2244167,24332525,0.78015,-0.76991,-1.20129,-0.86351,-0.11937,21.23128,6.23418,0.81752,-0.24749,-0.24749,0.20602,0.28661,-0.12489,-0.77805,-0.76683
"14","2014_Q1",3.98426229508197,"Down",2984678,-596070,2388608,-5185936,-4559364,-626572,-2797328,-1279251,-1313839,34588,-4076579,-4108795,-4108795,-4108795,-4108795,-4108795,20069750,20069750,1893699,1893699,3398438,296719,296719,25658606,381689,1643975,570396,2025664,27684270,2083942,2083942,2098060,25363695,85882,25449577,27547637,72542411,-72405778,136633,136633,27684270,-4108795,33287,1268641,423452,-2383415,-127139,-127139,-6146,-6146,-6146.00000000373,-2516700,-2516700,-2516700,-2764041,25363695,0.80029,-0.93723,-1.37663,-30.07176,-0.14842,12.22968,201.61774,0.91618,-0.23639,-0.23639,0.17171,0.00786000000000014,-0.16059,-1.91529,-1.8925
"15","2014_Q2",2.72349206349206,"Down",3138256,-701300,2436956,-5428098,-4615483,-812615,-2991142,-1197206,-1191317,-5889,-4188348,-4239564,-4239564,-4239564,-4239564,-4239564,16807753,16807753,1965157,1965157,3466099,195489,195489,22434498,543227,1590150,567787,2133377,24567875,1908743,1908743,1922861,26255540,82311,26337851,28260712,72952502,-76645339,-3692837,-3692837,24567875,-4239564,44899,1260728,-216656,-3150593,-203828,-203828,92424,92424,92424,-3261997,-3261997,-3261997,-2946243,26255540,0.77653,-0.95312,-1.35093,1.14805,-0.17257,11.66725,-7.65285,1.06869,-0.24388,-0.24388,0.18053,-0.21243,-0.18722,-3.20672,-3.15859
"16","2014_Q3",2.44140625,"Down",4214193,-887821,3326372,-5624116,-5068358,-555758,-2297744,-1391512,-1392098,586,-3689256,-3741472,-3741472,-3741472,-3741472,-3741472,14170332,14170332,2526953,2526953,3410442,144975,144975,20252702,597278,1548749,578602,2146027,22398729,2239055,2239055,2253173,27242589,78739,27321328,29574501,73211042,-80386814,-7175772,-7175772,22398729,-3741472,45087,1255867,-128888,-2569406,-109953,-109953,41938,41938,41938,-2637421,-2637421,-2637421,-2252657,27242589,0.78933,-0.54524,-0.88783,0.521399999999999,-0.16704,8.98853,-4.12144000000003,1.21626,-0.21427,-0.21427,0.24134,-0.41094,-0.18572,-5.80304,-5.68917
"17","2014_Q4",2.9275,"Up",4671340,-896178,3775162,-5578067,-4896837,-681230,-1802905,-1380053,-1380470,417,-3182958,-3238174,-3238174,-3238174,-3238174,-3238174,11802608,11802608,2743041,2743041,3346115,100923,100923,17992687,613174,1491313,576382,2104487,20097174,2020091,2020091,2034209,28173877,75168,28249045,30283254,73438905,-83624985,-10186080,-10186080,20097174,-3238174,54872,1214057,-330241,-2299486,-68548,-68548,310,310,310,-2367724,-2367724,-2367724,-1748033,28173877,0.80815,-0.38595,-0.6932,0.3179,-0.16113,8.84505,-2.973,1.40188,-0.18539,-0.18539,0.26744,-0.58318,-0.17927,-9.36554,-9.08049
"18","2015_Q1",3.43672131147541,"Up",4793614,-956884,3836730,-6545729,-5562007,-983722,-2708999,-2840395,-2848430,8035,-5549394,-6491266,-6491266,-6491266,-6491266,-6491266,8215791,8215791,2872308,2872308,3213620,109369,109369,14411088,619028,1370673,577174,1989701,16400789,2431194,2431194,2445312,25085777,115380,25201157,27646469,78870574,-90116254,-11245680,-11245680,16400789,-6491266,54036,3444002,561654,-2431574,-211718,-211718,1626916,1626916,-943525.000000001,-3586817,-3586817,-3586817,-2654963,25085777,0.80038,-0.56513,-1.35415,0.57722,-0.39579,5.89335,-2.45841,1.52955,-0.34947,-0.34947,0.25807,-0.60543,-0.46514,-6.35413,-6.22739
"19","2015_Q2",3.22920634920635,"Down",4951316,-982881,3968435,-6512139,-5841103,-671036,-2543704,-997751,-994748,-3003,-3541455,-3575201,-3575201,-3575201,-3575201,-3575201,19255725,19255725,3161588,3161588,3337898,259948,259948,26015159,583420,1537347,597453,2120767,28135926,3423272,3423272,3437390,25269050,109984,25379034,28816424,93010957,-93691455,-680498,-680498,28135926,-3575201,53670,585268,422545,-2513718,-38339,-38339,13772133,13772133,13591991,11039934,11039934,11039934,-2490034,25269050,0.80149,-0.51374,-0.72207,5.2538,-0.12707,7.56829,-42.34608,0.89811,-0.15878,-0.15878,0.21989,-0.03022,-0.14475,-2.41496,-2.364
"20","2015_Q3",4.00640625,"Up",6417253,-1039841,5377412,-7530681,-6794282,-736399,-2153269,-1006393,-1023774,17381,-3159662,-3190872,-3190872,-3190872,-3190872,-3190872,15622932,15622932,3838023,3838023,3539957,241108,241108,23242020,663910,1517223,608539,2181133,25423153,3408122,3408122,3422240,25426647,104589,25531236,28953476,93352004,-96882327,-3530323,-3530323,25423153,-3190872,56650,517184,-880199,-3497237,-148228,-148228,12672.0000000019,12672.0000000019,12671.9999999963,-3632793,-3632793,-3632793,-2096619,25426647,0.83796,-0.33554,-0.49723,0.90385,-0.12551,6.79146,-8.20137,1.00014,-0.12793,-0.12793,0.25729,-0.14154,-0.14503,-4.67596,-4.55294
"21","2015_Q4",4.94234375,"Up",8153675,-1410416,6743259,-8661085,-7725070,-936015,-1917826,-1029614,-1042257,12643,-2947440,-2978859,-2978859,-2978859,-2978859,-2978859,29935467,29935467,4642802,4642802,3701755,290231,290231,38570255,830083,1512614,635349,2342697,40912952,4086307,4086307,4100425,25537367,99193,25636560,29736985,111037153,-99861186,11175967,11175967,40912952,-2978859,65727,476731,-342910,-2779311,-258710,-258710,17350556,17350556,17350556,14312535,14312535,14312535,-1852099,25537367,0.82702,-0.23521,-0.36534,-0.26654,-0.07281,9.4064,2.6608,0.62419,-0.11084,-0.11084,0.30339,0.41585,-0.08092,2.37466,2.29327
"22","2016_Q1",5.07672131147541,"Up",7808848,-1415258,6393590,-9045501,-8151780,-893721,-2651911,-928045,-927840,-205,-3579956,-3611493,-3611493,-3611493,-3611493,-3611493,25909500,25909500,4782989,4782989,3933960,424925,424925,35051374,970870,678082,678082,1648952,36700326,3695127,3695127,3709245,24701693,93797,24795490,28504735,111668270,-103472679,8195591,8195591,36700326,-3611493,72921,452253,-1175234,-4261553,-110241,-110241,345824.000000004,345824.000000004,345827.000000004,-4025967,-4025967,-4025967,-2578990,24701693,0.81876,-0.3396,-0.46249,-0.44066,-0.0984,9.44973,3.47806,0.67306,-0.12051,-0.12051,0.26057,0.27348,-0.10947,0.468329999999998,0.455450000000001
"23","2016_Q2",5.655625,"Up",8111759,-1405591,6706168,-9328972,-8350632,-978340,-2622804,-1022477,-1003027,-19450,-3645281,-3676091,-3676091,-3676091,-3676091,-3676091,20948752,20948752,5290581,5290581,4515940,699039,699039,31454312,1294941,747482,747482,2042423,33496735,3750606,3750606,3764724,24804453,88401,24892854,28657578,111987927,-107148770,4839157,4839157,33496735,-3676091,94872,366366,-1394254,-4609107,-488343,-488343,136702,136702,136702,-4960748,-4960748,-4960748,-2527932,24804453,0.82672,-0.32333,-0.45318,-0.75966,-0.10974,8.35501,5.92202,0.7405,-0.12256,-0.12256,0.27045,0.16134,-0.12364,-1.52524,-1.47007
"24","2016_Q3",8.13046875,"Up",10381883,-1534412,8847471,-10453441,-9516618,-936823,-1605970,-1164030,-1163413,-617,-2770000,-2802696,-2802696,-2802696,-2802696,-2802696,18273203,18273203,6072121,6072121,4786322,615511,615511,29747157,1260190,743390,743390,2003580,31750737,3893834,3893834,3922427,24952201,83006,25035207,28957634,112744569,-109951466,2793103,2793103,31750737,-2802696,104751,685531,-784035,-2796449,-65907.9999999999,-65907.9999999999,186808,186808,186808,-2675549,-2675549,-2675549,-1501219,24952201,0.8522,-0.15469,-0.26996,-1.00343,-0.08827,7.58387,10.36755,0.78588,-0.09317,-0.09317,0.34514,0.09286,-0.10071,-4.44905,-4.15886
"25","2016_Q4",8.6152380952381,"Up",11205224,-1697443,9507781,-10689468,-9571110,-1118358,-1181687,-1091938,-1089134,-2804,-2273625,-2305373,-2305373,-2305373,-2305373,-2305373,16003245,16003245,7004756,7004756,4970819,685711,685711,28664531,1320711,787523,787523,2108234,30772765,4559394,4559394,4595426,24996070,77610,25073680,29669106,113360498,-112256839,1103659,1103659,30772765,-2305373,111560,369778,-552063,-2376098,-216214,-216214,322354,322354,322354,-2269958,-2269958,-2269958,-1070127,24996070,0.84851,-0.10546,-0.20574,-2.08885,-0.07492,6.23762,26.88249,0.81228,-0.07646,-0.07646,0.37161,0.0366,-0.08807,-8.40351,-7.61016
"26","2017_Q1",10.1983870967742,"Up",11409134,-1829554,9579580,-12299119,-11120640,-1178479,-2719539,-2127555,-2130426,2871,-4847094,-5626840,-5626840,-5626840,-5626840,-5626840,30014405,30014405,8052203,8052203,5458840,511804,511804,44037252,1494247,828979,828979,2323226,46360478,7002165,7002165,11081369,20265745,92215,20357960,31439329,132804972,-117883823,14921149,14921149,46360478,-5626840,125817,3635325,410352,-1455346,-386535,-386535,19199136,19199136,15853136,14011255,14011255,14011255,-2593722,20286644,0.83964,-0.23837,-0.49319,-0.37711,-0.12137,3.97399,2.10703,0.43758,-0.1727,-0.1727,0.35017,0.45796,-0.1594,3.7505,3.57699
"27","2017_Q2",13.4830158730159,"Up",12241073,-1915648,10325425,-13525657,-12114521,-1411136,-3200232,-517302,-507549,-9753,-3717534,-3762025,-3762025,-3762025,-3762025,-3762025,25913765,25913765,8383925,8383925,5850730,749437,749437,40897857,1484279,890688,890688,2374967,43272824,6660267,6660267,10694750,20276634,176706,20453340,31148090,133770582,-121645848,12124734,12124734,43272824,-3762025,131548,927827,-1251432,-3954082,-183289,-183289,117021,117021,36731,-4100640,-4100640,-4100640,-3068684,20299547,0.84351,-0.26143,-0.30733,-0.31028,-0.08694,3.82411,2.56897,0.46911,-0.11391,-0.11391,0.37064,0.36712,-0.1154,1.82952,1.75432
"28","2017_Q3",16.8015873015873,"Up",15168064,-2277201,12890863,-14336516,-12815393,-1521123,-1445653,-568416,-554384,-14032,-2014069,-2060179,-2060179,-2060179,-2060179,-2060179,23870200,23870200,9422467,9422467,6304097,585090,585090,40181854,1643257,940594,940594,2583851,42765705,7057831,7057831,10951942,20314254,190755,20505009,31456951,135014781,-123706027,11308754,11308754,42765705,-2060179,128034,1516425,-1657737,-2073457,-336918,-336918,519822,519822,366810,-2043565,-2043565,-2043565,-1317619,20339201,0.84987,-0.09531,-0.13582,-0.18218,-0.04817,3.66893,2.78165,0.4756,-0.06219,-0.06219,0.45791,0.3414,-0.06471,2.67983,2.44249
"29","2017_Q4",23.5960317460317,"Up",16046253,-2504278,13541975,-15040400,-13245108,-1795292,-1498425,-579544,-577941,-1603,-2077969,-2124079,-2124079,-2124079,-2124079,-2124079,22041097,22041097,10200560,10200560,6698943,571912,571912,39512512,1763840,951473,951473,2715313,42227825,7072530,7072530,11137702,20356698,181288,20537986,31675688,136382243,-125830106,10552137,10552137,42227825,-2124079,147716,1267882,-1453098,-2161579,-279178,-279178,448436,448436,611654,-1829103,-1829103,-1829103,-1350709,20378294,0.84393,-0.09338,-0.13237,-0.20129,-0.0503,3.54764,3.00183,0.48258,-0.06381,-0.06381,0.48204,0.31699,-0.06827,1.23106,1.1097
"30","2018_Q1",30.672131147541,"Up",16970610,-2613873,14356737,-16163427,-14191978,-1971449,-1806690,-582738,-577126,-5612,-2389428,-2498717,-2498717,-2498717,-2498717,-2498717,36507000,36507000,11065000,11065000,7316000,853000,853000,55741000,2197000,937000,937000,3134000,58875000,8952000,8952000,13719000,19810000,164000,19974000,33693000,153511000,-128329000,25182000,25182000,58875000,-2498717,159702,1803866,-513733,-1048882,-492615,-492615,16239721,16239721,16006805,14465308,14465308,14465308,-1646988,20545000,0.84598,-0.10646,-0.14724,-0.09923,-0.04244,4.06305,1.33798,0.34896,-0.07381,-0.07381,0.50133,0.7439,-0.05445,9.69163,8.83494
"31","2018_Q2",44.0625,"Up",17259859,-2712380,14547479,-19539520,-17481078,-2058442,-4992041,-585853,-585618,-235,-5577894,-5638557,-5638557,-5638557,-5638557,-5638557,30559882,30559882,11766829,11766829,8052930,1355262,1355262,51734903,2377323,1058346,1058346,3435669,55170572,8710683,8710683,15567386,17760907,150995,17911902,33479288,155659126,-133967842,21691284,21691284,55170572,-5638557,199538,1846622,-2251882,-5844279,-501176,-501176,418692,418692,398713,-5946742,-5946742,-5946742,-4792503,20602285,0.84285,-0.28923,-0.32669,-0.25995,-0.1022,3.32329,1.54344,0.37343,-0.16334,-0.16334,0.49998,0.62835,-0.13285,2.07774,1.99469
"32","2018_Q3",43.65,"Down",20584498,-3106215,17478283,-22295910,-19694673,-2601237,-4817627,-402894,-544207,-15237,-5220521,-7427301,-7427301,-7427301,-7427301,-7427301,133562319,133562319,12358984,12358984,9682119,1307028,1307028,156910450,2475763,1157521,1157521,3633284,160543734,9790987,9790987,9857353,45240,137846,183086,10040439,291898439,-141395144,150503295,150503295,160543734,-7427301,215131,4902624,-1765956,-4075502,-412746,-412745.999999996,134455441,134455441,107490685,103002437,103002437,103002437,-4602496,84268,0.8491,-0.23404,-0.36082,-0.04935,-0.04626,15.91811,0.06671,0.00052000000000002,-0.20244,-0.20244,0.56105,4.10214,-0.04928,29.00123,27.70618
"33","2018_Q4",31.2825396825397,"Down",22660139,-3464010,19196129,-24030710,-20723854,-3306856,-4834581,732953,5964,-126,-4101628,-4101628,-4101628,-4101628,-4101628,-4101628,126369401,25629057,13990477,13990477,10949045,1477419,1477419,152786342,7673263,1198131,1198131,8871394,161657736,11956797,11956797,12015299,38314.0000000019,124696,163010,12178309,294976199,-145496772,149479427,149479427,161657736,-4101628,218565,2299905,-1383121,-2966279,-5458036,-105823279,866288,866288,856296,-107933262,-107933262,-107933262,-4616016,74276,0.84713,-0.21335,-0.18101,-0.02744,-0.02537,12.71598,0.08147,0.00046,-0.10643,-0.10643,0.58801,3.87889,-0.0274,27.3602,26.12328
"34","2019_Q1",18.2672131147541,"Down",23432504,-3640395,19792109,-25647860,-21841395,-3806465,-5855751,544794,-84139,-12402,-5310957,-5229514,-5229514,-5229514,-5229514,-5229514,116605000,24294000,15321000,15321000,11982000,7045000,1045000,150953000,8039000,1181000,1181000,9220000,160173000,12998000,12998000,13044000,35000,112000,147000,13191000,297708000,-150726000,146982000,146982000,160173000,-5229514,217766,2298849,-2263041,-4975940,89958,8544201,1107579,1107579,1096306,4664566.99999994,4664566.99999994,4664566.99999994,-5637985,63000,0.84464,-0.2499,-0.22317,-0.03558,-0.03265,11.5726,0.0897500000000001,0.000389999999999986,-0.13492,-0.13492,0.60453,3.79199,-0.03554,20.67086,19.90214
"35","2019_Q2",21.3995238095238,"Up",23285000,-3714000,19571000,-29774000,-25635000,-4139000,-10203000,699000,-14000,-3000,-9504000,-9504000,-9504000,-9504000,-9504000,-9504000,107845000,23522000,15193000,15193000,13120000,9471000,3471000,145629000,9158000,5705000,1164000,14863000,160492000,15107000,15107000,16492000,3223000,34000,3257000,19749000,300973000,-160230000,140743000,140743000,160492000,-9504000,237000,2918000,-2517000,-8866000,-487000,7769000,332000,332000,325000,-772000,-772000,-772000,-9966000,4584000,0.8405,-0.43818,-0.40816,-0.06753,-0.05922,8.83028,0.14032,0.02856,-0.24411,-0.24411,0.59806,3.61491,-0.06538,10.36133,10.12065
"36","2019_Q3",16.468125,"Down",26701000,-4244000,22457000,-30129000,-25847000,-4282000,-7672000,650000,-11000,7000,-7022000,-7022000,-7022000,-7022000,-7022000,-7022000,103063000,24878000,16285000,16285000,13587000,8357000,2357000,141292000,9757000,5554000,1404000,15311000,156603000,14382000,14382000,16233000,2381000,29000,2410000,18643000,305212000,-167252000,137960000,137960000,156603000,-7022000,258000,2106000,-1152000,-5810000,-1478000,4993000,2183000,2183000,2173000,1355999.99999999,1355999.99999999,1355999.99999999,-7414000,4213000,0.84105,-0.28733,-0.26299,-0.0509,-0.04484,8.704,0.13513,0.0269,-0.17924,-0.17924,0.68156,3.52154,-0.04938,13.33288,12.88452
