"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","long_term_investments","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",16.9065,"Up",750900000,-649300000,-378900000,-8.5e+07,-185400000,101600000,-39300000,-39300000,-40900000,62300000,18400000,80700000,-5600000,75100000,72300000,72300000,-4e+06,68300000,21200000,21200000,94900000,94900000,203900000,674300000,463700000,994300000,7.838e+09,3.19e+08,3.19e+08,1634200000,1634200000,9791200000,10785500000,387300000,339300000,2.19e+08,413700000,365700000,1.02e+09,3136600000,3287100000,3.64e+08,1934200000,988900000,6423700000,7443700000,205100000,1512300000,1630700000,-8100000,3.34e+09,3341800000,10785500000,72300000,8.5e+07,1.39e+08,-55500000,240800000,-639100000,1300000,-637800000,-53700000,455700000,-24900000,377100000,-19900000,-19900000,-19900000,186600000,3355600000,-502400000,0.1353,0.09096,0.02044,0.00633,-7.35578,0.9748,2.22745,0.31112,0.30777,0.3079,3.38365,14.12626,-2.26388,0.24198,0.01222,-0.05032,0.78624,17.86924,32.8189
"13","2013_Q2",18.4253125,"Up",859600000,-738900000,-467800000,-92600000,-178500000,120700000,-41800000,-41800000,-42600000,78900000,16300000,95200000,-12100000,83100000,80100000,80100000,-10200000,69900000,53400000,53400000,98900000,98900000,173700000,544400000,451900000,870400000,7913600000,321600000,321600000,1628300000,1628300000,9863500000,10733900000,368600000,368600000,244900000,424600000,424600000,1038100000,3121900000,3226200000,360300000,1901400000,964500000,6348100000,7386200000,2e+08,1505500000,1648400000,-8e+06,3345900000,3347700000,10733900000,80100000,92600000,-3200000,29100000,198600000,-167300000,47600000,-119700000,-5.6e+07,10900000,-1600000,-46700000,32200000,32200000,32200000,213300000,3366800000,87200000,0.14041,0.08132,0.02088,0.00651,1.2475,0.83845,2.20635,0.31366,0.31543,0.31543,3.87906,14.1963,0.3935,0.25271,0.01267,0.00877000000000003,0.80114,15.53399,27.45153
"14","2013_Q3",18.8278125,"Up",7.18e+08,-614800000,-348500000,-92700000,-173600000,103200000,-42200000,-42200000,-42500000,6.1e+07,17900000,78900000,-10500000,68400000,67800000,67800000,-2500000,65300000,11500000,11500000,8.5e+07,8.5e+07,191200000,605700000,463400000,893400000,8027200000,321300000,321300000,1645700000,1645700000,9994200000,10887600000,391100000,391100000,224600000,456800000,456800000,1072500000,3141400000,3311400000,359200000,1991100000,961100000,6452800000,7525300000,2e+08,1507100000,1661700000,-8300000,3360500000,3362300000,10887600000,67800000,92700000,54500000,9700000,224700000,-201700000,-8e+05,-202500000,-54500000,-3e+05,-9299999.99999999,-64100000.0000001,-41900000,-41900000,-41900000,195900000,3.366e+09,14400000,0.14373,0.09095,0.01942,0.006,0.22052,0.83301,2.23814,0.30916,0.29468,0.29468,3.24007,14.26218,0.0649799999999994,0.24594,0.01193,0.00143,0.83461,17.12353,32.50484
"15","2013_Q4",19.23078125,"Up",866600000,-665200000,-388800000,-92100000,-184300000,201400000,-41900000,-41900000,-42500000,159500000,19600000,179100000,-17600000,161500000,160200000,160200000,-2600000,157600000,17700000,17700000,78100000,78100000,220500000,563800000,432600000,880100000,8141400000,324700000,324700000,1.635e+09,1.635e+09,10101100000,10981200000,368700000,368700000,285700000,398400000,398400000,1052800000,3104800000,3355100000,356600000,2063900000,934600000,6459900000,7512700000,2e+08,1.508e+09,1767300000,-8600000,3466700000,3468500000,10981200000,160200000,92100000,49800000,-82300000,219800000,-191300000,3e+05,-1.91e+08,-54600000,23400000,8600000,-22600000,6200000,6200000,6200000,293500000,3390500000,37500000,0.2324,0.18186,0.04544,0.01435,0.23794,0.83596,2.16598,0.30875,0.71119,0.71119,3.91065,14.74143,0.16922,0.24639,0.02078,0.00367,0.34645,11.49165,16.74677
"16","2014_Q1",19.8814754098361,"Up",832600000,-7.24e+08,-431700000,-93500000,-198800000,108600000,-46500000,-46500000,-45200000,62100000,20700000,82800000,-13700000,69100000,68100000,68100000,-2600000,65500000,9800000,9800000,473300000,473300000,211800000,316300000,179600000,1011200000,8326500000,329600000,329600000,1445100000,1445100000,10101200000,11112400000,3.65e+08,3.65e+08,637900000,430400000,430400000,1433300000,2977800000,3218100000,206600000,2112700000,898800000,6195900000,7629200000,2e+08,1508900000,1780700000,-8200000,3481400000,3483200000,11112400000,68100000,93500000,-85900000,12200000,87900000,-2.38e+08,-3500000,-241500000,-43200000,226400000,-37500000,145700000,-7899999.99999999,-7899999.99999999,-7899999.99999999,202100000,3615700000,-1e+07,0.13043,0.07867,0.0188,0.00589,-0.15267,0.7055,2.19028,0.32538,0.29558,0.29558,3.75722,14.80776,-0.0451300000000001,0.19495,0.01054,-0.00097,0.65954,17.84216,33.2035
"17","2014_Q2",21.9857142857143,"Up",952800000,-798600000,-514700000,-95500000,-188400000,154200000,-43500000,-43500000,-45200000,110700000,20500000,131200000,-20600000,110600000,110600000,110600000,-2600000,1.08e+08,14500000,14500000,106600000,106600000,1.51e+08,664100000,664100000,936200000,8426200000,332900000,332900000,1421500000,1421500000,10180600000,11116800000,388100000,388100000,580100000,4.16e+08,4.16e+08,1384200000,2980600000,3218800000,2.03e+08,2141700000,874100000,6199400000,7583600000,2e+08,1507500000,1832200000,-8200000,3531500000,3533200000,11116800000,110600000,95500000,87800000,-3e+05,293600000,-1.73e+08,-3800000,-176800000,-56500000,-58100000,2500000,-112100000,4700000,4700000,4700000,249700000,3560700000,9.7e+07,0.16184,0.11335,0.03057,0.00972,0.89815,0.67635,2.14638,0.3203,0.48736,0.48736,4.29964,15.03384,0.43773,0.25496,0.01595,0.00941,0.52315,14.20184,22.99741
"18","2014_Q3",22.08,"Up",750300000,-6.47e+08,-364600000,-95800000,-186600000,103300000,-45200000,-45200000,-45100000,58100000,19700000,77800000,-13200000,64600000,64300000,64300000,-2500000,61800000,16200000,16200000,85900000,85900000,172800000,735200000,735200000,1010100000,8566200000,338600000,338600000,1471700000,1471700000,10376500000,11386600000,475600000,475600000,816900000,440700000,440700000,1733200000,2829900000,3284400000,202100000,2189900000,892400000,6114300000,7847500000,2e+08,1508400000,1837600000,-8600000,3537400000,3539100000,11386600000,64300000,95800000,-57800000,52300000,154600000,-191500000,-7e+05,-192200000,-56400000,85799999.9999999,9900000,39300000,1700000,1700000,1700000,199100000,3646800000,73100000,0.13768,0.08237,0.01746,0.00543,1.18285,0.58279,2.21737,0.32027,0.27888,0.27888,3.38583,15.06047,0.32987,0.25451,0.01129,0.00698,0.91262,18.23506,35.14618
"19","2014_Q4",23.9046875,"Up",843100000,-648300000,-366600000,-97100000,-184600000,194800000,-44400000,-44400000,-44600000,150400000,19800000,170200000,-12400000,157800000,155900000,155900000,-2600000,153300000,1.1e+07,1.1e+07,84300000,84300000,204200000,662800000,662800000,962300000,8763600000,343300000,343300000,1524800000,1524800000,10631700000,1.1594e+10,471100000,471100000,846600000,424200000,424200000,1741900000,2799500000,3415300000,201300000,2290300000,923700000,6214800000,7956700000,2e+08,1.51e+09,1934500000,-8900000,3635600000,3637300000,1.1594e+10,155900000,97100000,46800000,15900000,315700000,-2.68e+08,-3400000,-271400000,-56400000,1900000,5e+06,-49500000,-5200000,-5200000,-5200000,291900000,3646100000,52200000,0.23105,0.18183,0.04215,0.01322,0.34051,0.55244,2.18753,0.31448,0.69179,0.69179,3.8046,15.50361,0.23556,0.25451,0.0196,0.00488,0.36791,12.45324,18.66068
"20","2015_Q1",25.3496721311475,"Up",804100000,-712800000,-406600000,-99700000,-206500000,91300000,-45700000,-45700000,-45700000,45600000,15200000,60800000,1900000,62700000,62500000,62500000,-2500000,6e+07,56900000,56900000,427300000,427300000,223800000,335100000,1.85e+08,1043100000,8938400000,344900000,344900000,1737100000,1737100000,11020400000,12063500000,427900000,427900000,324300000,462500000,462500000,1214700000,3584300000,3.624e+09,421700000,2321100000,881200000,7208300000,8.423e+09,2e+08,1510200000,1.938e+09,-9500000,3638700000,3640500000,12063500000,62500000,99700000,5e+05,-3.5e+07,127700000,-270300000,-7e+06,-277300000,-56500000,286700000,-34700000,195500000,45900000,45900000,45900000,1.91e+08,3908600000,-116200000,0.11354,0.07462,0.01648,0.00497,-1.93667,0.85873,2.31369,0.324,0.27076,0.27076,3.62861,15.5176,-0.52437,0.25496,0.01043,-0.0104,0.94167,20.16597,42.18729
"21","2015_Q2",23.7965079365079,"Down",897400000,-744500000,-469900000,-100200000,-174400000,152900000,-46500000,-46500000,-46600000,106400000,13300000,119700000,-20500000,99200000,99200000,99200000,-2600000,96600000,97600000,97600000,361600000,361600000,167400000,286600000,286600000,913200000,9.05e+09,343900000,343900000,1772500000,1772500000,11166400000,12079600000,356900000,356900000,224500000,441700000,441700000,1023100000,3606700000,3.651e+09,417700000,2366900000,866400000,7257700000,8280800000,2e+08,1632700000,1973900000,-9500000,3797100000,3798800000,12079600000,99200000,100200000,81600000,33700000,314700000,-245800000,-5100000,-250900000,-60700000,-99800000,15300000,-23100000,40700000,40700000,40700000,253100000,3831200000,61500000,0.17038,0.10764,0.02543,0.008,0.63665,0.89258,2.17985,0.31716,0.43474,0.43474,4.0387,16.18857,0.27678,0.27318,0.01394,0.00545,0.62836,14.75148,24.41857
"22","2015_Q3",23.3203125,"Down",717200000,-608200000,-3.24e+08,-100400000,-183800000,1.09e+08,-46300000,-46300000,-46500000,62700000,19900000,82600000,-11200000,71400000,70100000,70100000,-2500000,67600000,54800000,54800000,297300000,297300000,185200000,506600000,506600000,1043900000,9173500000,349900000,349900000,1.745e+09,1.745e+09,11268400000,12312300000,374900000,374900000,154400000,462200000,462200000,991500000,3717400000,3781700000,417400000,2449100000,915200000,7499100000,8490600000,2e+08,1650100000,1979300000,-8600000,3820800000,3821700000,12312300000,70100000,100400000,42900000,-10800000,202600000,-222600000,3200000,-219400000,-62200000,39199999.9999999,-20400000,-2.6e+07,-42800000,-42800000,-42800000,209400000,3871800000,-12800000,0.15198,0.09426,0.01769,0.00549,-0.18935,1.05285,2.22168,0.31447,0.29885,0.29885,3.17065,16.00707,-0.05659,0.27498,0.01131,-0.00112,0.92012,18.22827,35.01835
"23","2015_Q4",24.02734375,"Up",898900000,-6.63e+08,-3.87e+08,-99300000,-176700000,235900000,-46300000,-46300000,-46400000,189600000,20800000,210400000,-27800000,182600000,182500000,182500000,-2600000,179900000,139200000,139200000,427300000,427300000,211500000,309700000,309700000,1087700000,9366500000,353100000,353100000,1751300000,1751300000,11470900000,12558600000,438300000,438300000,112100000,440400000,440400000,990800000,3855800000,3765900000,416400000,2462100000,887400000,7621700000,8612500000,2e+08,1657100000,2.097e+09,-8900000,3945200000,3946100000,12558600000,182500000,99300000,-4.7e+07,-56800000,1.78e+08,-119900000,-22800000,-142700000,-62200000,97100000,8300000,49100000,84400000,84400000,84400000,335200000,3967900000,186300000,0.26243,0.20013,0.04559,0.01432,1.03558,1.0978,2.18253,0.31595,0.79461,0.79461,3.97041,16.5424,0.82288,0.27473,0.02073,0.01595,0.34575,11.42214,16.23018
"24","2016_Q1",27.2214754098361,"Up",740100000,-660900000,-361200000,-101400000,-198300000,79200000,-47300000,-47300000,-47600000,31900000,16700000,48600000,-10900000,37700000,36600000,36600000,-2500000,34100000,5800000,5800000,397600000,397600000,223500000,199900000,199900000,826800000,9519100000,346300000,346300000,1.803e+09,1.803e+09,11668400000,12495200000,402400000,402400000,473200000,483700000,430500000,1359300000,3522200000,3689600000,451800000,2381200000,856600000,7211800000,8571100000,2e+08,1664100000,2068900000,-8900000,3924100000,3924100000,12495200000,36600000,101400000,20200000,17700000,175900000,-306100000,-1e+05,-306200000,-62200000,49700000,3600000,-3100000.00000001,-133400000,-133400000,-133400000,180600000,3995400000,-96900000,0.10701,0.04607,0.00869,0.00273,-2.84164,0.60825,2.18422,0.31975,0.15035,0.15035,3.26323,16.42019,-0.42725,0.27425,0.0083,-0.00835,1.82405,22.09081,50.37374
"25","2016_Q2",30.20765625,"Up",843800000,-697900000,-4.24e+08,-102500000,-171400000,145900000,-47800000,-47800000,-4.8e+07,98100000,23700000,121800000,-21600000,100200000,99100000,99100000,-2600000,96500000,4800000.00000001,4800000.00000001,390600000,390600000,197200000,175900000,175900000,768500000,9626600000,323500000,323500000,1816400000,1816400000,11766500000,1.2535e+10,323800000,323800000,526800000,497900000,497900000,1348500000,3522700000,3699200000,446500000,2424600000,828100000,7221900000,8570400000,2e+08,1674800000,2098900000,-9100000,3964600000,3964600000,1.2535e+10,99100000,102500000,62200000,-35500000,228300000,-239200000,19200000,-2.2e+08,-66500000,53600000,3600000,-9300000,-1e+06,-1e+06,-1e+06,248400000,4049500000,-4700000,0.17291,0.11436,0.02434,0.0077,-0.0487,0.56989,2.16173,0.32306,0.42549,0.42549,3.72046,16.59877,-0.02072,0.29321,0.01392,-0.000400000000000003,0.68912,16.28301,27.72241
"26","2016_Q3",32.19640625,"Up",754600000,-6.26e+08,-354400000,-102100000,-169500000,128600000,-4.8e+07,-4.8e+07,-4.8e+07,80600000,24400000,1.05e+08,-18100000,86900000,86400000,86400000,-2500000,83900000,6500000,6500000,316300000,316300000,209100000,170400000,170400000,702300000,9846400000,324800000,324800000,1811900000,1811900000,11983100000,12685400000,3.53e+08,3.53e+08,534600000,485600000,485600000,1373200000,3588400000,3733600000,452200000,2474100000,807300000,7.322e+09,8695200000,2e+08,1684100000,2116100000,-1e+07,3990200000,3990200000,12685400000,86400000,102100000,88100000,5100000.00000001,281700000,-280700000,-1e+05,-280800000,-66700000,74200000,-20500000,800000.000000007,1700000.00000001,1700000.00000001,1700000.00000001,230700000,4.123e+09,-26800000,0.17042,0.11118,0.02103,0.00661,-0.31943,0.51143,2.17914,0.32502,0.3696,0.3696,3.32423,16.69692,-0.11806,0.29383,0.01271,-0.00226,0.79499,17.84352,32.01011
