"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",3.87935483870968,"Up",7881000,-3970000,3911000,-4490000,-3484000,-1875000,-1609000,-1006000,-579000,-117000,-117000,-696000,-696000,141000,-555000,-745000,-745000,-745000,13734000,13734000,5496000,5496000,7542000,1841000,1117000,28613000,468000,1358000,533000,219000,1826000,30439000,5044000,1529000,3515000,928000,861000,5972000,706000,706000,706000,6678000,42811000,-17394000,23761000,23761000,30439000,-555000,107000,96000,615000,263000,-136000,-215000,-241000,-193000,-51000,-51000,-472000,0,-134000,0.49626,-0.07347,-0.09453,-0.03135,-0.02448,0.17987,4.79119,0.28105,0,-0.08302,-0.08302,0.8782,2.64776,-0.01493,5,-0.03045,-0.00548,29.09746,23.72021
"12","2013_Q1",4.40816666666667,"Up",9228000,-4890000,4338000,-4033000,-2942000,-2034000,-908000,-1091000,305000,-18000,192000,287000,287000,-34000,253000,242000,242000,242000,11901000,11901000,5480000,5480000,8035000,1639000,1129000,27055000,483000,1374000,533000,287000,1857000,28912000,5363000,2105000,3258000,1004000,1004000,6367000,640000,640000,640000,7007000,39057000,-17152000,21905000,21905000,28912000,253000,117000,188000,-151000,407000,-84000,-171000,-2217000,-1981000,-1833000,-1833000,422000,-1.61558713389263e-27,221000,0.47009,0.03305,0.02622,0.01105,0.00837,0.913220000000001,4.24925,0.31988,-4.81482486096809e-35,0.02744,0.02744,1.0465,2.48412,0.02506,6,0.01073,0.0098,-28.20142,-39.01967
"13","2013_Q2",5.35265625,"Up",8939000,-4708000,4231000,-3807000,-2811000,-1625000,-1186000,-996000,424000,-18000,-17999.9999999999,406000,879000,-5000,874000,874000,874000,874000,11581000,11581000,6031000,6031000,8147000,1633000,1123000,27392000,440000,1320000,533000,298000,1760000,29152000,4540000,1280000,3260000,943000,943000,5483000,542000,542000,542000,6025000,39405000,-16278000,23127000,23127000,29152000,874000,126000,234000,-1640000,-406000,-18000,-101000,187000,-320000,-320000,-320000,550000,0,-1103000,0.47332,0.04743,0.09777,0.03779,0.02998,-1.26201,4.99581,0.26052,0,0.10269,0.08917,1.05029,2.71731,-0.1296,3,0.03693,-0.0466,-21.05636,-27.31368
"14","2013_Q3",5.95859375,"Up",9210000,-4728000,4482000,-3967000,-3083000,-1846000,-1237000,-884000,515000,-97000,-97000,418000,418000,-3000,415000,415000,415000,415000,13505000,13505000,6148000,6148000,8940000,1095000,1095000,29688000,432000,1250000,533000,280000,1682000,31370000,5665000,2573000,3092000,1018000,1018000,6683000,461000,461000,461000,7144000,40089000,-15863000,24226000,24226000,31370000,415000,114000,251000,292000,1072000,-54000,-169000,511000,1414000,1924000,1924000,629000,2.58493941422821e-26,870000,0.48664,0.05592,0.04506,0.01713,0.01323,2.09639,4.44232,0.29489,-1.54074395550979e-33,0.04703,0.04148,1.04363,2.74516,0.09858,5,0.01681,0.03524,-21.47059,-26.2233
"15","2013_Q4",7.99734375,"Up",9526000,-4802000,4724000,-4059000,-3136000,-1869000,-1267000,-923000,665000,-85000,-85000,580000,580000,-50000,530000,530000,530000,530000,14089000,14089000,5743000,5743000,9998000,534000,534000,30364000,526000,1148000,533000,233000,1674000,32038000,5457000,2077000,3380000,1062000,1062000,6519000,441000,441000,441000,6960000,40411000,-15333000,25078000,25078000,32038000,530000,124000,267000,-230000,691000,-163000,-252000,145000,584000,584000,584000,789000,0,446000,0.49591,0.06981,0.05564,0.02113,0.01654,0.84151,4.65777,0.27753,0,0.05733,0.05245,1.03039,2.7126,0.04824,5,0.02077,0.01748,-17.85678,-21.18647
"16","2014_Q1",9.16508196721312,"Up",10598000,-5448000,5150000,-4594000,-3713000,-2380000,-1333000,-881000,556000,-171000,-171000,385000,385000,27000,412000,412000,412000,412000,13444000,13444000,7345000,7345000,10605000,576000,576000,31970000,543000,1164000,533000,303000,1707000,33677000,6229000,2278000,3951000,1133000,1133000,7362000,461000,461000,461000,7823000,40775000,-14921000,25854000,25854000,33677000,412000,126000,353000,-1481000,-590000,-145000,-241000,186000,-645000,-645000,-645000,682000,0,-971000,0.48594,0.05246,0.03888,0.01594,0.01223,-2.3568,4.34257,0.30258,0,0.04456,0.04078,1.14635,2.79654,-0.10503,5,0.01566,-0.0369,-19.71261,-24.17986
"17","2014_Q2",8.59730158730159,"Down",10329000,-5274000,5055000,-4458000,-3264000,-1748000,-1516000,-1194000,597000,-97000,-97000,5e+05,5e+05,-13000,487000,487000,487000,487000,13969000,13969000,6732000,6732000,9858000,730000,730000,31289000,575000,1117000,533000,288000,1692000,32981000,4987000,1770000,3217000,1084000,1084000,6071000,342000,342000,342000,6413000,41002000,-14434000,26568000,26568000,32981000,487000,108000,353000,-303000,645000,-108000,-202000,82000,525000,525000,525000,705000,0,307000,0.4894,0.0578,0.04715,0.01833,0.01477,0.63039,5.15385,0.24138,0,0.04888,0.04627,1.03674,2.66667,0.03081,6,0.0181,0.01141,-19.81418,-23.39866
"18","2014_Q3",7.84125,"Down",10589000,-5289000,5300000,-4900000,-3594000,-2056000,-1538000,-1306000,4e+05,-91000,-91000,309000,309000,-12000,297000,297000,297000,297000,12862000,12862000,7259000,7259000,9753000,586000,586000,30460000,720000,1084000,533000,259000,1804000,32264000,5117000,2008000,3109000,1083000,1083000,6200000,345000,345000,345000,6545000,39856000,-14137000,25719000,25719000,32264000,297000,95000,352000,34000,778000,-236000,-406000,-1479000,-1107000,-1107000,-1107000,495000,6.61744490042422e-24,305000,0.50052,0.03778,0.02805,0.01155,0.00921,1.02694,4.9129,0.25448,1.97215226305253e-31,0.02993,0.02852,1.06712,2.59186,0.03074,6,0.0114,0.0117,-25.98384,-32.155
"19","2014_Q4",7.9290625,"Up",10118000,-4969000,5149000,-4543000,-3447000,-1980000,-1467000,-1096000,606000,-112000,-112000,494000,494000,-4000,490000,490000,490000,490000,13042000,13042000,7578000,7578000,9604000,548000,548000,30772000,748000,1059000,533000,238000,1807000,32579000,5338000,1842000,3496000,1175000,1175000,6513000,445000,445000,445000,6958000,39268000,-13647000,25621000,25621000,32579000,490000,104000,369000,274000,1237000,-128000,-225000,-832000,180000,180000,180000,710000,0,860000,0.5089,0.05989,0.04843,0.01912,0.01504,1.7551,4.7247,0.27157,0,0.04966,0.04779,1.02533,2.59637,0.08715,6,0.0188,0.03299,-18.36901,-21.52145
"20","2015_Q1",9.71344262295082,"Up",11778000,-5877000,5901000,-4917000,-3884000,-2371000,-1513000,-1033000,984000,-955000,-955000,28999.9999999999,29000,8735000,8764000,8764000,8764000,8764000,13303000,13303000,8337000,8337000,9119000,2135000,510000,32894000,735000,8189000,533000,221000,8924000,41818000,5860000,1758000,4102000,1179000,1179000,7039000,1043000,1043000,1043000,8082000,38619000,-4883000,33736000,33736000,41818000,8764000,113000,-7570000,47000,1354000,-96000,-194000,-899000,261000,261000,261000,1097000,0,-7687000,0.50102,0.08355,0.7441,0.25978,0.20957,-0.87711,4.67311,0.23957,0,0.89301,0.85611,1.20012,3.43754,-0.78327,5,0.25199,-0.22102,-12.12671,-13.51931
"21","2015_Q2",9.33190476190476,"Down",10796000,-5386000,5410000,-5007000,-3726000,-2071000,-1655000,-1281000,403000,-7000,-6999.99999999988,396000,396000,-150000,246000,246000,246000,246000,13122000,13122000,8020000,8020000,9854000,589000,589000,31585000,1016000,9649000,533000,210000,10665000,42250000,6017000,2524000,3493000,1197000,1197000,7214000,1026000,1026000,1026000,8240000,38647000,-4637000,34010000,34010000,42250000,246000,120000,513000,-262000,617000,-397000,-493000,-305000,-181000,-181000,-181000,523000,0,14000,0.50111,0.03733,0.02279,0.00723,0.00582,0.05691,4.37829,0.24228,0,0.02493,0.02434,1.09404,3.44649,0.00142,5,0.00702,4e-04,-25.08987,-32.56079
"22","2015_Q3",7.19921875,"Down",9033000,-4816000,4217000,-4964000,-3482000,-2158000,-1324000,-1482000,-747000,-23000,-23000,-770000,-770000,118000.000000001,-651999.999999999,-652000.000000001,-652000.000000001,-652000.000000001,12203000,12203000,7319000,7319000,10171000,615000,615000,30308000,1079000,9780000,533000,195000,10859000,41167000,5856000,2060000,3796000,1199000,1199000,7055000,881000,881000,881000,7936000,38520000,-5289000,33231000,33231000,41167000,-652000.000000001,132000,81000.0000000009,207000,-232000,-191000,-331000,-356000,-919000,-919000,-919000,-615000,1.6940658945086e-21,-717000.000000001,0.46684,-0.0827,-0.07218,-0.01962,-0.01584,1.09969,4.29596,0.23881,-2.52435489670724e-29,-0.0650199999999999,-0.06661,0.90078,3.31382,-0.0715,2,-0.01911,-0.02102,19.84228,16.33601
"23","2015_Q4",8.92296875,"Up",9815000,-4974000,4841000,-4698000,-3461000,-2234000,-1227000,-1237000,143000,164000,164000,307000,307000,135000,442000,442000,442000,442000,10213000,10213000,7736000,7736000,11184000,666000,666000,29799000,1089000,9763000,533000,184000,10852000,40651000,5934000,2559000,3375000,1211000,1211000,7145000,686000,686000,686000,7831000,37667000,-4847000,32820000,32820000,40651000,442000,137000,40000,-1358000,-739000,-143000,-235000,-1016000,-1990000,-1990000,-1990000,280000,0,-1356000,0.49322,0.01457,0.04503,0.01347,0.01087,-3.06787,4.17061,0.2386,0,0.04432,0.04198,0.98426,3.29122,-0.13598,1,0.01319,-0.04047,-36.475,-71.41958
"24","2016_Q1",9.6772131147541,"Up",12113000,-6628000,5485000,-4996000,-3782000,-2438000,-1344000,-1214000,489000,-131000,-131000,358000,358000,80000,438000,438000,438000,438000,9995000,9995000,9282000,9282000,11106000,386000,386000,30769000,1104000,9950000,533000,164000,11054000,41823000,6120000,2223000,3897000,1311000,1311000,7431000,704000,704000,704000,8135000,38097000,-4409000,33688000,33688000,41823000,438000,133000,119000,-929000,-239000,-144000,-239000,260000,-218000,-218000,-218000,622000,-1.35525271560688e-20,-531000,0.45282,0.04037,0.03616,0.013,0.01047,-1.21233,4.14063,0.24148,-4.03896783473158e-28,0.04389,0.04343,1.21373,3.37555,-0.05321,2,0.01274,-0.01544,-16.06913,-20.43967
"25","2016_Q2",12.45171875,"Up",11931000,-6634000,5297000,-5145000,-3786000,-2429000,-1357000,-1359000,152000,-11000,-11000,141000,141000,-40000,101000,101000,101000,101000,10514000,10514000,9297000,9297000,11142000,425000,425000,31378000,1055000,9930000,533000,148000,10985000,42363000,6224000,2696000,3528000,1311000,1311000,7535000,639000,639000,639000,8174000,38497000,-4308000,34189000,34189000,42363000,101000,142000,233000,50000,526000,-89000,-185000,178000,519000,519000,519000,294000,0,295000,0.44397,0.01274,0.00847,0.00295,0.00238,2.92079,4.1643,0.23908,0,0.01007,0.00996,1.18906,3.40732,0.0294,3,0.0029,0.00847,-35.7619,-69.17105
"26","2016_Q3",15.19609375,"Up",11908000,-6174000,5734000,-6128000,-4736000,-2405000,-2331000,-1392000,-394000,-21000,-21000,-415000,-415000,87000.0000000001,-328000,-328000,-328000,-328000,11521000,11521000,8450000,8450000,12141000,560000,560000,32672000,1188000,9885000,533000,107000,11073000,43745000,7392000,3194000,4198000,1271000,1271000,8663000,566000,566000,566000,9229000,39152000,-4636000,34516000,34516000,43745000,-328000,149000,641000,840000,1302000,-278000,-372000,76999.9999999998,1007000,1007000,1007000,-245000,0,230000,0.48153,-0.03309,-0.02754,-0.0095,-0.0075,-0.701219999999999,3.77144,0.26738,-6.46234853557053e-27,-0.03252,-0.03287,1.18065,3.42217,0.0228,5,-0.00935,0.00656,47.02449,29.24112
"27","2016_Q4",14.202380952381,"Down",9789000,-5544000,4245000,-5492000,-4236000,-2378000,-1858000,-1256000,-1247000,-51000,-51000,-1298000,-1298000,627000,-671000,-671000,-671000,-671000,9577000,9577000,7926000,7926000,12678000,1225000,1225000,31406000,1447000,9861000,533000,87000,11308000,42714000,6238000,2472000,3766000,1305000,1305000,7543000,619000,619000,619000,8162000,39859000,-5307000,34552000,34552000,42714000,-671000,170000,548000,-1680000,-1633000,-425000,-548000,237000,-1944000,-1944000,-1944000,-1077000,0,-3809000,0.43365,-0.12739,-0.06855,-0.01942,-0.01571,5.6766,4.1636,0.23622,0,-0.06625,-0.06625,0.96643,3.4112,-0.37605,1,-0.01908,-0.1083,8.89229,7.68003
"28","2017_Q1",14.0524193548387,"Down",12530000,-6967000,5563000,-6519000,-5161000,-3069000,-2092000,-1358000,-956000,-8000,-8000,-964000,-1084000,-9731000,-10815000,-10815000,-10815000,-10815000,23747000,23747000,10025000,10025000,11643000,450000,450000,45865000,1534000,745000,533000,80000,2279000,48144000,6785000,1994000,4791000,1383000,1383000,8168000,816000,816000,816000,8984000,55282000,-16122000,39160000,39160000,48144000,-10815000,187000,9721000,568000,-339000,-270000,-363000,14872000,14170000,14170000,14170000,-769000,-3.46944695195361e-18,9260000,0.44397,-0.0763,-0.86313,-0.27617,-0.22464,-0.85622,5.61521,0.22942,0,-1.03562,-1.03562,1.19985,3.74988,0.88672,2,-0.27054,0.23164,30.88036,24.83996
"29","2017_Q2",9.84396825396825,"Down",10483000,-6018000,4465000,-6323000,-4984000,-2923000,-2061000,-1339000,-1858000,-2000,-2000,-1860000,-1860000,-6000,-1866000,-1866000,-1866000,-1866000,23858000,23858000,8866000,8866000,11728000,568000,568000,45020000,1672000,736000,533000,75000,2408000,47428000,5808000,1944000,3864000,1361000,1361000,7169000,415000,415000,415000,7584000,57832000,-17988000,39844000,39844000,47428000,-1866000,207000,417000,-380000,-1622000,-341000,-425000,2158000,111000,111000,111000,-1651000,0,-2366000,0.42593,-0.17724,-0.178,-0.04683,-0.03934,1.26795,6.27982,0.19034,0,-0.16201,-0.16201,0.91014,3.45928,-0.20542,2,-0.04635,-0.05877,14.45064,12.84069
"30","2017_Q3",9.09365079365079,"Down",10002000,-5507000,4495000,-7236000,-5867000,-3654000,-2213000,-1369000,-2741000,-1000,-1000,-2742000,-2742000,-7999.99999999907,-2750000,-2750000,-2750000,-2750000,24594000,24594000,7049000,7049000,11388000,488000,488000,43519000,1561000,706000,533000,49000,2267000,45786000,6409000,1781000,4628000,1345000,1345000,7754000,442000,442000,442000,8196000,58328000,-20738000,37590000,37590000,45786000,-2750000,210000,489999.999999999,2923000,873000,-95000,-189000,51999.9999999981,736000,736000,736000.000000002,-2531000,2.77555756156289e-17,305000,0.44941,-0.27405,-0.27495,-0.07316,-0.06006,-0.110909999999999,5.61246,0.21804,1.65436122510606e-24,-0.23818,-0.23818,0.86627,3.25567,0.0264200000000001,3,-0.07231,0.00802000000000001,9.71711,8.97264
"31","2017_Q4",8.55142857142857,"Down",21108000,-14565000,6543000,-14972000,-12472000,-7964000,-4508000,-2500000,-8429000,-104000,-104000,-8533000,-8393000,142000,-8251000,-8251000,-8251000,-8251000,22751000,22751000,7390000,7390000,10669000,671000,671000,41481000,1428000,701000,533000,48000,2129000,43610000,6309000,1864000,4445000,1403000,1403000,7712000,796000,796000,796000,8508000,58936000,-23834000,35102000,35102000,43610000,-3096000,243000,393000,575000,-1885000,69000,-45000,87000,-1843000,-1843000,-1843000,-8186000,0,-7684000,0.30998,-0.39933,-0.39089,-0.23506,-0.1892,0.93128,5.37876,0.24238,0,-0.71326,-0.71326,1.82469,3.03441,-0.66425,3,-0.22985,-0.21405,2.77926,2.69913
"32","2018_Q1",6.92360655737705,"Down",-3.72529029846191e-09,1.86264514923096e-09,0,-1.86264514923096e-09,522000.000000004,0,522000,-522000,0,-1.45519152283669e-11,0,0,0,1.16415321826935e-10,0,9.31322574615479e-10,9.31322574615479e-10,9.31322574615479e-10,21707000,21707000,7863000,7863000,9381000,5e+05,5e+05,39451000,1403000,792000,533000,143000,2195000,41646000,7872000,1724000,6148000,2520000,2520000,10392000,732000,732000,732000,11124000,59511000,-28989000,30522000,30522000,41646000,-5155000,198000,742000,3284000,-931000,-33000,-123000,10000,-1044000,-1044000,-1044000,198000.000000001,4.44089209850063e-16,3449000,0.324274285460506,-0.427841307358021,-0.40217141754005,2.77555756156289e-17,0,1.40076916702802,3.79629,0.36446,0,1.11022302462516e-16,0,0,2.63393,0.29764,1,-2.77555756156289e-17,0.11035,-109.63131,2.25361322663122
"33","2018_Q2",6.39765625,"Down",9509000,-5587000,3922000,-7539000,-6435000,-4050000,-2385000,-1104000,-3617000,18000,18000,-3599000,-3599000,-4000,-3603000,-3603000,-3603000,-3603000,18522000,18522000,6400000,6400000,9306000,681000,681000,34909000,1488000,815000,533000,170000,2303000,37212000,7010000,1976000,5034000,2245000,2245000,9255000,702000,702000,702000,9957000,59824000,-32592000,27255000,27255000,37212000,-3603000,193000,457000,226000,-2727000,-274000,-366000,-115000,-3208000,-3208000,-3185000,-3424000,0,-3468000,0.41245,-0.38038,-0.3789,-0.1322,-0.09682,0.96253,3.77191,0.36533,0,-0.30986,-0.30986,0.81777,2.34391,-0.29825,1,-0.12888,-0.12405,5.40946,5.12082
"34","2018_Q3",7.4315873015873,"Up",10304000,-6036000,4268000,-7550000,-6649000,-4168000,-2481000,-901000,-3282000,6000,6000,-3276000,-3276000,-4000,-3280000,-3280000,-3280000,-3280000,16045000,16045000,7142000,7142000,9093000,653000,653000,32933000,1396000,814000,533000,173000,2210000,35143000,7719000,2243000,5476000,2316000,2316000,10035000,675000,675000,675000,10710000,60264000,-35872000,24433000,24433000,35143000,-3280000,202000,441000,311000,-2326000,-1e+05,-194000,25000.0000000005,-2495000,-2495000,-2477000,-3080000,-7.105427357601e-15,-2865000,0.41421,-0.31852,-0.31832,-0.13424,-0.09333,0.87348,3.28181,0.43834,0,-0.28169,-0.28169,0.88492,2.09833,-0.24605,2,-0.13064,-0.11411,5.20942000000001,4.88879
