"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",35.2679032258064,"Up",683200000,-203800000,479400000,-83400000,-60700000,-22700000,3.96e+08,-2e+05,-30200000,13100000,16500000,395800000,395800000,-176900000,218900000,218900000,2.18e+08,2.18e+08,2078900000,2016900000,6.2e+07,296900000,296900000,7.641e+09,7.641e+09,10016800000,705400000,705400000,29135800000,1.992e+10,7538300000,1677500000,29841200000,3.9858e+10,44500000,44500000,7595400000,7595400000,8389500000,2106400000,7573900000,7319800000,254100000,9680300000,18069800000,-2.01948391736579e-28,17180500000,17177200000,4408600000,119700000,21708800000,21788200000,3.9858e+10,218900000,60700000,27500000,13800000,22600000,-8900000,-67700000,41200000,5500000,-114400000,239400000,-40300000,-40300000,-40300000,-17400000,6100000,-23500000,-121400000,-150100000,4e+05,605700000,723700000,723700000,723700000,456700000,2.856e+09,525600000,0.7017,0.57963,0.31909,0.01001,0.00547,2.41101,1.19397,0.82934,0.07165,0.65785,0.65579,2.06168,65.51009,1.58609,0.45295,6,0.01143,0.01631,0.68853,1.70155,1.96237
"12","2013_Q1",38.666,"Up",660900000,-202500000,458400000,-82800000,-59800000,-2.3e+07,375600000,-2.2e+07,-4.4e+07,7400000,15900000,353600000,353500000,-185400000,168100000,168100000,166800000,166800000,1661300000,1604700000,56600000,267500000,267500000,6789100000,6789100000,8717900000,7.24e+08,7.24e+08,29421300000,2.0029e+10,7566900000,1825400000,30145300000,38863200000,41700000,41700000,6825500000,6825500000,7616900000,2106800000,7633800000,7413300000,220500000,9740600000,17357500000,0,17216400000,17213100000,3993400000,209300000,21419100000,21505700000,38863200000,168100000,59800000,28400000,12600000,14600000,1200000.00000001,66200000,32100000,-2800000,36900000,322500000,-37900000,-37900000,-37900000,5100000,14100000,-9e+06,-159300000,-5.8e+08,1700000,-575400000,-412200000,-412200000,-412200000,435400000,2856500000,649100000,0.6936,0.56832,0.25238,0.00776,0.00429,3.89149,1.14455,0.80711,0.0735,0.50281,0.50115,1.99225,64.5669,1.95668,1.74838,5,0.02334,0.02029,3.47722,2.74506,3.18211
"13","2013_Q2",43.79921875,"Up",718600000,-212300000,506300000,-100800000,-58500000,-42300000,405500000,-17900000,-3.9e+07,3600000,17500000,387600000,387600000,-150200000,237400000,237400000,235800000,235800000,1904100000,1843400000,60700000,309200000,309200000,10084500000,10084500000,12297800000,709900000,709900000,29414100000,20003100000,7.569e+09,1.842e+09,3.0124e+10,42421800000,31300000,31300000,10256400000,10256400000,11786700000,1.358e+09,7639100000,7412100000,2.27e+08,8997100000,20783800000,0,17240800000,17237500000,4.079e+09,2.3e+08,21549800000,2.1638e+10,42421800000,237400000,58500000,8e+06,12400000,-7300000,2900000,92100000,-42100000,-10400000,144600000,3.96e+08,-20200000,-20200000,-20200000,-8e+05,8500000,-9300000,-2.1e+07,-149400000,3e+05,-136300000,238700000,238700000,238700000,4.64e+08,2.857e+09,686100000,0.70456,0.56429,0.32814,0.0109,0.00556,2.90967,1.04336,0.96052,0.06735,0.71034,0.70732,2.16476,64.91823,2.06686,0.45006,5,0.01199,0.02135,0.63359,2.05366,2.34994
"14","2013_Q3",49.4903125,"Up",816100000,-225100000,5.91e+08,-83200000,-59100000,-24100000,507800000,-3e+05,-39200000,18700000,20200000,507500000,507500000,-196200000,311300000,311300000,311200000,311200000,2029300000,1.968e+09,61300000,359100000,359100000,14536200000,14536200000,16924600000,713200000,713200000,29244900000,19977200000,7.569e+09,1698700000,29958100000,46882700000,3.7e+07,3.7e+07,14656500000,14656500000,16192900000,1358200000,7.477e+09,7248200000,228800000,8835200000,25028100000,0,17456200000,17452900000,4239200000,153200000,21848600000,21854600000,46882700000,311300000,59100000,8500000,13600000,-3500000,-1600000,-6100000,-5e+07,5700000,38200000,372800000,-35600000,-35600000,-35600000,0,9e+06,-9e+06,-35600000,-150400000,-77500000,-212600000,124600000,124600000,124600000,566900000,2857600000,721400000,0.72418,0.62223,0.38133,0.01424,0.00664,2.31812,1.04519,1.14521,0.06095,0.93638,0.93153,2.4556,65.74112,2.17065,0.45254,6,0.01434,0.02241,0.48329,1.4611,1.63115
"15","2013_Q4",53.05421875,"Up",714600000,-237100000,477500000,-7.7e+07,-60600000,-16400000,400500000,-1600000,-34600000,12600000,20400000,398900000,398900000,-162600000,236300000,236300000,236700000,236700000,2.13e+09,2.065e+09,6.5e+07,311900000,311900000,16606200000,16606200000,19048100000,714200000,714200000,29217600000,19951500000,7.569e+09,1697100000,29931800000,48979900000,4.1e+07,4.1e+07,16422500000,16422500000,17213200000,2.107e+09,7681800000,7306500000,375300000,9788800000,2.7002e+10,0,17468600000,17465300000,4326500000,177200000,21972300000,21977900000,48979900000,236300000,60600000,67900000,14400000,55900000,-2400000,-2.35e+08,47100000,4e+06,-286100000,129800000,-38900000,-38900000,-38900000,7e+05,1e+07,-9300000,89600000,-149800000,-746800000,-122400000,9.7e+07,9.7e+07,9.7e+07,461100000,2856700000,349800000,0.66821,0.56045,0.33123,0.01077,0.00483,1.47782,1.1066,1.2286,0.05832,0.7113,0.70726,2.14744,66.02869,1.05118,0.45016,3,0.01189,0.01076,0.63287,1.57601,1.81448
"16","2014_Q1",52.9496721311475,"Down",6.87e+08,-239800000,447200000,-1.24e+08,-59900000,-64100000,323200000,-16200000,-38600000,1e+07,12400000,3.07e+08,3.07e+08,-113900000,193100000,193100000,193100000,193100000,2538100000,2469700000,68400000,302700000,302700000,21564800000,21564800000,24405600000,513400000,513400000,29358800000,19916500000,7.569e+09,1873300000,29872200000,54277800000,36200000,36200000,22524900000,22524900000,2.3311e+10,2107200000,7699100000,7249700000,449400000,9806300000,33117300000,0,17508200000,17504900000,3494600000,1.52e+08,21154800000,21160500000,54277800000,193100000,59900000,-4800000,1.4e+07,-51100000,32300000,133700000,9500000,-4800000,1.29e+08,381900000,-30900000,-30900000,-30900000,0,9e+06,-9e+06,157500000,-149500000,-5300000,-134700000,404700000,404700000,404700000,383100000,2857100000,599800000,0.65095,0.47045,0.28108,0.00913,0.00356,3.10616,1.04696,1.56505,0.05264,0.57876,0.57561,2.05906,63.40474,1.79771,0.44808,4,0.0108,0.01891,0.77421,0.83268,0.987
"17","2014_Q2",49.7088888888889,"Down",777400000,-239400000,5.38e+08,-83500000,-59300000,-24200000,454500000,-8100000,-33700000,3200000,22400000,446400000,446400000,-179800000,266600000,266600000,266800000,266800000,1125900000,1053700000,72200000,344600000,344600000,21839200000,21839200000,23309700000,508400000,508400000,2.9349e+10,19891400000,7.569e+09,1888600000,29857400000,53167100000,43100000,43100000,21986600000,21986600000,22029700000,2107400000,7719900000,7276100000,443800000,9827300000,3.1857e+10,0,17524400000,17521100000,3603900000,176300000,21304600000,21310100000,53167100000,266600000,59300000,29200000,13200000,25800000,-9800000,27900000,-41900000,6900000,62900000,3.83e+08,-36500000,-36500000,-36500000,-8e+05,9300000,-10100000,-29400000,-1.025e+09,-749100000,-1769600000,-1.416e+09,-1.416e+09,-1.416e+09,513800000,2107400000,6.85e+08,0.69205,0.58464,0.3432,0.01252,0.00502,2.56747,1.0581,1.49492,0.03964,0.79903,0.79489,2.32821,63.80438,2.05148,3.06974,4,0.04149,0.022,3.84183,1.91028,2.15952
"18","2014_Q3",53.57640625,"Up",731600000,-2.49e+08,482600000,-70600000,-59500000,-11100000,4.12e+08,10100000,-28300000,15100000,21500000,422100000,422100000,-158300000,263800000,263800000,263800000,263800000,1110200000,1037300000,72900000,334900000,334900000,20286100000,20286100000,21731200000,503400000,503400000,29376700000,19866200000,7.569e+09,1941500000,29880100000,51611300000,32100000,32100000,20344600000,20344600000,20376700000,2107500000,7661700000,7271900000,389800000,9769200000,30145900000,0,17548900000,17545600000,3709800000,206700000,21465400000,21465400000,51611300000,263800000,59500000,-3900000.00000001,13200000,-8300000,-8800000,-147700000,1e+07,-1.1e+07,-146700000,171700000,-40900000,-40900000,-40900000,1.16415321826935e-10,9e+06,-9e+06,-40900000,-157100000,2900000,-147200000,-16400000,-16400000,-16400000,471500000,2107500000,441200000,0.65965,0.56315,0.36058,0.01229,0.00511,1.67248,1.06647,1.40439,0.04083,0.78959,0.78559,2.18978,64.24901,1.32057,0.47022,3,0.01348,0.01413,0.59553,2.11516,2.42063
"19","2014_Q4",60.715,"Up",762400000,-236100000,526300000,-95900000,-5.8e+07,-37900000,430400000,-1300000,-28700000,7400000,2e+07,429100000,429100000,-139100000,2.9e+08,2.9e+08,2.9e+08,2.9e+08,1160700000,1087900000,72800000,344800000,344800000,32660900000,32660900000,34166400000,498700000,498700000,29305200000,19837600000,7.569e+09,1898600000,29803900000,63970300000,3.5e+07,3.5e+07,32592900000,32592900000,32627900000,2107700000,7697600000,7308400000,389200000,9805300000,42433200000,0,17564600000,17561300000,3.842e+09,130500000,21537100000,21537100000,63970300000,2.9e+08,5.8e+07,4.5e+07,14500000,45600000,-15100000,-158800000,-1e+07,2900000,-151700000,234200000,-26800000,-26800000,-26800000,0,10200000,-10200000,-37300000,-157100000,-4300000,-146300000,50600000,50600000,50600000,488400000,2107700000,441900000,0.69032,0.56453,0.38038,0.01347,0.00453,1.52379,1.04715,1.97024,0.03295,0.86716,0.86265,2.27974,64.40058,1.32138,0.46976,4,0.01427,0.0141,0.54172,1.93898,2.20028
"20","2015_Q1",68.0809836065574,"Up",841100000,-257800000,583300000,-111800000,-56400000,-55400000,471500000,2300000,-28700000,10100000,20900000,473800000,473800000,-167300000,306500000,306500000,306500000,306500000,1440800000,1366100000,74700000,341200000,341200000,40763300000,40763300000,42545300000,508900000,508900000,29187300000,19812700000,7.569e+09,1805600000,29696200000,72241500000,36900000,36900000,41494300000,41494300000,41531200000,2107900000,7678900000,7302700000,376200000,9786800000,5.1318e+10,0,1.76e+10,17596600000,3317300000,6200000,20923500000,20923500000,72241500000,306500000,56400000,61100000,13900000,15800000,31400000,78500000,3400000,1900000,73200000,502500000,-36500000,-36500000,-36500000,-4.65661287307739e-10,9e+06,-9e+06,-91500000,-157600000,-1900000,-132800000,278200000,278200000,278200000,527900000,2107900000,737200000,0.6935,0.56058,0.3644,0.01465,0.00424,2.40522,1.02442,2.45265,0.02918,0.91435,0.91048,2.50917,62.41908,2.19922,0.47015,6,0.01511,0.024,0.51419,1.26369,1.41485
"21","2015_Q2",68.9079365079365,"Up",842700000,-2.47e+08,595700000,-88400000,-56700000,-31700000,507300000,18300000,-31600000,5700000,22500000,525600000,523800000,-193400000,330400000,330400000,330400000,330400000,1773600000,1694800000,78800000,383400000,383400000,4.5329e+10,4.5329e+10,4.7486e+10,503300000,503300000,29139100000,19787800000,7.569e+09,1782300000,29642400000,77128400000,3.4e+07,3.4e+07,45461100000,45461100000,45495100000,2851900000,7685900000,7299700000,386200000,10537800000,56032900000,1.05879118406788e-22,1.7642e+10,17638600000,3479300000,-25800000,21095500000,21095500000,77128400000,330400000,56700000,21100000,14700000,5e+05,5900000,10700000,-41800000,-3e+06,55500000,418900000,-31400000,-31400000,-31400000,0,10200000,-10200000,-24400000,-838800000,7e+05,-65800000,328700000,328700000,328700000,5.64e+08,2851900000,736700000,0.70689,0.60199,0.39207,0.01566,0.00428,2.22972,1.04376,2.65615,0.03698,0.98427,0.97921,2.51043,62.84408,2.19465,2.49881,5,0.03696,0.02329,2.53874,1.91188,2.12557
"22","2015_Q3",70.5709375,"Up",8.2e+08,-244200000,575800000,-80700000,-58300000,-22400000,495100000,-4.7e+07,-28600000,18500000,2.6e+07,448100000,448100000,-183100000,2.65e+08,2.65e+08,2.65e+08,2.65e+08,1227300000,1.151e+09,76300000,399900000,399900000,42427900000,42427900000,44055100000,499200000,499200000,29108800000,19762900000,7.569e+09,1776900000,2.9608e+10,73663100000,22100000,22100000,42410500000,42410500000,42432600000,2.241e+09,7730700000,7339800000,390900000,9971700000,52404300000,0,17678200000,17674800000,3575500000,5100000,21258800000,21258800000,73663100000,2.65e+08,58300000,114100000,1.9e+07,40800000,54300000,-178600000,-16600000,-11800000,-150200000,258800000,-29300000,-29300000,-29300000,57600000,66600000,-9e+06,23300000,-167900000,-671500000,-825900000,-543800000,-543800000,-543800000,553400000,2.241e+09,528600000,0.7022,0.60378,0.32317,0.01247,0.0036,1.99472,1.03824,2.46506,0.03042,0.78861,0.7845,2.44021,63.26346,1.57305,0.49965,4,0.01386,0.01693,0.63358,1.83177,2.04747
"23","2015_Q4",70.445,"Down",850300000,-248900000,601400000,-8.5e+07,-57300000,-27700000,516400000,0,-28300000,2500000,26600000,516400000,516400000,-156500000,359900000,359900000,359900000,359900000,1506700000,1434300000,72400000,363800000,363800000,49588300000,49588300000,51458800000,496100000,496100000,28994700000,1.9738e+10,7.569e+09,1687700000,29490800000,80949600000,38100000,38100000,49560700000,49560700000,49598800000,2241200000,7732800000,7341500000,391300000,9.974e+09,59572800000,-1.6940658945086e-21,17699600000,17696200000,3771800000,-94600000,21376800000,21376800000,80949600000,359900000,57300000,10700000,11500000,8500000,-9300000,35600000,36100000,16100000,-16600000,463500000,-29600000,-29600000,-29600000,11400000,21500000,-10100000,-20200000,-168200000,-1500000,-1.6e+08,283300000,283300000,283300000,573700000,2241200000,736200000,0.70728,0.60732,0.42326,0.01684,0.00445,2.04557,1.0375,2.7868,0.02769,1.0701,1.06436,2.52822,63.56033,2.18897,0.50011,5,0.01684,0.02348,0.46735,1.28029,1.42235
