"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",39.4138709677419,"Up",4415500000,-2137500000,2.278e+09,-1540700000,-1251200000,-289500000,737300000,-20200000,-38700000,717100000,717100000,-168400000,548700000,548700000,548700000,548700000,1541335000,1541335000,2984728000,2984728000,1882370000,499567000,499567000,6.908e+09,2062952000,22614468000,15056604000,6104073000,893162000,24677420000,31585420000,3879626000,1492632000,2386994000,55063000,3934689000,4659158000,4038807000,4038807000,8697965000,12632654000,3969585000,7718000,3961867000,14766627000,149874000,18886086000,66680000,18952766000,31585420000,548700000,210600000,22900000,2.9e+07,193200000,141200000,-26900000,-32900000,111800000,961200000,-104900000,-104900000,-104900000,-27700000,-27700000,9100000,-123500000,-17300000,-186200000,-1.85e+08,-1200000,-1200000,-219600000,38900000,-423100000,414600000,414600000,8500000,423100000,947900000,4714221000,1204600000,0.51591,0.16698,0.12427,0.02895,0.01737,2.19537,1.75567,0.66653,0.14925,0.78927,0.7686,6.35141,27.16641,1.73274,0.02488,7,0.02043,0.04348,0.03153,3.34728,4.30339
"12","2013_Q1",44.378,"Up",4975200000,-2429900000,2545300000,-1701200000,-1406500000,-294700000,844100000,-20700000,-39700000,823400000,823400000,-1.93e+08,630400000,630400000,630400000,630400000,1678700000,1678700000,3267300000,3267300000,1813400000,828400000,828400000,7587800000,2140900000,23212300000,1.5462e+10,6.344e+09,8.58e+08,25353200000,3.2941e+10,4150600000,1546300000,2604300000,55500000,4206100000,5287600000,4363400000,4363400000,9.651e+09,13857100000,3695800000,7700000,3688100000,15379900000,-59200000,19016500000,67400000,19083900000,3.2941e+10,630400000,219400000,36600000,30500000,-55600000,-214200000,123300000,18500000,16800000,799700000,-124900000,-124900000,-124900000,-8.24e+08,-8.24e+08,6800000,-942100000,-34400000,632800000,690900000,-58100000,-58100000,-321100000,68800000,277300000,134900000,134900000,2500000,137400000,1063500000,5343100000,1.076e+09,0.5116,0.16966,0.12671,0.03303,0.01914,1.70685,1.804,0.72611,0.1622,0.91191,0.88839,7.19688,27.50832,1.55649,0.04976,8,0.02309,0.03737,0.05457,3.4456,4.34119
"13","2013_Q2",45.00703125,"Up",4444700000,-2.119e+09,2325700000,-1594800000,-1298400000,-296400000,730900000,-38300000,-38300000,692600000,922400000,-230500000,691900000,691900000,691900000,691900000,2150700000,2150700000,3118300000,3118300000,1866500000,774500000,774500000,7.91e+09,2109900000,22449400000,15359400000,6148400000,941600000,24559300000,32469300000,3859500000,1534500000,2.325e+09,6.7e+07,3926500000,4404300000,4389300000,4389300000,8793600000,12720100000,3894600000,7800000,3886800000,16054500000,-2.68e+08,19681100000,68100000,19749200000,32469300000,691900000,216800000,-135400000,27800000,-136800000,105900000,-89400000,10100000,-163400000,636500000,-116300000,-116300000,-116300000,-12100000,-12100000,-8900000,-137300000,0,-764800000,-764300000,-5e+05,-5e+05,54300000,54300000,-18500000,480700000,480700000,-8700000,4.72e+08,947700000,4471300000,925100000,0.52325,0.16444,0.15567,0.03503,0.02131,1.33704,2.01452,0.64408,0.13771,0.99986,0.97671,6.42298,28.4409,1.33685,0,7,0.02418,0.03234,0,2.44867,3.17499
"14","2013_Q3",49.323125,"Up",4737500000,-2.242e+09,2495500000,-1651900000,-1339700000,-312200000,843600000,1.92e+08,-37800000,1035600000,805800000,-1.89e+08,616800000,616800000,616800000,616800000,2324900000,2324900000,3281400000,3281400000,1.911e+09,713700000,713700000,8.231e+09,2148900000,22729100000,15535200000,6195500000,998400000,2.4878e+10,3.3109e+10,4078600000,1621400000,2457200000,53900000,4132500000,4100900000,4.511e+09,4.511e+09,8611900000,12744400000,4020800000,7800000,4.013e+09,16653900000,-378600000,20296100000,68500000,20364600000,3.3109e+10,616800000,219600000,28300000,28300000,34500000,-134800000,-23099999.9999999,71900000,120500000,899200000,-136200000,-136200000,-136200000,-310500000,-310500000,3e+06,248300000,-17300000,-313600000,-3699999.99999976,-309900000,-309900000,55700000.0000001,55700000,-967200000,180300000,180300000,-6100000,174200000,1063200000,4154800000,1150500000,0.52675,0.17807,0.1302,0.03029,0.01863,1.86527,1.99177,0.62581,0.12549,0.88723,0.86898,6.81459,29.19462,1.65492,0.02488,8,0.02184,0.03963,0.02805,1.72112,2.16916
"15","2013_Q4",53.484375,"Up",4669100000,-2244400000,2424700000,-1612300000,-1303200000,-309100000,812400000,-33600000,-33600000,778800000,778800000,-181800000,5.97e+08,5.97e+08,5.97e+08,5.97e+08,1995600000,1995600000,3372700000,3372700000,1965700000,689700000,689700000,8023700000,2179200000,23518300000,16024400000,6344500000,1149400000,25697500000,33721200000,4222900000,1683600000,2539300000,56500000,4279400000,3445500000,4625500000,4625500000,8.071e+09,12350400000,4096300000,7800000,4088500000,17233500000,-25200000,21304600000,66200000,21370800000,33721200000,5.97e+08,225300000,29600000,29600000,119500000,23500000,-6500000,17700000,84800000,971400000,-139300000,-139300000,-139300000,-5.46e+08,-5.46e+08,2300000,-6.83e+08,-17400000,-656500000,0,-656500000,-656500000,38700000,38700000,-635200000,-346800000,-346800000,17500000,-329300000,1037700000,3.502e+09,1199700000,0.51931,0.17399,0.12786,0.02794,0.0177,2.00955,1.87496,0.57791,0.10385,0.85555,0.83837,6.69117,30.5311,1.71926,0.02494,9,0.02083,0.04067,0.02915,1.45167,1.85426
"16","2014_Q1",55.3870491803279,"Up",4431800000,-2335700000,2096100000,-1362500000,-1175800000,-186700000,733600000,175700000,-25800000,909300000,909300000,-224400000,684900000,789300000,789300000,789300000,3115200000,3115200000,3451600000,3451600000,1783500000,763400000,763400000,9113700000,2211300000,23347200000,16038200000,6247700000,1061300000,25558500000,34672200000,4465100000,1778200000,2686900000,62300000,4527400000,3436700000,4256700000,4256700000,7693400000,12220800000,4165500000,7900000,4157600000,18005300000,214500000,22385300000,66100000,22451400000,34672200000,684900000,188900000,-177600000,23900000,264100000,-29800000,162500000,75600000,55800000,1078200000,-146300000,-146300000,-146300000,-13900000,-13900000,1200000,19500000,-17400000,3799999.99999988,4699999.99999997,-900000.000000119,-900000.000000119,28700000,28700000,15100000,1112800000,1112800000,6800000,1119600000,922500000,3.499e+09,1264700000,0.47297,0.16553,0.1781,0.03516,0.02276,1.60231,2.01301,0.54432,0.10092,1.12918,1.10593,6.3402,32.02475,1.8093,0.02489,6,0.02671,0.04187,0.02204,0.41604,0.52317
"17","2014_Q2",55.9695238095238,"Up",4662700000,-2209800000,2452900000,-1.664e+09,-1350600000,-313400000,788900000,-27600000,-27600000,761300000,761300000,-181600000,579700000,579700000,579700000,579700000,3346500000,3346500000,3467600000,3467600000,1871300000,718900000,718900000,9404300000,2182600000,23455700000,16148300000,6212600000,1094800000,25638300000,35042600000,4240300000,1685400000,2554900000,64100000,4304400000,3422900000,4286500000,4286500000,7709400000,12013800000,4.228e+09,7900000,4220100000,18515100000,218600000,22961700000,67100000,23028800000,35042600000,579700000,224700000,2.9e+07,2.9e+07,-322200000,-5900000,-6.7e+07,-96800000,-152500000,511200000,-130900000,-130900000,-130900000,-162800000,-162800000,9e+06,-284700000,-17400000,2100000,3100000,-1e+06,-1e+06,3e+07,3e+07,14700000,241200000,241200000,-9900000,231300000,1013600000,3.487e+09,742100000,0.52607,0.16919,0.12433,0.02517,0.01654,1.28014,2.18481,0.52169,0.09951,0.82802,0.811,6.66005,32.79774,1.05999,0.02485,5,0.01938,0.02409,0.03002,0.13861,0.1781
"18","2014_Q3",56.09890625,"Up",4963600000,-2343400000,2620200000,-1730900000,-1394500000,-336400000,889300000,-10300000,-29500000,8.79e+08,8.79e+08,-202600000,676400000,676400000,676400000,676400000,3321100000,3321100000,3631800000,3631800000,1894200000,660200000,660200000,9507300000,2232100000,23912700000,16398400000,6369100000,1145200000,26144800000,35652100000,4357700000,1734800000,2622900000,4.9e+07,4406700000,3.02e+09,4436500000,4436500000,7456500000,11863200000,4293300000,7900000,4285400000,19121400000,305800000,23720500000,68400000,23788900000,35652100000,676400000,235400000,6800000,2.6e+07,73099999.9999999,-152800000,8200000,45800000.0000001,171900000,991700000,-147700000,-147700000,-147700000,-443900000,-443900000,2200000,-564400000,-7e+07,-419100000,-16500000,-402600000,-402600000,30900000,30900000,-458200000,-30900000.0000001,-30900000.0000001,5500000,-25400000,1124700000,3.069e+09,1252700000,0.52788,0.17916,0.13627,0.02843,0.01897,1.85201,2.15746,0.49869,0.08608,0.96463,0.94522,7.07872,33.82844,1.78651,0.09983,7,0.02385,0.04003,0.10349,-0.22415,-0.28348
"19","2014_Q4",59.2534375,"Up",4303500000,-2146400000,2157100000,-1355500000,-1.149e+09,-206500000,801600000,14100000,-24100000,815700000,815700000,-178200000,637500000,680600000,680600000,680600000,4025300000,4025300000,3498100000,3498100000,1.874e+09,592100000,592100000,9989500000,2161600000,23384800000,15978700000,6213900000,1192200000,25546400000,35535900000,4399700000,1.684e+09,2715700000,71400000,4471100000,2964700000,4.29e+09,4.29e+09,7254700000,11725800000,4388800000,7900000,4380900000,19731700000,-379800000,23740700000,69400000,23810100000,35535900000,637500000,204400000,-10200000,2.8e+07,116200000,52200000,-30300000,-11800000,106100000,1016100000,-130700000,-130700000,-130700000,-25700000,-25700000,9500000,-149100000,-7e+07,8e+05,2100000,-1300000,-1300000,14100000,14100000,-55100000,811900000,811900000,-107700000,704200000,1.006e+09,3036100000,1169700000,0.50124,0.18627,0.15815,0.02858,0.01915,1.71863,2.23424,0.49247,0.08544,0.96869,0.95029,6.12511,33.78978,1.66482,0.09963,6,0.02411,0.03757,0.10285,-0.9833,-1.23403
"20","2015_Q1",62.7534426229508,"Up",-1062900000,682200000,-380700000,-54100000,-1.41e+08,86900000,-434800000,6.5e+07,-2e+05,-369800000,-369800000,114900000,-254900000,661700000,661700000,661700000,3005600000,3005600000,3445800000,3445800000,1782800000,1197100000,952700000,9431300000,2171900000,25388500000,15673200000,7059500000,1016700000,27560400000,36991700000,5016500000,1.825e+09,3191500000,71900000,5396400000,3401500000,4.744e+09,4584400000,8145500000,13541900000,4488800000,7900000,4480900000,2.0323e+10,-1433700000,23378100000,71700000,23449800000,36991700000,-254900000,53600000,-63500000,1700000,485200000,63800000,157900000,142500000,1.21e+08,1239400000,-56100000,-56100000,-56100000,-2.207e+09,-2.207e+09,-4200000,-2446100000,-70300000,313700000,323500000,-9799999.99999997,-9800000,57900000,57900000,280400000,-926300000,-926300000,-93400000,-1019700000,-381200000,3473400000,-6.7e+07,0.35817,0.40907,-0.62254,0.02822,0.01789,-0.10125,1.7477,0.57748,0.0939,0.93871,0.92184,-1.50787,33.16513,-0.0950500000000001,0.09973,4,0.02312,-0.00212,0.10624,-1.22718,-1.0759
"21","2015_Q2",62.747619047619,"Down",4694700000,-2226500000,2468200000,-1713100000,-1413700000,-299400000,755100000,-2.7e+07,-2.7e+07,728100000,728100000,-170100000,5.58e+08,569800000,569800000,569800000,2.511e+09,2.511e+09,3446900000,3446900000,1897200000,919300000,919300000,8774400000,2135900000,2.5162e+10,16711500000,7358400000,1092100000,27297900000,36072300000,4.829e+09,1732300000,3096700000,123700000,4952700000,3053800000,4675100000,4675100000,7728900000,12681600000,4631600000,8e+06,4623600000,20797300000,-2107900000,2.3321e+10,69700000,23390700000,36072300000,5.58e+08,235500000,30300000,30300000,-294200000,104200000,-111100000,-84800000,-202500000,523600000,-1.17e+08,-1.17e+08,-1.17e+08,-482600000,-482600000,3200000,-690700000,-70400000,-248700000,-247500000,-1200000,-1200000,61600000,61600000,-260800000,-427900000,-427900000,-66700000,-494600000,990600000,3177500000,749500000,0.52574,0.16084,0.12137,0.02436,0.0158,1.31537,1.77164,0.54216,0.08809,0.80571,0.79282,6.63843,32.97653,1.05981,0.09955,3,0.02049,0.02399,0.12355,0.67282,0.88266
"22","2015_Q3",64.81703125,"Up",4960200000,-2316200000,2.644e+09,-1709600000,-1.405e+09,-304600000,934400000,-26700000,-26700000,907700000,907700000,-192200000,715500000,695700000,695700000,695700000,3.342e+09,3.342e+09,3565200000,3565200000,1912200000,835100000,835100000,9654500000,2161300000,2.5171e+10,16935100000,7097300000,1138600000,27332300000,36986800000,4945500000,1744100000,3201400000,110100000,5055600000,3052700000,4706500000,4706500000,7759200000,12814800000,4736100000,8e+06,4728100000,21397200000,-2032100000,24101200000,70800000,2.4172e+10,36986800000,715500000,2.37e+08,28200000,28200000,120600000,-102900000,8499999.99999997,1e+07,2.05e+08,1.094e+09,-136200000,-136200000,-136200000,-110200000,-110200000,3300000,-246900000,-95500000,-12999999.9999995,-12400000,-599999.999999762,-6e+05,69900000,69900000,-38600000.0000005,808500000,808500000,22500000,8.31e+08,1171400000,3162800000,1.348e+09,0.53304,0.18838,0.14026,0.02878,0.01881,1.93762,1.90966,0.53015,0.08551,0.98055,0.96679,6.99112,33.96927,1.89993,0.1346,5,0.02469,0.04207,0.13727,-0.152979999999987,-0.191780000000003
