"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",32.7551612903226,"Down",548600000,-59600000,-59600000,4.89e+08,-398800000,-257600000,-206200000,-51400000,-141200000,90200000,1100000,1100000,91300000,91300000,-18500000,72800000,72800000,72800000,72800000,1343600000,1103300000,240300000,259200000,259200000,95800000,61600000,1698600000,102100000,102100000,1013700000,90400000,653900000,138700000,130700000,1306400000,3.005e+09,313700000,81900000,22300000,209500000,499900000,499900000,813600000,363900000,1.2e+08,161300000,82600000,363900000,1177500000,1359900000,464200000,3400000,1827500000,1827500000,3.005e+09,72800000,3.1e+07,6100000,25600000,-19500000,27800000,27800000,137700000,-8900000,-8900000,-12700000,135500000,-148200000,-8400000,-118300000,-67600000,26700000,-94300000,-48100000,-28700000,-28700000,5e+05,-28200000,121200000,0,158600000,0.89136,0.16442,0.1327,0.03984,0.02423,2.17857,2.08776,0.64432,0,0.3207,0.31556,2.41674,8.05066,0.69868,0.03322,0.07237,-11.08581,-14.89579
"12","2013_Q1",38.5526666666667,"Up",592400000,-57500000,-57500000,534900000,-443100000,-293600000,-233500000,-60100000,-149500000,91800000,1100000,1100000,92900000,92900000,-20900000,7.2e+07,7.2e+07,7.2e+07,7.2e+07,1411300000,1156900000,254400000,395100000,395100000,89500000,59400000,1895900000,104500000,104500000,1034600000,84600000,682400000,135800000,131800000,1331900000,3227800000,371800000,89300000,14400000,268100000,582300000,582300000,954100000,390800000,136900000,174800000,79100000,390800000,1344900000,1365400000,511600000,5900000,1882900000,1882900000,3227800000,7.2e+07,30300000,-2600000,3e+07,1200000,75500000,144400000,175200000,-14300000,-14300000,-16900000,141300000,-158200000,-7e+06,-77200000,-43900000,19800000,-63700000,-45400000,52600000,52600000,1e+06,53600000,122100000,9.31322574615479e-10,204200000,0.90294,0.15496,0.12154,0.03824,0.02231,2.83611,1.98711,0.71427,-1.0842021724855e-19,0.3183,0.31482,2.61892,8.32405,0.90274,0.03167,0.08981,-11.55856,-15.37364
"13","2013_Q2",37.25875,"Down",588600000,-58800000,-58800000,529800000,-435800000,-283100000,-223200000,-59900000,-152700000,9.4e+07,3500000,3500000,97500000,97500000,-18600000,78900000,78900000,78900000,78900000,1.512e+09,1074500000,437500000,300600000,300600000,99500000,60800000,1912100000,1.04e+08,1.04e+08,1016800000,74800000,682900000,129300000,129800000,1404900000,3.317e+09,290800000,88900000,17400000,184500000,584700000,584700000,875500000,396200000,142200000,171700000,82300000,396200000,1271700000,1496200000,545400000,3700000,2045300000,2045300000,3.317e+09,78900000,29200000,22400000,33400000,-1.1e+07,8800000,8800000,139300000,-11500000,-11500000,-270500000,177300000,-447800000,-5e+06,-2.87e+08,53800000,1.53e+08,-99200000,63700000,-8.4e+07,-8.4e+07,1600000,-82400000,123200000,0,139100000,0.9001,0.1597,0.13405,0.03858,0.02379,1.76299,2.18401,0.62177,0,0.3459,0.33704,2.58045,8.96668,0.60982,0.03232,0.05697,-12.27273,-16.08511
"14","2013_Q3",36.93421875,"Down",568700000,-59800000,-59800000,508900000,-4.16e+08,-271100000,-212400000,-58700000,-144900000,92900000,-8e+05,-8e+05,92100000,92100000,-27500000,64600000,64600000,64600000,64600000,1430700000,930200000,500500000,361400000,361400000,110600000,65800000,1902700000,1.09e+08,1.09e+08,1078100000,71400000,739200000,136800000,130700000,1473200000,3375900000,310500000,82900000,1.7e+07,210600000,590900000,590900000,901400000,423200000,161100000,1.79e+08,83100000,423200000,1324600000,1457300000,593400000,6e+05,2051300000,2051300000,3375900000,64600000,28900000,20300000,33500000,-13200000,-6699999.99999999,-6699999.99999999,107100000,-16700000,-16700000,-65400000.0000001,212100000,-277500000,-1.3e+07,-164300000,-105300000,5800000,-111100000,-87100000,-144300000,-144300000,0,-144300000,121800000,-7.45058059692383e-09,125900000,0.89485,0.16336,0.11359,0.03149,0.01914,1.94892,2.11083,0.64574,1.73472347597681e-18,0.28358,0.27833,2.49649,9.00483,0.55268,0.02611,0.05088,-11.74631,-15.40043
"15","2013_Q4",43.81734375,"Up",5.48e+08,-57900000,-57900000,490100000,-4.19e+08,-2.66e+08,-203900000,-62100000,-1.53e+08,71100000,-1e+05,-1e+05,7.1e+07,34300000,-4900000,29400000,29400000,29400000,29400000,1329100000,8.27e+08,502100000,293300000,293300000,102200000,53800000,1724600000,114600000,114600000,1181700000,75900000,824600000,128300000,152900000,1704600000,3429200000,317200000,75900000,14200000,227100000,668100000,558100000,985300000,4.26e+08,155600000,184400000,8.6e+07,4.26e+08,1411300000,1438900000,585400000,-6400000,2017900000,2017900000,3429200000,29400000,3.5e+07,89800000,51900000,37900000,2900000,2900000,157100000,-16500000,-16500000,-123600000,254200000,-377800000,-4100000,-279200000,-89400000,40800000,-130200000,19900000,-102200000,-102200000,-1e+06,-103200000,106100000,0,97400000,0.89434,0.12974,0.05365,0.01457,0.00857,3.31293,1.75033,0.69939,0,0.13043,0.12895,2.43123,8.95253,0.43212,0.01203,0.03985,-12.52686,-18.69339
"16","2014_Q1",51.8083606557377,"Up",606900000,-6.2e+07,-6.2e+07,544900000,-453100000,-261600000,-2.36e+08,-25600000,-149400000,91800000,1500000,1500000,93300000,86100000,-11600000,74500000,74500000,74500000,74500000,1954300000,1612200000,342100000,495100000,495100000,1.03e+08,60800000,2552400000,114900000,114900000,1.23e+09,7.6e+07,871500000,122800000,159700000,1.756e+09,4308400000,396700000,94200000,13900000,288600000,6.47e+08,6.47e+08,1043700000,475900000,187600000,194200000,94100000,1221500000,2265200000,1449800000,599100000,-5700000,2043200000,2043200000,4308400000,74500000,34700000,33200000,37500000,2.4e+07,13200000,139600000,155600000,-11700000,-11700000,159500000,454100000,-294600000,-5e+06,83299999.9999999,-70100000,20600000,-90700000,544900000,783800000,783800000,1400000,785200000,126500000,745600000,139600000,0.89784,0.15126,0.12275,0.03646,0.01729,1.87383,2.44553,1.10865,0.17306,0.33214,0.32029,2.70575,9.10923,0.62238,0.02282,0.04276,-9.55494,-13.16667
"17","2014_Q2",50.7169841269841,"Down",570400000,-67500000,-67500000,502900000,-421100000,-270300000,-208800000,-61500000,-150800000,81800000,-8800000,-8800000,7.3e+07,72600000,-1.7e+07,55600000,55600000,55600000,55600000,2087900000,1655800000,432100000,285800000,285800000,137400000,81400000,2511100000,1.29e+08,1.29e+08,1257600000,69200000,895700000,134300000,158400000,1778600000,4289700000,316100000,86100000,35400000,194600000,663700000,663700000,979800000,479600000,187700000,193300000,98600000,1225400000,2205200000,1499500000,5.87e+08,-2e+06,2084500000,2084500000,4289700000,55600000,33100000,31600000,33500000,-1900000,103800000,103800000,224100000,-25800000,-25800000,-67600000,1.97e+08,-264600000,-3600000,-131700000,-59200000,7e+07,-129200000,-50200000,42200000,42200000,1400000,43600000,114900000,745800000,209900000,0.88166,0.14341,0.09748,0.02667,0.01296,3.77518,2.56287,1.0579,0.17386,0.24844,0.24248,2.5487,9.31412,0.93789,0.0168,0.06342,-11.68059,-16.40709
"18","2014_Q3",54.8540625,"Up",561700000,-67800000,-67800000,493900000,-408600000,-239600000,-198100000,-41500000,-148900000,85300000,-1800000,-1800000,83500000,81800000,-20100000,61700000,61700000,61700000,61700000,1997900000,1.401e+09,596900000,303900000,303900000,134700000,83100000,2436500000,133400000,133400000,1243300000,63100000,903200000,125300000,151700000,1786800000,4223300000,3.19e+08,74400000,42500000,202100000,636900000,636900000,955900000,470300000,168600000,203400000,98300000,1216300000,2172200000,1455800000,602800000,-7500000,2051100000,2051100000,4223300000,61700000,3.2e+07,33900000,31100000,2800000,-62300000,-62300000,65300000,-16800000,-16800000,-182700000,2.5e+08,-432700000,-1800000,-213800000,-100800000,9799999.99999999,-110600000,-106600000,-255100000,-255100000,3e+05,-254800000,117300000,7.46e+08,58300000,0.87929,0.15186,0.10985,0.03008,0.01461,0.94489,2.54891,1.05904,0.17664,0.27656,0.27026,2.51771,9.19364,0.26132,0.01888,0.01784,-10.67263,-14.67644
"19","2014_Q4",57.85375,"Up",555200000,-67100000,-67100000,488100000,-415600000,-259200000,-203400000,-55800000,-1.49e+08,72500000,1100000,1100000,73600000,69200000,-11600000,57600000,57600000,57600000,57600000,2060500000,1473400000,587100000,304100000,304100000,153300000,99800000,2517900000,134100000,134100000,1.251e+09,54300000,922300000,118300000,156100000,1803600000,4321500000,337300000,75300000,37200000,224800000,610800000,610800000,948100000,465300000,154900000,2.09e+08,101400000,1211500000,2159600000,1535100000,630900000,-4100000,2161900000,2161900000,4321500000,57600000,30600000,34800000,31500000,3300000,-32400000,-32400000,90600000,-12400000,-12400000,5500000,2.78e+08,-272500000,-10300000,-3.8e+07,24700000,103600000,-78900000,20700000,73300000,73300000,-9e+05,72400000,103100000,746200000,69900000,0.87914,0.13058,0.10375,0.02664,0.01333,1.21354,2.65573,0.99894,0.17267,0.25818,0.25296,2.48857,9.69027,0.31331,0.01707,0.02072,-12.74782,-18.12828
"20","2015_Q1",59.2160655737705,"Up",824900000,-139700000,-139700000,685200000,-8.01e+08,-512200000,-387700000,-124500000,-276500000,-115800000,-28200000,-28200000,-1.44e+08,-140600000,47500000,-93100000,-93100000,-93100000,-93100000,2267100000,1.853e+09,414100000,423700000,423700000,144200000,87400000,2.835e+09,130300000,130300000,1352400000,63100000,1009900000,131100000,148300000,1.76e+09,4.595e+09,375300000,84500000,24300000,266500000,696200000,696200000,1071500000,515600000,204400000,211800000,99400000,1.262e+09,2333500000,1637300000,624800000,-6e+05,2261500000,2261500000,4.595e+09,-93100000,50200000,65800000,69500000,15100000,305700000,192200000,328600000,-20500000,-20500000,48700000,4.34e+08,-385300000,11700000,-522100000,-61700000,-7999999.99999999,-53700000,-104300000,-297800000,-297800000,-5800000,-303600000,-65600000,746400000,172100000,0.83065,-0.14038,-0.11286,-0.04117,-0.02026,-1.84855,2.64582,1.03184,0.16244,-0.41195,-0.3994,3.65,10.00664,0.7615,-0.02642,0.04884,23.1814,13.13212
"21","2015_Q2",57.1631746031746,"Down",592500000,-78700000,-78700000,513800000,-469300000,-287900000,-225400000,-62500000,-170500000,44500000,-6600000,-6600000,37900000,35600000,-7300000,28300000,28300000,28300000,28300000,2119700000,1609600000,510100000,323300000,323300000,147300000,92800000,2590300000,142100000,142100000,1.648e+09,89400000,1.263e+09,93600000,2.02e+08,2058300000,4648600000,3.69e+08,90300000,36400000,242300000,749700000,749700000,1118700000,494600000,213800000,170500000,110300000,1241200000,2359900000,1683100000,6e+08,5600000,2288700000,2288700000,4648600000,28300000,36100000,65300000,33600000,10600000,8.9e+07,16600000,218700000,-14500000,-14500000,-84100000,222300000,-306400000,-8e+05,-421700000,-40300000,62200000,-102500000,-40300000,-243300000,-243300000,-1e+05,-243400000,80600000,746600000,162400000,0.86717,0.07511,0.04776,0.01237,0.00609,5.73852,2.31546,1.03111,0.16061,0.12467,0.12219,2.61013,10.08238,0.71542,0.00802,0.04601,-17.03598,-30.85618
"22","2015_Q3",50.1878125,"Down",637100000,-87900000,-87900000,549200000,-498500000,-309100000,-237600000,-71500000,-179300000,50700000,-7e+06,-7e+06,43700000,42900000,-11600000,31300000,31300000,31300000,31300000,1906400000,1323100000,583300000,365300000,365300000,178300000,1.02e+08,2.45e+09,146900000,146900000,1844400000,100700000,1447600000,86800000,209300000,2253400000,4703400000,394300000,92400000,37300000,264600000,7.63e+08,7.63e+08,1157300000,515900000,217800000,186800000,111300000,1262700000,2.42e+09,1697100000,5.84e+08,2300000,2283400000,2283400000,4703400000,31300000,37200000,17800000,39800000,-2e+06,9900000,27500000,96200000,-17100000,-17100000,-65700000,312100000,-377800000,1e+05,-308700000,-72700000,29100000,-101800000,-74400000,-286900000,-286900000,400000.000000001,-286500000,87900000,746800000,92300000,0.86203,0.07958,0.04913,0.01371,0.00665,2.94888,2.117,1.05982,0.15878,0.1377,0.13468,2.8029,10.04575,0.40607,0.00883,0.02603,-13.19226,-22.87179
"23","2015_Q4",58.08765625,"Up",6.18e+08,-8.6e+07,-8.6e+07,5.32e+08,-517400000,-3.24e+08,-245100000,-78900000,-183900000,14600000,-3e+06,-3e+06,11600000,11600000,-9e+05,10700000,10700000,10700000,10700000,1901400000,1.345e+09,556400000,375700000,375700000,181600000,100900000,2458700000,160400000,160400000,1862200000,97200000,1474100000,97700000,193200000,2278100000,4736800000,418200000,99100000,38300000,280800000,775100000,775100000,1193300000,5.28e+08,231100000,1.82e+08,114900000,1.275e+09,2468300000,1731200000,538600000,-1300000,2268500000,2268500000,4736800000,10700000,36600000,32300000,43100000,4e+06,56400000,37700000,1.36e+08,-28400000,-28400000,34700000,249500000,-214800000,1900000,-47300000,-6.5e+07,38300000,-103300000,-6.5e+07,23700000,23700000,-1800000,21900000,51200000,7.47e+08,80100000,0.86084,0.02362,0.01731,0.00472,0.00226,7.48598,2.06042,1.08808,0.1577,0.04716,0.04622,2.72367,9.9978,0.35302,0.00302,0.0226,-22.54688,-79.06849
"24","2016_Q1",52.1377049180328,"Down",656500000,-118100000,-118100000,538400000,-646900000,-387900000,-307400000,-80500000,-256300000,-108500000,-5e+06,-5e+06,-113500000,-110400000,-290400000,-400800000,-400800000,-400800000,-400800000,2250900000,1.353e+09,897900000,653600000,653600000,88600000,88600000,2993100000,169300000,169300000,1820600000,70800000,1.535e+09,9200000.00000001,205600000,2522200000,5515300000,522100000,119900000,29400000,372800000,1068900000,1068900000,1.591e+09,8.17e+08,450300000,229100000,137600000,2304700000,3895700000,1821500000,-80800000,-121100000,1619600000,1619600000,5515300000,-400800000,35900000,292700000,80700000,-37600000,35300000,279400000,-36900000,-12400000,-12400000,-4.29e+08,922100000,-1351100000,-45700000,-31800000,-169200000,-18800000,-150400000,522900000,454200000,454200000,-3800000,450400000,-72600000,1487700000,240700000,0.82011,-0.16527,-0.61051,-0.24747,-0.07267,-0.60055,1.88127,2.40535,0.26974,-1.76408,-1.71209,2.88952,7.12852,1.05942,-0.10213,0.06134,10.5124,7.0341
