"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"11","2012_Q4",44.7220967741935,"Up",2055300000,-1.52e+09,535300000,-382700000,-345400000,-37300000,152600000,-8800000,-14700000,5900000,143800000,143800000,-44400000,99400000,99400000,-1300000,98100000,98100000,120600000,120600000,978500000,978500000,1382500000,98600000,31600000,2580200000,1174700000,1922800000,-748100000,2275500000,909900000,1281200000,67600000,3450200000,6030400000,611100000,381900000,229200000,88800000,699900000,1278800000,566200000,88700000,450200000,27300000,1.845e+09,2544900000,2776500000,3700000,3475100000,10400000,3485500000,6030400000,99400000,37300000,3700000,107200000,247600000,-50600000,9e+05,-46500000,-18800000,-164100000,10900000,-9e+05,-172900000,28200000,28200000,-1200000,2.7e+07,189900000,1367600000,290900000,0.26045,0.07425,0.04773,2.96534,3.68653,0.73014,0.22678,1.30379,1.29573,27.31585,46.18562,3.86619,0.24986,0.19164
"12","2013_Q1",53.9356666666667,"Up",1.889e+09,-1364600000,524400000,-386100000,-346400000,-39700000,138300000,-14500000,-14200000,-3e+05,123800000,121300000,-40500000,80800000,80800000,-4e+05,80400000,80400000,97600000,97600000,807700000,807700000,1272300000,99800000,40900000,2277400000,1240700000,2005400000,-764700000,2339600000,936500000,1314600000,7.3e+07,3580300000,5857700000,494600000,255600000,2.39e+08,83600000,578200000,1123800000,588300000,94900000,466300000,27100000,1712100000,2290300000,2837700000,-1500000,3558400000,9e+06,3567400000,5857700000,80800000,39700000,17700000,194900000,333100000,-76600000,-8900000,-167900000,-18900000,-190200000,21500000,-2200000,-189800000,-24600000,-24600000,1600000,-2.3e+07,1.78e+08,1207400000,336800000,0.27761,0.07321,0.04256,4.18905,3.93878,0.64201,0.20612,1.06327,1.0561,24.98145,47.05876,4.45408,0.24995,0.23507
"13","2013_Q2",53.86921875,"Down",2025300000,-1496500000,528800000,-398800000,-357700000,-41100000,1.3e+08,-10200000,-13100000,2900000,119800000,119800000,-35300000,84500000,84500000,-8e+05,83700000,83700000,100100000,100100000,940400000,940400000,1317600000,68300000,34600000,2426400000,1235600000,2.026e+09,-790400000,2319100000,922300000,1312400000,68900000,3554700000,5981100000,584600000,389500000,195100000,86600000,671200000,1063800000,590200000,95600000,467300000,27300000,1.654e+09,2325200000,2897700000,-11400000,3646800000,9100000,3655900000,5981100000,84500000,41100000,6900000,-60300000,72200000,-26800000,7300000,-19500000,-22900000,-56900000,31600000,-1500000,-49700000,3e+06,3e+06,-5e+05,2500000,171100000,1150400000,119300000,0.2611,0.06419,0.04133,1.42533,3.61502,0.63601,0.19234,1.09703,1.08587,26.54491,47.79736,1.56362,0.30014,0.2736
"14","2013_Q3",57.04625,"Up",2448300000,-1826700000,621600000,-476100000,-4.26e+08,-50100000,145500000,-22700000,-22100000,-599999.999999999,122800000,122800000,-40900000,81900000,81900000,-9e+05,8.1e+07,8.1e+07,100800000,100800000,1143500000,1143500000,1587100000,101100000,47700000,2932500000,1586300000,2401300000,-8.15e+08,3056800000,1313900000,1658800000,68100000,4643100000,7575600000,662200000,419300000,242900000,114600000,776800000,2219900000,856100000,100900000,721100000,34100000,3.076e+09,3852800000,2955600000,-21200000,3713500000,9300000,3722800000,7575600000,81900000,50100000,8200000,71500000,211700000,-47500000,1200000,-8.41e+08,-23100000,653900000,10800000,-10500000,631100000,1800000,1800000,-1100000,7e+05,195600000,2334500000,260500000,0.25389,0.05943,0.03308,3.21605,3.7751,1.03492,0.30816,1.05612,1.04558,31.9223,48.41868,3.39654,0.30119,0.28519
"15","2013_Q4",60.65734375,"Up",2443500000,-1800500000,6.43e+08,-479900000,-4.3e+08,-49900000,163100000,-20400000,-21600000,1200000,142700000,142700000,-46700000,9.6e+07,9.6e+07,-9e+05,95100000,95100000,104900000,104900000,1073500000,1073500000,1582900000,107800000,5e+07,2869100000,1585200000,2427700000,-842500000,3.038e+09,1241300000,1.71e+09,70300000,4623200000,7492300000,674400000,406600000,267800000,39300000,713700000,2112900000,834700000,1.02e+08,697900000,34800000,2947600000,3661300000,3026400000,-10200000,3821200000,9800000,3.831e+09,7492300000,9.6e+07,49900000,6800000,76400000,229100000,-44400000,1600000,-37900000,-25400000,-183100000,19100000,8e+05,-188600000,2600000,2600000,1500000,4100000,2.13e+08,2152200000,291700000,0.26315,0.06675,0.03892,3.0673,4.02004,0.9557,0.28725,1.23426,1.22146,31.71317,49.59377,3.78585,0.32966,0.26709
"16","2014_Q1",58.8134426229508,"Down",2306700000,-1702500000,604200000,-4.76e+08,-424700000,-51300000,128200000,-20300000,-20700000,4e+05,107900000,9.3e+07,-30700000,62300000,62300000,-5e+05,61800000,61800000,83600000,83600000,983500000,983500000,1.54e+09,131800000,5.9e+07,2738900000,1603900000,2476600000,-872700000,2998200000,1213800000,1691600000,78700000,4602100000,7.341e+09,536900000,280300000,256600000,36500000,573400000,2072500000,810700000,8.4e+07,690800000,35900000,2883200000,3456600000,3.063e+09,-6700000,3874600000,9800000,3884400000,7.341e+09,62300000,51300000,2.4e+07,-17300000,120300000,-49300000,-11900000,-80600000,-25500000,-43499999.9999999,8600000,-3e+05,-60700000,-2.1e+07,-2.1e+07,-3e+05,-21300000,179500000,2.109e+09,143600000,0.26193,0.05558,0.02679,2.32362,4.7766,0.88987,0.28729,0.7991,0.79051,29.82662,50.10025,1.85681,0.32973,0.41262
"17","2014_Q2",59.5514285714286,"Up",2.553e+09,-1905800000,647200000,-492900000,-4.41e+08,-51900000,154300000,-20200000,-20200000,-178219.711185762,134100000,134100000,-46200000,87900000,87900000,-7e+05,87200000,87200000,113600000,113600000,1160100000,1160100000,1656200000,95200000,56300000,3025100000,1.594e+09,2500800000,-906800000,2977600000,1196700000,1690300000,75900000,4571600000,7596700000,709400000,457300000,243700000,36800000,746200000,2.091e+09,809500000,83800000,689600000,36100000,2900500000,3646700000,3123400000,-15500000,3939500000,10500000,3.95e+09,7596700000,87900000,51900000,5200000,-76200000,68800000,-28900000,-9100000,-3.8e+07,-27100000,18600000,8400000,3e+05,2e+05,3.1e+07,3.1e+07,-1e+06,3e+07,206200000,2127800000,147300000,0.25351,0.06044,0.03416,1.68922,4.05401,0.92322,0.2801,1.12505,1.11284,32.93879,50.8274,1.90046,0.34964,0.31078
"18","2014_Q3",59.21875,"Down",2616800000,-1943500000,673300000,-497600000,-444900000,-52700000,175700000,-21500000,-20200000,-1300000,154200000,154200000,-56400000,97800000,97800000,-1300000,96500000,96500000,113500000,113500000,1169200000,1169200000,1769900000,102800000,63900000,3155400000,1607800000,2550500000,-942700000,2951500000,1186200000,1676300000,73900000,4559300000,7714700000,723300000,457800000,258800000,39200000,762500000,2093200000,804800000,84700000,689400000,30700000,2.898e+09,3660500000,3193100000,-1300000,4044300000,9900000,4054200000,7714700000,97800000,52700000,8600000,-118400000,40700000,-5.8e+07,1e+05,-31700000,-27300000,4500000.00000001,12900000,-1400000,-11300000,-2300000.00000001,-2300000.00000001,2200000,-99999.9999999925,228400000,2132400000,108400000,0.2573,0.06714,0.03688,1.12332,4.13823,0.90289,0.27641,1.24137,1.22495,33.66241,52.02571,1.39445,0.35119,0.2829
"19","2014_Q4",53.148125,"Down",2705100000,-2026900000,678200000,-526900000,-472900000,-5.4e+07,151300000,-20900000,-20800000,-1e+05,130400000,130400000,-33500000,96900000,96900000,-1400000,95500000,95500000,100700000,100700000,1253200000,1253200000,1944400000,96100000,57200000,3394400000,1624900000,2.602e+09,-977100000,3015400000,1222300000,1707500000,70200000,4640300000,8034700000,786500000,475200000,308300000,91700000,878200000,2230300000,806600000,82500000,6.94e+08,30100000,3036900000,3915100000,3261300000,-18300000,4109300000,10300000,4119600000,8034700000,96900000,5.4e+07,7700000,-105300000,53300000,-47500000,1e+06,-191500000,-27300000,148300000,6600000,-1e+06,126600000,-11600000,-11600000,-1200000,-12800000,205300000,2.322e+09,8.6e+07,0.25071,0.05593,0.0353,0.90052,3.86518,0.95036,0.289,1.22516,1.21058,34.70349,52.71785,1.10329,0.35023,0.28586
"20","2015_Q1",47.3267213114754,"Down",2576700000,-1954400000,622300000,-486200000,-4.31e+08,-55200000,136100000,-8500000,-20700000,12200000,127600000,127600000,-33900000,93700000,93700000,-1400000,92300000,92300000,106200000,106200000,1144600000,1144600000,1752100000,118200000,71800000,3121100000,1656400000,2660500000,-1004100000,3044900000,1227400000,1736400000,81100000,4701300000,7822400000,568900000,286500000,273200000,93900000,662800000,2208100000,823600000,102200000,692900000,28500000,3031700000,3694500000,3328500000,-48900000,4.099e+09,28900000,4127900000,7822400000,93700000,55200000,-34700000,7.9e+07,193200000,-5.6e+07,15400000,-103800000,-2.7e+07,-2900000.00000003,-49100000,-3500000,-82500000,6900000,6900000,-1400000,5500000,191300000,2.302e+09,248200000,0.24151,0.05282,0.03582,2.68906,4.70896,0.89501,0.29428,1.19037,1.17671,33.23107,52.8638,3.20097,0.34821,0.29252
"21","2015_Q2",53.6373015873016,"Up",2614400000,-1943700000,670700000,-501400000,-446100000,-55300000,169300000,-18700000,-20600000,1900000,150600000,150600000,-47700000,102900000,102900000,-1600000,101300000,101300000,101600000,101600000,1214100000,1214100000,1803300000,9.6e+07,49600000,3.215e+09,1643900000,2686200000,-1042300000,3028700000,1220200000,1730300000,78200000,4672600000,7887600000,684600000,417400000,2.34e+08,100200000,784800000,2268500000,823700000,103700000,691700000,28300000,3092200000,3.877e+09,3397800000,-73700000,3980700000,29900000,4010600000,7887600000,102900000,55300000,4400000,8800000,171400000,-31300000,4100000,-27200000,-31700000,53100000,-165100000,-2300000,-1.46e+08,-1800000,-1800000,-2800000,-4600000,224600000,2368700000,249800000,0.25654,0.06476,0.03875,2.46594,4.09659,0.96669,0.30031,1.31355,1.30152,33.90074,51.61745,3.23914,0.41105,0.31293
"22","2015_Q3",49.99328125,"Down",2423700000,-1767800000,655900000,-495700000,-440800000,-54900000,160200000,-24300000,-21500000,-2800000,135900000,135900000,-44300000,91600000,91600000,-1400000,90200000,90200000,131900000,131900000,1117100000,1117100000,1672800000,117100000,5.6e+07,3038900000,1648600000,2727100000,-1078500000,3003700000,1195900000,1732400000,75400000,4652300000,7691200000,604200000,3.71e+08,233200000,107100000,711300000,2094300000,823300000,104700000,690600000,2.8e+07,2917600000,3628900000,3457600000,-66300000,4032300000,3e+07,4062300000,7691200000,91600000,54900000,10800000,135200000,292500000,-45800000,-5600000,-51400000,-29700000,-156100000,-24300000,-2e+06,-212100000,2.9e+07,2.9e+07,1300000,30300000,215100000,2201400000,348800000,0.27062,0.0661,0.03722,3.86696,4.27232,0.89331,0.28622,1.21398,1.20141,32.61998,54.26972,4.69441,0.39972,0.32927
"23","2015_Q4",49.93140625,"Down",2286200000,-1647900000,638300000,-483300000,-428900000,-54400000,1.55e+08,-2.4e+07,-21200000,-2800000,1.31e+08,77700000,-24900000,52800000,52800000,-1400000,51400000,51400000,94100000,94100000,1074300000,1074300000,1587300000,134300000,49300000,2.89e+09,1.626e+09,2737300000,-1111300000,2939600000,1140700000,1.727e+09,71900000,4565600000,7455600000,588700000,326500000,262200000,109400000,698100000,1986100000,820900000,103900000,687900000,29100000,2.807e+09,3505100000,3479900000,-92100000,3919800000,30700000,3950500000,7455600000,52800000,54400000,58300000,86900000,252400000,-42300000,7100000,-35200000,-29300000,-106100000,-113500000,-1200000,-250100000,-32900000,-32900000,-4900000,-37800000,209400000,2095500000,278900000,0.2792,0.0678,0.02248,5.42607,4.13981,0.88725,0.28106,0.70132,0.69356,31.19387,53.48338,3.80543,0.39978,0.57004
"24","2016_Q1",52.2752459016393,"Up",2026200000,-1444200000,5.82e+08,-466600000,-412700000,-53900000,115400000,-20900000,-2.1e+07,1e+05,94500000,94500000,-25600000,68900000,68900000,-3e+05,68600000,68600000,104300000,104300000,916600000,916600000,1.436e+09,97300000,60800000,2554200000,1635500000,2772300000,-1136800000,2931900000,1125400000,1724800000,81700000,4567400000,7121600000,488900000,2.47e+08,241900000,500800000,989700000,1427900000,761300000,103800000,627100000,30400000,2189200000,3178900000,3.48e+09,-99700000,3914100000,28600000,3942700000,7121600000,68900000,53900000,-8399999.99999999,194300000,308700000,-52800000,-2900000,-56100000,-29400000,-167500000,-37500000,-5900000,-240300000,12300000,12300000,-2100000,10200000,169300000,1928700000,336400000,0.28724,0.05695,0.03386,4.90379,2.58078,0.80627,0.27082,0.9571,0.94507,28.26928,54.60901,4.69341,0.41018,0.42857
"25","2016_Q2",63.80421875,"Up",2162700000,-1.526e+09,636700000,-505600000,-449500000,-56100000,131100000,-21900000,-21700000,-2e+05,109200000,109200000,-15700000,93500000,93500000,-1300000,92200000,92200000,120500000,120500000,1.009e+09,1.009e+09,1525700000,84700000,55400000,2739900000,1671900000,2849700000,-1177800000,3107700000,1.205e+09,1824600000,78100000,4779600000,7519500000,577600000,350400000,227200000,493800000,1071400000,1640300000,767400000,107200000,6.3e+08,30200000,2407700000,3479100000,3542600000,-8.4e+07,4.012e+09,28400000,4040400000,7519500000,93500000,56100000,6100000,-3e+05,155400000,-34400000,-6200000,-331500000,-2.9e+07,204800000,16500000,-2600000,189700000,13600000,13600000,2600000,16200000,187200000,2134100000,168200000,0.2944,0.06062,0.04263,1.8243,2.55731,0.86108,0.28381,1.2818,1.26808,30.06681,55.77659,2.33839,0.40317,0.31453
"26","2016_Q3",65.6340625,"Up",2203900000,-1518800000,685100000,-510700000,-455200000,-55500000,174400000,-22800000,-21700000,-1100000,151600000,151600000,-49500000,102100000,102100000,-1200000,100900000,100900000,116500000,116500000,1.036e+09,1.036e+09,1623800000,77500000,60600000,2853800000,1677200000,2893300000,-1216100000,3113600000,1205300000,1830900000,77400000,4790800000,7644600000,593300000,360800000,232500000,484700000,1.078e+09,1684700000,752500000,108200000,6.29e+08,15300000,2437200000,3515200000,3614500000,-88800000,4100800000,28600000,4129400000,7644600000,102100000,55500000,9e+06,-116800000,49800000,-37300000,4900000,-63900000,-2.9e+07,29599999.9999999,13600000,-1e+06,13199999.9999999,-899999.999999998,-899999.999999998,-3100000,-4e+06,229900000,2169400000,125300000,0.31086,0.07913,0.04578,1.24182,2.64731,0.85126,0.28378,1.39418,1.38006,30.45236,56.66275,1.73133,0.40071,0.28741
"27","2016_Q4",67.0219047619048,"Up",2185200000,-1530600000,654600000,-508100000,-4.53e+08,-55100000,146500000,-24300000,-22200000,-2100000,122200000,70500000,-19900000,50600000,50600000,-1100000,49500000,49500000,143300000,143300000,1042900000,1042900000,1600100000,62600000,57500000,2848900000,1665400000,2915900000,-1250500000,3070600000,1166200000,1828900000,75500000,4.736e+09,7584900000,577500000,312200000,265300000,426200000,1003700000,1679700000,748300000,105900000,627600000,14800000,2.428e+09,3431700000,3633200000,-9.2e+07,4123400000,29800000,4153200000,7584900000,50600000,55100000,59700000,1.7e+07,182400000,-38900000,-2800000,-62600000,-31500000,-58500000,1200000,-7300000,-96100000,23700000,23700000,3100000,26800000,201600000,2105900000,199600000,0.29956,0.06704,0.02265,4.03232,2.8384,0.82628,0.27764,0.68233,0.67546,30.12169,56.83863,2.75137,0.43421,0.63636
