"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",20.2567741935484,"Up",470228000,-225588000,244640000,-161751000,-119789000,-26229000,-15733000,82889000,-25520000,-24898000,-622000,57369000,-2362000,55007000,-31413000,23594000,23594000,23594000,23594000,905082000,905082000,336437000,336437000,228496000,64969000,27137000,9738000,1534984000,232746000,4259064000,1914556000,2294492000,50016000,4491810000,6026794000,429914000,55064000,374850000,-516330539.605951,127193000,127193000,557107000,1542146000,923290000,12987000,844154000,66149000,2465436000,3022543000,5374413000,-2365787000,-2857000,3004251000,3004251000,6026794000,23594000,76939000,-7034000,8754000,-21165000,5377000,-21703000,-14482000,2930000,-10494000,343000,71796000,-6460000,-6460000,-6460000,-14374000,-20834000,4864306948.18775,1352000,1352000,-989000,363000,51325000,51325000,-804000,50521000,159828000,1542146000,163078000,0.52026,0.17627,0.05018,0.00785,0.00391,6.91184,2.75528,1.00609,0.25588,0.08917,0.0866,1.77707,11.35359,0.6163,6,0.00431,0.02981,3.98593,7.68575
"12","2013_Q1",22.307,"Up",588496000,-314216000,274280000,-250602000,-178674000,-47132000,-24796000,23678000,-54330000,-56333000,2003000,-30652000,-67351000,-98003000.0000001,20270000,-77733000,-77733000,-77733000,-77733000,560430000,560430000,409333000,409333000,367191000,226060000,44301000,69845000,1563014000,507998000,8406096000,4301250000,3942779000,162067000,8914094000,10477108000,459604000,87223000,372381000,64434999.9999996,137310000,129688000,661349000,4971179000,1883549000,13714000,1771585000,98250000,6854728000,7516077000,5399313000,-2443554000,6790000,2961031000,2961031000,10477108000,-77733000,114697000,34399000,14240000,-30947000,51106000,14206000,11055000,-3241000,11955000,-5563000,85569000,-16908000,-16908000,-12408000,-19518000,-3798876000,3476300000,6859000,6859000,-115296000,3367863000,-345444000,-345444000,794000,-344650000,138375000,5035614000,115403000,0.46607,0.04023,-0.13209,-0.02625,-0.00742,-1.48461000000001,2.36337,2.53833,0.48063,-0.2934,-0.30236,2.22126,11.17632,0.43558,3,-0.00787,0.01168,32.34099,189.00177
"13","2013_Q2",20.89,"Down",631362000,-349689000,281673000,-228869000,-148834000,-51509000,-28526000,52804000,-70582000,-71821000,1239000,-17778000,10425000,-7353000,10471000,3118000,3118000,3118000,3118000,718471000,718471000,405653000,405653000,345309000,190803000,45950000,51307000,1660236000,504071000,8304248000,4195538000,3941430000,167280000,8808319000,10468555000,512650000,76367000,436283000,798937000,240166000,121152000,1551753000,4237085000,1695341000,16440000,1576472000,102429000,5932426000,7484179000,5418128000,-2440436000,8202000,2984376000,2984376000,10468555000,3118000,128155000,-53774000,12066000,-70123000,4283000,77526000,6903000,-6004000,-10629000,87256000,155025000,48767000,-11233000,-11233000,-30878000,15752000,-16250000,12777000,12777000,-9108000,-12581000,158196000,158196000,-155000,158041000,180959000,5036022000,296781000,0.44614,0.08364,0.00494,0.00104,3e-04,95.18313,1.06991,2.50779,0.48106,0.01171,0.01157,2.37048,11.20497,1.11428,3,0.00032,0.03055,23.85928,81.7656
"14","2013_Q3",21.28625,"Up",612663000,-333337000,279326000,-231135000,-152847000,-49621000,-28667000,48191000,-76043000,-75842000,-201000,-27852000,-45896000,-73748000,22644000,-51104000,-51104000,-51104000,-51104000,744996000,744996000,401301000,401301000,319998000,140953000,46606000,86545000,1607248000,502639000,8199319000,4093116000,3941309000,164894000,8701958000,10309206000,389849000,75609000,314240000,453677000,166780000,125666000,1010306000,4551019000,1757317000,22271000,1582974000,152072000,6308336000,7318642000,5481021000,-2491540000,2601000,2990564000,2990564000,10309206000,-51104000,126276000,47854000,19013000,-22379000,51220000,-108523000,1724000,2285000,-2310000,-110222000,14503000,-14655000,-14655000,-14655000,-19754000,50353000,-16250000,24846000,24846000,-45879000,-37283000,27573000,27573000,-1048000,26525000,174467000,5004696000,28645000,0.45592,0.07866,-0.0834099999999999,-0.01709,-0.00496,-0.560519999999983,1.59085,2.44724,0.48546,-0.19056,-0.19274,2.28457,11.15158,0.10681,3,-0.00524,0.00294,24.41551,88.39202
"15","2013_Q4",22.04890625,"Up",626175000,-316374000,309801000,-219896000,-143419000,-47770000,-28707000,89905000,-68075000,-66837000,-1238000,21830000,-28729000,-6899000,-4015000,-10914000,-10914000,-10914000,-10914000,958444000,958444000,400428000,400428000,306019000,86454000,47645000,32868000,1751345000,501861000,8079997000,3987157000,3939172000,153668000,8581858000,10333203000,433426000,74115000,359311000,657370000,168127000,126609000,1258923000,4347300000,1730346000,22436000,1553698000,154212000,6077646000,7336569000,5500894000,-2502490000,-252000,2996634000,2996634000,10333203000,-10914000,128969000,9720000,10821000,-26898000,25797000,118497000,673000,15819000,-1461000,103466000,246272000,-15212000,-15212000,-15212000,-10868000,-26005000,-16300000,13577000,13577000,-2713000,-5436000,214831000,214831000,-1397000,213434000,218874000,5004670000,326174000,0.49475,0.14358,-0.01743,-0.00364,-0.00106,-29.88583,1.39115,2.44827,0.48433,-0.04051,-0.04051,2.32406,11.12208,1.2106,3,-0.00112,0.03352,18.48655,45.00557
"16","2014_Q1",21.5739344262295,"Down",622100000,-331500000,290600000,-200100000,-124700000,-48700000,-26700000,90500000,-62800000,-65300000,2500000,27700000,-1132600000,-1104900000,-9e+06,-1113900000,-1113900000,-1113900000,-1113900000,822500000,822500000,409300000,409300000,289400000,1.03e+08,48400000,44700000,1624200000,491500000,6885100000,3906700000,2814500000,163900000,7376600000,9000800000,352500000,80500000,2.72e+08,563800000,172100000,132300000,1088400000,4242100000,1728800000,25500000,1535300000,1.68e+08,5970900000,7059300000,5.539e+09,-3616400000,20400000,1941500000,1941500000,9000800000,-1113900000,132600000,1082300000,10400000,-78600000,1150500000,-2.3e+07,-5200000,13100000,8e+06,-38900000,7.8e+07,-7900000,-7900000,-7900000,-9500000,-21300000,-216200000,23900000,23900000,-1200000.00000001,-193500000,-136800000,-136800000,9e+05,-135900000,223100000,4805900000,201200000,0.46713,0.14548,-1.79055,-0.57373,-0.12376,-0.180630000000001,1.49228,3.636,0.53394,-4.11235,-4.11234,2.2967,7.16772,0.7428,4,-0.13142,0.02374,17.85477,44.01547
"17","2014_Q2",23.3674603174603,"Up",612500000,-306900000,305600000,-2.26e+08,-151100000,-48700000,-26200000,79600000,-59800000,-6.1e+07,1200000,19800000,-21200000,-1400000,-3900000,-5300000,-5300000,-5300000,-5300000,442488000,442488000,394471000,394471000,301709000,88271000,46769000,0,1226939000,479735000,6777634000,3802421000,2813907000,161306000,7257369000,8484308000,415096000,90966000,324130000,77033000,136128000,136128000,628257000,4224732000,1680788000,24256000,1485465000,171067000,5905520000,6533777000,5556372000,-3623259000,17418000,1950531000,1950531000,8484308000,-5300000,127800000,-88200000,13700000,-125100000,23200000,1.15e+08,15600000,-14100000,10400000,103100000,149300000,-8400000,-8400000,-8400000,-8400000,-14400000,-521300000,12900000,12900000,-6100000,-514500000,-379600000,-379600000,-4e+05,-3.8e+08,207400000,4301765000,317900000,0.49894,0.12996,-0.00865,-0.00272,-0.00062,-59.98113,1.95293,3.34974,0.50703,-0.01943,-0.01943,2.24599,7.15245,1.16572,4,-0.00067,0.04007,18.60789,48.48338
"18","2014_Q3",25.2521875,"Up",624900000,-342800000,282100000,-219700000,-140700000,-49900000,-29100000,62400000,-57500000,-54200000,-3300000,4900000,-16699999.9999999,-11800000,-5e+06,-16800000,-16800000,-16800000,-16800000,484522000,484522000,387633000,387633000,310980000,81425000,41170000,7.45058059692383e-09,1264560000,472154000,6625681000,3667597000,2809814000,148270000,7097835000,8362395000,316484000,68197000,248287000,89496999.9999999,144702000,144702000,550683000,4183958000,1647651000,22458000,1450342000,174851000,5831609000,6382292000,5609521000,-3640024000,10606000,1980103000,1980103000,8362395000,-16800000,130100000,13400000,12400000,-39700000,40699999.9999999,-72500000,5900000,-9700000,-22700000,-4.6e+07,54200000,-11400000,-11400000,-11400000,-8800000,-20200000,-41199999.9999999,40800000,40800000,8500000,8100000,42099999.9999999,42099999.9999999,-1e+05,4.2e+07,192500000,4273455000,113600000,0.45143,0.09986,-0.02688,-0.00847999999999993,-0.00200999999999999,-6.7619,2.29635,3.22321,0.51103,-0.0611799999999995,-0.06118,2.27576,7.21115,0.41371,4,-0.00213,0.01438,19.68277,60.72008
"19","2014_Q4",25.8103125,"Up",632700000,-319900000,312800000,-2.3e+08,-147800000,-52500000,-29700000,82800000,-53500000,-52100000,-1400000,29300000,-6600000,22700000,-11400000,11300000,11300000,11300000,11300000,632500000,632500000,381700000,381700000,329800000,88400000,37800000,10300000,1432400000,467400000,6512200000,3558700000,2811100000,142400000,6979600000,8.412e+09,348800000,82300000,266500000,1.02e+08,147100000,147100000,597900000,4168500000,1614300000,21800000,1410800000,181700000,5782800000,6380700000,5641900000,-3628700000,18100000,2031300000,2031300000,8.412e+09,11300000,133900000,7600000,1.3e+07,-39800000,34400000,20400000,6900000,-18400000,1.4e+07,17900000,173200000,-11100000,-11100000,-11100000,-6200000,-17300000,-16300000,22100000,22100000,-13800000,-8e+06,147900000,147900000,1e+05,1.48e+08,216700000,4270500000,237400000,0.49439,0.13087,0.01786,0.00556,0.00134,21.00885,2.39572,3.14119,0.50767,0.04082,0.04047,2.28541,7.33737,0.85753,5,0.00143,0.02999,16.78819,43.9372
"20","2015_Q1",30.6885245901639,"Up",660600000,-315600000,3.45e+08,-232800000,-151900000,-52100000,-28800000,112200000,-53400000,-5.2e+07,-1400000,58800000,-20200000,38600000,-10500000,28100000,28100000,28100000,28100000,736100000,736100000,3.96e+08,3.96e+08,330600000,103100000,35800000,22400000,1565800000,461900000,6.387e+09,3433600000,2810800000,142600000,6848900000,8414700000,354200000,92100000,262100000,114500000,150900000,150900000,619600000,4153200000,1578900000,20100000,1375400000,183400000,5732100000,6351700000,5.661e+09,-3600600000,2600000,2.063e+09,2.063e+09,8414700000,28100000,131400000,-9400000,10900000,-38500000,18200000,-18400000,-20500000,-2500000,10100000,-5500000,131700000,-13400000,-13400000,-13400000,-9400000,-15100000,-16200000,5600000,5600000,-1e+05,-10700000,105900000,105900000,-2300000,103600000,243600000,4267700000,222300000,0.52225,0.16985,0.04254,0.01362,0.00334,7.91103,2.52711,3.07887,0.50717,0.10113,0.0979300000000001,2.37749,7.42471,0.80005,7,0.00355,0.02811,14.49754,31.47594
"21","2015_Q2",35.0026984126984,"Up",652800000,-314200000,338600000,-227100000,-147300000,-5.2e+07,-27800000,111500000,-52700000,-52100000,-6e+05,58800000,-14700000,44100000,-14900000,29200000,29200000,29200000,29200000,5.44e+08,5.44e+08,400500000,400500000,310300000,81800000,37700000,0,1336600000,458200000,6283300000,3332100000,2809900000,141300000,6741500000,8078100000,3.2e+08,6.7e+07,2.53e+08,139400000,148400000,148400000,607800000,3815400000,1552500000,19800000,1345700000,1.87e+08,5367900000,5975700000,5674900000,-3571300000,-1200000,2102400000,2102400000,8078100000,29200000,1.22e+08,4900000,12100000,-30500000,23300000,-2600000,-9700000,18700000,-24800000,13200000,153500000,-10800000,-10800000,-10800000,-11200000,-2.2e+07,-328800000,15200000,15200000,-7600000,-321200000,-189700000,-189700000,-2400000,-192100000,233500000,3954800000,2.35e+08,0.51869,0.1708,0.04473,0.01389,0.00361,8.04795,2.19908,2.84232,0.48957,0.10478,0.10312,2.34255,7.54438,0.84329,8,0.00384,0.03088,14.60728,30.59013
"22","2015_Q3",39.65765625,"Up",655500000,-319500000,3.36e+08,-224200000,-143400000,-53200000,-27600000,111800000,-4.9e+07,-49100000,99999.9999999998,62800000,-2e+06,60800000,-1.3e+07,47800000,47800000,47800000,47800000,670500000,670500000,3.81e+08,3.81e+08,298200000,66600000,40900000,21100000,1416300000,4.51e+08,6164500000,3225800000,2809100000,129600000,6615500000,8031800000,291500000,73700000,217800000,581700000,1.71e+08,156500000,1044200000,3358100000,1460900000,17600000,1243500000,199800000,4.819e+09,5863200000,5712700000,-3523500000,-20600000,2168600000,2168600000,8031800000,47800000,126600000,-20400000,13700000,-48600000,14500000,3800000,1.3e+07,10300000,7000000.00000001,-26500000,157800000,-9200000,-9200000,-9200000,-7800000,-1.7e+07,-28700000.0000001,22200000,22200000,-4600000,-11100000,129700000,129700000,-3200000,126500000,238400000,3939800000,2.46e+08,0.51259,0.17056,0.07292,0.02204,0.00595,5.14644,1.35635,2.70368,0.49053,0.17051,0.16621,2.33825,7.73566,0.87751,7,0.00631,0.0325,13.71351,29.2424
"23","2015_Q4",38.90734375,"Down",693900000,-315200000,378700000,-250700000,-167300000,-5.6e+07,-27400000,1.28e+08,-5.1e+07,-52100000,1100000,7.7e+07,-30100000,46900000,-17400000,29500000,29500000,29500000,29500000,8.85e+08,8.85e+08,382800000,382800000,2.95e+08,6.6e+07,38500000,23700000,1628800000,449900000,6051800000,3125400000,2.809e+09,117400000,6501700000,8130500000,349400000,89900000,259500000,671500000,168300000,152200000,1189200000,3270800000,1433400000,17600000,1209700000,206100000,4704200000,5893400000,5739100000,-3494100000,-7900000,2237100000,2237100000,8130500000,29500000,120500000,27800000,16400000,-31800000,43200000,64500000,2e+05,3900000,1.6e+07,44400000,242300000,-7900000,-7900000,-7900000,-9900000,-17800000,-17400000,1.3e+07,1.3e+07,-6800000,-11200000,213300000,213300000,1200000,214500000,248500000,3942300000,322500000,0.54576,0.18446,0.04251,0.01319,0.00363,10.9322,1.36966,2.63439,0.48488,0.10491,0.10082,2.46778,7.956,1.14694,7,0.00388,0.04236,12.30302,23.88516
