"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",28.4222580645161,"Down",186849000,-46641000,140208000,-125163000,-65420000,-10186000,-49557000,15045000,-5715000,-6166000,451000,9330000,9330000,-897000,8433000,8433000,8433000,8433000,21523000,21523000,123965000,123965000,69160000,24116000,11079000,9158000,238764000,980996000,1455004000,-474008000,55117000,466461000,466461000,1502574000,1741338000,122084000,81322000,13040000,12653000,2.5e+07,32199000,6225000,25663000,179283000,339401000,611496000,158011000,338532000,114953000,950897000,1130180000,611158000,611158000,1741338000,8433000,10335000,18864000,19108000,56740000,-36122000,52000,-36070000,-9285000,-134000,967000,967000,3000,-8449000,12221000,12221000,12221000,25380000,364401000,9263000,0.75038,0.08052,0.04513,0.0138,0.00484,1.09842,1.33177,1.84924,0.20926,0.37845,0.3772,8.38527,27.4271,0.4157,0.41669,0.01116,0.00584,1.10103,13.50977,22.79016
"12","2013_Q1",28.509,"Up",169563000,-32744000,136819000,-134952000,-76016000,-10250000,-48686000,1867000,-6712000,-6141000,-571000,-4845000,-4845000,4154000,-691000,-691000,-691000,-690999.999999998,27457000,27457000,129741000,129741000,106472000,52868000,9339000,40674000,316538000,1019299000,1497419000,-478120000,50775000,493650000,493650000,1563724000,1880262000,133136000,89503000,11304000,13908000,2.5e+07,93988000,25146000,62167000,252124000,339416000,687111000,196558000,358622000,131931000,1026527000,1278651000,601611000,601611000,1880262000,-691000,10400000,-28901000,19093000,-98999.9999999851,-32020000,4788000,-27232000,-9301000,39877000,1138000,1138000,1571000,33285000,5954000.00000001,5954000.00000001,5954000.00000001,12267000,364416000,-4814000,0.80689,0.01101,-0.00407999999999999,-0.00115,-0.00037,6.96671,1.25549,2.12538,0.19381,-0.0307499999999999,-0.0310599999999999,7.54586,26.77277,-0.21423,0.41391,0.00521,-0.00291000000000001,-13.4602,27.46874,180.48152
"13","2013_Q2",32.56609375,"Up",307003000,-136515000,170488000,-128403000,-57382000,-10965000,-60056000,42085000,-4942000,-6026000,1084000,37143000,37143000,-11575000,25568000,25568000,25568000,25568000,46563000,46563000,191708000,191708000,102799000,41171000,9433000,30492000,382241000,1037930000,1508770000,-470840000,51631000,470353000,470353000,1559914000,1942155000,141556000,100994000,13196000,12401000,0,133514000,15950000,113138000,275070000,364426000,681881000,195259000,353798000,132824000,1046307000,1321377000,620778000,620778000,1942155000,25568000,11314000,7629000,-40596000,3915000,-27713000,-990000,-28703000,-9495000,53110000,761000,761000,-482000,43894000,19106000,19106000,19106000,53399000,364426000,-3335000,0.55533,0.13708,0.08328,0.04119,0.01316,-0.13044,1.38961,2.12858,0.18764,1.14286,1.1397,13.72264,27.74799,-0.14907,0.42441,0.02103,-0.002,0.37136,5.9526,7.55288
"14","2013_Q3",32.6253125,"Up",397613000,-230441000,167172000,-115322000,-35994000,-11258000,-68070000,51850000,-5365000,-6705000,1340000,46485000,46485000,-16243000,30242000,30242000,30242000,30242000,146880000,146880000,209186000,209186000,46124000,48433000,9183000,30702000,450623000,1059919000,1538890000,-478971000,52910000,445646000,445646000,1558475000,2009098000,185623000,108648000,44550000,16175000,-16834340.3985037,21721000,0,21721000,207344000,464434000,697317000,191778000,346022000,159517000,1161751000,1369095000,640003000,640003000,2009098000,30242000,11599000,41642000,54968000,138451000,-34994000,-1136000,-36130000,-9559000,5528000,2091000.00000001,2091000.00000001,-64000,-2003999.99999999,100317000,100317000,100317000,63449000,464434000,99666000,0.42044,0.1304,0.07606,0.04725,0.01505,3.29562,2.17331,2.1392,0.23117,1.34888,1.34421,17.73475,28.54607,4.44541,0.42636,0.02209,0.05532,0.31608,5.00487,6.12446999999999
"15","2013_Q4",33.55828125,"Up",165284000,-43244000,122040000,-109775000,-53624000,-11477000,-44674000,12265000,-7293000,-6869000,-424000,4972000,4972000,1618000,6590000,6590000,6590000,6590000,556489000,556489000,139338000,139338000,72611000,55828000,14112000,17549000,824266000,1082916000,1567296000,-484380000,53337000,461520000,461520000,1597773000,2422039000,165111000,104862000,28522000,13386000,0,17690000,0,17690000,182801000,464444000,693797000,181691000,380918000,131188000,1158241000,1341042000,1080997000,1080997000,2422039000,6590000,11787000,-671000,6928000,24634000,-34093000,-474000,-34567000,-9646000,1262000,428448000,428448000,-554000,419510000,409577000,409577000,409577000,24052000,464444000,-4731000,0.73837,0.07421,0.03987,0.0061,0.00272,-0.71791,4.50909,1.24056,0.19176,0.25338,0.25153,6.35512,41.56402,-0.18191,0.37089,0.00725,-0.00211,1.46373,-3.82692,-7.50469
"16","2014_Q1",33.4527868852459,"Down",147100000,-23200000,123900000,-133600000,-51400000,-14600000,-67600000,-9700000,-8500000,-9e+06,5e+05,-18200000,-18200000,8600000,-9600000,-9600000,-9600000,-9600000,5.3e+07,5.3e+07,111900000,111900000,199100000,33700000,12900000,17500000,397700000,1776600000,2271200000,-494600000,58300000,892800000,645700000,2727700000,3125400000,216800000,140200000,32900000,20800000,53195737.4487024,136400000,23700000,111700000,353200000,912700000,813200000,228600000,3.82e+08,202600000,1725900000,2079100000,1046300000,1046300000,3125400000,-9600000,14600000,-25600000,17500000,-3100000,-3.4e+07,99999.9999999998,-1008900000,-13800000,5.24e+08,400000.00000006,400000.00000006,-2100000,508500000,-503500000,-503500000,-503500000,4900000,912700000,-20200000,0.84228,-0.06594,-0.06526,-0.00918,-0.00307,2.10417,1.12599,1.9871,0.29203,-0.29268,-0.29208,4.48476,31.89939,-0.61585,0.42073,0.00152,-0.00729,-1.4375,175.44898,-88.62887
"17","2014_Q2",34.7449206349206,"Up",468600000,-241800000,226800000,-163900000,-5.3e+07,-2e+07,-90900000,62900000,-8800000,-10500000,1700000,54100000,54100000,-18500000,35600000,35600000,35600000,35600000,34518000,34518000,314825000,314825000,167908000,31672000,13562000,9903000,548923000,1787791000,2295248000,-507457000,62774000,807242000,571428000,2657807000,3206730000,237674000,160750000,36274000,15753000,8e+07,160050000,16011000,144039000,477724000,832764000,829854000,229313000,392404000,208137000,1662618000,2140342000,1066388000,1066388000,3206730000,35600000,20200000,27800000,-99300000,-15700000,-23600000,-7e+05,-24300000,-13900000,19500000,8e+05,8e+05,15100000,21500000,-18500000,-18500000,-18500000,83100000,912764000,-21300000,0.48399,0.13423,0.07597,0.03338,0.0111,-0.59831,1.14904,2.00709,0.28464,1.09202,1.09202,14.37423,32.71129,-0.65337,0.42638,0.01762,-0.00758,0.39045,10.56854,13.96258
"18","2014_Q3",35.99203125,"Up",694500000,-405300000,289200000,-2.02e+08,-68100000,-20100000,-113800000,87200000,-9600000,-9300000,-3e+05,77600000,77600000,-25400000,52200000,52200000,52200000,52200000,10931000,10931000,371644000,371644000,82839000,61638000,10909000,31298000,527052000,1802950000,2325358000,-522408000,62231000,788238000,571868000,2653419000,3180471000,331513000,215085000,71442000,21839000,30523657.6082596,68451000,-1.86264514923096e-09,68451000,399964000,832817000,841068000,223970000,395255000,221843000,1673885000,2073849000,1106622000,1106622000,3180471000,52200000,20300000,-22300000,108300000,158500000,-33600000,19500000,-14100000,-14600000,-137500000,599999.99999997,599999.99999997,-16500000,-1.68e+08,-23600000,-23600000,-23600000,107500000,832817000,207600000,0.41641,0.12556,0.07516,0.04717,0.01641,3.97701,1.31775,1.87404,0.26185,1.60123,1.60123,21.30368,33.94546,6.3681,0.44785,0.02402,0.07466,0.27969,7.64545000000003,9.4253
"19","2014_Q4",38.07234375,"Up",241800000,-49300000,192500000,-167800000,-54200000,-18400000,-95200000,24700000,-13800000,-11400000,-2400000,10900000,10900000,8e+05,11700000,11700000,11700000,11700000,571800000,571800000,116300000,116300000,135600000,79800000,51100000,28700000,903500000,1827900000,2360300000,-532400000,60400000,864900000,654900000,2753200000,3656700000,233400000,1.52e+08,56100000,25300000,-28221863.9634771,86700000,0,86700000,320100000,976600000,826200000,209700000,398900000,217600000,1802800000,2122900000,1533800000,1533800000,3656700000,11700000,18600000,12300000,-4e+05,42200000,-41300000,8e+06,-33300000,-14400000,107800000,458300000,458300000,3e+05,5.52e+08,560900000,560900000,560900000,43300000,976600000,8e+05,0.79611,0.10215,0.04839,0.00763,0.0032,0.06838,2.82256,1.38408,0.26707,0.33524,0.33429,6.92837,43.94842,0.02292,0.41261,0.00782,0.00024,1.23077,9.34873,16.38866
"20","2015_Q1",40.0693442622951,"Up",222300000,-35300000,1.87e+08,-195400000,-71600000,-23900000,-99900000,-8400000,-17300000,-1.5e+07,-2300000,-25700000,-25700000,10800000,-14900000,-14900000,-14900000,-14900000,16100000.0000002,16100000.0000002,139600000,139600000,270200000,115600000,21600000,91600000,541500000,2759700000,3928300000,-1168600000,6e+07,1712800000,7.75e+08,4532500000,5.074e+09,311100000,176700000,63400000,3.6e+07,2.98023223876953e-08,474700000,32200000,432600000,785800000,1.851e+09,928800000,244900000,383800000,300100000,2779800000,3565600000,1508400000,1508400000,5.074e+09,-14900000,24200000,1.9e+07,-90700000,-62400000,-61500000,8e+05,-1365900000,-1.9e+07,897100000,3e+05,3e+05,-5800000,872600000,-555700000,-555700000,-555700000,15800000,1.851e+09,-147200000,0.84121,-0.03779,-0.06703,-0.00988,-0.00294,9.87919,0.68911,2.36383,0.3648,-0.34571,-0.34332,5.15777,34.99768,-3.41531,0.44084,0.000959999999999999,-0.03433,-1.27517,116.13291,-218.44048
"21","2015_Q2",40.221746031746,"Up",619600000,-304300000,315300000,-2.28e+08,-60900000,-3.2e+07,-135100000,87300000,-17800000,-19200000,1400000,69500000,69500000,-22400000,47100000,47100000,47100000,47100000,13400000,13400000,354500000,354500000,245500000,126100000,20300000,101800000,739500000,2784400000,3979700000,-1195300000,60900000,1703700000,765900000,4.549e+09,5288500000,337400000,221100000,50800000,24700000,114700000,630200000,30900000,578200000,1082300000,1736300000,936400000,241700000,394600000,300100000,2672700000,3.755e+09,1533500000,1533500000,5288500000,47100000,32300000,13900000,-127400000,-34100000,-6e+07,-6e+05,-60600000,-1.9e+07,110400000,1700000,1700000,-1100000,9.2e+07,-2700000,-2700000,-2700000,119600000,1.851e+09,-45400000,0.50888,0.1409,0.07602,0.03071,0.00891,-0.96391,0.68327,2.44865,0.35,1.09281,1.09028,14.37587,35.58005,-1.05336,0.44084,0.0153,-0.01051,0.4034,15.36455,21.04926
"22","2015_Q3",41.37109375,"Up",877400000,-482800000,394600000,-236900000,-45200000,-32200000,-159500000,157700000,-18400000,-19100000,7e+05,139300000,139300000,-44900000,94400000,94400000,94400000,94400000,46900000,46900000,291100000,291100000,1.17e+08,112100000,2e+07,89100000,567100000,2824700000,4037800000,-1213100000,60800000,1728100000,782100000,4613600000,5180700000,311600000,160100000,85200000,30900000,8e+07,462100000,8400000,453700000,853700000,1736300000,979100000,243900000,438700000,296500000,2715400000,3569100000,1611600000,1611600000,5180700000,94400000,32400000,19600000,167600000,3.14e+08,-69500000,-8400000,-77900000,-20200000,-184700000,1100000.00000001,1100000.00000001,1200000,-202600000,33500000,33500000,33500000,190100000,1816300000,333100000,0.44974,0.17974,0.10759,0.05858,0.01822,3.5286,0.66428,2.21463,0.35059,2.19026,2.18519,20.35731,37.39211,7.72854,0.46868,0.026,0.07558,0.21398,9.30773,11.22004
"23","2015_Q4",45.236875,"Up",275200000,-57700000,217500000,-181500000,-32200000,-32500000,-116800000,3.6e+07,-17300000,-17800000,5e+05,18700000,18700000,-4600000,14100000,14100000,14100000,14100000,5700000,5700000,143800000,143800000,163300000,83500000,3.1e+07,48900000,396300000,2869300000,4108400000,-1239100000,63100000,1754200000,808200000,4686600000,5082900000,263900000,148100000,4.5e+07,30500000,8e+07,376500000,12900000,363600000,720400000,1736400000,1017500000,233300000,487700000,296500000,2753900000,3474300000,1608600000,1608600000,5082900000,14100000,32700000,44600000,-5e+06,86400000,-73400000,0,-73400000,-19900000,-36200000,8e+05,8e+05,1100000,-54200000,-41200000,-41200000,-41200000,68700000,1816400000,-5100000,0.79033,0.13081,0.05124,0.00877,0.00277,-0.3617,0.55011,2.15983,0.35736,0.32639,0.32564,6.37037,37.23611,-0.11806,0.46065,0.00765,-0.00115,1.41135,26.35662,50.29722
"24","2016_Q1",50.4267213114754,"Up",204200000,-37600000,166600000,-175100000,-20600000,-33200000,-121300000,-8500000,-19900000,-18500000,-1400000,-28400000,-28400000,9700000,-18700000,-18700000,-18700000,-18700000,13800000,13800000,141200000,141200000,215400000,7.3e+07,25300000,43100000,443400000,2927500000,4234500000,-1.307e+09,59900000,1859400000,913400000,4846800000,5290200000,266300000,146500000,51700000,32700000,8e+07,507500000,44300000,463200000,853800000,1771500000,1091300000,253400000,482100000,355800000,2862800000,3716600000,1573600000,1573600000,5290200000,-18700000,33400000,-6199999.99999999,-52400000,-43900000,-86900000,8300000,-86800000,-19900000,161500000,-499999.999999998,-499999.999999998,-2300000,138800000,8099999.99999999,8099999.99999999,8099999.99999999,24900000,1851500000,-124100000,0.81587,-0.04163,-0.09158,-0.01188,-0.00353,6.63636,0.51933,2.36185,0.34999,-0.43088,-0.42989,4.70507,36.25806,-2.85945,0.45853,0.000270000000000002,-0.02748,-1.06417,73.80321,-216.2
"25","2016_Q2",52.38953125,"Up",399400000,-148500000,250900000,-163900000,-10600000,-33500000,-119800000,8.7e+07,-17600000,-1.9e+07,1400000,69400000,69400000,-22500000,46900000,46900000,46900000,46900000,4600000,4600000,232100000,232100000,203500000,110300000,2.1e+07,8.5e+07,550500000,2953300000,4220600000,-1267300000,60800000,1834200000,888200000,4848300000,5398800000,259600000,159500000,32900000,25400000,0,587900000,59300000,521200000,847500000,1838900000,1112100000,250700000,495300000,366100000,2.951e+09,3798500000,1600300000,1600300000,5398800000,46900000,33700000,23300000,-70400000,33500000,-62400000,-4e+05,-62800000,-19900000,39100000,1100000,1100000,-2e+05,20100000,-9200000,-9200000,-9200000,120700000,1838900000,10400000,0.62819,0.21783,0.11743,0.02931,0.00869,0.22175,0.64956,2.37362,0.34061,1.08565,1.08065,9.24537,37.04398,0.24074,0.46065,0.01468,0.00229,0.42431,15.19718,21.08391
"26","2016_Q3",53.68015625,"Up",609300000,-261100000,348200000,-180500000,-8500000,-33800000,-138200000,167700000,-18500000,-19300000,8e+05,149200000,149200000,-48400000,100800000,100800000,100800000,100800000,8700000,8700000,217700000,217700000,1.24e+08,86600000,27600000,51400000,4.37e+08,2985200000,4271300000,-1286100000,61100000,1824200000,878200000,4870500000,5307500000,226900000,127100000,36800000,26600000,0,391900000,31700000,360200000,618800000,1839300000,1.168e+09,254800000,564200000,3.49e+08,3007300000,3626100000,1681400000,1681400000,5307500000,100800000,33900000,47300000,27500000,209500000,-59400000,-300000.000000001,-59700000,-21700000,-123500000,1e+06,1e+06,-1500000,-145700000,4100000,4100000,4100000,201600000,1839300000,218100000,0.57148,0.27523,0.16544,0.05995,0.01899,2.16369,0.70621,2.1566,0.34655,2.32794,2.31724,14.07159,38.83141,5.03695,0.50115,0.02613,0.04652,0.21528,9.08036,10.91592
