"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",18.90125,"Down",6.33e+08,-484400000,148600000,-154100000,-133400000,-20400000,-3e+05,-5500000,-63800000,-5.7e+07,-6800000,-69300000,-55800000,20700000,-35100000,-35100000,-35100000,-39300000,377300000,377300000,404100000,404100000,391200000,6.8e+07,3.1e+07,1240600000,8.5e+08,8.5e+08,5927600000,3097300000,2749400000,79100000,6777600000,8018200000,195200000,195200000,247400000,247400000,468300000,3838600000,1115100000,977100000,1.38e+08,4953700000,5.422e+09,-2600000,2596200000,2596200000,8018200000,-35100000,42700000,5600000,67800000,8.1e+07,-5.2e+07,-2.562e+09,1790500000,289900000,-4.4e+07,2032100000,-448900000,-448900000,3e+05,-448600000,37200000,3864300000,32300000,0.23476,-0.00869,-0.06209,-0.01514,-0.0049,-0.82188,2.64916,2.08844,0.48194,-0.60375,-0.60375,9.72458,39.88306,0.49621,-0.00462,0.00426,93.73656,-634
"12","2015_Q1",23.3988524590164,"Up",1043100000,-814400000,228700000,-173700000,-139200000,-3.2e+07,-2500000,5.5e+07,-89100000,-60400000,-28700000,-34100000,-329700000,42300000,-287400000,-287400000,-287400000,-291700000,268400000,268400000,413700000,413700000,380700000,156200000,44400000,1.219e+09,831900000,831900000,5680200000,2886700000,2.643e+09,150500000,6512100000,7731100000,2.25e+08,2.25e+08,269300000,269300000,519900000,3830500000,1097500000,915100000,182400000,4.928e+09,5447900000,-27600000,2283200000,2283200000,7731100000,-287400000,61900000,284500000,-25399999.9999999,33600000,-36800000,-1.31e+08,-6899999.99999952,0,1.49011611938477e-08,-11100000,-108500000,-108500000,-4e+05,-108900000,116900000,3856100000,12400000.0000001,0.21925,0.05273,-0.27965,-0.12776,-0.03773,-0.0425100000000035,2.34468,2.38608,0.49878,-4.42931,-3.82571,15.83891,34.66764,0.188289999999999,-0.03973,0.00171,30.69033,65.23091
"13","2015_Q2",23.6298412698413,"Up",1073900000,-824800000,249100000,-208200000,-167200000,-33500000,-7500000,40900000,-114700000,-60100000,-54600000,-73800000,-73800000,-23500000,-97300000,-97300000,-97300000,-101600000,176700000,176700000,4.09e+08,4.09e+08,436500000,74100000,38700000,1096300000,860100000,860100000,5760300000,2948400000,2737500000,74400000,6620400000,7716700000,231800000,231800000,328200000,328200000,584700000,3823400000,1135300000,895100000,240200000,4958700000,5543400000,-41500000,2173300000,2173300000,7716700000,-97300000,63100000,3.5e+07,56400000,57200000,-23700000,-136700000,-6700000,218881937.446822,-6e+05,-11600000,-91100000,-91100000,-6e+05,-91700000,1.04e+08,3848100000,160200000,0.23196,0.03809,-0.09461,-0.04675,-0.01317,-1.57677,1.87498,2.55068,0.49867,-1.48089,-1.33518,15.65288,31.67598,2.33503,-0.0136,0.02238,35.30192,89.76528
"14","2015_Q3",30.06375,"Up",1052700000,-777200000,275500000,-225800000,-176400000,-33700000,-15700000,49700000,-88600000,-59800000,-28800000,-38900000,-38900000,69400000,30500000,30500000,30500000,26300000,5.79e+08,5.79e+08,348700000,348700000,461900000,85600000,49200000,1475200000,827400000,827400000,5712600000,2943100000,2694200000,75300000,6.54e+09,8015200000,229300000,229300000,282900000,282900000,537100000,3815100000,1139100000,859200000,279900000,4954200000,5491300000,-67900000,2523900000,2523900000,8015200000,30500000,63200000,28800000,-21300000,101200000,-21900000,-23900000,-6500000,341400000,-4800000,325900000,403200000,403200000,-9e+05,402300000,112900000,3.84e+09,3e+05,0.26171,0.04721,0.02498,0.01042,0.00328,0.0114099999999995,2.7466,2.17572,0.47909,0.34702,0.25462,13.88992,33.30043,0.00395999999999974,0.00407,3.99999999999984e-05,28.88397,65.61368
"15","2015_Q4",31.68671875,"Up",1211800000,-895300000,316500000,-235200000,-193300000,-36700000,-5200000,81300000,-23100000,-6.5e+07,41900000,58200000,58200000,-34200000,2.4e+07,2.4e+07,2.4e+07,19800000,274300000,274300000,399200000,399200000,491300000,104500000,7.1e+07,1269300000,1344600000,1344600000,6245800000,3142100000,3019100000,84600000,7590400000,8859700000,258200000,258200000,295300000,295300000,585600000,4495900000,1109200000,871500000,237700000,5605100000,6190700000,-60500000,2.669e+09,2.669e+09,8859700000,2.4e+07,70400000,-30800000,39700000,103300000,-28700000,-1078100000,6.89e+08,0,-14800000,669900000,-304900000,-304900000,2e+05,-304700000,151700000,4.528e+09,196900000,0.26118,0.06709,0.01634,0.00742,0.00223,9.94444,2.16752,2.31948,0.51108,0.23997,0.21313,14.68635,32.3456,2.38632,0.0029,0.02371,28.04021,52.32103
"16","2016_Q1",32.3,"Up",1309800000,-976500000,333300000,-231700000,-197200000,-37800000,3300000,101600000,-123600000,-72600000,-5.1e+07,-2.2e+07,-112800000,40300000,-72500000,-72500000,-72500000,-76800000,841400000,841400000,366200000,366200000,465300000,99900000,33400000,1772800000,1333200000,1333200000,6057900000,3072800000,2969300000,15800000,7391100000,9163900000,265200000,265200000,329800000,329800000,6.11e+08,4454900000,1.122e+09,831800000,290200000,5576900000,6187900000,-89100000,2.976e+09,2.976e+09,9163900000,-72500000,76100000,100500000,85800000,189900000,-13200000,-1e+07,-4400000.00000012,406800000,-9900000,388200000,568100000,568100000,-1e+06,567100000,177700000,4470900000,2.1e+08,0.25447,0.07757,-0.05863,-0.02581,-0.00838,-2.73438,2.90147,2.07927,0.48788,-0.85625,-1.03419,14.60305,33.17851,2.3413,-0.00846,0.02451,20.42487,35.72343
"17","2016_Q2",37.03171875,"Up",1248800000,-886300000,362500000,-229600000,-1.87e+08,-38100000,-4500000,132900000,-93700000,-77800000,-15900000,39200000,39200000,-13700000,25500000,25500000,25500000,10500000,802400000,802400000,367500000,367500000,487200000,59500000,45400000,1716600000,1368600000,1368600000,6078200000,3072800000,2943200000,62200000,7446800000,9163400000,233400000,233400000,314800000,314800000,564400000,4506200000,1113200000,800200000,3.13e+08,5619400000,6183800000,-98600000,2979600000,2979600000,9163400000,25500000,74800000,41700000,-53300000,88700000,-18200000,-107900000,-3600000,0,-11500000,-19400000,-38600000,-38600000,-4e+05,-3.9e+07,207700000,4522400000,149900000,0.29028,0.10642,0.00841,0.00352,0.00115,14.27619,3.04146,2.07538,0.49353,0.10995,0.09988,13.07644,31.2,1.56963,0.00172,0.0174,17.91045,27.99097
"18","2016_Q3",42.014375,"Up",1271100000,-861800000,409300000,-246800000,-205600000,-38100000,-3100000,162500000,-168100000,-77200000,-90900000,-5600000,-5600000.00000003,10500000,4900000,4900000,4899999.99999999,1500000,868200000,868200000,386800000,386800000,491500000,63400000,5.5e+07,1809900000,1341900000,1341900000,6052700000,3081400000,2911300000,6e+07,7394600000,9204500000,224300000,224300000,316600000,316600000,556600000,4498200000,1.143e+09,774400000,368600000,5641200000,6197800000,-56900000,3006700000,3006700000,9204500000,4900000,76400000,56900000,-30500000,107700000,-2.6e+07,-14099999.9999999,-4500000.00000003,6200000,-27400000,-29100000,64499999.9999999,64499999.9999999,1300000,65800000,238900000,4513900000,171900000,0.322,0.12784,0.00118,0.000500000000000002,0.00016,114.6,3.25171,2.06133,0.4904,0.01529,0.01392,12.9575,30.65009,1.75234,0.000569999999999998,0.01984,15.26036,22.43508
"19","2016_Q4",38.685873015873,"Down",1246100000,-847900000,398200000,-256200000,-2.16e+08,-38200000,-2e+06,1.42e+08,-139900000,-77300000,-62600000,2100000,2100000,1200000,3300000,3300000,3300000,0,1033200000,1033200000,3.67e+08,3.67e+08,508600000,54300000,51600000,1963100000,1339900000,1339900000,6012700000,3081500000,2873100000,58100000,7352600000,9315700000,227800000,227800000,370200000,370200000,613900000,4.493e+09,1168600000,737400000,431200000,5661600000,6275500000,-57500000,3040200000,3040200000,9315700000,3300000,75700000,32200000,59900000,171100000,-35100000,-28900000,-3500000,4e+05,29300000,22900000,165100000,165100000,-1e+05,1.65e+08,217700000,4508900000,241300000,0.31956,0.11396,0,0,0,78.1105464013622,3.19775,2.06417,0.48401,0,0,12.6829,30.94339,2.45597,0.00038,0.02768,15.96555,24.47676
"20","2017_Q1",42.1825806451613,"Up",1260800000,-883400000,377400000,-269100000,-231100000,-38200000,2e+05,108300000,-87700000,-74200000,-13500000,20600000,-65800000,28800000,-3.7e+07,-3.7e+07,-3.7e+07,-40400000,1143600000,1143600000,3.85e+08,3.85e+08,503100000,45200000,36800000,2076900000,1354400000,1354400000,5929300000,3079700000,2833700000,15900000,7283700000,9360600000,264400000,264400000,357300000,357300000,6.34e+08,4551200000,1166800000,726500000,440300000,5.718e+09,6.352e+09,-60400000,3008600000,3008600000,9360600000,-3.7e+07,75900000,93300000,2700000,134900000,-40100000,-45200000,129400000,0,-104900000,21100000,110800000,110800000,-4e+05,110400000,184200000,4563500000,1.18e+08,0.29933,0.0859,-0.03204,-0.01343,-0.00432,-2.92079,3.27587,2.11128,0.48752,-0.40928,-0.3964,12.77292,30.47955,1.19544,-0.00423,0.0135,18.56623,31.57802
"21","2017_Q2",41.2846031746032,"Down",1249800000,-870600000,379200000,-3.03e+08,-264100000,-38900000,0,76200000,71600000,-72900000,144500000,147800000,147800000,-4.6e+07,101800000,101800000,101800000,98400000,869100000,869100000,410400000,410400000,513400000,5.7e+07,4.4e+07,1849900000,1350800000,1350800000,5987100000,3127100000,2843300000,16700000,7337900000,9187800000,2.35e+08,2.35e+08,298400000,298400000,542200000,4552500000,1109100000,806500000,302600000,5661600000,6203800000,-62700000,2.984e+09,2.984e+09,9187800000,101800000,77100000,-78200000,-120100000,-19400000,-25800000,-121800000,-3600000,-123700000,-1900000,-132600000,-273800000,-273800000,-7e+05,-274500000,153300000,4561300000,53400000,0.30341,0.06097,0.07873,0.03298,0.01071,0.54268,3.41184,2.07902,0.49645,0.99842,0.80197,12.68112,30.2772,0.54182,0.01176,0.00617,24.0848,48.45407
"22","2017_Q3",41.937619047619,"Up",1255400000,-891300000,364100000,-226600000,-187300000,-3.9e+07,-3e+05,137500000,-79200000,-80200000,1e+06,58300000,-4200000,2100000,-2100000,-2100000,-2100000,-5500000,1484900000,1484900000,484300000,484300000,5.13e+08,42900000,36700000,2525100000,1345800000,1345800000,5954700000,3125900000,2807200000,21600000,7300500000,9825600000,210300000,210300000,241600000,241600000,456400000,5.266e+09,1.115e+09,8.14e+08,3.01e+08,6.381e+09,6837400000,-62400000,2988200000,2988200000,9825600000,-2100000,7.8e+07,73300000,-151500000,-2300000,-27800000,-19800000,737700000,-2.98023223876953e-08,-96700000,637600000,615500000,615500000,300000.000000002,615800000,215500000,5270500000,34100000,0.29003,0.10953,-0.00438000000000001,-0.00184000000000001,-0.00056,-6.2,5.53265,2.28813,0.5364,-0.0558900000000001,-0.05278,12.75772,30.3669,0.34653,-0.00022,0.00364,17.56659,27.53164
"23","2017_Q4",40.7433333333333,"Down",1272100000,-878400000,393700000,-203200000,-164200000,-38900000,-1e+05,190500000,-121700000,-76500000,-45200000,68800000,-91600000,32200000,-59400000,-59400000,-59400000,-62800000,2472700000,2472700000,480300000,480300000,526600000,40600000,34700000,3520200000,1366900000,1366900000,5917100000,3.126e+09,2768300000,22800000,7.284e+09,10804200000,214800000,214800000,309800000,309800000,547300000,6368500000,1137300000,793100000,344200000,7505800000,8053100000,-6.2e+07,2751100000,2751100000,10804200000,-59400000,77800000,162600000,55100000,236100000,-60900000,-60600000,1133700000,-176700000,-176600000,7.77e+08,952500000,952500000,35300000,987800000,268300000,6391200000,230300000,0.30949,0.14975,-0.04937,-0.02283,-0.00581,-3.6672,6.43194,2.92723,0.59155,-0.62366,-0.60888,12.63317,27.32106,2.2871,-0.00578,0.0224,14.60492,20.56955
"24","2018_Q1",38.7309836065574,"Down",1448500000,-1011400000,437100000,-294500000,-251800000,-42300000,-4e+05,142600000,-93700000,-85200000,-8500000,48900000,22400000,-14400000,8e+06,8e+06,8e+06,4700000,1525900000,1525900000,480600000,480600000,573500000,35900000,31700000,2615900000,1690700000,1690700000,7570200000,4.032e+09,3353900000,184300000,9260900000,11876800000,3.36e+08,3.36e+08,346300000,346300000,704400000,7149100000,1233600000,905800000,327800000,8382700000,9087100000,-4e+07,2.78e+09,2789700000,11876800000,8e+06,90200000,1.5e+07,59100000,172300000,-65300000,-1888600000,7.85e+08,-4e+06,-6600000,771100000,-945200000,-945200000,-1599999.99999999,-946800000,232800000,7171200000,2.41e+08,0.30176,0.09845,0.00323999999999999,0.00167999999999999,4e-04,51.2766,3.71366,3.25738,0.6038,0.0466000000000001,0.04836,14.3632,27.56624,2.38974,0.00071,0.02153,24.24957,39.58836
"25","2018_Q2",39.98671875,"Up",1433100000,-981400000,451700000,-287200000,-245700000,-41500000,0,164500000,-87800000,-90500000,2700000,76700000,39400000,255800000,295200000,295200000,294900000,291500000,1944500000,1944500000,468300000,468300000,587200000,49600000,4.7e+07,3049600000,1678400000,1678400000,7551800000,4039200000,3316600000,1.96e+08,9230200000,12279800000,351200000,351200000,378900000,378900000,752200000,7512600000,974600000,643600000,3.31e+08,8487200000,9239400000,-27600000,3030400000,3040400000,12279800000,295200000,90500000,-224800000,43600000,204500000,-46600000,-46200000,364500000,-5.6e+07,-45500000,259600000,417900000,417900000,7e+05,418600000,2.55e+08,7534700000,-3800000,0.31519,0.11479,0.20341,0.09588,0.02374,-0.01304,4.05424,3.03888,0.61358,2.89049,2.46795,14.2105,30.04918,-0.03768,0.02553,-0.00033,21.92235,33.98298
"26","2018_Q3",46.9925396825397,"Up",1586100000,-1110400000,475700000,-311400000,-264300000,-46400000,-7e+05,164300000,-48300000,-98800000,50500000,1.16e+08,115700000,-23900000.0000001,91800000,91800000,91500000,88900000,309200000,309200000,5.69e+08,5.69e+08,591400000,81900000,79600000,1551500000,1848800000,1848800000,9272900000,4979900000,4067800000,225200000,11121700000,12673200000,323200000,323200000,3.45e+08,3.45e+08,693300000,7392600000,1457600000,860500000,597100000,8850200000,9543500000,42800000,3119400000,3129700000,12673200000,91799999.9999999,104600000,-28100000,-109200000,59100000,-39300000,-1.493e+09,-116200000,-78800000,-4300000.00000001,-202700000,-1636600000,-1636600000,1300000,-1635300000,268900000,7417700000,144300000,0.29992,0.10359,0.05605,0.02841,0.00701,1.62316999999999,2.23785,3.04933,0.58531,0.87097,0.76553,15.53927,30.56126,1.41373,0.00769,0.01202,26.43548,43.26537
"27","2018_Q4",46.1322222222222,"Down",1608100000,-1146700000,461400000,-273600000,-225600000,-47200000,-8e+05,187800000,-81700000,-98900000,17200000,106100000,112200000,-15400000,96800000,96800000,96500000,94500000,342600000,342600000,530400000,530400000,579100000,7.7e+07,7.1e+07,1529100000,1834500000,1834500000,9158500000,4927800000,3984700000,2.46e+08,1.0993e+10,12522100000,346600000,346600000,412700000,412700000,787900000,7235800000,1419400000,869800000,549600000,8655200000,9443100000,-30200000,3068400000,3.079e+09,12522100000,96800000,105700000,5600000,119400000,327500000,-55900000,-59600000,-148800000,-79900000,-1e+05,-230800000,37100000,37100000,-3700000,33400000,293500000,7264400000,372400000,0.28692,0.11678,0.05877,0.03069,0.00755,3.94074,1.94073,3.06694,0.58013,0.92307,0.82461,15.70778,29.97187,3.63757,0.0082,0.03166,23.58365,36.85729
"28","2019_Q1",50.1703278688525,"Up",1629900000,-1164700000,465200000,-283400000,-240800000,-42300000,-3e+05,181800000,-59900000,-99100000,39200000,121900000,-2599999.99999999,-12500000,-15400000,-15400000,-15600000,-17600000,989700000,989700000,462300000,462300000,484200000,264100000,64300000,2200300000,1709700000,1709700000,9147500000,4499600000,3539300000,1108600000,10857200000,13057500000,365100000,365100000,404900000,404900000,792100000,7232100000,1972800000,778400000,1194400000,9204900000,9.997e+09,-39400000,3050400000,3060500000,13057500000,-15400000,97600000,90500000,-45200000,127500000,-83200000,-76799999.9999998,613400000,1700000,-15800000,597300000,6.48e+08,6.48e+08,-300000.000000001,647700000,279400000,7254200000,163500000,0.28542,0.11154,-0.0108,-0.00575,-0.00135,-9.28977,2.77781,3.26646,0.55556,-0.17295,-0.15297,16.01634,29.975,1.60665,-0.00127,0.01331,22.42126,34.4582
