"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",4.27951612903226,"Up",1772800000,-1215400000,557400000,-4.82e+08,-438100000,75400000,-1e+06,-1e+06,-1200000,74400000,-604400000,-19900000,-624300000,-624300000,-624300000,-624300000,366400000,366400000,49600000,49600000,1645700000,190700000,83800000,2252400000,519900000,1.577e+09,49400000,2096900000,4349300000,2100600000,1277600000,8.23e+08,2100600000,151100000,95500000,151100000,2251700000,409900000,1543100000,144600000,2097600000,2097600000,4349300000,-624300000,44600000,679500000,277700000,377500000,-35300000,-35300000,-35300000,6e+05,-34700000,0,-110500000,232300000,232300000,-4600000,227700000,1.2e+08,0,382300000,0.31442,0.04253,-0.35215,-0.29763,-0.14354,-0.61237,1.07227,1.07346,0,-1.26993,-1.28457,3.60618,4.26688,0.77766,5,-0.2638,0.17001,-3.05333,-4.85942
"12","2013_Q1",4.32883333333333,"Up",3561500000,-2586600000,974900000,-560700000,-516500000,414200000,-1e+06,-1e+06,-1300000,413200000,411300000,-150200000,261100000,261100000,261100000,261100000,374400000,374400000,73600000,73600000,1171300000,130200000,68500000,1749500000,524800000,1597900000,61400000,2122700000,3872200000,1453900000,611600000,738900000,1453900000,1.32e+08,100500000,1.32e+08,1585900000,348400000,1773500000,164400000,2286300000,2286300000,3872200000,261100000,44700000,9400000,113500000,428700000,-50700000,-50700000,-50700000,-10100000,-60800000,9e+05,-103100000,264800000,264800000,4600000,269400000,458900000,-7.45058059692383e-09,671900000,0.27373,0.1163,0.07331,0.1142,0.06743,2.57334,1.20332,0.69365,0,0.54351,0.54351,7.41361,4.75916,1.39863,7,0.12062,0.27784,-0.81586,-0.90391
"13","2013_Q2",6.25765625,"Up",1865300000,-1.287e+09,578300000,-491100000,-449200000,87200000,-9e+05,-9e+05,-1e+06,86300000,86300000,-31700000,54600000,54600000,54600000,54600000,153700000,153700000,57200000,57200000,1112300000,147200000,91900000,1470400000,500700000,1.582e+09,57500000,2082700000,3553100000,1143700000,467600000,676100000,1143700000,113100000,83900000,113100000,1256800000,355100000,1794900000,146300000,2296300000,2296300000,3553100000,54600000,42600000,12900000,-272100000,-1.62e+08,-24300000,-24300000,-24300000,8e+05,-23500000,1e+06,-31800000,-217300000,-217300000,-3400000,-220700000,129800000,0,-134900000,0.31003,0.04675,0.02927,0.02378,0.01537,-2.4707,1.28565,0.54732,0,0.11529,0.11432,3.93856,4.84861,-0.28484,7,0.03636,-0.05599,-1.18413,-1.76261
"14","2013_Q3",8.514375,"Up",1383700000,-902300000,481400000,-462600000,-421600000,18799999.9999999,-1300000,-1300000,-1400000,17500000,17500000,-7000000.00000003,10500000,10499999.9999999,10500000.0000001,10500000.0000001,127400000,127400000,55700000,55700000,1004400000,204900000,98800000,1392400000,479400000,1566500000,5.7e+07,2045900000,3438300000,1127800000,315800000,8.12e+08,1177800000,103800000,76500000,103800000,1281600000,286400000,1.772e+09,98300000,2156700000,2156700000,3438300000,10499999.9999999,41600000,5e+05,24099999.9999999,76700000,-2.3e+07,-2.3e+07,-2.3e+07,6e+05,-22400000,2100000,-56400000,-2100000,-2100000,-24200000,-26300000,60400000,5e+07,68500000,0.34791,0.01359,0.00759000000000001,0.00487000000000002,0.00305,6.52381,1.1822,0.59424,0.01454,0.0222799999999999,0.02202,2.93654,4.57704,0.14537,7,0.01891,0.0296499999999999,-1.28146,-4.11702
"15","2013_Q4",9.17984375,"Up",2106700000,-1508300000,598400000,-489300000,-448500000,109100000,-7e+05,-7e+05,-1e+06,108400000,108400000,-39800000,68600000,68600000,68600000,68600000,649100000,649100000,88600000,88600000,1.717e+09,1.8e+08,9.2e+07,2634700000,472900000,1634600000,120300000,2107500000,4742200000,2492800000,1501800000,9.91e+08,2492800000,102100000,75900000,102100000,2594900000,220900000,1807800000,118600000,2147300000,2147300000,4742200000,68600000,41500000,-1900000,467300000,575500000,-28700000,-28700000,-28700000,-1e+05,-91400000,8e+06,-149500000,334600000,334600000,9900000,344500000,150600000,0,6.29e+08,0.28405,0.05179,0.03256,0.03195,0.01447,9.1691,1.05692,1.20845,0,0.14671,0.14522,4.50535,4.59217,1.34517,6,0.04495,0.27963,-4.31009,-5.94959
"16","2014_Q1",6.91967213114754,"Down",3683800000,-2680800000,1.003e+09,-615900000,-573100000,387100000,-1800000,-1800000,-2200000,385300000,356600000,-136100000,220500000,220500000,220500000,220500000,536200000,536200000,84400000,84400000,1198900000,130100000,78400000,1949600000,476200000,1665600000,56600000,2141800000,4091400000,1723600000,783900000,861700000,1.726e+09,112400000,7.5e+07,1.14e+08,1.84e+09,1.73e+08,1995900000,82500000,2251400000,2251400000,4091400000,220500000,43500000,68600000,-60100000,272500000,-49600000,-49600000,-49600000,-5800000,-70200000,1300000,-112900000,89400000.0000001,89400000,-25100000,64300000,430600000,4000000.00000001,4.57e+08,0.27227,0.10508,0.05986,0.09794,0.05389,2.07256,1.12955,0.81727,0.000979999999999998,0.47645,0.47156,7.95981,4.86474,0.98747,5,0.10672,0.19301,-1.23595,-1.37484
"17","2014_Q2",7.12142857142857,"Up",1996300000,-1369900000,626400000,-520500000,-4.81e+08,105900000,-6e+05,-6e+05,-8e+05,105300000,105300000,-37300000,6.8e+07,6.8e+07,6.8e+07,6.8e+07,208900000,208900000,8.6e+07,8.6e+07,1200100000,147400000,90200000,1642400000,464300000,1700800000,59400000,2165100000,3807500000,1346800000,612300000,717300000,1424500000,114900000,75500000,115800000,1540300000,130400000,2025100000,111700000,2267200000,2267200000,3807500000,6.8e+07,40100000,-8e+05,-384500000,-277200000,-24600000,-24600000,-24600000,-1e+05,-52300000,1700000,-14800000,-344300000,-344300000,1.7e+07,-327300000,1.46e+08,78600000,-225800000,0.31378,0.05305,0.03406,0.02999,0.01786,-3.32059,1.15297,0.67938,0.02064,0.1477,0.14668,4.33601,4.92441,-0.49044,5,0.04316,-0.09176,-0.89247,-1.23041
"18","2014_Q3",7.80328125,"Up",1731400000,-1180500000,550900000,-514200000,-475400000,36700000,-1100000,-1100000,-1200000,35600000,35600000,-1.1e+07,24600000,24600000,24600000,24600000,1.93e+08,1.93e+08,91200000,91200000,1.061e+09,241100000,181900000,1586300000,449700000,1727500000,84900000,2177200000,3763500000,1233600000,460800000,743100000,1447700000,134100000,75200000,134400000,1582100000,65900000,2011400000,104100000,2181400000,2181400000,3763500000,24600000,39300000,1.8e+07,-8e+07,1899999.99999994,-26900000,-26900000,-26900000,-8e+05,-43200000,1400000,26400000,-14900000,-14900000,-999999.999999993,-15899999.9999999,7.6e+07,214400000,-19900000.0000001,0.31818,0.0212,0.01421,0.01128,0.00654,-0.80894,1.09574,0.72527,0.05697,0.05419,0.05381,3.81366,4.80485,-0.04383,5,0.02455,-0.00787,0.28158,0.58311
"19","2014_Q4",7.1590625,"Down",2092200000,-1.47e+09,622200000,-532400000,-494300000,89800000,-3100000,-3100000,-3200000,86700000,86700000,-30300000,56400000,56400000,56400000,56400000,471900000,471900000,88600000,88600000,1.717e+09,1.8e+08,94600000,2457500000,472900000,1634600000,120300000,2107500000,4.565e+09,2315600000,1356600000,9.59e+08,2315600000,102100000,75900000,102100000,2417700000,220900000,1807800000,118600000,2147300000,2147300000,4.565e+09,56400000,38600000,14100000,202800000,311900000,-5.5e+07,-5.5e+07,-5.5e+07,2100000,-80200000,-5200000,-34300000,197400000,197400000,-16400000,1.81e+08,128400000,0,306500000,0.29739,0.04292,0.02696,0.02627,0.01235,5.4344,1.06128,1.12593,0,0.12601,0.12478,4.67426,4.79736,0.68476,6,0.04161,0.13626,-3.67523,-5.25501
"20","2015_Q1",7.01065573770492,"Down",3476100000,-2499700000,976400000,-588300000,-550300000,388100000,-5200000,-5200000,-5500000,382900000,380700000,-136600000,244100000,244100000,244100000,244100000,610100000,610100000,113500000,113500000,1144800000,194100000,128500000,2062500000,454200000,1729600000,77100000,2183800000,4246300000,1634600000,815600000,803600000,1639700000,188300000,92400000,538900000,2178600000,1e+05,2.093e+09,-25400000,2067700000,2067700000,4246300000,244100000,38500000,-15500000,176800000,443900000,-53100000,-53100000,-53100000,-200000.000000001,-60200000,100000.000000001,-108500000,275200000,275200000,-39100000,236100000,426600000,355700000,686900000,0.28089,0.11165,0.07022,0.11805,0.05749,2.81401,1.25785,1.05363,0.08377,0.56348,0.5568,8.02424,4.77308,1.58564,7,0.10721,0.26301,-0.59634,-0.655500000000001
"21","2015_Q2",7.73444444444444,"Up",2060600000,-1421600000,6.39e+08,-515100000,-479300000,123900000,-5400000,-5400000,-5600000,118500000,118500000,-44700000,73800000,73800000,73800000,73800000,369800000,369800000,99500000,99500000,1076700000,209500000,143900000,1755500000,448200000,1737300000,7.8e+07,2185500000,3.941e+09,1343600000,585100000,709200000,1345700000,178200000,82200000,522600000,1868300000,1e+05,2087600000,-1.5e+07,2072700000,2072700000,3.941e+09,73800000,36300000,8600000,-247300000,-128600000,-27800000,-27800000,-27800000,5e+05,-38200000,5800000,-80100000,-246900000,-246900000,6600000,-240300000,160200000,346500000,-70200000,0.3101,0.06013,0.03581,0.03561,0.01873,-0.95122,1.30453,0.90138,0.08792,0.17115,0.1702,4.77876,4.80682,-0.1628,4,0.04335,-0.02703,-0.14544,-0.18805
"22","2015_Q3",8.43140625,"Up",1761900000,-1181400000,580500000,-528800000,-490800000,51700000,-5600000,-5600000,-5700000,46100000,46100000,-20800000,25300000,25300000,25300000,25300000,136200000,136200000,118300000,118300000,988300000,257500000,191600000,1500300000,463300000,1869900000,69500000,2333200000,3833500000,1.332e+09,481100000,847400000,1344500000,1.77e+08,8.1e+07,521700000,1866200000,1e+05,2022600000,-55400000,1967300000,1967300000,3833500000,25300000,38300000,6300000,35700000,105600000,-4.8e+07,-4.8e+07,-4.8e+07,1800000,-235300000,800000.000000001,-8.6e+07,-215700000,-215700000,-17900000,-233600000,9e+07,357200000,98500000,0.32947,0.02934,0.01436,0.01286,0.0066,3.89328,1.11588,0.94861,0.09318,0.05933,0.059,4.13204,4.61374,0.231,7,0.02546,0.03938,2.45556,4.27466
"23","2015_Q4",7.39234375,"Down",2016300000,-1360700000,655600000,-564900000,-525500000,90700000,-6500000,-6500000,-6500000,84200000,84200000,-28300000,55900000,55900000,55900000,55900000,186200000,186200000,185500000,185500000,1856300000,266400000,151600000,2494400000,477500000,1863100000,92500000,2340600000,4.835e+09,2370800000,1461100000,876400000,2371700000,171700000,75700000,521700000,2893400000,1e+05,2002800000,-61300000,1941600000,1941600000,4.835e+09,55900000,39900000,15400000,99900000,211100000,-53600000,-53600000,-53600000,-6300000,-64200000,3e+05,-93200000,53700000,53700000,-3700000,5e+07,130600000,350900000,205200000,0.32515,0.04498,0.02772,0.02879,0.01156,3.67084,1.05174,1.49021,0.07257,0.13259,0.13184,4.7825,4.60531,0.48672,5,0.03807,0.08327,1.2611,1.81588
"24","2016_Q1",5.56672131147541,"Down",3.525e+09,-2481800000,1043200000,-656700000,-613300000,386500000,-5500000,-5500000,-5600000,3.81e+08,376400000,-128600000,247800000,247800000,247800000,247800000,450400000,450400000,176500000,176500000,1.163e+09,147600000,147600000,1937500000,484500000,1908300000,62200000,2392800000,4330300000,1794400000,631900000,1041400000,1794400000,109500000,79900000,454900000,2249300000,1e+05,2169700000,-88800000,2.081e+09,2.081e+09,4330300000,247800000,43700000,-2700000,179900000,468700000,-43800000,-43800000,-43800000,1e+05,-106900000,-2500000,-86900000,274900000,274900000,-10700000,264200000,430200000,345400000,694900000,0.29594,0.10965,0.0703,0.11908,0.05722,2.80428,1.07975,1.08087,0.07976,0.59453,0.58888,8.45729,4.9928,1.66723,6,0.1131,0.27403,-0.24407,-0.271669999999999
"25","2016_Q2",5.7334375,"Up",1971500000,-1.296e+09,675500000,-561500000,-520800000,1.14e+08,-10800000,-10800000,-1.1e+07,103200000,103200000,-37400000,65800000,65800000,65800000,65800000,473600000,473600000,1.39e+08,1.39e+08,1264100000,160400000,160400000,2037100000,483300000,1925600000,61400000,2408900000,4.446e+09,1.366e+09,608500000,707400000,1.366e+09,111500000,81400000,923900000,2289900000,1e+05,2195600000,-39600000,2156100000,2156100000,4.446e+09,65800000,4.1e+07,15500000,-498400000,-376100000,-29400000,-29400000,-29400000,2400000,-27900000,-8100000,408200000,4200000,4200000,1.9e+07,23200000,1.55e+08,812400000,-335400000,0.34263,0.05782,0.03338,0.03052,0.0148,-5.09726,1.49129,1.06206,0.18273,0.15848,0.15787,4.74831,5.19292,-0.8078,4,0.03464,-0.1089,2.18581,2.97193
"26","2016_Q3",5.7821875,"Up",1631800000,-1014100000,617700000,-559400000,-518400000,58300000,-13600000,-13600000,-13900000,44700000,44700000,-16800000,27900000,27900000,27900000,27900000,289500000,289500000,126600000,126600000,1.093e+09,175300000,175300000,1684400000,480900000,1968300000,69600000,2449200000,4133600000,1056500000,370700000,682400000,1056500000,112600000,82500000,926100000,1982600000,5300000,2184500000,-38800000,2.151e+09,2.151e+09,4133600000,27900000,41400000,6e+06,-135400000,-60100000,-36700000,-36700000,-36700000,2500000,-81100000,-3e+05,-38900000,-180100000,-180100000,-4e+06,-184100000,99700000,813500000,-55600000.0000001,0.37854,0.03573,0.0171,0.01297,0.00675,-1.99283,1.59432,0.92171,0.1968,0.06707,0.06694,3.9226,5.17067,-0.13365,5,0.02155,-0.01807,5.25577,8.98799
"27","2016_Q4",4.97428571428571,"Down",1959200000,-1.251e+09,708200000,-609400000,-567100000,98800000,-14800000,-14800000,-14800000,8.4e+07,8.4e+07,-33200000,50800000,50800000,50800000,50800000,356100000,356100000,181100000,181100000,1633600000,1.88e+08,1.88e+08,2358800000,503100000,2368700000,75200000,2871800000,5230600000,2151100000,1242600000,877800000,2151100000,141100000,1.11e+08,955400000,3106500000,1e+05,2169700000,-45700000,2124100000,2124100000,5230600000,50800000,42600000,19600000,454800000,567800000,-39700000,-39700000,-39700000,5e+05,-432500000,-1e+05,-72500000,62800000,62800000,3800000,66600000,141400000,814300000,589700000,0.36147,0.05043,0.02593,0.02392,0.00971,11.60827,1.09656,1.4625,0.15568,0.12259,0.12188,4.7278,5.12572,1.42302,6,0.029,0.19149,3.24045,4.63765
"28","2017_Q1",4.98564516129032,"Up",2402500000,-1.904e+09,498500000,-268300000,-255600000,230200000,-13800000,-13800000,-14100000,216400000,196800000,-36800000,1.6e+08,208700000,208700000,208700000,669400000,669400000,220900000,220900000,1121500000,128900000,128900000,2140700000,4.71e+08,2364200000,72800000,2835200000,4975900000,1761500000,616600000,1090900000,1761500000,145300000,122300000,960300000,2721800000,1e+05,2301300000,-47300000,2254100000,2254100000,4975900000,208700000,41700000,0,155100000,405500000,-36900000,-36900000,-36900000,1100000,-35900000.0000001,-4e+05,-58100000,311500000,309300000,2300000,311600000,271900000,8.15e+08,426900000,0.20749,0.09582,0.08687,0.09259,0.04194,2.04552,1.21527,1.20749,0.16379,0.51052,0.50853,5.87696,5.51394,1.04428,5,0.07666,0.13281,0.53549,0.63249
"29","2017_Q2",4.68238095238095,"Down",2045900000,-1343400000,702500000,-601400000,-563500000,101100000,-13900000,-13900000,-14100000,87200000,87200000,-28200000,5.9e+07,5.9e+07,5.9e+07,5.9e+07,311900000,311900000,172500000,172500000,1216900000,145700000,145700000,1.847e+09,453600000,2382800000,7.2e+07,2836400000,4683400000,1465600000,526100000,845400000,1465600000,133200000,110200000,948900000,2414500000,2700000,2321700000,-55500000,2268900000,2268900000,4683400000,5.9e+07,38300000,10400000,-364500000,-256800000,-2e+07,-2e+07,-2e+07,1300000,-27200000,-422740.777856192,-6.5e+07,-3.49e+08,-3.49e+08,-8500000,-357500000,139400000,815700000,-216900000,0.34337,0.04942,0.02884,0.026,0.0126,-3.67627,1.26023,1.06417,0.17417,0.14561,0.14546,5.04911,5.59946,-0.53529,4,0.03067,-0.06741,3.61406,4.98318
