"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",30.9766129032258,"Up",3592700000,-2454300000,1138400000,-690600000,-690600000,447800000,-43300000,-60600000,17300000,404500000,404500000,-65100000,339400000,-12300000,-12300000,327100000,-5500000,321600000,321600000,929600000,929600000,2320900000,1462100000,5.17e+08,5.17e+08,5229600000,1618600000,11812100000,4230900000,6112500000,1468700000,13430700000,18660300000,3301500000,1300500000,2.001e+09,1024600000,4326100000,2271600000,4532600000,1662900000,1444300000,1425400000,6804200000,11130300000,1645200000,6232300000,-431700000,7445800000,84200000,7.53e+09,18660300000,339400000,92300000,29700000,-1.8e+07,-13500000,429900000,-56300000,0,-56300000,-48700000,1400000,-2700000,-357100000,16500000,16500000,9700000,26200000,540100000,3296200000,530900000,0.31686,0.12464,0.08951,0.04271,0.01723,1.65081,1.20885,1.47813,0.17664,1.04483,1.03176,11.67219,24.19038,1.72482,0.15822,7,0.02411,0.03457,0.15143,4.38178,5.28495
"12","2013_Q1",34.9048333333333,"Up",1423600000,-1185800000,237800000,-299100000,-299100000,-61300000,-5.3e+07,-59900000,6900000,-114300000,-118800000,101900000,-16899999.9999999,258700000,258700000,241800000,-6200000,235600000,235600000,708400000,708400000,1870100000,1.144e+09,2271400000,184500000,5993900000,1426100000,11062100000,4050400000,5492600000,1519100000,12488200000,18482100000,2831200000,1019400000,1.77e+09,962900000,4325900000,2266500000,4660400000,1685200000,1576700000,1398500000,6926900000,11252800000,1310100000,6358700000,-5.21e+08,7147800000,81500000,7229300000,18482100000,-16899999.9999999,48400000,88700000,-60600000,400300000,459900000,-67100000,9.7e+07,-24400000,-47300000,-61900000,1e+06,-466500000,-3.1e+07,-3.1e+07,-16500000,-47500000,-12900000,3229400000,-242500000,0.16704,-0.04306,0.1655,0.03259,0.01275,-1.02929,1.38558,1.55655,0.17473,0.78691,0.77577,4.75484,23.87375,-0.80995,0.15798,7,0.01871,-0.01604,0.20076,-195.42636,-41.12561
"13","2013_Q2",37.16640625,"Up",2.639e+09,-1912600000,726400000,-606400000,-606400000,1.2e+08,-60100000,-60600000,5e+05,59900000,59900000,-4500000,55400000,39200000,39200000,94600000,-6600000,8.8e+07,8.8e+07,832900000,832900000,2218800000,1466300000,599400000,599400000,5117400000,1.653e+09,11822900000,4163600000,6098300000,1.561e+09,13475900000,18593300000,3205800000,1330600000,1875200000,965100000,4170900000,2271100000,4803800000,1822300000,1598800000,1382700000,7074900000,11245800000,1422300000,6445900000,-607200000,7.261e+09,86500000,7347500000,18593300000,55400000,83700000,-1300000,-1.55e+08,9200000,-8e+06,-62900000,0,-67200000,-62800000,2400000,0,26600000,-48600000,-48600000,-6e+05,-49200000,203700000,3236200000,-9700000,0.27526,0.04547,0.03335,0.01198,0.00473,-0.11023,1.22693,1.53056,0.17405,0.29441,0.29091,8.82904,24.29241,-0.03245,0.2101,3,0.0098,-0.00063,0.71364,11.79823,20.0275
"14","2013_Q3",41.1246875,"Up",3398400000,-2377400000,1.021e+09,-633400000,-633400000,387600000,-64400000,-6.2e+07,-2400000,323200000,323200000,-48700000,274500000,50200000,50200000,324700000,-7500000,317200000,317200000,2200500000,2200500000,2571300000,1.435e+09,621700000,621700000,6828500000,1.663e+09,11782200000,4127700000,6112600000,1541900000,13445200000,20273700000,3520200000,1.475e+09,2045200000,1626700000,5146900000,3155100000,4795500000,1820300000,1607900000,1367300000,7950600000,13097500000,991200000,6701500000,-598600000,7094100000,82100000,7176200000,20273700000,274500000,83300000,7300000,-34400000,106100000,436800000,-64400000,4400000,-63300000,-61600000,1547400000,-15700000,1018600000,1392100000,1392100000,-24500000,1367600000,470900000,4781800000,420800000,0.30044,0.11405,0.09334,0.0442,0.01565,1.32661,1.32672,1.82513,0.23586,1.06694,1.05312,11.43088,23.86176,1.41541,0.2072,4,0.02261,0.02512,0.1942,5.48163000000003,6.6597
"15","2013_Q4",46.54890625,"Up",3214200000,-2217600000,996600000,-617200000,-617200000,379400000,-96800000,-102800000,6e+06,282600000,282600000,-55100000,227500000,-46700000,-46700000,180800000,-14900000,165900000,165900000,1083900000,1083900000,2443100000,1447500000,655200000,655200000,5629700000,1651700000,11720600000,4099100000,6061800000,1559700000,13372300000,1.9002e+10,3475400000,1400600000,2074800000,373200000,3848600000,3154100000,4812700000,1809100000,1.653e+09,1350600000,7966800000,11815400000,7.61e+08,6806700000,-4.73e+08,7094700000,91900000,7186600000,1.9002e+10,227500000,82900000,-5e+06,42600000,105200000,453200000,-4.1e+07,3e+05,-2e+07,-58600000,-1254300000,-8200000,-1567500000,-1134300000,-1134300000,17700000,-1116600000,462300000,3527300000,5.19e+08,0.31006,0.11804,0.05161,0.02308,0.00873,3.12839,1.46279,1.64409,0.18563,0.56913,0.56142,11.02642,24.33859,1.78045,0.20103,5,0.01446,0.03343,0.35322,5.28531,6.44017
"16","2014_Q1",50.6370491803279,"Up",3098900000,-2214700000,884200000,-666200000,-666200000,2.18e+08,-54100000,-53400000,-7e+05,163900000,163900000,-80700000,83200000,-29400000,-29400000,53800000,-6100000,47700000,47700000,1937200000,1937200000,2071500000,1166100000,541900000,182400000,5716700000,1468400000,1.0473e+10,3.922e+09,5540600000,1010400000,11941400000,17658100000,3040900000,1.163e+09,1877900000,367700000,3408600000,3153500000,3964700000,1287800000,1335800000,1341100000,7118200000,10526800000,441900000,6794500000,-166700000,7068900000,62400000,7131300000,17658100000,83200000,83800000,225100000,-254800000,72200000,209500000,-49600000,-1.86264514923096e-09,-64900000,-62500000,-3800000.00000048,1272500000,868900000,1013500000,1013500000,13500000,1.027e+09,301800000,3521200000,78100000,0.28533,0.07035,0.01539,0.00669,0.0027,1.63732,1.67714,1.47614,0.19941,0.16522,0.16224,10.73398,24.48528,0.27052,0.21649,7,0.00754,0.00534,1.31027,5.24851,7.26606
"17","2014_Q2",50.6944444444444,"Up",2722900000,-1954800000,768100000,-613100000,-613100000,1.55e+08,-49800000,-5.2e+07,2200000,105200000,105200000,-24500000,80700000,2900000,2900000,83600000,-4600000,7.9e+07,7.9e+07,897900000,897900000,2086100000,1348400000,5.54e+08,198600000,4886400000,1468300000,10419300000,3888700000,5533300000,997300000,11887600000,1.6774e+10,3028700000,1240100000,1719900000,373900000,3402600000,3152300000,3869400000,1275500000,1.271e+09,1322900000,7021700000,10424300000,271200000,6216500000,-202500000,6285200000,64500000,6349700000,1.6774e+10,80700000,82300000,1.5e+07,-258800000,-41200000,-1.22e+08,-45200000,-7e+06,-52200000,-65800000,4400000,-2500000,-851600000,-1025800000,-1025800000,-13500000,-1039300000,237300000,3526200000,-42200000,0.28209,0.05692,0.02901,0.01244,0.00471,-0.53418,1.43608,1.6417,0.21022,0.28387,0.27984,9.78405,22.58426,-0.15163,0.23644,5,0.01053,-0.00307,0.83291,11.07585,16.95677
"18","2014_Q3",51.92328125,"Up",3.543e+09,-2.44e+09,1.103e+09,-639700000,-639700000,463300000,-44500000,-5.3e+07,8500000,418800000,418800000,-103800000,3.15e+08,-4600000,-4600000,310400000,-4500000,305900000,305900000,929800000,929800000,2449400000,1388900000,558400000,228600000,5326500000,1472700000,10360200000,3856300000,5527600000,976300000,11832900000,17159400000,3338400000,1478800000,1.792e+09,915700000,4254100000,2646500000,3818700000,1274400000,1241700000,1302600000,6465200000,10719300000,312800000,6266900000,-197400000,6382300000,57800000,6440100000,17159400000,3.15e+08,85900000,23400000,-156500000,-14600000,253200000,-44500000,32500000,-1.2e+07,-6.7e+07,34600000.0000001,53900000.0000001,-203600000,37599999.9999995,37599999.9999995,-5700000,31899999.9999995,549200000,3562200000,4.52e+08,0.31132,0.13076,0.08634,0.0475,0.01783,1.47761,1.25209,1.66446,0.20759,1.13129,1.11561,13.10281,23.60318,1.6716,0.24778,7,0.02698,0.0327,0.21903,4.79315,5.68185
"19","2014_Q4",52.55453125,"Up",3.385e+09,-2326900000,1058100000,-6.18e+08,-6.18e+08,440100000,-42800000,-52300000,9500000,397300000,397300000,-94200000,303100000,-6900000,-6900000,296200000,-4900000,291300000,291300000,936700000,936700000,2302600000,1.419e+09,511800000,208800000,5170100000,1465700000,10229800000,3819400000,5.447e+09,963400000,11695500000,16865600000,3.249e+09,1380500000,1802200000,8.81e+08,4.13e+09,2646600000,3755300000,1220800000,1264700000,1269800000,6401900000,10531900000,336600000,6351200000,-413700000,6274100000,59600000,6333700000,16865600000,303100000,82300000,18800000,-33500000,-4300000,366400000,-54400000,-2400000,-56800000,-66400000,-3.5e+07,28700000,-232800000,76800000,76800000,-69900000,6900000,522400000,3527600000,528700000,0.31258,0.13001,0.08606,0.04599,0.01727,1.81497,1.25184,1.66284,0.20916,1.08735,1.07253,12.63531,23.41956,1.9735,0.24785,8,0.02627,0.03883,0.22794,4.95961,5.88707
"20","2015_Q1",57.0747540983607,"Up",3240500000,-2261100000,979400000,-633100000,-633100000,346300000,-58200000,-6.8e+07,9800000,288100000,288100000,-71200000,216900000,43300000,43300000,260200000,-4700000,255500000,255500000,1705200000,1705200000,2.119e+09,1358900000,524800000,2.25e+08,5707900000,1.477e+09,10113600000,3783900000,5389800000,939900000,11590600000,17298500000,3183400000,1.29e+09,1893400000,482700000,3666100000,3741700000,3845300000,1.438e+09,1174300000,1.233e+09,7.587e+09,11253100000,363400000,6540800000,-714300000,5987400000,5.8e+07,6045400000,17298500000,216900000,81900000,-92300000,227500000,41600000,475600000,-7.5e+07,-1e+06,-7.6e+07,-65500000,696200000,-113300000,428500000,828100000,828100000,-59600000,768500000,428200000,4224400000,651900000,0.30224,0.10687,0.07885,0.04226,0.01477,2.55147,1.55694,1.86143,0.24421,0.9627,0.94946,12.20987,22.55991,2.45629,0.2468,7,0.02274,0.04618,0.25636,5.88323,7.27462
"21","2015_Q2",59.4014285714286,"Up",2887800000,-2086700000,801100000,-6.3e+08,-6.3e+08,171100000,-81500000,-55100000,-26400000,89600000,89600000,-26900000,62700000,-7300000,-7300000,55400000,-4100000,51300000,51300000,733900000,733900000,2190200000,1.613e+09,567700000,271100000,5104800000,1564100000,10740100000,4031300000,5734900000,973900000,12304200000,1.7409e+10,3175200000,1356100000,1819100000,802300000,3977500000,3741700000,3903300000,1430600000,1229900000,1242800000,7.645e+09,11622500000,405700000,6515600000,-994600000,5724200000,62300000,5786500000,1.7409e+10,62700000,87900000,63900000,-329700000,-1e+07,-125200000,-51700000,-941700000,-993400000,-73800000,311100000,19500000,256800000,-861800000,-861800000,-109500000,-971300000,2.59e+08,4.544e+09,-95500000,0.27741,0.05925,0.01776,0.00887,0.00295,-1.8616,1.28342,2.00855,0.26101,0.19329,0.19106,10.88093,21.5682,-0.35983,0.27807,3,0.00879,-0.00671,1.4386,14.71081,22.26826
"22","2015_Q3",52.10515625,"Down",3600200000,-2494500000,1105700000,-653500000,-653500000,452200000,-33800000,-55800000,2.2e+07,418400000,418400000,-331400000,8.7e+07,-4099999.99999999,-4099999.99999999,82900000,-4e+06,78900000,78900000,779600000,779600000,2463100000,1634500000,651400000,291100000,5528600000,1.586e+09,10772200000,4008600000,5772500000,991100000,12358200000,17886800000,3.798e+09,1470900000,2327100000,659700000,4457700000,3734600000,3.807e+09,1.435e+09,1137800000,1234200000,7541600000,11999300000,445600000,6517600000,-933100000,5827600000,59900000,5887500000,17886800000,8.7e+07,92800000,2.3e+07,96100000.0000001,-3700000.00000001,295200000,-57900000,0,-57899999.9999999,-77500000,-150100000,20600000,-2.07e+08,30300000.0000002,30300000.0000002,15400000,45700000,5.45e+08,4394300000,914600000,0.30712,0.1256,0.02192,0.0134,0.00441,11.59189,1.24024,2.0381,0.24567,0.29606,0.29287,13.50919,21.86717,3.43189,0.29081,5,0.0111,0.06492,0.98226,6.63248,7.99359
"23","2015_Q4",49.28921875,"Down",3486900000,-2379400000,1107500000,-632100000,-632100000,475400000,-43600000,-55800000,12200000,431800000,431800000,-113800000,3.18e+08,-1.2e+07,-1.2e+07,3.06e+08,-5100000,300900000,300900000,651500000,651500000,2342400000,1577900000,9.63e+08,684100000,5534800000,1579600000,10709700000,3968900000,5762900000,977900000,12289300000,17824100000,3.699e+09,1340800000,2358200000,8.37e+08,4.536e+09,3734600000,3756800000,1429100000,1115100000,1212600000,7491400000,12027400000,4.68e+08,6741700000,-1035400000,5738400000,58300000,5796700000,17824100000,3.18e+08,88500000,7200000,-317200000,-13500000,8.3e+07,-48900000,-10300000,-59200000,-76100000,178100000,5500000,-125900000,-102100000,-102100000,-2.6e+07,-128100000,563900000,4571600000,311600000,0.31762,0.13634,0.08629,0.05191,0.01688,1.03556,1.22019,2.07487,0.25648,1.13291,1.12151,13.12839,21.60542,1.17319,0.28652,5,0.02669,0.02206,0.25291,6.95176,8.2459
"24","2016_Q1",48.0737704918033,"Down",3325800000,-2.341e+09,984800000,-625500000,-625500000,359300000,-51200000,-56300000,5100000,308100000,308100000,-68700000,239400000,-9e+05,-9e+05,238500000,-5e+06,233500000,233500000,736800000,736800000,2150600000,1410700000,311300000,311300000,4609400000,1575100000,10533100000,3926100000,5730200000,876800000,12108200000,16717600000,3144200000,1249300000,1894900000,504200000,3648400000,3713600000,3476400000,1409900000,896100000,1170400000,7.19e+09,10838400000,492300000,6897900000,-1120900000,5816700000,62500000,5879200000,16717600000,239400000,94900000,63600000,208100000,-7900000,598100000,-72600000,-9800000,-82400000,-75900000,-332700000,-50200000,-414200000,101500000,101500000,-16200000,85300000,454200000,4217800000,658400000,0.29611,0.10803,0.07021,0.03972,0.01397,2.8197,1.2634,1.84352,0.2523,0.88817,0.88113,12.65044,22.12514,2.50437,0.2887,5,0.02279,0.04851,0.32505,7.66402,9.68828
