"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.295,"Up",581200000,-475800000,105400000,-41300000,-42400000,1100000,64100000,-6800000,-5800000,57300000,-10600000,46700000,-1.8e+07,28700000,28700000,28700000,28700000,103100000,103100000,350800000,350800000,214300000,89100000,12400000,20200000,757300000,1019400000,1040100000,747100000,2.93e+08,2059500000,2816800000,439600000,189500000,250100000,23600000,463200000,703100000,573900000,66800000,66800000,151600000,355500000,1.277e+09,1740200000,934300000,414900000,-272600000,1076600000,1076600000,2816800000,28700000,26600000,15200000,17800000,88300000,-62200000,-365100000,-1.6e+07,196200000,8e+05,8e+05,181300000,-95500000,-95500000,-95500000,90700000,726700000,64300000,0.18135,0.11029,0.04938,0.02666,0.01019,2.24042,1.63493,1.61638,0.25799,0.3583,0.35388,7.25593,13.4407,0.80275,0.19975,3,0.0188,0.02705,0.55749,6.87541,9.72855
"12","2013_Q1",17.05,"Up",587600000,-487900000,99700000,-31300000,-37400000,6100000,68400000,-11200000,-7800000,57200000,-2500000,54700000,-20100000,34600000,34600000,34600000,34600000,165200000,165200000,279200000,279200000,195100000,109600000,8200000,40100000,749100000,1034300000,994300000,747100000,238100000,2028600000,2777700000,410400000,174300000,228500000,23600000,4.34e+08,690100000,655200000,164300000,164300000,110400000,380500000,1345300000,1779300000,936300000,433400000,-371300000,998400000,998400000,2777700000,34600000,32200000,7500000,48200000,122500000,-4e+07,-31700000,-16100000,-12600000,0,-2.3283064365387e-10,-28700000,62100000,62100000,62100000,100600000,713700000,128900000,0.16967,0.11641,0.05888,0.03466,0.01246,3.72543,1.72604,1.78215,0.25694,0.43196,0.42558,7.33583,12.46442,1.60924,0.201,5,0.02142,0.05445,0.46532,5.45229,8.01901
"13","2013_Q2",18,"Up",6.3e+08,-504400000,125600000,-48900000,-49100000,2e+05,76700000,-10600000,-9e+06,66100000,-2300000,63800000,-23300000,40500000,40500000,40500000,40500000,9.3e+07,9.3e+07,364700000,364700000,193300000,71400000,2400000,15600000,722400000,1025400000,988400000,747100000,232400000,2013800000,2736200000,3.83e+08,166500000,210400000,12200000,395200000,689300000,627100000,150700000,150700000,112700000,363700000,1316400000,1711600000,937800000,457900000,-371100000,1024600000,1024600000,2736200000,40500000,32900000,11600000,-86200000,-1200000,-28400000,-2.7e+07,-1.6e+07,-11400000,-4e+05,4200000,-4.4e+07,-72200000,-72200000,-72200000,109600000,701500000,18300000,0.19937,0.12175,0.06429,0.03953,0.0148,0.45185,1.82794,1.67051,0.25638,0.50499,0.49877,7.85536,12.77556,0.22818,0.1995,2,0.02401,0.00778,0.39506,5.55201,7.93351
"14","2013_Q3",17.509375,"Down",652200000,-531100000,121100000,-47200000,-48700000,1500000,73900000,-1.1e+07,-9600000,62900000,-2e+05,62700000,-1.9e+07,43700000,43700000,43700000,43700000,141600000,141600000,3.7e+08,3.7e+08,204800000,77500000,10600000,13300000,793900000,1013500000,979100000,747100000,223200000,1992600000,2786500000,424800000,189700000,231600000,12200000,4.37e+08,689100000,615400000,1.37e+08,1.37e+08,118700000,359700000,1304500000,1741500000,9.32e+08,485500000,-372500000,1.045e+09,1.045e+09,2786500000,43700000,34200000,4800000,10300000,9.3e+07,-22200000,-20400000,-16100000,-7.45058059692383e-09,-8100000,2e+06,-2.4e+07,48600000,48600000,48600000,108100000,701300000,115200000,0.18568,0.11331,0.067,0.04182,0.01568,2.63616,1.8167,1.66651,0.25168,0.54489,0.53818,8.13217,13.02993,1.43641,0.20075,4,0.02532,0.04878,0.36842,5.17761,7.57375
"15","2013_Q4",18.5478125,"Up",670700000,-528500000,142200000,-36900000,-36500000,-4e+05,105300000,-10700000,-9800000,94600000,-1600000,9.3e+07,-23300000,69700000,69700000,69700000,69700000,283800000,283800000,343800000,343800000,183500000,6.6e+07,4e+06,10300000,877100000,991700000,974200000,747100000,218700000,1965900000,2.843e+09,413600000,170400000,242400000,12500000,426100000,690500000,629100000,123200000,123200000,134300000,371600000,1319600000,1745700000,921200000,539200000,-363100000,1097300000,1097300000,2.843e+09,69700000,34100000,13700000,32400000,149900000,-15500000,21500000,-1.6e+07,0,-13500000,6e+05,-29200000,142200000,142200000,142200000,139400000,7.03e+08,179600000,0.21202,0.157,0.10392,0.06352,0.02452,2.57676,2.05844,1.5909,0.24727,0.87343,0.86156,8.40476,13.75063,2.25063,0.2005,9,0.03528,0.07393,0.22956,3.00717,3.98101
"16","2014_Q1",20.2788524590164,"Up",562100000,-469700000,92400000,-56300000,-55700000,-6e+05,36100000,-4200000,-9600000,31900000,-1400000,30500000,-5800000,24700000,24700000,24700000,24700000,307800000,307800000,266500000,266500000,186500000,79100000,1900000,26800000,839900000,987800000,975100000,747100000,2.19e+08,1962900000,2802800000,394900000,148700000,244500000,12600000,407500000,678400000,615800000,115400000,115400000,117600000,382800000,1294200000,1701700000,918200000,5.48e+08,-365100000,1101100000,1101100000,2802800000,24700000,34100000,-19600000,36100000,75300000,-20100000,-17900000,-15900000,-12300000,-5400000,2e+06,-33400000,2.4e+07,2.4e+07,2.4e+07,70200000,6.91e+08,9.2e+07,0.16438,0.06422,0.04394,0.02243,0.00881,3.7247,2.0611,1.54545,0.24654,0.31108,0.3076,7.07935,13.86776,1.15869,0.20025,6,0.01686,0.03821,0.64372,5.45869,10.61496
"17","2014_Q2",20.9609523809524,"Up",577400000,-475400000,1.02e+08,-43600000,-43500000,-1e+05,58400000,-9e+06,-9400000,49400000,-1200000,48200000,-18700000,29500000,29500000,29500000,29500000,242900000,242900000,3.31e+08,3.31e+08,187600000,67200000,2300000,15300000,828700000,968600000,966500000,747100000,210400000,1935100000,2763800000,363300000,164600000,198200000,12600000,375900000,677500000,602800000,1.02e+08,1.02e+08,123300000,377500000,1280300000,1656200000,909500000,561600000,-363500000,1107600000,1107600000,2763800000,29500000,34200000,7700000,-78300000,-6900000,-17900000,-16600000,-15900000,-1e+05,-11100000,3600000,-41400000,-64900000,-64900000,-64900000,92600000,690100000,15100000,0.17665,0.10114,0.05109,0.02663,0.01067,0.51186,2.20458,1.49531,0.24969,0.37247,0.36646,7.2904,13.98485,0.19066,0.20076,4,0.01891,0.00629,0.53898,4.82937,7.65753
"18","2014_Q3",20.335625,"Down",570400000,-463600000,106800000,-40800000,-41700000,9e+05,6.6e+07,-8700000,-9200000,57300000,-2500000,54800000,-18200000,36600000,37300000,37300000,37300000,245600000,245600000,341200000,341200000,220900000,71300000,9200000,13800000,8.79e+08,951300000,960400000,747100000,204400000,1911700000,2790700000,381700000,186800000,194500000,12600000,394300000,676600000,5.96e+08,87900000,87900000,130900000,377200000,1272600000,1666900000,897100000,583100000,-356400000,1123800000,1123800000,2790700000,37300000,35200000,3300000,-31500000,44300000,-12800000,-11500000,-15800000,-1300000,-13200000,1800000,-30100000,2700000,2700000,2700000,101200000,689200000,75100000,0.18724,0.11571,0.06539,0.03319,0.01337,2.0134,2.22927,1.48327,0.24696,0.47335,0.46625,7.23858,14.26142,0.95305,0.20051,7,0.02204,0.03117,0.42359,4.3834,6.72121
"19","2014_Q4",18.74,"Down",593600000,-492300000,101300000,-41800000,-41800000,0,59500000,-1.7e+07,-17500000,42500000,-2200000,40300000,-14200000,26100000,26100000,26100000,26100000,263600000,263600000,333400000,333400000,198800000,61200000,4300000,11100000,8.57e+08,936400000,959600000,747100000,201300000,1.896e+09,2.753e+09,375200000,165500000,209200000,16400000,391600000,672700000,567500000,64700000,64700000,1.39e+08,363800000,1240200000,1631800000,884100000,593500000,-356400000,1121200000,1121200000,2.753e+09,26100000,34900000,7800000,-6700000,62100000,-1.5e+07,-15900000,-15700000,1e+06,-13900000,1100000,-28200000,1.8e+07,1.8e+07,1.8e+07,94400000,689100000,86900000,0.17065,0.10024,0.04397,0.02328,0.00948,3.3295,2.18846,1.4554,0.25031,0.33291,0.3283,7.57143,14.30102,1.10842,0.20026,5,0.01758,0.03655,0.60153,4.50742,7.15126
"20","2015_Q1",20.8198360655738,"Up",499800000,-421900000,77900000,-38400000,-39100000,7e+05,39500000,-6100000,-6400000,33400000,-1.4e+07,19400000,-6600000,12800000,12800000,12800000,12800000,256800000,256800000,263100000,263100000,210100000,86100000,21600000,10300000,816100000,9.31e+08,9.51e+08,747100000,67900000,1.882e+09,2698100000,361300000,146800000,214300000,16400000,377700000,658700000,648400000,1.82e+08,1.82e+08,107100000,359300000,1307100000,1684800000,865700000,590700000,-443100000,1013300000,1013300000,2698100000,12800000,34800000,1.7e+07,-4900000,59700000,-20500000,-17700000,-15600000,-13200000,-2e+07,1e+05,-48800000,-6800000,-6800000,-6800000,74300000,675100000,55500000,0.15586,0.07903,0.02561,0.01263,0.00474,4.33594,2.16071,1.66269,0.25021,0.1641,0.16244,6.40769,12.99103,0.71154,0.2,5,0.01215,0.02375,1.21875,5.62988,10.58987
"21","2015_Q2",23.1857142857143,"Up",5.18e+08,-433200000,84800000,-47200000,-4.7e+07,-2e+05,37600000,-6400000,-6800000,31200000,-11600000,19600000,-6500000,13100000,13100000,13100000,13100000,196800000,196800000,303800000,303800000,216100000,86500000,15100000,17400000,803200000,919900000,9.5e+08,747100000,70200000,1869900000,2673100000,3.54e+08,147800000,205100000,16400000,370400000,648700000,635800000,167200000,167200000,107300000,361300000,1284500000,1654900000,869600000,588300000,-439700000,1018200000,1018200000,2673100000,13100000,34400000,-1600000,-55500000,-9600000,-22700000,-21900000,-15500000,-15300000,2e+06,2e+06,-28500000,-6e+07,-6e+07,-6e+07,7.2e+07,665100000,3e+05,0.16371,0.07259,0.02529,0.01287,0.0049,0.0229,2.16847,1.62532,0.24881,0.16925,0.16688,6.69251,13.15504,0.00388,0.20026,3,0.01233,0.00013,1.18321,6.50417,12.45479
"22","2015_Q3",16.64234375,"Down",535400000,-445500000,89900000,2500000,-39900000,42400000,92400000,-17500000,-17900000,74900000,-11200000,63700000,-21400000,42300000,42300000,42300000,42300000,232400000,232400000,321300000,321300000,221600000,6.9e+07,3200000,16100000,844300000,917600000,931200000,747100000,54800000,1848800000,2693100000,365100000,148600000,205400000,141200000,506300000,522900000,611400000,152500000,152500000,99500000,359400000,1134300000,1640600000,871700000,615100000,-434300000,1052500000,1052500000,2693100000,42300000,34700000,-29500000,10200000,57700000,-3700000,-1200000,-15500000,-5500000,100000.000000002,99999.9999999995,-20900000,35600000,35600000,35600000,127100000,664100000,1.55e+08,0.16791,0.17258,0.07901,0.04019,0.01571,3.6643,1.66759,1.55876,0.24659,0.54581,0.53748,6.90839,13.58065,2,0.2,6,0.02483,0.06658,0.36643,3.39654,4.67208
"23","2015_Q4",15.30765625,"Down",533600000,-4.6e+08,73600000,-35900000,-35800000,-1e+05,37700000,-13600000,-14100000,24100000,-14800000,9300000,-3400000,5900000,5900000,5900000,5900000,2.54e+08,2.54e+08,300400000,300400000,232500000,81500000,0,12400000,868400000,913700000,918800000,747100000,47300000,1832500000,2700900000,441900000,158700000,272800000,141100000,5.83e+08,521200000,550600000,97200000,97200000,1.18e+08,335400000,1071800000,1654800000,873800000,605500000,-433200000,1046100000,1046100000,2700900000,5900000,35800000,-3e+05,25600000,6.7e+07,-28500000,-2.8e+07,-15500000,-2100000,1e+05,1e+05,-17400000,21600000,21600000,21600000,73500000,662300000,7.4e+07,0.13793,0.07065,0.01106,0.00564,0.00218,12.54237,1.48954,1.58188,0.24521,0.07603,0.07535,6.87629,13.48067,0.95361,0.19974,5,0.00947,0.03276,2.62712,5.5551,10.83024
"24","2016_Q1",12.4683606557377,"Down",1267400000,-1148100000,119300000,-6e+07,-63600000,3600000.00000001,59300000,-56700000,-57100000,2600000,-88500000,-85900000,23200000,-62700000,-62700000,-62700000,-62700000,3.92e+08,3.92e+08,783400000,783400000,685200000,72800000,32900000,39900000,1933400000,3953400000,3402100000,2174100000,454600000,7355500000,9288900000,941200000,608200000,328100000,2.05e+08,1146200000,3643800000,2080100000,648900000,648900000,1095200000,3.36e+08,5723900000,6870100000,2401500000,509800000,-492500000,2418800000,2418800000,9288900000,-62700000,1.24e+08,17300000,23400000,1.02e+08,-49800000,-452900000,-3.3e+07,5.22e+08,0,0,4.89e+08,138100000,138100000,1.38e+08,183300000,3848800000,133700000,0.09413,0.04679,-0.04947,-0.02592,-0.00675,-2.13238,1.68679,2.84029,0.41434,-0.34622,-0.35205,6.99834,13.35616,0.73827,0.18222,3,-0.00356,0.01602,-0.526320000000002,18.8587,58.29342
"25","2016_Q2",17.5840625,"Up",1348200000,-1175400000,172800000,-77200000,-88100000,10900000,95600000,-4.8e+07,-48200000,47600000,-1.03e+08,-55400000,17500000,-37900000,-37900000,-37900000,-37900000,315600000,315600000,813200000,813200000,679500000,69100000,36300000,32800000,1877400000,3.859e+09,3380500000,2146100000,463800000,7239500000,9116900000,844500000,478100000,352300000,205100000,1049600000,3627900000,2066600000,635200000,635200000,1.091e+09,340400000,5694500000,6744100000,2404100000,438900000,-470200000,2372800000,2372800000,9116900000,-37900000,129700000,63600000,-108400000,4.7e+07,-7.6e+07,-73800000,-3.3e+07,-17100000,0,0,-50100000,-76900000,-76900000,-76400000,225300000,3.833e+09,23400000,0.12817,0.07091,-0.02811,-0.01597,-0.00416,-0.61741,1.78868,2.84225,0.42043,-0.22956,-0.22956,8.16596,14.3719,0.14173,0.19988,3,-0.00059,0.00283,-0.87071,15.61207,36.79289
"26","2016_Q3",17.70296875,"Up",1.364e+09,-1236900000,127100000,-79500000,-79300000,-2e+05,47600000,-46700000,-47100000,899999.999999993,-24500000,-23600000,22600000,-1e+06,-1e+06,-1e+06,-1e+06,66600000,66600000,790500000,790500000,636200000,69600000,45800000,23800000,1562900000,3793300000,3553100000,2186300000,588600000,7346400000,8909300000,838200000,536400000,293600000,80300000,918500000,3615500000,2044300000,616700000,616700000,1079300000,348300000,5659800000,6578300000,2405500000,404800000,-479300000,2.331e+09,2.331e+09,8909300000,-1e+06,132400000,-17300000,25100000,139200000,-6.1e+07,-213300000,-33100000,-141900000,2e+05,2e+05,-174800000,-248900000,-248900000,-2.49e+08,1.8e+08,3695800000,121500000,0.09318,0.0349,-0.000730000000000005,-0.00043,-0.00011,-121.5,1.70158,2.82209,0.41482,-0.00605,-0.00605,8.25666,14.11017,0.73547,0.20036,4,0.00398,0.01505,-33.1,20.16222,76.2437
"27","2016_Q4",19.7019047619048,"Up",1452700000,-1284400000,168300000,-82200000,-8.2e+07,-2e+05,86100000,-46500000,-4.7e+07,39600000,-18300000,21300000,-3800000,17500000,17500000,17500000,17500000,1.27e+08,1.27e+08,744100000,744100000,6.17e+08,65100000,4.9e+07,16100000,1553200000,3713900000,3525700000,2119400000,640300000,7239600000,8792800000,814500000,509700000,291500000,80300000,894800000,3597500000,1969800000,597700000,597700000,1036600000,335500000,5567300000,6462100000,2408100000,389300000,-466700000,2330700000,2330700000,8792800000,17500000,135300000,-6e+06,74100000,220900000,-6.2e+07,-110100000,-3.3e+07,-17900000,2e+05,2e+05,-50700000,60100000,60100000,60400000,221400000,3677800000,237300000,0.11585,0.05927,0.01205,0.00751,0.00199,13.56,1.73581,2.7726,0.41827,0.10593,0.10511,8.79358,14.10835,1.43644,0.19976,5,0.00633,0.02974,1.88571,16.03794,41.24042
