"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",40.8893548387097,"Down",1720500000,-1120900000,599600000,-415400000,-415400000,184200000,59900000,-8e+05,60700000,244100000,244100000,-88700000,155400000,155400000,155400000,155400000,222400000,222400000,1133200000,52900000,31100000,1408500000,932400000,298400000,173300000,105700000,1230800000,2639300000,454300000,4.2e+08,34300000,232400000,232400000,7.01e+08,2.5e+08,2.5e+08,149400000,5100000,144300000,399400000,1100400000,1538900000,2639300000,155400000,43600000,-51600000,-113800000,33600000,-96600000,-96600000,-34300000,-157300000,1500000,2e+05,-157100000,-157800000,-157800000,4e+05,-157400000,227800000,264300000,106100000,0.3485,0.10706,0.09032,0.10098,0.05888,0.68275,2.00927,0.71506,0.10014,0.6792,0.67565,7.51967,0.46372,6,0.07959,0.05434,0.18393,0.22747
"12","2013_Q1",42.0755,"Up",2245800000,-1.395e+09,850800000,-487300000,-487300000,363500000,-599999.999999985,-4e+05,-200000.000000015,362900000,362900000,-134300000,228600000,228600000,228600000,228600000,399900000,399900000,971700000,101900000,79400000,1473500000,960700000,317800000,173300000,116200000,1278500000,2.752e+09,426100000,346500000,79600000,235800000,235800000,676200000,2.57e+08,2.57e+08,151500000,5600000,145900000,408500000,1084700000,1667300000,2.752e+09,228600000,46900000,-7e+05,90100000,364900000,-75500000,-75500000,-87200000,-103700000,1200000,-3e+06,-1e+08,177700000,177700000,-2e+05,177500000,410400000,271300000,559300000,0.37884,0.16186,0.10179,0.13711,0.08307,2.44663,2.17909,0.65057,0.09858,1.0133,1.00528,9.95479,2.47917,9,0.10937,0.26759,-0.31335,-0.35378
"13","2013_Q2",48.7340625,"Up",1865800000,-1209800000,6.56e+08,-439400000,-439400000,216600000,-1e+06,-6e+05,-4e+05,215600000,215600000,-82100000,133500000,133500000,133500000,133500000,383300000,383300000,1009500000,9.7e+07,82500000,1489800000,1018200000,303800000,172900000,101500000,1.322e+09,2811800000,464600000,392600000,7.2e+07,184100000,184100000,6.63e+08,2.57e+08,2.57e+08,152100000,5200000,146900000,409100000,1072100000,1739700000,2811800000,133500000,45100000,23700000,-7.3e+07,129300000,-103200000,-103200000,-88200000,-66400000,2e+06,9e+06,-57400000,-16300000,-16300000,-3e+05,-16600000,261700000,271300000,167600000,0.35159,0.11609,0.07155,0.07674,0.04748,1.25543,2.24706,0.61626,0.09649,0.59545,0.59281,8.32203,0.74755,6,0.06172,0.07748,-0.42797,-0.51708
"14","2013_Q3",53.99109375,"Up",1854900000,-1206200000,648700000,-447500000,-447500000,201200000,-499999.999999996,-7e+05,199999.999999998,200700000,200700000,-7.6e+07,124700000,124700000,124700000,124700000,413700000,413700000,1018300000,101200000,84500000,1533200000,1066500000,308600000,171700000,101500000,1375100000,2908300000,437200000,418800000,18400000,221800000,221800000,671800000,2.57e+08,2.57e+08,153600000,5600000,1.48e+08,410600000,1082400000,1825900000,2908300000,124700000,46600000,-5e+05,2e+05,1.71e+08,-96400000,-96400000,-96700000,-42200000,1500000,6e+05,-43100000,31200000,31200000,-8e+05,30400000,247800000,269800000,227600000,0.34972,0.10847,0.06723,0.0683,0.04288,1.82518,2.28223,0.5928,0.09277,0.55819,0.55595,8.30304,1.0188,7,0.05544,0.10119,-0.58071,-0.71521
"15","2013_Q4",57.61390625,"Up",1884700000,-1224800000,659900000,-455600000,-455600000,204300000,-5400000,-5100000,-3e+05,198900000,198900000,-73500000,125400000,125400000,125400000,125400000,147100000,147100000,1237400000,103300000,83300000,1487800000,1101900000,293100000,171600000,98200000,1.395e+09,2882800000,526400000,526400000,0,227600000,227600000,766800000,1.007e+09,1.007e+09,1.5e+08,5300000,144700000,1.157e+09,1923800000,9.59e+08,2882800000,125400000,48600000,16300000,-123900000,66400000,-84500000,-84500000,-84500000,-998500000,1500000,0,-248500000,-266600000,-266600000,0,-266600000,252900000,1019800000,1.18e+08,0.35014,0.1084,0.06654,0.13076,0.0435,0.94099,1.94027,2.00605,0.35375,0.57895,0.57602,8.70129,0.54478,5,0.05891,0.05543,3.45077,4.27166
"16","2014_Q1",53.21,"Down",2234900000,-1409700000,825200000,-4.77e+08,-4.77e+08,348200000,-9100000,-9e+06,-99999.9999999999,339100000,339100000,-1.26e+08,213100000,213100000,213100000,213100000,267700000,267700000,1035300000,75500000,56600000,1378500000,1.094e+09,299400000,169300000,1.06e+08,1393400000,2771900000,441200000,393900000,47300000,232300000,232300000,686300000,7.57e+08,7.57e+08,157900000,5500000,152400000,914900000,1601200000,1170700000,2771900000,213100000,50200000,8800000,155300000,427400000,-4.6e+07,-4.6e+07,-55600000,1e+06,1e+06,2e+05,-248800000,1.23e+08,1.23e+08,-2400000,120600000,398400000,769800000,633700000,0.36923,0.1558,0.09535,0.18203,0.07688,2.97372,2.0086,1.36773,0.27772,1.02354,1.01864,10.73439,3.04371,4,0.10155,0.30199,1.26029,1.44199
"17","2014_Q2",52.5736507936508,"Down",2000300000,-1303700000,696600000,-464700000,-464700000,231900000,-8100000,-8100000,0,223800000,223800000,-85500000,138300000,138300000,138300000,138300000,387100000,387100000,1042900000,1.07e+08,92800000,1.537e+09,1115500000,301400000,169600000,101500000,1416900000,2953900000,528100000,4.47e+08,81100000,196400000,196400000,724500000,752900000,752900000,158700000,5500000,153200000,911600000,1636100000,1317800000,2953900000,138300000,50700000,16400000,-7200000,198200000,-71600000,-71900000,-71600000,1900000,1900000,3400000,-7500000,119100000,119100000,3e+05,119400000,282600000,752900000,289300000,0.34825,0.11593,0.06914,0.10495,0.04682,2.09183,2.12146,1.24154,0.25488,0.66876,0.66586,9.67263,1.39894,4,0.06203,0.12977,1.29441,1.5774
"18","2014_Q3",55.1265625,"Up",2031100000,-1.337e+09,694100000,-489100000,-489100000,2.05e+08,-8500000,-8500000,2.91038304567337e-11,196500000,196500000,-75100000,121400000,121400000,121400000,121400000,467700000,467700000,1.084e+09,111500000,94400000,1663200000,1153400000,313300000,169800000,97500000,1466700000,3129900000,526900000,524200000,2700000.00000001,256100000,256100000,7.83e+08,740200000,740200000,158600000,-9.31322574615479e-10,158600000,898800000,1681800000,1448100000,3129900000,121400000,49900000,-6900000,2700000.00000003,167100000,-88300000,-88300000,-88300000,1400000.00000003,1400000,2e+05,1600000.00000003,80400000,80400000,2e+05,80600000,254900000,740200000,244400000,0.34174,0.10093,0.05977,0.08383,0.03879,2.01318,2.12414,1.16138,0.23649,0.58989,0.58761,9.86929,1.18756,4,0.05173,0.10414,1.06905,1.32927
"19","2014_Q4",63.0403125,"Up",2095200000,-1.37e+09,725200000,-505500000,-505500000,219700000,-10400000,-9200000,-1200000,209300000,209300000,-76300000,1.33e+08,1.33e+08,1.33e+08,1.33e+08,407600000,407600000,1304900000,83600000,61500000,1796100000,1193400000,378200000,168700000,154800000,1571600000,3367700000,559300000,5.45e+08,14300000,307200000,307200000,866500000,7.57e+08,7.57e+08,159100000,0,159100000,916100000,1782600000,1585100000,3367700000,1.33e+08,50900000,-7900000,-152800000,23200000,-92800000,-94200000,-83900000,1100000,1100000,0,1100000,-59600000,-59600000,-5e+05,-60100000,270600000,7.57e+08,101300000,0.34612,0.10486,0.06348,0.08391,0.03949,0.76165,2.07282,1.1246,0.22478,0.64689,0.64376,10.19066,0.4927,5,0.05317,0.0405,1.2912,1.59035
"20","2015_Q1",75.9127868852459,"Up",2475600000,-1557500000,918100000,-534500000,-534500000,383600000,-5.9e+07,-54300000,-4700000,324600000,324600000,-118100000,206500000,206500000,206500000,206500000,864100000,864100000,1035700000,94799999.9999998,66500000,1994600000,1210500000,287600000,164600000,90900000,1498100000,3492700000,476300000,433600000,42700000,385300000,385300000,861600000,682700000,682700000,163400000,6500000,156900000,846100000,1707700000,1.785e+09,3492700000,206500000,54400000,22900000,270500000,554300000,-72900000,-71200000,-71199999.9999995,1100000,1100000,-26900000,-25800000.0000005,457300000,457300000,-8e+05,456500000,4.38e+08,682700000,753700000,0.37086,0.15495,0.08341,0.11569,0.05912,3.64988,2.315,0.95669,0.19546,1.0034,0.9971,12.02915,3.66229,7,0.07848,0.28646,-0.414159999999998,-0.472889999999999
"21","2015_Q2",79.0665079365079,"Up",2176700000,-1427800000,748900000,-516100000,-516100000,232800000,-119600000,-122200000,2600000,113200000,113200000,-43700000,69500000,69500000,69500000,69500000,870400000,870400000,1093500000,7371700000,7351900000,9335600000,1.226e+09,307600000,166100000,101600000,1533600000,10869200000,540900000,515600000,25300000,474300000,474300000,1015200000,7819700000,7819700000,163500000,6100000,157400000,7983200000,8998400000,1870800000,10869200000,69500000,52800000,2.6e+07,2100000,150400000,-66900000,-66900000,-7.311e+09,2600000,2600000,-16200000,7166600000,6e+06,6e+06,3e+05,6300000,285600000,7819700000,264500000,0.34405,0.10695,0.03193,0.03715,0.00639,3.80576,9.19582,4.80992,0.71944,0.33705,0.33559,10.55626,1.28274,5,0.00705,0.02684,24.33228,29.85095
"22","2015_Q3",75.08515625,"Down",3011100000,-2155900000,855200000,-731700000,-731700000,123500000,-265700000,-2.64e+08,-1700000,-142200000,-142200000,44200000,-9.8e+07,-9.8e+07,-9.8e+07,-9.8e+07,1306500000,1302500000,2825100000,393100000,307600000.000001,4524700000,3151900000,8888500000,4982800000,178600000,12040400000,16565100000,1152500000,1152500000,3.72529029846191e-09,837800000,837800000,2073300000,8427900000,8265500000,2016900000,1689500000,327400000,10444800000,12518100000,4.047e+09,16565100000,-9.8e+07,84800000,18600000,-180200000,-174800000,-100400000,-100100000,606100000.000001,1300000,1300000,-8.4e+07,1899999.99999905,433200000,433200000,-1100000,432100000,208300000,8510900000,-116500000,0.28402,0.04101,-0.03255,-0.02422,-0.00592000000000001,1.18878,2.18237,3.09318,0.51379,-0.4573,-0.4573,14.05086,-0.54363,1,-0.00671999999999999,-0.00799,34.58665,58.33522
"23","2015_Q4",69.9321875,"Down",4945300000,-3545300000,1.4e+09,-1176400000,-1176400000,223600000,-98900000,-98400000,-5e+05,124700000,124700000,-42800000,81900000,81900000,81900000,81900000,1110900000,1106900000,3185300000,331800000,235200000,4.628e+09,3.141e+09,8.93e+09,5024100000,185600000,1.2071e+10,1.6699e+10,1280400000,1259300000,21100000,785300000,785300000,2161200000,8403500000,8.248e+09,1992100000,1668600000,323500000,10395600000,12556800000,4142200000,1.6699e+10,81900000,174900000,-5.5e+07,-206400000,-4600000,-169600000,-169500000,-171700000,2300000,2300000,-1100000,-19600000,-195900000,-195900000,3e+05,-195600000,398500000,8.499e+09,65300000,0.2831,0.04521,0.01656,0.01977,0.0049,0.79731,2.1414,3.03143,0.50895,0.34896,0.34748,21.07073,0.27823,2,0.0056,0.00446,18.53977,33.04159
"24","2016_Q1",78.865737704918,"Up",5365300000,-3712700000,1652600000,-1182800000,-1182800000,469800000,-117300000,-114800000,-2500000,352500000,352500000,-123500000,2.29e+08,2.29e+08,2.29e+08,2.29e+08,740100000,736100000,2885500000,310300000,310300000,3935900000,3125500000,8839800000,5021700000,142900000,11965300000,15901200000,1264800000,1251900000,12900000,722600000,722600000,2095400000,7387700000,7238400000,2011200000,1.658e+09,353200000,9398900000,11494300000,4406900000,15901200000,2.29e+08,175100000,161600000,265800000,831500000,-143600000,-1.44e+08,-101800000,7700000,7700000,-67300000,-1100100000,-370400000,-370400000,-4e+05,-370800000,644900000,7495700000,890600000,0.30802,0.08756,0.04268,0.05196,0.0144,3.88908,1.87835,2.60825,0.47139,0.9753,0.96665,22.85051,3.79302,3,0.01646,0.06401,10.47542,14.37974
"25","2016_Q2",84.5878125,"Up",5085800000,-3531200000,1554600000,-1135900000,-1135900000,418700000,-87100000,-87300000,2e+05,331600000,331600000,-98900000,232700000,232700000,232700000,232700000,933700000,929700000,2929500000,308900000,308900000,4172100000,3153200000,8735600000,5024900000,61200000,11888800000,16060900000,1306500000,1260300000,46200000,622100000,622100000,2049100000,7352700000,7209800000,1989500000,1637300000,352200000,9342200000,11391300000,4669600000,16060900000,232700000,162300000,1.2e+07,-9.6e+07,3.11e+08,-174800000,-175900000,-92800000,14400000,14400000,-18400000,-24800000,193400000,193400000,2e+05,193600000,5.81e+08,7473200000,409100000,0.30567,0.08233,0.04575,0.04983,0.01449,1.75806,2.03606,2.43946,0.4653,0.98895,0.98435,21.61411,1.73863,6,0.01647,0.02895,11.25559,15.61858
"26","2016_Q3",89.97875,"Up",4996300000,-3.484e+09,1512300000,-1155100000,-1155100000,357200000,-87300000,-87300000,0,269900000,269900000,-99800000,170100000,170100000,170100000,170100000,1097200000,1093200000,2975100000,377100000,377100000,4449400000,3174200000,8705800000,5023800000,57800000,1.188e+10,16329400000,1351500000,1351500000,0,6.83e+08,6.83e+08,2.18e+09,7292300000,7155700000,2000200000,1629600000,370600000,9292500000,11472500000,4856900000,16329400000,170100000,161900000,9500000,27800000,369300000,-179600000,-1.8e+08,-179600000,8300000,8300000,-2200000,-27100000,162600000,162600000,9e+05,163500000,519100000,7437800000,467100000,0.30268,0.07149,0.03405,0.03502,0.01042,2.74603,2.04101,2.3621,0.45549,0.72199,0.71863,21.20671,1.9826,6,0.0119,0.03268,12.2146,17.75084
"27","2016_Q4",80.4725396825397,"Down",5001600000,-3481100000,1520500000,-1178100000,-1178100000,342400000,-112200000,-112100000,-1e+05,230200000,230200000,-58600000,171600000,171600000,171600000,171600000,737800000,733800000,3273900000,330700000,330700000,4342400000,3176300000,8676300000,5022900000,54400000,11852600000,1.6195e+10,1266400000,1266400000,0,7.22e+08,7.22e+08,2134200000,7068200000,6.938e+09,1944900000,1567800000,377100000,9013100000,11147300000,5047700000,1.6195e+10,171600000,157600000,-14500000,-339700000,-2.5e+07,-95900000,-95600000,-95900000,10600000,10600000,-6700000,-238100000,-3.59e+08,-3.59e+08,-4e+05,-359400000,5e+08,7.214e+09,1.23e+08,0.304,0.06846,0.03431,0.034,0.0106,0.71678,2.03467,2.20839,0.44545,0.72774,0.72436,21.2112,0.52163,4,0.01208,0.00866,12.9524,18.91414
"28","2017_Q1",76.8612903225806,"Down",5635500000,-3828200000,1807300000,-1220800000,-1220800000,586500000,-88800000,-88800000,0,497700000,497700000,-175900000,321800000,321800000,321800000,321800000,870400000,866400000,2865800000,201800000,201800000,3.938e+09,3115800000,8647800000,5023500000,50600000,11763600000,15701600000,1209600000,1119600000,9e+07,744200000,744200000,2105900000,6293700000,6169700000,1912500000,1530100000,382400000,8206200000,10312100000,5389500000,15701600000,321800000,155700000,-4900000,545400000,1.018e+09,-114400000,-113200000,-115300000,8200000,8200000,-1e+06,-770500000,132200000,132200000,4e+05,132600000,742200000,6445800000,1349100000,0.3207,0.10407,0.0571,0.05971,0.02049,4.19236,1.86998,1.91337,0.41052,1.36298,1.35666,23.86912,5.7141,6,0.02341,0.09813,7.51199,9.50622
"29","2017_Q2",77.1895238095238,"Up",5287100000,-3.66e+09,1627100000,-1187400000,-1187400000,439700000,-7.5e+07,-74700000,-3e+05,364700000,313800000,-113300000,200500000,200500000,200500000,200500000,1158900000,1154900000,2878400000,240800000,240800000,4278100000,3093900000,8622700000,5022400000,51900000,11716600000,15994700000,1445200000,1223900000,221300000,629500000,629500000,2240600000,6249300000,6131700000,1895800000,1505400000,390400000,8145100000,10385700000,5.609e+09,15994700000,200500000,153900000,64400000,11900000,430700000,-108100000,-110300000,-108100000,11800000,11800000,-17600000,-33600000,2.89e+08,2.89e+08,-5e+05,288500000,593600000,6415200000,610700000,0.30775,0.08316,0.03792,0.03575,0.01254,3.04589,1.90935,1.85161,0.40108,0.8485,0.84492,22.37452,2.58443,5,0.0144,0.04387,8.85495,11.95429
"30","2017_Q3",76.2965079365079,"Down",5281200000,-3653400000,1627800000,-1205700000,-1205700000,422100000,-75900000,-75800000,-1e+05,346200000,343600000,-109800000,233800000,233800000,233800000,233800000,697300000,693300000,2928500000,189400000,189400000,3815200000,3115400000,8601700000,5025200000,51200000,11717100000,15532300000,1196300000,1196300000,-2.98023223876953e-08,722500000,722500000,2084700000,5706500000,5.595e+09,1880900000,1491400000,389500000,7587400000,9672100000,5860200000,15532300000,233800000,151300000,39900000,-180500000,244500000,-161500000,-161400000,-161500000,3100000,3100000,-7100000,-545500000,-462500000,-462500000,9e+05,-461600000,573400000,5872400000,341200000,0.30823,0.07993,0.04427,0.0399,0.01505,1.45937,1.8301,1.65047,0.37808,0.98775,0.98484,22.31179,1.44149,7,0.01717,0.02506,9.02529,12.26036
