"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",20.3203225806452,"Up",1016707000,-607002000,409705000,-318155000,-214701000,-16715000,91550000,-6290000,-7964000,1674000,85260000,-2008000,83252000,-29204000,54048000,54048000,54048000,54048000,69214000,69214000,301891000,301891000,826354000,98890000,26518000,1296349000,453272000,1752954000,1597936000,108697000,46321000,2206226000,3502575000,359773000,219098000,133512000,52103000,52643000,52643000,464519000,929743000,219672000,89486000,130186000,1149415000,1613934000,941486000,2970000,938516000,947831000,-676000.000000002,1888641000,1888641000,3502575000,54048000,18128000,2738000,-13854000,61060000,-18801000,-12808000,-31609000,-105205000,4075000,80949000,-20181000,9270000,9270000,591000,9861000,109678000,981846000,106227000,0.40297,0.09005,0.05316,0.02862,0.01543,1.96542,2.79073,0.85455,0.28032,0.18232,0.17946,3.42965,6.37094,0.35834,0.01749,0.03438,8.32101,9.96867
"12","2013_Q1",21.6643333333333,"Up",1067915000,-622794000,445121000,-340584000,-229574000,-17132000,104537000,-7869000,-8742000,873000,96668000,-49000.0000000005,96619000,-34431000,62188000,62188000,62188000,62188000,59770000,59770000,311808000,311808000,900803000,111970000,28948000,1384351000,494379000,1844726000,1690284000,106715000,47727000,2339105000,3723456000,356905000,219335000,134822000,71716000,59323000,59323000,487944000,1046762000,224656000,102275000,122381000,1271418000,1759362000,953316000,2978000,950338000,1010019000,759000,1964094000,1964094000,3723456000,62188000,18591000,3768000,-60429000,24118000,-28311000,-132213000,-159467000,112270000,3506000,10016000,125792000,-9557000,-9557000,113000,-9444000,123128000,1118478000,68819000,0.41681,0.09789,0.05823,0.03166,0.0167,1.10663,2.83711,0.89576,0.30039,0.20923,0.20585,3.59294,6.60808,0.23154,0.0188,0.02081,8.59843,10.12759
"13","2013_Q2",23.29296875,"Up",1195997000,-694048000,501949000,-358856000,-240913000,-17697000,143093000,-8997000,-8595000,-402000,134096000,-2328000,131768000,-47176000,84592000,84592000,84592000,84592000,62997000,62997000,357580000,357580000,883443000,95542000,40239000,1399562000,492479000,1830658000,1674844000,101629000,54185000,2323137000,3722699000,364684000,202084000,148168000,79531000,60524000,60524000,504739000,987979000,188752000,101902000,86850000,1176731000,1681470000,964107000,2985000,961122000,1094611000,-17489000,2041229000,2041229000,3722699000,84592000,19040000,3663000,-862000,106433000,-21029000,-13264000,-34293000,-75255000,2840000,4502000,-67913000,4227000,4227000,-1e+06,3227000,162133000,1067510000,187418000,0.41969,0.11964,0.07073,0.04144,0.02272,2.21555,2.77284,0.82375,0.28676,0.28365,0.27924,4.01037,6.84457,0.62844,0.02565,0.05684,6.19561,7.02
"14","2013_Q3",28.18703125,"Up",1251748000,-741875000,509873000,-374815000,-252595000,-19335000,135058000,-11915000,-12492000,577000,123143000,-6705000,116438000,-40716000,75722000,75722000,75722000,75722000,161590000,161590000,413215000,413215000,972926000,110759000,45546000,1658490000,515353000,2044472000,1826128000,148771000,69573000,2559825000,4218315000,437176000,263565000,163855000,64962000,56972000,56972000,559110000,1311519000,210033000,118044000,91989000,1521552000,2080662000,985384000,2998000,982386000,1170333000,-18064000,2137653000,2137653000,4218315000,75722000,20671000,2123000,4541000,103057000,-17871000,-295315000,-313186000,309922000,7764000,-8621000,309065000,98936000,98936000,-343000,98593000,155729000,1376481000,183115000,0.40733,0.1079,0.06049,0.03542,0.01795,2.41825,2.9663,0.97334,0.32631,0.25312,0.24937,4.18429,7.14566,0.61211,0.02033,0.04917,7.80132,8.99533
"15","2013_Q4",31.860625,"Up",1298094000,-780187000,517907000,-392306000,-263139000,-20818000,125601000,-13638000,-15200000,1562000,111963000,-2918000,109045000,-35600000,73445000,73445000,73445000,73445000,107337000,107337000,438800000,438800000,1018169000,111345000,44391000,1675651000,531897000,2153511000,1920916000,154429000,78166000,2685408000,4361059000,514380000,284900000,213007000,61123000,67010000,67010000,642513000,1250932000,213508000,118693000,94815000,1464440000,2106953000,999253000,3005000,996248000,1243778000,11075000,2254106000,2254106000,4361059000,73445000,22157000,1932000,33905000,131439000,-20767000,-96531000,-117298000,-119581000,3043000,44705000,-71833000,-57692000,-57692000,3439000,-54253000,147758000,1312055000,196496000,0.39897,0.09676,0.05658,0.03258,0.01684,2.67542,2.60796,0.93472,0.30086,0.24461,0.24105,4.32325,7.50721,0.65442,0.01943,0.05199,8.15332,9.59163
"16","2014_Q1",27.3050819672131,"Down",1316689000,-771016000,545673000,-409072000,-272352000,-23119000,136601000,-14504000,-14897000,393000,122097000,-3521000,118576000,-40712000,77864000,77864000,77864000,77864000,150488000,150488000,458094000,458094000,1076952000,114283000,50345000,1799817000,546651000,2172306000,1937444000,153739000,81123000,2718957000,4518774000,547838000,349069000,198769000,41535000,88580000,88580000,677953000,1264246000,225830000,133822000,92008000,1490076000,2168029000,1009092000,3008000,1006084000,1321642000,20011000,2350745000,2350745000,4518774000,77864000,24595000,9879000,-25211000,87127000,-30519000,-3274000.00000003,-40829000,-7445000.00000006,1745000,2321999.99999999,-3378000,42920000,42920000,231000,43151000,161196000,1305781000,146178000,0.41443,0.10375,0.05914,0.03312,0.01723,1.87735,2.65478,0.92227,0.28897,0.25898,0.25509,4.37937,7.81869,0.4862,0.02006,0.03765,7.16701,8.45743
"17","2014_Q2",26.9719047619048,"Down",1625777000,-973893000,651884000,-474729000,-321859000,-26711000,177155000,-16022000,-16118000,96000,161133000,-2423000,158710000,-54021000,104653000,104653000,104653000,104653000,113246000,113246000,577212000,577212000,1255804000,147219000,73397000,2093481000,593867000,2522480000,2197255000,229352000,95873000,3116347000,5209828000,655861000,384102000,243837000,35106000,84948000,84948000,775915000,1695627000,267259000,161998000,105261000,1962886000,2738801000,1024528000,3018000,1021510000,1426295000,20204000,2471027000,2471027000,5209828000,104653000,27846000,-22000,-35468000,97009000,-33716000,-486736000,-521287000,310415000,2377000,73421000,386213000,-38065000,-38065000,823000,-37242000,205001000,1730733000,189838000,0.40097,0.10897,0.06437,0.04235,0.02009,1.81398,2.69808,1.10837,0.33221,0.34722,0.34255,5.39398,8.19833,0.62984,0.02342,0.04248,7.89014,9.13035
"18","2014_Q3",26.2578125,"Down",1709132000,-1038073000,671059000,-491562000,-333129000,-29927000,179497000,-14721000,-15628000,907000,164776000,-5111000,159665000,-54341000,104882000,104882000,104882000,104882000,109564000,109564000,624300000,624300000,1346723000,160139000,86047000,2240726000,621600000,2636519000,2308943000,230429000,97147000,3258119000,5498845000,641291000,392659000,248632000,71487000,37430000,37430000,750208000,1879837000,266284000,160452000,105832000,2146121000,2896329000,1034829000,3022000,1031807000,1531177000,36510000,2602516000,2602516000,5498845000,104882000,31047000,3703000,-84437000,55195000,-33615000,-148596000,-181035000,125776000,1830000,-7347999.99999999,120258000,-5582000,-5582000,1900000,-3682000,210544000,1951324000,146833000,0.39263,0.10502,0.06137,0.0403,0.01907,1.39998,2.98681,1.1129,0.35486,0.34726,0.34293,5.65882,8.61675,0.48615,0.02176,0.03046,8.74763,10.26067
"19","2014_Q4",27.25140625,"Up",1721024000,-1056613000,664411000,-504629000,-340801000,-30498000,159782000,-16376000,-16394000,18000,143406000,-3606000,139800000,-47564000,91515000,91515000,91515000,91515000,244646000,244646000,609434000,609434000,1341325000,150133000,76136000,2345538000,612292000,2576748000,2257153000,221049000,98546000,3189040000,5534578000,664605000,403587000,261018000,72908000,33875000,33875000,771388000,1825133000,270363000,159270000,111093000,2095496000,2866884000,1047034000,3030000,1044004000,1622692000,-2032000,2667694000,2667694000,5534578000,91515000,31754000,2271000,44898000,170438000,-32860000,-15282000,-47549000,-6875000,2313000,21501000,16939000,139828000,139828000,-4746000,135082000,191536000,1898041000,251138000,0.38606,0.09284,0.05317,0.0343,0.01654,2.74423,3.04067,1.07467,0.34294,0.30231,0.29887,5.68513,8.8123,0.82959,0.01892,0.05193,8.63229,10.34782
"20","2015_Q1",25.2831147540984,"Down",1684131000,-1019572000,664559000,-516319000,-344440000,-33583000,148240000,-14537000,-16402000,1865000,133703000,-3990000,129713000,-48338000,80469000,80469000,80469000,80469000,114605000,114605000,601422000,601422000,1433847000,85799000,85799000,2235673000,629987000,2610079000,2288895000,245525000,75659000,3240066000,5475739000,613997000,400202000,213795000,61938000,68569000,68569000,744504000,1784210000,226368000,106938000,119430000,2010578000,2755082000,1057721000,3035000,1054686000,1703161000,-40225000,2720657000,2720657000,5475739000,80469000,34790000,28904000,-78094000,66069000,-40759000,-125307000,-171123000,-28008000,2804000,2983000.00000001,-22221000,-127275000,-127275000,-2766000,-130041000,183030000,1846148000,112515000,0.3946,0.08802,0.04778,0.02958,0.0147,1.39824,3.0029,1.01265,0.33715,0.26539,0.26244,5.5543,8.97279,0.37108,0.01679,0.02347,9.46043,11.68067
"21","2015_Q2",27.1273015873016,"Up",1773912000,-1074433000,699479000,-507065000,-344955000,-29453000,192414000,-16674000,-14906000,-1768000,175740000,-6639000,169101000,-60098000,107095000,107095000,107095000,107095000,175492000,175492000,645037000,645037000,1358056000,158594000,80254000,2337179000,621571000,2563716000,2235043000,231852000,96821000,3185287000,5522466000,687506000,397623000,252820000,62303000,22505000,22505000,772314000,1672332000,297913000,177373000,120540000,1970245000,2742559000,1064275000,3042000,1061233000,1810256000,-94624000,2779907000,2779907000,5522466000,107095000,30669000,3643000,38738000,180145000,-26096000,-864000,-34276000,-83788000,1318000,2058000,-80412000,65457000,65457000,-4570000,60887000,223083000,1734635000,295823000,0.39431,0.10847,0.06037,0.03852,0.01939,2.76225,3.0262,0.98657,0.31411,0.35228,0.34889,5.83518,9.14434,0.97309,0.02225,0.06147,6.98907,8.10306
"22","2015_Q3",29.7353125,"Up",1838070000,-1114126000,723944000,-521996000,-355835000,-29782000,201948000,-14870000,-14622000,-248000,187078000,-1512000,185566000,-64682000,119722000,119722000,119722000,119722000,143423000,143423000,651271000,651271000,1402399000,175528000,97560000,2372621000,650053000,2611868000,2286518000,228580000,96770000,3261921000,5634542000,645701000,392951000,252750000,39378000,41286000,41286000,726365000,1652064000,302020000,178523000,123497000,1954084000,2680449000,1073332000,3044000,1070288000,1929978000,-49217000,2954093000,2954093000,5634542000,119722000,31045000,6614000,-54827000,102554000,-40667000,-36344000,-74904000,-68015000,1970000,1536000,-64509000,-36858999.9999999,-36858999.9999999,4790000,-32069000,232993000,1691442000,202181000,0.39386,0.10987,0.06513,0.04053,0.02125,1.68875,3.26643,0.90737,0.30019,0.39345,0.38966,6.0406,9.70828,0.66444,0.0242,0.04086,6.64406,7.66543
"23","2015_Q4",28.3434375,"Down",1831732000,-1118953000,712779000,-541456000,-366655000,-30883000,171323000,-11794000,-14722000,2928000,159529000,-4578000,154951000,-52475000,101346000,101346000,101346000,101346000,137086000,137086000,626780000,626780000,1464627000,158650000,81249000,2387143000,652780000,2664109000,2348092000,219632000,96385000,3316889000,5704032000,696427000,416341000,280086000,37174000,64097000,64097000,797698000,1570056000,299565000,175310000,124255000,1869621000,2667319000,1087477000,3054000,1084423000,2031324000,-82088000,3036713000,3036713000,5704032000,101346000,32974000,12614000,75362000,222296000,-32810000,-120149000,-144576000,-78783000,4246000,-7159000,-81696000,-3976000,-3976000,-2361000,-6337000,204297000,1607230000,299324000,0.38913,0.09353,0.05533,0.03337,0.01777,2.95349,2.99254,0.87836,0.28177,0.33222,0.32934,6.00452,9.95451,0.9812,0.0205,0.06055,7.19611,8.58112
"24","2016_Q1",27.2213114754098,"Down",1748919000,-1051592000,697327000,-538874000,-363785000,-32002000,158453000,-12259000,-13610000,1351000,146194000,-6782000,139412000,-42448000,95060000,95060000,95060000,95060000,87397000,87397000,590160000,590160000,1556552000,106603000,106603000,2340712000,696567000,2607803000,2319246000,215117000,73440000,3307125000,5647837000,626581000,415588000,210993000,56034000,69355000,69355000,751970000,1528668000,252517000,127239000,125278000,1781185000,2533155000,1093768000,3055000,1090713000,2126384000,-105470000,3114682000,3114682000,5647837000,95060000,33504000,28201000,-117478000,39287000,-70917000,-3160000,-76237000,-12299000,634000,-255000.000000004,-11920000,-48870000,-48870000,-819000,-49689000,191957000,1584702000,46010000.0000001,0.39872,0.0906,0.05435,0.03052,0.01683,0.48401,3.11277,0.81329,0.28059,0.31112,0.30859,5.72403,10.19402,0.15059,0.0192,0.00929,7.80021,9.44952
"25","2016_Q2",31.7090625,"Up",1921476000,-1161039000,760437000,-559954000,-370661000,-31688000,200483000,-11703000,-14592000,2889000,188780000,-23119000,165661000,-53128000,112171000,112171000,112171000,112171000,229220000,229220000,882582000,882582000,1782797000,99288000,99288000,2993887000,758641000,3604329000,3075293000,447730000,81306000,4362970000,7356857000,909573000,597826000,311747000,75365000,64472000,64472000,1049410000,2743197000,329841000,179404000,150437000,3073038000,4122448000,1105044000,3065000,1101979000,2234116000,-104751000,3234409000,3234409000,7356857000,112171000,33166000,15380000,-25873000,134844000,-50393000,-593431000,-625024000,541152000,3202000,88812000,633166000,142986000,142986000,-1163000,141823000,233649000,2818562000,210511000,0.39576,0.10434,0.05838,0.03468,0.01525,1.8767,2.85292,1.27456,0.38312,0.36638,0.36279,6.27611,10.56454,0.68759,0.01757,0.03298,11.08219,12.91552
"26","2016_Q3",33.8459375,"Up",2304806000,-1398990000,905816000,-664291000,-434412000,-52501000,241525000,-24187000,-24649000,462000,217338000,-9080000,208258000,-70262000,137810000,142785000,142785000,142785000,273203000,273203000,995153000,995153000,1890536000,139536000,139536000,3298428000,1055046000,3832470000,3059488000,630360000,142622000,4887516000,8185944000,1066756000,735138000,331618000,60832000,40794000,40794000,1168382000,3274629000,435294000,225338000,209956000,3709923000,4878305000,1114288000,3067000,1111221000,2374853000,-181502000,3307639000,3307639000,8185944000,142785000,57716000,11546000,15024000,227071000,-51926000,-665106000,-716481000,-16823999.9999999,1687000,553251000,538114000,48704000,48704000,-4721000,43983000,299241000,3335461000,332601000,0.39301,0.10479,0.06195,0.04317,0.01744,2.32938,2.82307,1.47486,0.40746,0.46553,0.46093,7.51441,10.78397,1.08439,0.02017,0.04699,10.23342,12.67884
"27","2016_Q4",31.8393650793651,"Down",2207343000,-1351899000,855444000,-665120000,-430897000,-52979000,190324000,-23751000,-24761000,1010000,166573000,-6923000,159650000,-49835000,109844000,122688000,122688000,122688000,271851000,271851000,959321000,959321000,1912568000,151801000,151801000,3295541000,1023707000,3884704000,3117150000,619246000,148308000,4908411000,8203952000,1027565000,682719000,344846000,74829000,46814000,46814000,1149208000,3189345000,438122000,226682000,211440000,3627467000,4776675000,1113915000,3074000,1110841000,2504028000,-190666000,3427277000,3427277000,8203952000,122688000,59488000,5155000,-25095000,162236000,-50427000,-32286000,-83185000,-86457000,2636000,1023000,-82798000,-3747000,-3747000,2395000,-1352000,249812000,3264174000,224125000,0.38754,0.08622,0.05558,0.0358,0.01495,1.82679,2.86766,1.39372,0.39788,0.39939,0.39572,7.1856,11.15686,0.7296,0.01721,0.03144,11.9783,15.72226
