"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",27.333064516129,"Up",723473000,-560921000,162552000,-70480000,-51529000,-18951000,92072000,-30590000,-30590000,61482000,61482000,-21691000,39791000,39791000,39791000,39791000,140906000,140906000,379675000,379675000,260772000,143480000,27023000,924833000,1376457000,153860000,71555000,47547000,1530317000,2455150000,291308000,147308000,24578000,119422000,15948999.9999999,307257000,909572000,298225000,135361000,28815000,1207797000,1515054000,371886000,670178000,-101968000,940096000,940096000,2455150000,39791000,42912000,41508000,-20813000,103398000,-25074000,425000,-24649000,-24480000,-425273000,71000,-452964000,-374215000,-374215000,-374215000,134984000,925521000,110788000,0.22468,0.12726,0.055,0.04233,0.01621,2.78425,3.00997,1.61159,0.37697,0.41294,0.40867,7.50802,9.75608,1.14973,0.25405,0.0297,0.0512,0.61521,5.81265,8.52175
"12","2013_Q1",31.105,"Up",736602000,-567581000,169021000,-76461000,-124461000,4.8e+07,92560000,-9371000,-9371000,83189000,83189000,-25778000,57411000,57411000,57411000,57411000,207393000,207393000,352142000,352142000,268767000,108731000,20915000,937033000,1366069000,150666000,67160000,45223000,1516735000,2453768000,243882000,117510000,0,126372000,15964000,259846000,905585000,318876000,125109000,29229000,1224461000,1484307000,379775000,703728000,-114042000,969461000,969461000,2453768000,57411000,47406000,17302000,31284000,153403000,-34104000,157000,-33954000,-49024000,-4042000,21000,-52942000,66507000,66507000,66507000,139966000,921549000,162924000,0.22946,0.12566,0.07794,0.05922,0.0234,2.83785,3.60611,1.53106,0.37556,0.5957,0.58919,7.643,10.05915,1.6905,0.50867,0.04816,0.07373,0.85391,5.10235,7.7156
"13","2013_Q2",36.460625,"Up",755207000,-569961000,185246000,-79246000,-75285000,-3961000,1.06e+08,-9251000,-9251000,96749000,96749000,-34455000,62294000,62294000,62294000,62294000,268037000,268037000,391683000,391683000,270181000,81735000,24279000,1011636000,1353202000,151100000,67160000,46504000,1504302000,2515938000,270400000,142856000,30669000,96875000,15980000,286380000,901594000,326145000,123782000,31200000,1227739000,1514119000,383376000,729727000,-111284000,1001819000,1001819000,2515938000,62294000,44296000,21645000,-31705000,96530000,-27276000,-1684000,-28960000,0,-3985000,-1308000,-6926000,60644000,60644000,60644000,150296000,917574000,125770000,0.24529,0.14036,0.08249,0.06218,0.02476,2.01897,3.5325,1.51137,0.3647,0.6461,0.63946,7.83288,10.3907,1.30447,0,0.02774,0.05601,0,4.32172,6.12771
"14","2013_Q3",41.85328125,"Up",800230000,-604980000,195250000,-85053000,-74225000,-10828000,110197000,-9232000,-9232000,100965000,100965000,-34713000,66252000,66252000,66252000,66252000,370057000,370057000,403367000,403367000,263008000,65901000,37704000,1102333000,1363681000,148807000,67160000,45058000,1512488000,2614821000,328153000,164910000,39226000,124017000,15997000,344150000,897599000,321786000,127866000,29951000,1219385000,1563535000,393161000,753439000,-95314000,1051286000,1051286000,2614821000,66252000,44683000,84247000,-3231000,191951000,-53615000,-278000.000000001,-53893000,-30658000,-3988999.99999997,0,-36038000,102020000,102020000,102020000,154880000,913596000,132747000,0.24399,0.13771,0.08279,0.06302,0.02534,2.00367,3.20306,1.48726,0.34939,0.68703,0.67947,8.2983,10.90172,1.37657,0.31792,0.04238,0.05805,0.46275,3.50942,4.93243
"15","2013_Q4",47.2559375,"Up",845440000,-617841000,227599000,-84817000,-77096000,-7721000,142782000,-11850000,-11850000,130932000,130932000,-46250000,84682000,84682000,84682000,84682000,396595000,396595000,409725000,409725000,266892000,62716000,31478000,1135928000,1369053000,152128000,67160000,49226000,1521181000,2657109000,337889000,163928000,39261000,134700000,16013000,353902000,893600000,310479000,144332000,33661000,1204079000,1557981000,397538000,787684000,-86094000,1099128000,1099128000,2657109000,84682000,48433000,4620000,1491000,139226000,-49519000,-147000,-49666000,-39225000,-3993000,-17785000,-63022000,26538000,26538000,26538000,191215000,909613000,189437000,0.26921,0.16888,0.10016,0.07704,0.03187,2.23704,3.20972,1.41747,0.34233,0.87518,0.86752,8.73749,11.35932,1.9578,0.40538,0.05343,0.08168,0.4632,2.68294,3.59302
"16","2014_Q1",53.5124590163934,"Up",1264423000,-1005018000,259405000,-136484000,-99994000,-36490000,122921000,-27967000,-27967000,94954000,94954000,133118000,228072000,228072000,228072000,228072000,1.91e+08,1.91e+08,643100000,643100000,594300000,102600000,3.2e+07,1.531e+09,2805700000,907100000,526800000,69700000,3712800000,5243800000,620600000,357500000,39300000,223800000,4e+07,660600000,2532700000,693700000,434800000,65400000,3226400000,3.887e+09,402700000,1019100000,-6.5e+07,1356800000,1356800000,5243800000,228072000,80488000,-144012000,23745000,188293000,-103990000,-391000,-1278881000,-39217000,935267000,-11207000,884986000,-205602000,-205602000,-205602000,203409000,2572700000,-9954000.00000003,0.20516,0.09722,0.18038,0.1681,0.04349,-0.0436399999999999,2.31759,2.86483,0.49062,2.35631,2.34006,13.0633,14.01769,-0.10284,0.40517,0.05781,-0.00215,0.17195,11.70892,19.37586
"17","2014_Q2",54.1138095238095,"Up",1431300000,-1129900000,301400000,-140500000,-116500000,-2.4e+07,160900000,-20800000,-20800000,140100000,140100000,-5e+07,90100000,90100000,90100000,90100000,185706000,185706000,696344000,696344000,607306000,71987000,40002000,1561343000,2800742000,901863000,526760000,70212000,3702605000,5263948000,635886000,390630000,39351000,205905000,7547000,643433000,2498999000,703933000,423973000,80810000,3202932000,3846365000,413125000,1067661000,-63203000,1417583000,1417583000,5263948000,90100000,8.6e+07,29100000,-52200000,1.53e+08,-50900000,-2700000,-53600000,-39300000,-66300000,-2400000,-104700000,-5300000,-5300000,-5300000,246900000,2506546000,193800000,0.21058,0.11242,0.06295,0.06356,0.01712,2.15094,2.42658,2.71333,0.47617,0.93079,0.93079,14.78616,14.64445,2.00207,0.40599,0.02796,0.04187,0.43618,9.39992,14.42411
"18","2014_Q3",53.21953125,"Down",1468400000,-1157600000,310800000,-130500000,-122800000,-7700000,180300000,-21400000,-21400000,158900000,158900000,-59400000,99500000,99500000,99500000,99500000,161991000,161991000,704218000,704218000,611342000,96698000,59737000,1574249000,2817249000,912739000,537363000,69374000,3729988000,5304237000,650348000,394743000,39359000,216246000,7565000,657913000,2448774000,714931000,430947000,83084000,3163705000,3821618000,424582000,1119367000,-61330000,1482619000,1482619000,5304237000,99500000,103100000,22400000,-32300000,192700000,-97300000,-1e+05,-117700000,-39300000,-50200000.0000001,-9600000,-98699999.9999999,-23700000,-23700000,-23700000,283400000,2456339000,213200000,0.21166,0.12279,0.06776,0.06711,0.01876,2.14271,2.39279,2.57761,0.46309,1.02683,1.02683,15.15377,15.30051,2.20021,0.40557,0.02982,0.04581,0.39497,8.09579,12.72517
"19","2014_Q4",57.0934375,"Up",1.519e+09,-1198700000,320300000,-1.32e+08,-119700000,-12300000,188300000,-23100000,-23100000,165200000,165200000,-60700000,104500000,104500000,104500000,104500000,154323000,154323000,717947000,717947000,616962000,108475000,76195000,1597707000,2818133000,914909000,541911000,73902000,3733042000,5330749000,682453000,387854000,39393000,255206000,7582000,690035000,2373539000,715136000,426086000,84764000,3088675000,3778710000,428828000,1184155000,-60944000,1552039000,1552039000,5330749000,104500000,107400000,8500000,2400000,222800000,-106700000,-5600000,-112300000,-39400000,-75200000,-3600000,-118200000,-7700000,-7700000,-7700000,295700000,2381121000,252100000,0.21086,0.12396,0.0688,0.06733,0.0196,2.41244,2.3154,2.43467,0.44668,1.07621,1.0751,15.64367,15.98392,2.59629,0.40577,0.03096,0.05423,0.37703,7.5306,11.8258
"20","2015_Q1",63.5832786885246,"Up",1433900000,-1136900000,2.97e+08,-123800000,-110500000,-13300000,173200000,-23100000,-23100000,150100000,150100000,-51600000,98500000,98500000,98500000,98500000,124900000,124900000,646100000,646100000,664900000,6.7e+07,61900000,1502900000,2857600000,912300000,546800000,7.2e+07,3769900000,5272800000,603400000,330500000,39400000,233500000,7600000,6.11e+08,2371700000,768700000,334200000,72800000,3140400000,3751400000,433100000,1242200000,-153900000,1521400000,1521400000,5272800000,98500000,85100000,1.2e+07,-15800000,179800000,-165300000,-2e+06,-167500000,-39400000,-1900000.00000001,-4e+05,-41700000,-29400000,-29400000,-29400000,258300000,2379300000,128800000,0.20713,0.12079,0.06869,0.06474,0.01868,1.30761,2.45974,2.46576,0.45124,1.01337,1.01026,14.75206,15.65226,1.3251,0.40535,0.02953,0.02758,0.4,8.72784,13.01617
"21","2015_Q2",56.7779365079365,"Down",1425700000,-1148700000,2.77e+08,-119900000,-117300000,-2600000,157100000,-19200000,-19200000,137900000,137900000,-47100000,90800000,90800000,90800000,90800000,126400000,126400000,676700000,676700000,687600000,124100000,65700000,1614800000,2864100000,906500000,546600000,72100000,3770600000,5385400000,613700000,352700000,54100000,206900000,7600000,621300000,2369900000,837900000,399900000,70200000,3207800000,3829100000,4.37e+08,1271600000,-152300000,1556300000,1556300000,5385400000,90800000,93400000,21500000,-97100000,108600000,-55600000,-2e+06,-57600000,-39400000,-1900000,-6e+05,-49500000,1500000,1500000,1500000,250500000,2377500000,144900000,0.19429,0.11019,0.06369,0.05834,0.01686,1.59581,2.59907,2.46039,0.44147,0.93512,0.93416,14.6828,16.02781,1.49228,0.40577,0.02729,0.03037,0.43392,8.98643,14.32909
"22","2015_Q3",54.30625,"Down",1454300000,-1136600000,317700000,-120100000,-115900000,-4200000,197600000,-22200000,-22200000,175400000,175400000,-61400000,1.14e+08,1.14e+08,1.14e+08,1.14e+08,163700000,163700000,7.08e+08,7.08e+08,667500000,118200000,58500000,1657400000,2852700000,899800000,5.44e+08,73700000,3752500000,5409900000,598600000,339300000,53900000,205400000,7600000,606200000,2.368e+09,844700000,402700000,7e+07,3212700000,3818900000,442900000,1293100000,-1.45e+08,1.591e+09,1.591e+09,5409900000,1.14e+08,86800000,19400000,-18900000,201300000,-86300000,-3e+06,-66300000,-54100000,-1899999.99999999,-6e+06,-97700000,37300000,37300000,37300000,284400000,2375600000,240600000,0.21846,0.13587,0.07839,0.07165,0.02107,2.11053,2.73408,2.40031,0.43912,1.17769,1.17647,15.02376,16.43595,2.48554,0.55888,0.03494,0.05001,0.47456,7.77743,11.19383
"23","2015_Q4",54.01609375,"Down",1470800000,-1142600000,328200000,-108800000,-112700000,3900000,219400000,-21800000,-21800000,197600000,197600000,-69800000,127800000,127800000,127800000,127800000,186900000,186900000,683500000,683500000,695900000,1.13e+08,49800000,1679300000,2842500000,900400000,5.44e+08,8e+07,3742900000,5422200000,620800000,3.37e+08,53700000,230100000,7600000,628400000,2341200000,837600000,402700000,5.8e+07,3178800000,3807200000,439100000,1317900000,-1.42e+08,1.615e+09,1.615e+09,5422200000,127800000,87700000,9400000,12800000,237700000,-7.6e+07,-2900000,-78900000,-53800000,-26900000,-1e+05,-135600000,23200000,23200000,23200000,307100000,2348800000,313700000,0.22314,0.14917,0.08689,0.07913,0.02357,2.45462,2.67234,2.3574,0.43318,1.32435,1.32298,15.24145,16.73575,3.25078,0.55751,0.03782,0.06534,0.42097,7.03973,9.85369
"24","2016_Q1",44.3475409836066,"Down",1390900000,-1105800000,285100000,-109200000,-105400000,-3800000,175900000,-22300000,-22300000,153600000,153600000,-49400000,104200000,104200000,104200000,104200000,184200000,184200000,636500000,636500000,676800000,5.7e+07,28800000,1554500000,2832100000,885700000,5.44e+08,70900000,3717800000,5272300000,554200000,294200000,53400000,206600000,7700000,561900000,2.312e+09,765100000,3.47e+08,59500000,3077100000,3.639e+09,440900000,1317300000,-124900000,1633300000,1633300000,5272300000,104200000,88600000,8600000,19600000,2.21e+08,-95100000,-2e+05,-95300000,-53500000,-16900000,-1400000,-128400000,-2700000,-2700000,-2700000,264500000,2319700000,238400000,0.20498,0.12646,0.07492,0.0638,0.01976,2.28791,2.76651,2.228,0.43998,1.08542,1.08429,14.48854,17.01354,2.48333,0.55729,0.03342,0.05053,0.51344,8.07372,12.14042
"25","2016_Q2",54.5778125,"Up",1.401e+09,-1.102e+09,2.99e+08,-118200000,-114300000,-3900000,180800000,-21600000,-21600000,159200000,159200000,-55500000,103700000,103700000,103700000,103700000,162300000,162300000,631400000,631400000,692500000,42700000,42700000,1528900000,2817900000,880500000,5.44e+08,71400000,3698400000,5227300000,537600000,3.09e+08,52100000,176500000,7700000,545300000,2310600000,780600000,357200000,60400000,3091200000,3636500000,433700000,1286500000,-122400000,1590800000,1590800000,5227300000,103700000,88700000,2.2e+07,-23400000,1.91e+08,-52900000,-2600000,-55500000,-53100000,-1900000,-2100000,-157400000,-21900000,-21900000,-21900000,269500000,2318300000,248700000,0.21342,0.12905,0.07402,0.06519,0.01984,2.39826,2.80378,2.28596,0.4435,1.10202,1.10085,14.88842,16.90542,2.64293,0.56429,0.03343,0.05303,0.51205,8,11.92478
"26","2016_Q3",64.3728125,"Up",1417400000,-1097300000,320100000,-119900000,-114800000,-5100000,200200000,-22500000,-22500000,177700000,177700000,-61800000,115900000,115900000,115900000,115900000,213600000,213600000,663400000,663400000,671300000,61600000,60300000,1609900000,2809900000,876300000,5.44e+08,72800000,3686200000,5296100000,543800000,308400000,52100000,183300000,7700000,551500000,2309100000,773200000,353900000,61900000,3082300000,3633800000,4.42e+08,1337200000,-116900000,1662300000,1662300000,5296100000,115900000,87600000,2100000,-20400000,185200000,-68600000,-3600000,-72200000,-51800000,-1899999.99999999,-8e+06,-61700000,51300000,51300000,51300000,287800000,2316800000,260600000,0.22584,0.14124,0.08177,0.06972,0.02188,2.24849,2.91913,2.18601,0.43745,1.24356,1.24223,15.20815,17.83584,2.79614,0.55579,0.03529,0.05484,0.44694,7.30785,10.50549
"27","2016_Q4",71.1588888888889,"Up",1.484e+09,-1154500000,329500000,-123100000,-116900000,-6200000,206400000,-23400000,-23400000,1.83e+08,1.83e+08,-63700000,119300000,119300000,119300000,119300000,279800000,279800000,713200000,713200000,690600000,63400000,45100000,1.747e+09,2878700000,1121500000,692100000,74600000,4000200000,5747200000,610500000,3.27e+08,59800000,223700000,2.7e+07,637500000,2646500000,733200000,360900000,60100000,3379700000,4017200000,446900000,1396900000,-114200000,1729600000,1.73e+09,5747200000,119300000,8.8e+07,-30300000,40300000,217300000,-66600000,-2800000,-4.55e+08,-51800000,358100000,-2400000,303900000,66200000,66200000,66200000,294400000,2673500000,331800000,0.22204,0.13908,0.08039,0.06896,0.02076,2.78122,2.74039,2.32208,0.46518,1.2773,1.27457,15.88865,18.5182,3.55246,0.5546,0.03331,0.06459,0.4342,8.13077,11.59738
"28","2017_Q1",78.4243548387097,"Up",1476600000,-1149500000,327100000,-134200000,-125100000,-9100000,192900000,-24300000,-24300000,168600000,168600000,-57900000,110700000,110700000,110700000,110700000,239300000,239300000,689200000,689200000,723600000,44200000,30300000,1696300000,2895700000,1.185e+09,737900000,8e+07,4080700000,5.777e+09,598300000,323800000,59900000,214600000,27100000,625400000,2640300000,751500000,334700000,59600000,3391800000,4017200000,452300000,1447100000,-139600000,1759800000,1759800000,5.777e+09,110700000,93700000,-8e+05,9800000.00000001,213400000,-85700000,-1400000,-186900000,-59400000,-6800000.00000006,-8e+05,-67000000.0000001,-40500000,-40500000,-40500000,286600000,2667400000,268600000,0.22152,0.13064,0.07497,0.0629,0.01916,2.42638,2.71234,2.28276,0.46173,1.1865,1.18143,15.82637,18.86174,2.87889,0.63666,0.03285,0.05187,0.53659,8.47209,12.58735
"29","2017_Q2",86.6965079365079,"Up",1536500000,-1198300000,338200000,-134800000,-127800000,-7e+06,203400000,-24300000,-24300000,179100000,179100000,-61700000,117400000,117400000,117400000,117400000,2.54e+08,2.54e+08,733300000,733300000,744500000,47300000,47300000,1779100000,2887200000,1177100000,737100000,81200000,4064300000,5843400000,618200000,367300000,6e+07,190900000,157800000,7.76e+08,2478400000,764300000,349300000,59800000,3242700000,4018700000,456900000,1504500000,-136700000,1824700000,1824700000,5843400000,117400000,92500000,19900000,-65700000,164100000,-56100000,-1700000,-57800000,-59400000,-31700000,-5e+05,-91600000,14700000,14700000,14700000,295900000,2636200000,235800000,0.22011,0.13238,0.07641,0.06434,0.02009,2.00852,2.29265,2.20239,0.45114,1.25696,1.25427,16.45075,19.5364,2.52463,0.63597,0.03384,0.04513,0.50596,8.05069,11.7119
