"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"13","2013_Q2",24.01890625,"Up",455500000,-2.13e+08,242500000,-189600000,-105100000,-61300000,-23200000,52900000,-29200000,-31400000,-31400000,2200000,23700000,1200000,24900000,-11900000,1.3e+07,1.3e+07,1.3e+07,1.3e+07,1.46e+08,1.46e+08,166800000,108400000,89100000,421200000,6181700000,8931700000,-2.75e+09,535500000,535500000,6717200000,7138400000,256700000,205400000,51300000,283900000,22200000,261700000,583700000,2050300000,1827200000,238400000,1274100000,314600000,3877500000,4461200000,1014600000,1663400000,2677200000,2677200000,7138400000,1.3e+07,61300000,11300000,-38200000,47400000,-195200000,-195400000,-195400000,-195200000,43100000,104700000,147800000,0,0,0,114200000,2093400000,-107300000,0.53238,0.11614,0.02854,0.00485999999999999,0.00182,-8.25385,0.7216,1.66637,0.29326,0.0651,0.06484,2.28092,13.40611,-0.53731,0.00197,-0.01626
"14","2013_Q3",25.09921875,"Up",574600000,-247600000,3.27e+08,-188900000,-1.07e+08,-6.2e+07,-19900000,138100000,-32500000,-3.3e+07,-3.3e+07,5e+05,105600000,1500000,107100000,-28100000,7.9e+07,7.9e+07,7.9e+07,7.9e+07,186200000,186200000,178900000,204700000,119700000,569800000,6346900000,9.126e+09,-2779100000,536900000,536900000,6883800000,7453600000,278100000,211100000,6.7e+07,228900000,38200000,190700000,5.07e+08,2300300000,1929400000,2.37e+08,1378100000,314300000,4229700000,4736700000,1015100000,1702400000,2716900000,2716900000,7453600000,7.9e+07,6.2e+07,37800000,-153900000,24900000,-184600000,-184800000,-184800000,-184600000,204300000,-4599999.99999997,159700000,9.09494701772928e-13,9.09494701772928e-13,9.09494701772928e-13,200100000,2300300000,-110300000,0.56909,0.24034,0.13749,0.02908,0.0106,-1.3962,1.12387,1.74342,0.30862,0.39559,0.39401,2.87732,13.60491,-0.55233,0.01713,-0.01588
"15","2013_Q4",25.00484375,"Down",723200000,-2.73e+08,450200000,-189200000,-105900000,-62500000,-20800000,2.61e+08,-29200000,-31600000,-31600000,2400000,231800000,1700000,233500000,-6.2e+07,171500000,171500000,171500000,171500000,257200000,257200000,153700000,297600000,99200000,708500000,6.456e+09,9279900000,-2823900000,539500000,539500000,6995500000,7.704e+09,223600000,163400000,60200000,241600000,56300000,185300000,465200000,2300100000,2089400000,235300000,1541400000,312700000,4389500000,4854700000,1015700000,1833900000,2849300000,2849300000,7.704e+09,171500000,62500000,49100000,-33500000,249600000,-201100000,-201400000,-201400000,-201100000,-2e+05,-8300000,-48500000,0,0,0,323500000,2300100000,150900000,0.62251,0.3609,0.23714,0.06019,0.02226,0.87988,1.523,1.70382,0.29856,0.85879,0.85536,3.62143,14.2679,0.75563,0.02922,0.02085
"16","2014_Q1",24.5939344262295,"Down",508900000,-232300000,276600000,-203300000,-120800000,-62600000,-19900000,73300000,-34900000,-33300000,-33300000,-1600000,38400000,2200000,40600000,-11500000,29100000,29100000,29100000,29100000,179400000,179400000,153800000,3.06e+08,116800000,639200000,6634600000,9499200000,-2864600000,421100000,421100000,7055700000,7694900000,311800000,2.39e+08,72800000,243300000,3.8e+07,205300000,555100000,2300200000,2010300000,1.49e+08,1547100000,314200000,4310500000,4865600000,1016300000,1.813e+09,2829300000,2829300000,7694900000,29100000,62600000,13600000,117900000,223200000,-215900000,-2.16e+08,-2.16e+08,-215900000,100000.00000003,32600000,-7300000,1.45519152283669e-11,1.45519152283669e-11,1.45519152283669e-11,135900000,2300200000,49400000,0.54353,0.14404,0.05718,0.01029,0.00378,1.69759,1.1515,1.71972,0.29893,0.14572,0.14514,2.54832,14.16775,0.24737,0.00968,0.00692
"17","2014_Q2",25.9180952380952,"Up",560400000,-293400000,2.67e+08,-205200000,-117100000,-64300000,-23800000,61800000,-34600000,-33900000,-33900000,-7e+05,27200000,1100000,28300000,-7600000,20700000,20700000,20700000,20700000,191900000,191900000,157800000,326700000,140500000,676400000,6725800000,9625400000,-2899600000,424600000,424600000,7150400000,7826800000,253600000,199700000,53900000,169300000,23100000,146200000,422900000,2549500000,2033600000,149800000,1555600000,328200000,4583100000,5.006e+09,1017100000,1803700000,2820800000,2820800000,7826800000,20700000,64300000,11900000,-8.9e+07,7900000,-170100000,-170500000,-170500000,-170100000,246900000,-34700000,162200000,0,0,0,126100000,2549500000,-125400000,0.47645,0.11028,0.03694,0.00734,0.00264,-6.05797,1.59943,1.77467,0.32574,0.10366,0.10324,2.80621,14.12519,-0.62794,0.00955,-0.01694
"18","2014_Q3",26.21125,"Up",611800000,-270900000,340900000,-198700000,-1.15e+08,-6.5e+07,-18700000,142200000,-37100000,-37500000,-37500000,4e+05,105100000,8e+05,105900000,-2.9e+07,76900000,76900000,76900000,76900000,187400000,187400000,134500000,3.57e+08,196200000,680200000,6778800000,9.716e+09,-2937200000,4.49e+08,4.49e+08,7227800000,7.908e+09,235700000,169100000,66600000,197600000,37900000,159700000,573300000,2409500000,2056900000,149800000,1583900000,323200000,4466400000,5039700000,1017700000,1850600000,2868300000,2868300000,7.908e+09,76900000,6.5e+07,53900000,-72700000,123100000,-124400000,-124600000,-124600000,-124400000,-5e+05,33100000,2600000,1300000,1300000,1300000,207200000,2549500000,39100000,0.55721,0.23243,0.12569,0.02681,0.00972,0.508449999999999,1.18646,1.75703,0.3224,0.38508,0.38354,3.0636,14.36304,0.19579,0.0143,0.00523
"19","2014_Q4",25.884375,"Down",754700000,-305300000,449400000,-2.01e+08,-1.11e+08,-69400000,-20600000,248400000,-33500000,-35300000,-35300000,1800000,214900000,1100000,2.16e+08,-58700000,157300000,157300000,157300000,157300000,238100000,238100000,123100000,316400000,184700000,677600000,6890100000,9871900000,-2981800000,435400000,435400000,7325500000,8003100000,194500000,136800000,57700000,256400000,55100000,201300000,450900000,2409700000,2146200000,151100000,1643100000,3.52e+08,4555900000,5006800000,1018400000,1977900000,2996300000,2996300000,8003100000,157300000,69400000,9e+07,-71700000,2.45e+08,-1.42e+08,-1.42e+08,-1.42e+08,-1.42e+08,-1.4e+08,65700000,-104300000,-1300000,-1300000,-1300000,317800000,2409700000,162800000,0.59547,0.32914,0.20843,0.0525,0.01965,1.03497,1.50277,1.67099,0.3011,0.78768,0.78454,3.77917,15.00401,0.81522,0.0248,0.02156
"20","2015_Q1",24.2065573770492,"Down",526200000,-2.37e+08,289200000,-203600000,-110100000,-72100000,-21400000,85600000,-33400000,-34800000,-34800000,1400000,52200000,1200000,53400000,-16300000,37100000,37100000,37100000,37100000,188800000,188800000,136400000,545800000,3.75e+08,8.71e+08,6941500000,9947200000,-3005700000,453700000,453700000,7395200000,8266200000,228800000,163300000,65500000,164100000,38800000,125300000,392900000,2655300000,2213800000,178300000,1686600000,348900000,4869100000,5.262e+09,1019200000,1.985e+09,3004200000,3004200000,8266200000,37100000,72100000,4299999.99999999,98200000,211700000,-128200000,-128300000,-128300000,-128200000,2.43e+08,-296500000,-83500000,-4.65661287307739e-10,-4.65661287307739e-10,-4.65661287307739e-10,157700000,2655300000,1.44e+08,0.5496,0.16268,0.07051,0.01235,0.00449,3.8814,2.21685,1.75155,0.32122,0.18578,0.18504,2.63495,15.04357,0.72108,0.00852,0.01829
"21","2015_Q2",22.6452380952381,"Down",480100000,-211600000,268500000,-211200000,-114300000,-73800000,-23100000,57300000,-35400000,-36800000,-36800000,1400000,21900000,1500000,23400000,-6300000,17100000,17100000,17100000,17100000,169200000,169200000,160400000,476700000,306700000,806300000,6977800000,10023200000,-3045400000,450800000,450800000,7428600000,8234900000,205100000,147500000,57600000,151600000,23500000,128100000,466700000,2545400000,2230700000,176300000,1694400000,3.6e+08,4776100000,5242800000,1.02e+09,1972100000,2992100000,2992100000,8234900000,17100000,73800000,8300000,24400000,123600000,-110400000,-110500000,-110500000,-110400000,0,16800000,-13200000,0,0,0,131100000,2655400000,51400000,0.55926,0.11935,0.03562,0.00572,0.00208,3.00585,1.72766,1.75221,0.32246,0.08563,0.08529,2.40411,14.98297,0.25739,0.00598,0.00652
"22","2015_Q3",20.919375,"Down",549900000,-210900000,3.39e+08,-211500000,-115600000,-74300000,-21600000,127500000,-34600000,-37300000,-37300000,2700000,92900000,1700000,94600000,-25600000,6.9e+07,6.9e+07,6.9e+07,6.9e+07,185900000,185900000,166200000,4.86e+08,328600000,838100000,7048300000,10144900000,-3096600000,446200000,446200000,7494500000,8332600000,201700000,135800000,65900000,174800000,41300000,133500000,486500000,2545400000,2268900000,1.74e+08,1724500000,370400000,4814300000,5300800000,1020700000,2011100000,3031800000,3031800000,8332600000,6.9e+07,74300000,42500000,-6.8e+07,117800000,-111900000,-113800000,-113800000,-111900000,-1e+05,24200000.0000001,-5899999.99999999,0,0,0,201800000,2655400000,47500000,0.61648,0.23186,0.12548,0.02276,0.00828,0.68841,1.72271,1.7484,0.31868,0.34552,0.34414,2.75363,15.18177,0.23786,0.01244,0.00597
"23","2015_Q4",19.8921875,"Down",719800000,-259800000,4.6e+08,-204300000,-107400000,-75900000,-2.1e+07,255700000,-3.2e+07,-36400000,-36400000,4400000,223700000,2200000,225900000,-6.3e+07,162900000,162900000,162900000,162900000,222600000,222600000,1.62e+08,627200000,462500000,1011800000,7130400000,10278500000,-3148100000,428500000,428500000,7558900000,8570700000,176900000,117200000,59700000,224500000,61100000,163400000,511400000,2545500000,2348700000,1.73e+08,1802200000,373500000,4894200000,5405600000,1021100000,2.144e+09,3165100000,3165100000,8570700000,162900000,75900000,70200000,1200000,310200000,-146500000,-146700000,-146700000,-146500000,0,-1.31e+08,-163700000,0,0,0,331600000,2655500000,249300000,0.63907,0.35524,0.22631,0.05147,0.01901,1.53039,1.97849,1.70788,0.30983,0.81572,0.81247,3.60441,15.84927,1.24837,0.02394,0.03052
"24","2016_Q1",19.7408196721311,"Down",447100000,-182700000,264400000,-204500000,-107200000,-75900000,-21400000,59900000,-3.3e+07,-36200000,-36200000,3200000,26900000.0000001,2900000,29800000.0000001,-9900000,19900000,19900000,19900000,19900000,173100000,173100000,192600000,438700000,438700000,804400000,7296100000,10457800000,-3161700000,4.25e+08,4.25e+08,7721100000,8525500000,304800000,238200000,66600000,227600000,45700000,181900000,642400000,2529300000,2198100000,179900000,1637800000,380400000,4727400000,5369800000,1021800000,2133900000,3155700000,3155700000,8525500000,19900000,75900000,9e+05,122200000,218900000,-180200000,-180600000,-180600000,-180200000,-100000.000000007,-11300000,-38700000,-3.63797880709171e-12,-3.63797880709171e-12,-3.63797880709171e-12,135800000,2639300000,87700000,0.59137,0.13397,0.04451,0.00631,0.00233,4.40704,1.25218,1.70162,0.30958,0.09965,0.09925,2.23886,15.8022,0.43916,0.00591,0.01097
"25","2016_Q2",22.6540625,"Up",433100000,-177900000,255200000,-216600000,-116300000,-76700000,-23600000,38600000,-31800000,-35500000,-35500000,3700000,6800000,1600000,8400000,-2300000,6100000,6100000,6100000,6100000,135100000,135100000,182500000,1.83e+08,1.83e+08,500600000,7.363e+09,10583400000,-3220400000,424900000,424900000,7787900000,8288500000,216500000,158300000,58200000,202400000,24500000,177900000,418900000,2529700000,2207300000,178900000,1639500000,388900000,4.737e+09,5155900000,1022600000,2.11e+09,3132600000,3132600000,8288500000,6100000,76700000,1500000,-27900000,56400000,-177700000,-177700000,-177700000,-177700000,-1.1e+08,261300000,121300000,0,0,0,115300000,2529700000,-8.8e+07,0.58924,0.08912,0.01408,0.00195,0.000740000000000001,-14.42623,1.19503,1.64589,0.30521,0.03055,0.03042,2.16875,15.68653,-0.44066,0.00459,-0.01118
"26","2016_Q3",24.155625,"Up",551400000,-197700000,353700000,-222300000,-124800000,-78400000,-19100000,131400000,-31700000,-3.5e+07,-3.5e+07,3300000,99700000,3700000,103400000,-31100000,72300000,72300000,72300000,72300000,163100000,163100000,181400000,160700000,160700000,505200000,7452100000,10722600000,-3270500000,422900000,422900000,7.875e+09,8380200000,220300000,154900000,65400000,222800000,38800000,1.84e+08,443100000,2.53e+09,2231500000,177100000,1669200000,385200000,4761500000,5204600000,1023300000,2152300000,3175600000,3175600000,8380200000,72300000,78400000,27400000,-93200000,84900000,-153200000,-153400000,-153400000,-153200000,-1e+05,98400000,68300000,0,0,0,209800000,2.53e+09,-5500000,0.64146,0.2383,0.13112,0.02277,0.00863,-0.0760700000000032,1.14015,1.63893,0.3019,0.36204,0.3606,2.76114,15.90185,-0.02754,0.01289,-0.00069
"27","2016_Q4",24.3288888888889,"Up",743900000,-269800000,474100000,-216900000,-115200000,-80800000,-20900000,257200000,-32200000,-34300000,-34300000,2100000,2.25e+08,3900000,228900000,-6.9e+07,159900000,159900000,159900000,159900000,222200000,222200000,161700000,1.44e+08,1.44e+08,527900000,7.519e+09,10847900000,-3328900000,464600000,464600000,7983600000,8511500000,179500000,122800000,56700000,199500000,58200000,141300000,503900000,2405400000,2331500000,176100000,1728800000,426600000,4736900000,5240800000,1023500000,2247200000,3270700000,3270700000,8511500000,159900000,80800000,56200000,-52400000,244500000,-135500000,-135600000,-135600000,-135500000,0,-7.9e+07,-1.09e+08,0,0,0,3.38e+08,2530300000,219100000,0.63732,0.34575,0.21495,0.04889,0.01879,1.37023,1.04763,1.60235,0.29728,0.8007,0.79751,3.72509,16.37807,1.09715,0.02335,0.02694
