"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",34.8206451612903,"Up",1947100000,-1559500000,387600000,-200200000,-88800000,-96800000,-4800000,187400000,-12300000,-1e+07,1800000,-4100000,175100000,175100000,-57100000,1.18e+08,1.18e+08,-5e+05,117500000,117500000,908200000,908200000,1577400000,1577400000,623400000,193300000,193300000,3302300000,1194900000,1.712e+09,101700000,1610300000,3199900000,6502200000,1.617e+09,1055200000,561800000,158100000,196900000,196900000,1.972e+09,497400000,331200000,199500000,199500000,131700000,828600000,2800600000,3685500000,16100000,3701600000,6502200000,1.18e+08,68300000,-1.1e+07,-44600000,130700000,-97700000,-98400000,-44900000,5700000,2300000,2300000,-3.7e+07,-4700000,-4700000,-4400000,-9100000,255700000,655500000,170500000,0.19907,0.09625,0.06035,0.03174,0.01807,1.45106,1.67459,0.75659,0.10081,0.8855,0.88273,14.67374,27.77468,1.28492,0.33838,0.03464,0.03637,0.38213,-0.98827,-1.34845
"12","2013_Q1",38.5681666666667,"Up",2051900000,-1656500000,395400000,-221100000,-90400000,-105400000,-5700000,174300000,-4300000,-8100000,2800000,1e+06,1.7e+08,1.7e+08,-3e+07,1.4e+08,1.4e+08,-1300000,138700000,138700000,977700000,977700000,1509300000,1509300000,6.11e+08,191200000,1.04e+08,3289200000,1232800000,1.707e+09,96200000,1610800000,3281100000,6570300000,1606900000,1055900000,497100000,69800000,173100000,173100000,1849800000,562900000,381500000,255400000,255400000,126100000,944400000,2794200000,3758600000,17500000,3776100000,6570300000,1.4e+08,69200000,-3600000,35600000,241200000,-99100000,-100400000,-47700000,-27700000,-105500000,-105500000,-7.5e+07,65800000,65800000,3700000,69500000,243500000,632700000,2.1e+08,0.1927,0.08495,0.0676,0.03673,0.02111,1.51406,1.77814,0.73997,0.0963,1.04527,1.04418,15.46354,28.32558,1.5826,0.35948,0.03891,0.04384,0.34391,-1.41684,-1.97935
"13","2013_Q2",43.43390625,"Up",2.135e+09,-1720700000,414300000,-231900000,-95900000,-129100000,-5200000,182400000,-12300000,-7e+06,1700000,-7e+06,170100000,170100000,-4.5e+07,125100000,125100000,-1600000,123500000,123500000,990500000,990500000,1674500000,1674500000,613500000,170600000,170600000,3449100000,1230900000,1696500000,92200000,1604300000,3265200000,6714300000,1659400000,1076900000,582500000,72100000,212500000,212500000,1.944e+09,5.61e+08,386300000,256900000,256900000,129400000,947300000,2891300000,3803900000,19100000,3.823e+09,6714300000,125100000,69600000,13700000,-67600000,140800000,-8.6e+07,-86100000,-47800000,2300000,2e+06,2e+06,-4.3e+07,11700000,11700000,1100000,12800000,2.52e+08,633100000,143400000,0.19405,0.08543,0.05785,0.0323,0.01839,1.16113,1.77423,0.75629,0.09429,0.93072,0.92878,16.0898,28.66697,1.08069,0.36023,0.03538,0.02961,0.38704,-1.41825,-1.95943
"14","2013_Q3",48.49171875,"Up",2197500000,-1.767e+09,430500000,-236500000,-9.7e+07,-130400000,-5e+06,1.94e+08,-1300000,-7600000,1900000,4400000,192700000,192700000,-53300000,139400000,139400000,-7e+05,138700000,138700000,1042400000,1042400000,1716500000,1716500000,617100000,219100000,219100000,3595100000,1244600000,1689800000,87100000,1602700000,3255500000,6850600000,1715600000,1128500000,587100000,183800000,217800000,217800000,2117200000,440200000,387400000,258300000,258300000,129100000,827600000,2944800000,3886100000,19700000,3905800000,6850600000,139400000,69800000,10900000,-28300000,191800000,-88200000,-88500000,-47800000,-799999.999999996,7100000,7099999.99999999,-41600000,61700000,61700000,-9800000,51900000,263800000,6.24e+08,200600000,0.1959,0.08828,0.06312,0.03551,0.02025,1.44629,1.69804,0.75396,0.09109,1.04527,1.04092,16.56081,29.28644,1.51176,0.36023,0.03793,0.0408,0.34463,-1.58605,-2.1567
"15","2013_Q4",53.2075,"Up",2.119e+09,-1714100000,404900000,-222600000,-93800000,-120200000,-5100000,182300000,-5700000,-7200000,1800000,-3e+05,176600000,176600000,-51700000,124900000,124900000,-1e+06,123900000,123900000,1134700000,1134700000,1710800000,1710800000,642400000,2.21e+08,2.21e+08,3708900000,1291800000,1691200000,82700000,1608500000,3311300000,7020200000,1.736e+09,1114100000,621900000,216400000,215600000,215600000,2.168e+09,423500000,396400000,263900000,263900000,132500000,819900000,2987900000,4011600000,20700000,4032300000,7020200000,124900000,71200000,13800000,-3800000,206100000,-93200000,-93800000,-47900000,11300000,6900000,6900000,-29600000,82700000,82700000,9600000,92300000,253500000,639900000,208200000,0.19108,0.08603,0.05847,0.03073,0.01765,1.68039,1.71075,0.74099,0.09115,0.93081,0.92791,15.91926,30.13766,1.56413,0.35985,0.03389,0.04108,0.3866,-1.95187,-2.71421
"16","2014_Q1",55.406393442623,"Up",2351900000,-1.897e+09,454900000,-252200000,-103200000,-109600000,-5100000,202700000,-8100000,-7200000,1900000,-2800000,194600000,194600000,-94100000,100500000,100500000,-8e+05,99700000,99700000,1118300000,1118300000,1.688e+09,1.688e+09,661800000,232300000,90200000,3700400000,1336200000,1687400000,77300000,1610100000,3282600000,6.983e+09,1908600000,1199900000,633900000,339400000,180500000,180500000,2428500000,279100000,2.75e+08,147300000,147300000,127700000,554100000,2982600000,3981300000,19100000,4000400000,6.983e+09,100500000,75400000,4800000,118500000,299200000,-113900000,-1.09e+08,-47500000,-17300000,-136900000,1.1e+07,-204100000,-13900000,-13900000,-2500000,-16400000,278100000,618500000,376800000,0.19342,0.08619,0.04239,0.02492,0.01428,3.77934,1.52374,0.74558,0.08857,0.7569,0.75136,17.85514,30.2252,2.86059,0.36061,0.03008,0.07699,0.47643,-1.7972,-2.46571
"17","2014_Q2",61.5720634920635,"Up",2295800000,-1850500000,445300000,-253600000,-102500000,-142200000,-4100000,191700000,-7400000,-6800000,1700000,-2300000,184300000,184300000,-53200000,131100000,131100000,-8e+05,130300000,130300000,1096800000,1096800000,1826100000,1826100000,663600000,214400000,214400000,3800900000,1354400000,1683800000,73200000,1610600000,3309400000,7110300000,1916100000,1166800000,749300000,360600000,2.79e+08,2.79e+08,2555700000,277700000,2.77e+08,151800000,151800000,125200000,554700000,3110400000,3983500000,16400000,3999900000,7110300000,131100000,73800000,-5600000,-1.4e+07,185300000,-92700000,-94100000,-48800000,1.7e+07,-78400000,15900000,-113300000,-22100000,-22100000,6e+05,-21500000,265500000,638300000,2.12e+08,0.19396,0.0835,0.05676,0.03258,0.01833,1.62701,1.48722,0.77762,0.08977,0.99868,0.9955,17.59611,30.53146,1.62487,0.37403,0.03644,0.04313,0.37452,-1.72693,-2.39176
"18","2014_Q3",60.851875,"Down",2.383e+09,-1918800000,464200000,-324800000,-104600000,-134800000,-4200000,139400000,-16500000,-16500000,2700000,-2700000,122900000,122900000,-39700000,83200000,83200000,-4e+05,82800000,82800000,2060200000,2060200000,1843100000,1843100000,683200000,2.65e+08,2.65e+08,4851500000,1396100000,1.681e+09,68900000,1612100000,3.346e+09,8197500000,1978500000,1167700000,810800000,246400000,222800000,222800000,2447700000,1528300000,278100000,153900000,153900000,124200000,1806400000,4254100000,3926900000,16500000,3943400000,8197500000,83200000,76800000,4800000,-79100000,85700000,-114700000,-1.15e+08,-48400000,1138500000,-9.1e+07,6200000,9.99e+08,969700000,969700000,-6300000,963400000,216200000,1774700000,62100000,0.1948,0.0585,0.03475,0.021,0.0101,0.75,1.98206,1.07879,0.21649,0.64007,0.63801,18.42123,30.35599,0.48005,0.37415,0.02188,0.01036,0.58454,-1.32054,-2.04806
"19","2014_Q4",58.34609375,"Down",2.208e+09,-1781600000,426400000,-251600000,-1.01e+08,-135700000,-4100000,174800000,-18300000,-17800000,1400000,-1900000,156500000,156500000,-49800000,106700000,106700000,-2e+05,106500000,106500000,1846700000,1846700000,1712700000,1712700000,686500000,243900000,243900000,4489800000,1396100000,1.668e+09,65400000,1602600000,3.303e+09,7792800000,1853700000,1053500000,800200000,250400000,220900000,220900000,2.325e+09,1520500000,271600000,1.48e+08,1.48e+08,123600000,1792100000,4117100000,3660300000,15400000,3675700000,7792800000,106700000,77400000,21400000,6900000,212400000,-118100000,-118100000,-49400000,9500000,-237200000,1300000,-278400000,-184100000,-184100000,-29400000,-213500000,252200000,1770900000,190800000,0.19312,0.07917,0.04823,0.02897,0.01367,1.79155,1.9311,1.12009,0.22725,0.83857,0.83583,17.38555,28.82081,1.50234,0.38897,0.02726,0.03337,0.46385,-0.30056,-0.43364
"20","2015_Q1",66.3388524590164,"Up",2353700000,-1885800000,467900000,-251200000,-106800000,-122900000,-3600000,216700000,-13400000,-17500000,1100000,3e+06,203300000,203300000,-55300000,1.48e+08,1.48e+08,2e+05,148200000,148200000,1.529e+09,1.529e+09,1706300000,1706300000,675500000,225400000,75400000,4136200000,1390200000,1661200000,67200000,1.594e+09,3306700000,7442900000,1880700000,1091500000,720100000,79600000,178300000,178300000,2138600000,1521200000,3.41e+08,232500000,232500000,108500000,1862200000,4000800000,3427100000,1.5e+07,3442100000,7442900000,1.48e+08,77400000,20400000,-16500000,229300000,-129300000,-125800000,-48300000,-155900000,-176900000,9100000,-3.81e+08,-277500000,-277500000,-40200000,-317700000,294100000,1600800000,203600000,0.19879,0.09207,0.06296,0.04306,0.01991,1.37382,1.93407,1.16231,0.21508,1.19033,1.18636,18.90467,27.52611,1.63529,0.38794,0.0365,0.03782,0.32591,0.24413,0.33133
"21","2015_Q2",74.0050793650794,"Up",2174100000,-1750800000,423300000,-343300000,-100600000,-126500000,-3700000,8e+07,-15500000,-16700000,1300000,-1e+05,64500000,64500000,-28800000,35700000,35700000,0,35700000,35700000,1364100000,1364100000,1783300000,1783300000,652700000,217300000,217300000,4017400000,1384700000,1656200000,72600000,1583600000,3309100000,7326500000,1890700000,1093100000,797600000,124300000,241200000,241200000,2256200000,1.511e+09,333700000,226700000,226700000,1.07e+08,1844700000,4100900000,3210600000,1.5e+07,3225600000,7326500000,35700000,73700000,-1.9e+07,-6200000,84200000,-1.28e+08,-131200000,-47800000,55300000,-93400000,1.1e+07,-85900000,-132900000,-132900000,-3.2e+07,-164900000,153700000,1635300000,48300000,0.1947,0.0368,0.01642,0.01107,0.00487,1.35294,1.7806,1.27136,0.2232,0.29096,0.2903,17.71894,26.16643,0.39365,0.38957,0.01607,0.0093,1.33894,1.76448,3.39
"22","2015_Q3",63.891875,"Down",2291500000,-1831500000,4.6e+08,-251300000,-101200000,-140300000,-3300000,208700000,-14200000,-16300000,1600000,5e+05,194500000,194500000,-57700000,136800000,136800000,-1e+05,136700000,136700000,1323300000,1323300000,1795700000,1795700000,684100000,2.41e+08,2.41e+08,4044100000,1434100000,1657100000,70400000,1586700000,3361300000,7405400000,1920600000,1127300000,793300000,93200000,211500000,211500000,2225300000,1505600000,333500000,229400000,229400000,104100000,1839100000,4064400000,3325900000,15100000,3.341e+09,7405400000,136800000,75800000,4299999.99999999,-63200000,153700000,-109300000,-115100000,-49300000,-42100000,4600000,4600000,-86700000,-48100000,-48100000,7299999.99999999,-40800000,284500000,1598800000,169700000,0.20074,0.09108,0.05966,0.04092,0.01846,1.2414,1.81733,1.21652,0.2159,1.11917,1.11663,18.76064,27.22934,1.38934,0.40362,0.03527,0.03218,0.36064,0.96837,1.32008
"23","2015_Q4",74.3996875,"Up",2184500000,-1744400000,440100000,-282300000,-101300000,-130400000,-4200000,157800000,-6e+06,-14800000,6e+05,8200000,151800000,151800000,-52700000,99100000,99100000,-2e+05,98900000,98900000,1181100000,1181100000,1688800000,1688800000,692800000,250500000,250500000,3813200000,1422300000,1801600000,133600000,1.668e+09,3480200000,7293400000,1856700000,1032300000,824400000,53500000,201800000,201800000,2.112e+09,1499500000,362900000,2.29e+08,2.29e+08,133900000,1862400000,3974400000,3306700000,12300000,3.319e+09,7293400000,99100000,80100000,1800000,10300000,191300000,-96400000,-225600000,-49300000,-4.4e+07,1700000,1700000,-89800000,-124100000,-124100000,-18100000,-142200000,237900000,1.553e+09,204500000,0.20146,0.07224,0.04527,0.0298,0.01356,2.06775,1.80549,1.19747,0.21293,0.80878,0.80695,17.86433,27.04142,1.67235,0.40316,0.02831,0.03906,0.49848,1.56326,2.35678
"24","2016_Q1",67.555737704918,"Down",2519500000,-1998800000,520700000,-239400000,-108400000,-126600000,-8400000,281300000,-16400000,-14600000,1200000,-3e+06,264900000,264900000,-7.9e+07,185900000,185900000,-4e+05,185500000,185500000,1333500000,1333500000,1787600000,1787600000,711400000,205800000,72800000,4038300000,1437100000,1794300000,1.28e+08,1666300000,3487200000,7525500000,1996300000,1169600000,755600000,39600000,190500000,190500000,2226400000,1499400000,331600000,1.97e+08,1.97e+08,134600000,1.831e+09,4057400000,3455600000,12500000,3468100000,7525500000,185900000,89500000,12900000,3.3e+07,321300000,-140800000,-119200000,-49300000,-10400000,3e+06,3e+06,-56500000,145600000,145600000,6800000,152400000,370800000,1.539e+09,3.42e+08,0.20667,0.11165,0.07363,0.05349,0.02465,1.84367,1.81383,1.16992,0.2045,1.51354,1.51012,20.55721,28.19508,2.79046,0.40225,0.04398,0.06406,0.26577,0.55421,0.73054
"25","2016_Q2",73.49921875,"Up",2.43e+09,-1.929e+09,5.01e+08,-295800000,-113100000,-158800000,-7900000,205200000,-14900000,-14300000,6e+05,-1200000,190300000,190300000,-56800000,133500000,133500000,-3e+05,133200000,133200000,1161600000,1161600000,2000200000,2000200000,766700000,131600000,131600000,4060100000,1638600000,2095300000,256600000,1838700000,4084200000,8144300000,2137500000,1240300000,897200000,28800000,250200000,250200000,2416500000,1499400000,363200000,215200000,215200000,1.48e+08,1862600000,4279100000,3600200000,2.65e+08,3865200000,8144300000,133500000,85100000,3300000,-21400000,200500000,-91200000,-318600000,-49300000,-14600000,7e+05,7e+05,-64700000,-182800000,-182800000,10900000,-171900000,290300000,1528200000,234500000,0.20617,0.08444,0.05481,0.03446,0.01635,1.76051,1.68016,1.10708,0.18764,1.08928,1.08681,19.87197,29.44159,1.91769,0.40316,0.0317,0.04074,0.37012,1.26283,1.78655
"26","2016_Q3",66.23359375,"Down",2578500000,-2.052e+09,526500000,-313800000,-120300000,-176400000,-11900000,212700000,-12300000,-14700000,1e+05,2300000,200400000,200400000,-5.2e+07,148400000,148400000,5.82076609134674e-11,148400000,148400000,1113100000,1113100000,2.092e+09,2.092e+09,750400000,1.67e+08,1.67e+08,4122500000,1616300000,2151300000,257100000,1894200000,4121800000,8244300000,2158700000,1281900000,876800000,95400000,213700000,213700000,2467800000,1.46e+09,364100000,216400000,216400000,147700000,1824100000,4291900000,3676800000,275600000,3952400000,8244300000,148400000,96700000,2e+05,-142700000,102600000,-129900000,-130300000,-51200000,3.1e+07,3900000,3900000,-1.6e+07,-43700000,-43700000,-4800000,-48500000,309400000,1555400000,88800000,0.20419,0.08249,0.05755,0.03755,0.018,0.59838,1.67052,1.0859,0.18866,1.2122,1.20946,21.06246,30.03392,0.72536,0.41823,0.03399,0.01512,0.34501,1.42954,2.07945
